year,mergecode,totaltest,mathpass
17,25-29,177,55.37
17,35-23,63,57.14
17,125-47,572,52.97
17,225-91,570,47.54
17,235-101,379,25.86
17,235-102,450,29.56
17,235-105,345,15.07
17,235-177,360,21.11
17,235-219,508,29.13
17,255-49,232,47.84
17,255-81,167,26.95
17,255-285,119,26.05
17,255-297,240,10.0
17,255-394,82,48.78
17,365-397,528,46.4
17,365-399,384,40.1
17,370-410,68,30.88
17,395-445,131,49.62
17,515-489,131,27.48
17,615-539,128,41.41
17,630-512,487,66.32
17,665-553,254,42.52
17,670-573,146,20.55
17,750-621,82,47.56
17,755-637,93,30.11
17,775-645,84,41.67
17,815-689,112,51.79
17,875-701,279,31.9
17,940-765,77,33.77
17,940-777,224,33.48
17,940-813,52,40.38
17,1000-833,104,18.27
17,1010-809,63,34.92
17,1010-821,174,42.53
17,1010-849,527,26.19
17,1125-897,57,42.11
17,1125-933,242,38.43
17,1150-957,66,33.33
17,1160-977,88,31.82
17,1170-997,250,14.4
17,1180-1021,66,42.42
17,1300-1059,99,43.43
17,1315-1069,46,58.7
17,1375-1121,71,49.3
17,1405-1125,185,29.19
17,1560-7213,299,54.52
17,1600-1179,226,23.45
17,1620-1177,148,36.49
17,1655-1263,81,28.4
17,1655-1267,82,28.05
17,1730-1268,169,30.77
17,1805-1317,92,46.74
17,1820-1325,143,20.28
17,1835-1345,270,29.63
17,1875-1369,208,48.08
17,1885-1372,64,23.44
17,1895-1375,104,36.54
17,1900-1386,63,44.44
17,1910-1389,215,39.07
17,1940-1401,63,53.97
17,1970-1421,342,26.32
17,2040-1545,71,49.3
17,2100-1583,85,56.47
17,2110-1588,144,41.67
17,2120-1593,278,46.76
17,2155-1613,135,46.67
17,2260-1701,149,36.24
17,2270-1715,444,17.57
17,2275-1733,337,46.88
17,2285-1737,214,46.26
17,2305-1749,422,30.81
17,2305-1750,367,33.79
17,2315-1821,446,38.57
17,2395-1889,291,34.36
17,2400-1925,453,30.46
17,2400-1930,431,45.71
17,2435-2053,54,35.19
17,2440-2005,72,38.89
17,2455-2022,81,34.57
17,2475-2083,193,34.2
17,2645-2173,18,0.0
17,2650-2159,43,25.58
17,2725-2233,71,36.62
17,2735-2249,144,27.08
17,2765-2211,164,71.95
17,2815-2293,144,52.08
17,2825-2321,104,31.73
17,2855-2333,169,13.61
17,2865-2351,242,25.62
17,2920-2419,53,49.06
17,2940-2435,96,45.83
17,2950-2437,86,27.91
17,2960-2445,58,44.83
17,2980-2429,71,29.58
17,3005-2487,780,64.36
17,3005-2499,734,63.62
17,3025-2477,180,32.22
17,3030-2493,530,51.13
17,3055-2463,83,50.6
17,3060-2505,1252,71.33
17,3070-2517,720,44.03
17,3115-2565,294,46.6
17,3125-2595,391,36.57
17,3135-2569,295,38.98
17,3145-2585,89,40.45
17,3160-2613,58,27.59
17,3180-2629,184,46.74
17,3190-2640,158,45.57
17,3190-2670,46,34.78
17,3295-2731,157,43.31
17,3305-2709,659,64.8
17,3315-2737,812,46.31
17,3325-2741,202,40.1
17,3330-2749,432,50.69
17,3335-2692,114,50.0
17,3405-2801,45,24.44
17,3415-2773,70,22.86
17,3435-2817,121,47.11
17,3445-2825,235,37.45
17,3455-2869,99,24.24
17,3460-2894,63,39.68
17,3470-2897,149,42.28
17,3480-2919,121,44.63
17,3490-2921,219,47.03
17,3500-3013,416,19.95
17,3625-3065,364,28.3
17,3640-3093,17,5.88
17,3675-3133,384,27.34
17,3695-3126,134,44.78
17,3710-3121,34,29.41
17,3785-3181,249,33.73
17,3815-3201,124,31.45
17,3945-3239,248,33.87
17,3995-3309,233,21.89
17,4000-3337,89,34.83
17,4015-3345,305,34.75
17,4145-3421,452,36.73
17,4205-3437,579,50.95
17,4215-3447,65,23.08
17,4225-3445,377,31.56
17,4245-3473,289,46.37
17,4255-3419,164,32.93
17,4315-3537,112,23.21
17,4325-3490,90,44.44
17,4335-3553,169,31.95
17,4345-3639,250,34.8
17,4415-3647,543,35.17
17,4445-3602,147,33.33
17,4455-9191,117,23.08
17,4515-3690,98,59.18
17,4525-3697,112,63.39
17,4535-3730,149,27.52
17,4580-3785,174,30.46
17,4590-3791,122,33.61
17,4600-3809,345,13.91
17,4615-3833,786,47.84
17,4645-3865,306,39.87
17,4650-3869,156,6.41
17,4660-3901,707,48.66
17,4670-3924,280,12.14
17,4680-3965,86,34.88
17,4690-4113,27,3.7
17,4690-4163,148,27.7
17,4690-4168,78,14.1
17,4700-4173,210,22.38
17,4710-4411,197,17.26
17,4710-4413,251,25.5
17,4710-4415,218,14.22
17,4710-4417,325,6.46
17,4720-4281,287,40.77
17,4730-4305,278,25.18
17,4740-4332,364,62.91
17,4760-4353,114,27.19
17,4805-4689,244,33.61
17,4860-4701,79,24.05
17,4915-4692,30,46.67
17,4925-4795,413,24.94
17,4940-4737,77,45.45
17,4945-4741,442,44.34
17,5075-4911,352,39.49
17,5085-4925,134,24.63
17,5245-5005,125,29.6
17,5245-5011,108,45.37
17,5255-5053,351,45.01
17,5265-5041,111,15.32
17,5275-4945,436,21.79
17,5280-5149,111,27.03
17,5300-5177,442,25.34
17,5300-5188,58,6.9
17,5310-5193,670,47.91
17,5330-5275,580,22.24
17,5330-5276,611,32.73
17,5340-5307,596,31.54
17,5340-5309,537,31.66
17,5350-5353,736,34.51
17,5360-5361,923,21.89
17,5370-5451,903,31.78
17,5375-5213,1001,14.29
17,5375-5288,14,14.29
17,5375-5447,125,17.6
17,5380-5449,245,17.55
17,5385-5465,80,0.0
17,5385-5469,507,13.41
17,5385-5473,133,6.77
17,5385-5477,153,5.23
17,5385-5483,154,2.6
17,5385-5487,97,37.11
17,5385-5494,112,0.89
17,5385-5643,107,0.93
17,5400-5891,150,43.33
17,5455-5245,66,13.64
17,5470-5937,50,42.0
17,5480-5941,134,36.57
17,5485-5945,243,21.81
17,5495-5923,79,56.96
17,5520-5985,44,45.45
17,5525-6003,75,36.0
17,5615-6032,157,36.31
17,5620-6049,71,29.58
17,5625-6069,127,25.98
17,5635-6085,170,30.0
17,5705-6146,112,58.04
17,5740-6166,411,57.66
17,5740-6168,408,41.18
17,5740-6202,36,55.56
17,5740-6220,13,0.0
17,5835-6271,161,26.71
17,5845-6257,127,28.35
17,5855-6277,164,29.88
17,5900-6321,134,20.15
17,5910-6325,35,22.86
17,5925-6329,329,32.22
17,5930-6369,322,30.43
17,5945-6411,119,22.69
17,5995-6417,57,15.79
17,6055-6453,98,28.57
17,6060-6458,314,48.09
17,6065-6489,177,50.28
17,6080-6513,59,33.9
17,6145-6573,61,57.38
17,6155-6581,118,37.29
17,6160-6589,69,43.48
17,6195-6613,212,29.72
17,6260-6627,76,19.74
17,6325-6708,102,47.06
17,6340-6733,26,0.0
17,6350-6741,121,54.55
17,6375-6637,57,28.07
17,6375-6649,34,32.35
17,6445-6763,134,29.1
17,6460-6813,103,37.86
17,6470-6925,491,50.71
17,6510-6825,55,47.27
17,6510-6833,79,37.97
17,6510-6849,70,67.14
17,6520-6838,128,38.28
17,6530-6841,161,42.24
17,6550-6853,667,33.43
17,6560-6881,528,45.27
17,6590-6949,160,59.38
17,6600-6975,112,50.89
17,6620-6997,89,40.45
17,6630-7025,78,20.51
17,6705-7071,99,31.31
17,6715-7061,117,45.3
17,6750-7077,96,46.88
17,6755-7089,146,32.88
17,6795-7119,25,8.0
17,6805-7121,45,24.44
17,6820-7151,98,33.67
17,6825-7125,108,44.44
17,6835-7161,69,13.04
17,6865-7182,87,22.99
17,6895-7217,193,60.1
17,6900-7193,63,19.05
17,6910-7205,113,30.97
17,6995-7285,183,35.52
17,7150-7453,140,46.43
17,7175-7353,841,64.57
17,7200-7461,371,37.47
17,7205-7421,249,22.09
17,7205-7505,430,39.3
17,7205-7513,321,24.92
17,7205-7517,204,13.24
17,7215-7399,90,47.78
17,7230-7629,99,17.17
17,7255-7641,159,28.3
17,7285-7661,48,16.67
17,7285-7665,38,26.32
17,7350-7689,113,41.59
17,7360-7701,61,57.38
17,7365-7717,282,47.16
17,7385-7759,155,67.1
17,7445-7795,110,46.36
17,7495-7831,46,6.52
17,7515-7849,89,19.1
17,7525-7833,151,19.87
17,7605-7877,53,32.08
17,7610-7885,34,35.29
17,7615-7893,225,36.44
17,7645-7917,54,20.37
17,7715-7957,149,40.94
17,7775-7993,90,33.33
17,7855-8015,16,6.25
17,7855-8069,480,27.5
17,7865-8003,430,30.23
17,7865-8029,473,46.3
17,7875-8129,201,71.64
17,7935-8155,64,23.44
17,7945-8177,134,32.84
17,7950-8193,101,37.62
17,7995-8237,148,18.92
17,7995-8241,264,28.41
17,7995-8245,337,29.38
17,7995-8253,369,34.96
17,7995-8270,110,0.91
17,7995-8311,289,24.91
17,7995-8326,77,27.27
17,8010-8394,49,8.16
17,8020-8432,126,31.75
17,8030-8441,457,31.29
17,8030-8453,136,46.32
17,8030-8457,401,30.67
17,8030-8612,21,0.0
17,8045-8625,129,43.41
17,8050-8651,77,37.66
17,8050-8655,71,50.7
17,8050-8673,52,3.85
17,8060-8693,112,32.14
17,8115-8737,108,36.11
17,8130-8772,85,42.35
17,8130-8789,212,47.17
17,8130-8809,521,50.29
17,8205-8857,138,36.23
17,8215-8905,128,30.47
17,8220-8869,63,25.4
17,8305-8985,81,35.8
17,8355-8961,75,16.0
17,8360-8981,122,31.15
17,8375-8927,106,27.36
17,8385-8993,331,22.36
17,8425-9058,76,30.26
17,8435-9087,197,37.56
17,8445-9089,99,45.45
17,8515-9135,59,32.2
17,8525-9137,53,49.06
17,8535-9141,51,41.18
17,8565-9149,189,33.86
17,8625-9193,89,43.82
17,8665-9187,264,33.71
17,8810-5639,80,6.25
17,8815-5481,139,10.07
17,8820-4033,61,19.67
17,9120-2528,114,1.75
17,9200-A575,108,55.56
17,9200-B505,25,64.0
17,9200-C320,331,58.31
17,9200-C360,196,86.73
17,9200-C623,71,12.68
17,9200-C700,297,61.62
17,9200-C705,174,49.43
17,9200-C710,117,45.3
17,9200-C715,147,44.9
17,9200-D135,57,73.68
17,9200-D842,22,59.09
17,9205-B760,129,41.09
17,9205-B970,153,32.03
17,9205-C125,75,49.33
17,9210-B249,181,62.98
17,9210-D415,73,86.3
17,9215-A660,15,33.33
17,9215-B560,24,54.17
17,9215-D530,149,61.07
17,9215-D535,157,54.78
17,9220-A120,276,59.42
17,9220-A125,160,34.38
17,9220-D165,171,44.44
17,9220-D225,219,53.88
17,9230-A195,187,55.08
17,9230-B452,35,60.0
17,9230-C270,61,57.38
17,9315-8295,89,85.39
17,9320-1536,44,27.27
17,9325-2524,23,0.0
17,9330-1537,88,30.68
17,9345-8094,13,0.0
17,9380-5874,42,30.95
17,9445-6208,83,45.78
17,9460-4022,109,0.92
17,9535-4130,132,10.61
17,9545-4164,73,6.85
17,9575-5523,65,13.85
17,9610-C695,23,13.04
17,9620-1441,53,52.83
17,9640-2551,30,10.0
17,9650-5724,226,52.65
17,9655-5292,10,20.0
17,9670-5664,57,3.51
17,9705-4486,76,34.21
17,9710-5977,21,9.52
17,9730-6864,27,0.0
17,9755-5979,11,27.27
17,9770-5524,58,10.34
17,9790-5092,74,41.89
17,9805-2527,15,46.67
17,9865-5290,321,12.15
17,9875-771,34,47.06
17,9880-7567,62,33.87
17,9890-2488,129,8.53
17,9895-5444,44,18.18
17,9905-7944,575,16.0
17,9915-5903,27,3.7
17,9930-5302,15,60.0
17,9950-7952,38,0.0
17,9995-1117,10,0.0
