year,mergecode,districtcode,white,black,hispanic,lowincome,totalenroll
21,15-13,15,92.31,0.64,3.53,25.96,312
21,15-20,15,91.23,0.61,5.14,23.3,661
21,15-21,15,94.86,0.54,3.51,21.35,370
21,25-29,25,83.0,1.24,11.75,33.85,647
21,25-33,25,84.83,2.53,9.27,55.06,356
21,25-37,25,79.31,2.82,12.7,58.78,638
21,35-17,35,81.23,1.15,14.56,44.44,261
21,35-23,35,85.96,0.86,9.74,34.1,349
21,35-25,35,85.51,0.0,10.83,46.97,628
21,125-45,125,82.15,2.29,4.58,18.54,437
21,125-46,125,65.71,13.82,6.28,27.83,557
21,125-47,125,77.83,5.31,7.19,15.42,2503
21,125-63,125,83.89,3.7,5.61,17.18,838
21,125-64,125,85.74,3.57,4.9,16.79,673
21,125-67,125,69.5,11.14,7.14,20.92,1023
21,125-68,125,75.5,7.95,7.95,22.3,453
21,125-71,125,77.19,3.51,5.51,7.52,399
21,125-72,125,69.21,13.3,6.28,22.78,812
21,225-69,225,83.92,0.5,8.04,33.17,199
21,225-79,225,83.86,3.05,4.36,14.5,917
21,225-87,225,77.69,3.76,4.03,24.73,372
21,225-89,225,77.81,1.88,5.78,37.81,640
21,225-90,225,80.27,2.98,4.93,27.44,973
21,225-91,225,84.61,2.26,4.81,18.06,2475
21,225-92,225,82.0,3.11,4.91,17.51,611
21,225-94,225,82.44,2.4,4.19,8.98,501
21,225-95,225,82.17,2.76,4.38,9.4,617
21,225-96,225,78.62,3.0,5.12,21.02,566
21,235-100,235,33.33,33.33,33.33,0.0,6
21,235-101,235,40.79,23.4,17.58,68.78,1547
21,235-102,235,49.73,22.46,14.1,47.87,1830
21,235-105,235,18.94,29.96,34.35,73.22,1415
21,235-107,235,51.09,22.15,12.23,50.24,826
21,235-118,235,37.7,26.03,22.8,54.4,557
21,235-119,235,58.83,15.72,12.66,51.88,719
21,235-121,235,25.83,28.1,27.57,80.8,573
21,235-125,235,36.13,26.17,13.87,77.15,512
