year,mergecode,districtcode,white,black,hispanic,lowincome,totalenroll
17,15-13,15,94.05,1.12,2.23,24.91,269
17,15-20,15,92.48,1.31,4.08,26.47,612
17,15-21,15,94.71,0.0,2.38,20.63,378
17,25-29,25,82.63,0.87,12.74,32.13,691
17,25-33,25,81.72,1.94,12.26,53.98,465
17,25-37,25,80.56,2.78,10.83,62.5,360
17,25-41,25,78.5,3.07,12.97,67.24,293
17,35-17,35,83.87,1.29,11.61,43.87,310
17,35-23,35,84.01,0.54,11.65,35.5,369
17,35-25,35,84.17,0.48,11.95,42.81,619
17,125-45,125,80.34,1.71,4.27,13.03,468
17,125-46,125,69.9,8.04,7.01,19.79,485
17,125-47,125,81.39,5.71,4.98,11.63,2348
17,125-63,125,82.72,2.97,6.23,17.0,706
17,125-64,125,88.35,3.23,3.58,18.1,558
17,125-67,125,78.7,5.32,4.94,13.55,1033
17,125-68,125,87.47,2.56,4.35,14.83,391
17,125-71,125,81.64,3.38,4.11,7.49,414
17,125-72,125,76.37,10.17,4.57,19.7,787
17,225-69,225,85.39,0.0,7.3,32.02,178
17,225-79,225,84.57,1.82,4.86,11.66,823
17,225-87,225,83.18,1.35,3.81,12.11,446
17,225-89,225,87.96,1.12,4.98,26.97,623
17,225-90,225,85.74,1.93,5.25,21.11,933
17,225-91,225,87.02,2.24,3.86,13.95,2280
17,225-92,225,86.4,2.6,4.0,15.8,500
17,225-94,225,82.34,2.13,5.74,5.96,470
17,225-95,225,84.48,1.76,6.35,6.35,567
17,225-96,225,82.26,3.02,4.91,17.36,530
17,225-145,225,16.67,33.33,33.33,100.0,12
17,235-100,235,36.0,36.0,4.0,12.0,25
17,235-101,235,45.63,21.11,15.43,70.1,1672
17,235-102,235,57.19,22.97,7.95,46.76,1850
17,235-105,235,19.09,36.62,29.24,78.42,1409
17,235-107,235,58.51,19.46,7.6,40.72,776
17,235-118,235,41.78,24.5,23.15,49.33,596
17,235-119,235,65.32,13.09,9.89,47.35,718
17,235-121,235,29.07,30.04,23.84,77.33,516
17,235-125,235,37.02,27.57,9.05,76.06,497
17,235-126,235,34.46,33.43,18.56,61.71,679
17,235-127,235,36.61,25.62,25.96,60.73,601
17,235-128,235,24.14,36.12,17.97,73.14,551
17,235-129,235,49.5,14.07,17.88,61.26,604
17,235-133,235,48.66,22.14,20.19,75.18,411
17,235-134,235,39.57,32.8,17.11,56.86,561
17,235-136,235,18.29,29.96,32.1,88.33,514
17,235-137,235,4.62,48.32,34.66,79.2,476
17,235-141,235,15.38,26.01,31.14,78.02,273
17,235-149,235,46.2,18.42,18.13,79.24,342
17,235-151,235,37.61,34.96,13.27,46.46,226
17,235-153,235,35.46,28.41,9.69,72.91,454
17,235-154,235,70.64,16.48,4.08,24.31,613
17,235-157,235,33.66,27.06,11.88,71.45,606
17,235-161,235,52.96,11.07,19.96,67.19,506
17,235-162,235,58.48,16.64,6.43,55.85,607
17,235-164,235,45.45,27.76,7.14,58.44,616
17,235-177,235,39.4,29.03,16.34,67.99,1340
17,235-178,235,18.51,29.89,30.5,72.23,659
17,235-186,235,58.37,8.61,14.11,62.68,418
17,235-189,235,37.14,27.38,23.33,64.76,420
17,235-193,235,26.32,51.58,10.88,55.79,285
17,235-197,235,31.66,22.43,31.13,60.42,379
17,235-205,235,41.84,32.22,12.55,67.99,478
17,235-209,235,76.45,5.5,6.42,47.4,327
17,235-217,235,25.53,27.22,17.51,63.5,474
17,235-219,235,61.33,15.16,13.02,50.74,2097
17,235-221,235,60.08,8.37,18.06,58.94,526
17,235-233,235,68.65,8.47,7.32,40.05,437
17,235-239,235,59.9,16.71,11.46,52.03,419
17,235-240,235,46.01,18.34,18.64,61.39,676
17,235-241,235,39.42,30.29,17.84,56.43,241
17,235-249,235,6.15,45.72,27.54,82.62,374
17,235-253,235,23.1,29.92,27.56,82.41,381
17,235-257,235,41.06,19.54,24.83,86.09,302
17,235-265,235,46.88,19.92,17.19,76.95,256
17,235-269,235,69.27,7.44,10.69,52.29,524
17,235-270,235,44.03,21.73,17.33,59.52,704
17,235-273,235,42.65,17.76,6.94,67.76,490
17,235-275,235,54.56,21.66,12.31,46.28,471
17,255-43,255,7.22,34.42,15.01,83.71,706
17,255-49,255,88.96,1.99,3.45,16.1,1304
17,255-53,255,89.92,1.01,4.54,15.97,595
17,255-81,255,67.02,11.13,6.28,48.3,764
17,255-83,255,72.39,10.84,7.16,68.92,489
17,255-281,255,67.16,12.92,12.71,62.5,472
17,255-285,255,78.9,5.07,4.79,34.52,730
17,255-291,255,91.06,1.13,3.69,19.43,705
17,255-294,255,6.34,37.46,14.12,91.93,347
17,255-297,255,50.99,29.59,9.76,61.64,1014
17,255-301,255,74.75,11.0,7.54,63.34,491
17,255-305,255,73.74,11.6,8.32,66.52,457
17,255-310,255,9.47,31.14,13.32,78.65,623
17,255-318,255,75.81,11.29,9.68,27.42,62
17,255-323,255,91.04,1.39,4.98,34.66,502
17,255-394,255,47.73,13.31,12.01,55.19,308
17,365-328,365,65.27,3.54,23.67,79.2,452
17,365-346,365,82.61,2.03,8.41,35.65,345
17,365-353,365,89.18,0.22,6.49,44.37,462
17,365-354,365,63.3,0.92,30.28,87.16,109
17,365-357,365,54.24,1.62,23.94,41.02,802
17,365-363,365,73.05,1.53,19.15,44.07,590
17,365-366,365,89.67,1.09,5.98,36.96,368
17,365-369,365,74.86,3.55,11.22,70.45,704
17,365-371,365,77.36,3.02,10.75,64.15,530
17,365-375,365,67.03,1.08,11.35,44.59,370
17,365-377,365,54.97,0.96,40.22,77.4,624
17,365-390,365,78.12,2.69,10.02,41.08,818
17,365-392,365,60.4,1.16,10.4,21.95,952
17,365-395,365,70.28,1.36,17.4,38.98,885
17,365-397,365,74.27,2.18,12.99,32.08,2017
17,365-399,365,83.18,2.61,6.98,31.55,1534
17,370-409,370,96.38,0.23,1.81,46.83,442
17,370-410,370,93.59,0.24,2.38,33.73,421
17,395-421,395,91.85,0.94,5.96,33.23,319
17,395-433,395,68.67,0.6,27.71,75.9,166
17,395-445,395,90.44,0.55,6.81,43.08,910
17,395-446,395,88.87,0.42,7.14,56.93,476
17,515-485,515,92.41,0.84,2.11,62.45,237
17,515-489,515,95.52,0.36,2.15,46.95,558
17,515-491,515,95.1,0.41,0.82,57.14,245
17,515-494,515,91.43,0.0,2.86,62.14,280
17,515-501,515,92.27,0.52,2.58,58.76,388
17,615-521,615,93.88,0.21,3.16,34.81,474
17,615-537,615,95.29,0.24,1.88,38.59,425
17,615-539,615,95.06,0.12,3.09,30.86,810
17,630-510,630,80.72,4.21,4.89,7.34,1022
17,630-511,630,87.88,0.52,3.01,3.01,1163
17,630-512,630,86.36,1.86,3.88,5.17,1935
17,630-514,630,75.24,2.43,5.83,5.83,412
17,630-517,630,89.52,0.37,3.41,2.44,821
17,630-541,630,85.74,1.24,4.81,3.57,645
17,630-542,630,83.67,2.79,4.18,5.98,502
17,630-544,630,72.16,2.78,6.03,2.09,431
17,665-534,665,80.16,4.56,6.43,26.27,373
17,665-553,665,89.55,2.25,4.82,34.22,976
17,665-557,665,85.66,2.03,7.23,39.34,788
17,665-561,665,90.52,1.15,5.75,24.43,348
17,665-565,665,85.69,0.6,9.54,42.74,503
17,665-569,665,83.18,1.57,8.07,63.9,446
17,670-571,670,92.45,0.36,1.8,58.27,278
17,670-573,670,94.09,0.3,1.82,46.97,660
17,670-577,670,92.24,0.91,2.28,51.14,219
17,670-581,670,95.95,0.45,1.8,58.11,222
17,670-585,670,96.37,0.99,0.66,56.77,303
17,670-587,670,94.36,0.0,2.19,53.29,319
17,750-621,750,93.8,0.85,3.66,33.52,355
17,750-623,750,94.74,0.58,2.34,33.92,171
17,750-629,750,92.47,1.03,3.6,38.01,584
17,755-609,755,88.2,0.56,8.99,46.35,356
17,755-637,755,88.14,0.23,10.47,40.0,430
17,755-641,755,83.68,0.8,12.0,52.48,625
17,775-645,775,90.44,1.4,4.9,38.46,429
17,775-649,775,90.46,0.41,4.98,45.85,482
17,815-673,815,88.29,0.0,7.02,35.79,299
17,815-689,815,90.57,0.9,5.84,30.69,668
17,815-695,815,88.17,1.61,5.38,48.92,372
17,875-701,875,57.65,1.13,36.11,51.01,1235
17,875-702,875,53.47,0.0,39.39,53.88,490
17,875-705,875,58.21,0.97,32.61,60.14,414
17,875-709,875,53.55,1.47,41.81,54.03,409
17,875-711,875,49.69,1.6,40.25,52.52,815
17,875-713,875,41.48,1.97,50.66,73.8,458
17,875-715,875,49.19,0.92,43.88,60.74,433
17,940-765,940,93.52,0.57,2.67,32.19,525
17,940-767,940,93.91,0.31,2.03,43.59,640
17,940-777,940,89.71,0.43,5.96,20.59,923
17,940-781,940,84.6,1.49,7.62,29.6,669
17,940-789,940,84.0,1.18,9.29,32.71,850
17,940-813,940,92.82,0.57,3.16,32.76,348
17,940-815,940,96.95,0.91,1.83,32.32,328
17,940-818,940,82.85,1.05,11.51,27.62,478
17,1000-833,1000,76.14,9.11,6.51,56.18,461
17,1000-845,1000,67.33,10.11,13.0,67.51,554
17,1000-851,1000,76.49,7.24,8.53,66.15,387
17,1010-755,1010,48.47,25.48,10.15,58.05,522
17,1010-761,1010,71.43,9.93,7.75,41.16,413
17,1010-801,1010,37.01,21.21,24.32,71.73,481
17,1010-805,1010,74.32,8.3,5.98,24.9,518
17,1010-807,1010,92.28,0.32,3.54,51.77,311
17,1010-809,1010,94.64,0.27,2.14,43.7,373
17,1010-821,1010,81.32,3.02,11.21,39.37,696
17,1010-825,1010,79.07,5.28,9.35,51.42,492
17,1010-829,1010,79.09,3.75,11.05,56.41,507
17,1010-849,1010,58.9,18.74,11.3,49.41,2044
17,1010-853,1010,61.07,21.71,7.09,55.86,691
17,1010-863,1010,81.94,3.97,10.32,44.84,504
17,1010-865,1010,53.77,21.3,8.31,69.35,385
17,1010-869,1010,55.84,16.45,9.09,61.04,231
17,1010-871,1010,61.29,16.33,7.86,55.04,496
17,1010-877,1010,28.22,37.62,13.86,78.71,202
17,1010-879,1010,30.7,7.38,53.34,84.91,583
17,1010-883,1010,51.42,18.05,20.9,60.07,914
17,1010-886,1010,64.52,25.81,3.23,79.03,62
17,1010-891,1010,68.91,13.45,8.4,48.74,119
17,1125-895,1125,96.35,0.0,1.69,46.07,356
17,1125-897,1125,97.36,0.0,1.32,35.88,379
17,1125-901,1125,95.59,0.0,0.68,35.59,295
17,1125-907,1125,94.63,0.0,2.35,46.98,298
17,1125-923,1125,94.67,0.41,0.82,61.07,244
17,1125-925,1125,96.13,0.36,1.69,53.51,826
17,1125-933,1125,94.73,0.68,1.37,47.07,1024
17,1125-941,1125,92.18,0.82,3.7,73.66,243
17,1125-942,1125,91.78,1.03,4.11,78.77,292
17,1125-949,1125,92.62,0.37,2.21,71.22,271
17,1150-957,1150,96.76,0.23,1.85,38.19,432
17,1150-961,1150,93.93,0.61,3.24,51.62,494
17,1160-977,1160,90.14,0.19,8.12,37.91,517
17,1160-981,1160,92.12,0.44,5.84,44.23,685
17,1170-997,1170,50.29,0.81,46.69,68.87,861
17,1170-999,1170,49.16,0.84,48.32,80.81,714
17,1170-1014,1170,45.51,1.15,51.43,72.85,523
17,1170-1015,1170,42.98,0.22,55.04,79.17,456
17,1170-1020,1170,47.26,0.63,49.92,83.72,639
17,1180-1021,1180,94.14,0.92,2.75,23.99,546
17,1180-1033,1180,94.18,0.67,3.13,32.44,447
17,1300-1037,1300,96.48,0.5,0.5,60.3,199
17,1300-1045,1300,97.15,0.0,2.03,73.58,246
17,1300-1059,1300,98.03,0.22,0.22,54.27,457
17,1300-1061,1300,95.34,0.58,0.87,59.77,343
17,1300-1065,1300,96.77,0.97,0.97,63.55,310
17,1315-1069,1315,98.19,0.26,0.52,24.29,387
17,1315-1073,1315,98.64,0.0,0.0,34.69,147
17,1315-1075,1315,99.3,0.35,0.35,27.97,286
17,1375-1090,1375,96.24,0.58,1.59,43.06,692
17,1375-1121,1375,95.57,0.63,1.05,42.19,474
17,1405-1103,1405,50.11,6.29,39.78,91.24,445
17,1405-1105,1405,95.12,1.22,1.22,31.1,164
17,1405-1123,1405,71.14,3.23,19.9,70.4,402
17,1405-1125,1405,76.78,3.09,15.84,53.29,745
17,1405-1129,1405,77.4,2.21,14.5,51.35,407
17,1405-1133,1405,65.71,1.43,29.29,80.0,420
17,1560-1189,1560,96.11,0.16,1.4,23.95,643
17,1560-1190,1560,96.89,0.21,1.18,22.34,931
17,1560-1193,1560,97.17,0.19,0.57,18.49,530
17,1560-7211,1560,92.46,0.5,4.27,40.45,398
17,1560-7213,1560,97.02,0.0,0.92,18.7,1310
17,1600-1141,1600,96.54,0.0,0.0,49.35,231
17,1600-1165,1600,95.9,0.0,0.37,35.82,268
17,1600-1169,1600,96.36,0.0,0.61,61.82,165
17,1600-1172,1600,94.69,0.0,1.93,47.83,414
17,1600-1179,1600,95.81,0.0,1.58,40.05,884
17,1600-1197,1600,94.06,0.7,0.7,52.62,572
17,1620-1177,1620,91.77,0.97,2.1,28.55,620
17,1620-1209,1620,90.32,0.86,2.15,40.22,465
17,1620-1210,1620,88.71,0.81,1.81,44.15,496
17,1620-1217,1620,87.47,2.01,0.45,46.76,447
17,1655-1263,1655,95.61,0.21,2.09,41.21,478
17,1655-1265,1655,95.98,0.45,2.68,55.8,448
17,1655-1266,1655,95.83,0.18,1.63,43.92,551
17,1655-1267,1655,97.22,0.0,0.8,35.79,503
17,1730-1268,1730,92.93,0.13,2.93,39.47,750
17,1730-1269,1730,92.17,0.0,4.11,50.29,511
17,1730-1270,1730,92.0,0.61,3.14,53.39,987
17,1805-1317,1805,92.02,1.36,4.75,37.01,589
17,1805-1321,1805,96.0,1.18,1.41,56.47,425
17,1805-1335,1805,94.08,2.63,1.64,39.8,304
17,1820-1325,1820,92.2,0.17,2.71,40.51,590
17,1820-1329,1820,91.41,0.52,2.08,51.3,768
17,1820-1331,1820,93.79,0.24,2.86,49.16,419
17,1835-1341,1835,92.19,0.0,2.19,66.88,320
17,1835-1345,1835,92.93,0.17,3.15,31.52,1174
17,1835-1346,1835,91.64,0.36,2.39,38.11,837
17,1835-1351,1835,89.59,0.5,3.14,39.01,605
17,1835-1357,1835,93.43,0.6,0.6,44.02,502
17,1835-1359,1835,93.03,0.7,2.79,47.04,287
17,1875-1365,1875,87.28,3.48,2.79,35.19,574
17,1875-1367,1875,94.29,1.96,0.65,37.03,613
17,1875-1369,1875,94.6,0.92,0.8,31.0,871
17,1875-1409,1875,91.48,1.85,2.22,53.33,270
17,1875-1520,1875,94.22,0.0,1.36,60.54,294
17,1885-1372,1885,90.46,0.22,4.12,47.94,461
17,1885-1413,1885,92.7,0.28,4.49,51.69,356
17,1895-1375,1895,94.7,1.01,0.51,38.64,396
17,1895-1377,1895,94.68,0.66,1.66,51.5,301
17,1895-1381,1895,94.74,0.97,1.36,52.63,513
17,1900-1385,1900,95.54,0.7,1.88,49.77,426
17,1900-1386,1900,94.52,0.55,1.92,35.34,365
17,1910-1387,1910,84.6,5.88,3.29,31.31,578
17,1910-1389,1910,86.02,3.5,3.37,26.47,801
17,1910-1393,1910,86.36,4.32,2.42,37.13,579
17,1910-1395,1910,87.15,3.65,1.39,31.6,576
17,1940-1401,1940,92.6,0.95,0.95,38.9,419
17,1940-1405,1940,94.46,0.79,0.79,52.08,505
17,1970-1421,1970,62.97,23.14,3.61,68.07,1469
17,1970-1423,1970,73.46,7.69,3.46,45.77,260
17,1970-1431,1970,60.28,22.26,4.79,66.77,647
17,1970-1437,1970,65.97,18.75,3.47,86.98,576
17,1970-1470,1970,63.85,15.74,3.21,92.13,343
17,1970-1482,1970,76.25,11.16,3.56,90.74,421
17,1970-1485,1970,30.06,48.81,5.65,93.15,336
17,1970-1494,1970,66.67,11.87,4.57,52.97,219
17,1970-1496,1970,62.41,13.83,7.45,75.89,282
17,1970-1509,1970,61.36,21.31,3.41,88.35,352
17,1970-1513,1970,57.14,21.55,5.08,65.38,413
17,1970-1517,1970,70.56,4.84,5.24,63.31,248
17,1970-1524,1970,67.74,20.16,3.23,100.0,124
17,2040-1543,2040,100.0,0.0,0.0,8.99,89
17,2040-1545,2040,97.01,0.0,1.87,17.54,268
17,2040-1549,2040,97.05,0.0,0.74,23.25,271
17,2040-1577,2040,97.98,0.0,1.35,25.59,297
17,2100-1563,2100,93.21,0.0,4.07,32.13,221
17,2100-1581,2100,92.81,1.03,4.11,21.58,292
17,2100-1583,2100,95.64,0.0,2.35,19.43,597
17,2100-1586,2100,91.38,1.15,3.45,21.84,174
17,2110-1529,2110,95.7,0.0,3.23,30.65,186
17,2110-1587,2110,76.61,0.0,21.51,43.01,372
17,2110-1588,2110,73.03,0.19,25.84,42.51,534
17,2110-1590,2110,58.96,0.31,39.31,60.85,636
17,2120-1569,2120,95.3,0.0,1.99,10.31,553
17,2120-1575,2120,81.29,0.27,15.48,33.92,743
17,2120-1593,2120,84.95,0.46,11.95,23.63,1096
17,2120-1597,2120,65.74,0.46,29.86,58.33,432
17,2120-1601,2120,70.22,1.37,25.96,56.01,366
17,2155-1613,2155,88.72,0.84,6.84,18.13,833
17,2155-1621,2155,95.51,0.67,2.92,21.35,445
17,2155-1649,2155,93.09,0.74,4.2,21.48,405
17,2155-1652,2155,89.29,0.64,7.49,18.84,467
17,2260-1701,2260,84.63,1.65,8.93,31.4,605
17,2260-1703,2260,83.01,1.63,9.15,37.25,306
17,2260-1705,2260,80.75,1.34,8.82,41.98,374
17,2260-1707,2260,80.4,1.15,10.87,44.15,607
17,2270-1713,2270,47.92,9.05,34.35,56.48,818
17,2270-1715,2270,53.26,8.04,30.48,48.95,1716
17,2270-1718,2270,45.5,9.59,37.78,59.88,855
17,2270-1721,2270,53.63,8.67,33.27,53.45,565
17,2270-1723,2270,64.27,2.25,26.52,46.29,445
17,2270-1725,2270,47.24,16.82,26.5,64.75,434
17,2270-1729,2270,14.8,11.94,66.31,85.38,561
17,2275-1656,2275,75.97,3.16,16.02,40.78,412
17,2275-1657,2275,84.65,1.51,10.03,28.13,1127
17,2275-1697,2275,90.37,1.0,6.31,42.52,301
