year,mergecode,totaltest,mathpass
18,15-21,92,51.09
18,25-29,167,49.1
18,35-23,84,48.81
18,125-47,570,54.21
18,225-91,594,55.56
18,235-101,373,30.56
18,235-102,459,26.8
18,235-105,357,13.17
18,235-177,324,16.36
18,235-219,490,26.73
18,255-49,238,48.74
18,255-81,145,26.9
18,255-285,143,23.08
18,255-297,246,20.33
18,255-394,82,37.8
18,365-397,487,46.61
18,365-399,317,34.7
18,370-410,56,37.5
18,395-445,128,48.44
18,515-489,137,20.44
18,615-539,125,31.2
18,630-512,472,63.14
18,665-553,229,38.43
18,670-573,162,27.78
18,750-621,73,56.16
18,755-637,96,44.79
18,775-645,62,50.0
18,815-689,114,36.84
18,875-701,303,37.29
18,940-765,88,27.27
18,940-777,223,19.28
18,940-813,50,38.0
18,1000-833,112,12.5
18,1010-809,54,42.59
18,1010-821,151,30.46
18,1010-849,493,27.18
18,1125-897,64,43.75
18,1125-933,239,32.64
18,1150-957,70,27.14
18,1160-977,88,36.36
18,1170-997,197,8.63
18,1180-1021,80,38.75
18,1300-1059,119,40.34
18,1315-1069,58,60.34
18,1375-1121,84,35.71
18,1405-1125,179,31.84
18,1560-7213,311,50.8
18,1600-1179,194,25.26
18,1620-1177,164,45.73
18,1655-1263,82,25.61
18,1655-1267,90,40.0
18,1730-1268,168,35.71
18,1805-1317,101,38.61
18,1820-1325,157,24.84
18,1835-1345,274,30.66
18,1875-1369,209,33.49
18,1885-1372,74,17.57
18,1895-1375,85,41.18
18,1900-1386,52,38.46
18,1910-1389,188,35.11
18,1940-1401,73,46.58
18,1970-1421,316,19.62
18,2040-1545,65,66.15
18,2100-1583,98,58.16
18,2110-1588,125,48.8
18,2120-1593,270,49.26
18,2155-1613,119,50.42
18,2260-1701,161,49.69
18,2270-1715,377,17.77
18,2275-1733,305,42.95
18,2285-1737,226,43.81
18,2305-1749,360,26.11
18,2305-1750,357,25.21
18,2315-1821,448,36.16
18,2395-1889,244,30.33
18,2400-1925,438,27.63
18,2400-1930,450,53.78
18,2435-2053,59,22.03
18,2440-2005,69,34.78
18,2455-2022,73,23.29
18,2475-2083,178,25.28
18,2645-2173,136,30.88
18,2650-2159,53,11.32
18,2725-2233,53,30.19
18,2735-2249,149,24.83
18,2765-2211,154,71.43
18,2815-2293,122,45.9
