year,mergecode,totaltest,elapass
17,5930-6369,321,71.65
17,5945-6411,120,55.83
17,5995-6417,57,61.4
17,6055-6453,98,61.22
17,6060-6458,310,55.81
17,6065-6489,177,64.97
17,6080-6513,59,66.1
17,6145-6573,61,80.33
17,6155-6581,117,64.1
17,6160-6589,69,60.87
17,6195-6613,212,55.19
17,6260-6627,76,47.37
17,6325-6708,102,69.61
17,6340-6733,26,26.92
17,6350-6741,117,73.5
17,6375-6637,57,54.39
17,6375-6649,34,52.94
17,6445-6763,133,57.14
17,6460-6813,103,66.99
17,6470-6925,492,70.33
17,6510-6825,54,68.52
17,6510-6833,79,68.35
17,6510-6849,70,87.14
17,6520-6838,129,68.22
17,6530-6841,160,66.25
17,6550-6853,669,51.57
17,6560-6881,521,74.09
17,6590-6949,160,64.38
17,6600-6975,112,72.32
17,6620-6997,89,60.67
17,6630-7025,78,50.0
17,6705-7071,99,49.49
17,6715-7061,117,75.21
17,6750-7077,96,60.42
17,6755-7089,144,48.61
17,6795-7119,24,37.5
17,6805-7121,45,53.33
17,6820-7151,99,64.65
17,6825-7125,108,56.48
17,6835-7161,69,44.93
17,6865-7182,87,50.57
17,6895-7217,191,73.3
17,6900-7193,62,59.68
17,6910-7205,112,58.93
17,6995-7285,184,55.98
17,7150-7453,140,70.0
17,7175-7353,833,76.35
17,7200-7461,370,57.03
17,7205-7421,249,49.0
17,7205-7505,424,65.09
17,7205-7513,312,45.83
17,7205-7517,204,30.39
17,7215-7399,90,65.56
17,7230-7629,96,48.96
17,7255-7641,164,54.27
17,7285-7661,48,66.67
17,7285-7665,38,39.47
17,7350-7689,113,63.72
17,7360-7701,61,67.21
17,7365-7717,280,64.64
17,7385-7759,155,77.42
17,7445-7795,110,59.09
17,7495-7831,46,36.96
17,7515-7849,89,39.33
17,7525-7833,151,53.64
17,7605-7877,66,72.73
17,7610-7885,34,50.0
17,7615-7893,225,63.11
17,7645-7917,74,74.32
17,7715-7957,150,56.0
17,7775-7993,90,65.56
17,7855-8015,14,21.43
17,7855-8069,477,45.28
17,7865-8003,428,55.84
17,7865-8029,469,64.82
17,7875-8129,198,82.32
17,7935-8155,64,60.94
17,7945-8177,132,61.36
17,7950-8193,101,56.44
17,7995-8237,147,44.22
17,7995-8241,263,62.36
17,7995-8245,337,59.05
17,7995-8253,390,66.41
17,7995-8270,109,15.6
17,7995-8311,292,53.08
17,7995-8326,77,59.74
17,8010-8394,49,61.22
17,8020-8432,124,56.45
17,8030-8441,453,62.03
17,8030-8453,136,55.15
17,8030-8457,393,59.29
17,8030-8612,20,10.0
17,8045-8625,128,55.47
17,8050-8651,77,42.86
17,8050-8655,71,57.75
17,8050-8673,54,16.67
17,8060-8693,112,42.86
17,8115-8737,108,66.67
17,8130-8772,84,65.48
17,8130-8789,211,56.87
17,8130-8809,521,73.13
17,8205-8857,138,57.25
17,8215-8905,128,54.69
17,8220-8869,59,57.63
17,8305-8985,81,64.2
17,8355-8961,74,67.57
17,8360-8981,122,67.21
17,8375-8927,105,60.95
17,8385-8993,329,61.09
17,8425-9058,75,66.67
17,8435-9087,197,65.99
17,8445-9089,99,77.78
17,8515-9135,59,59.32
17,8525-9137,53,52.83
17,8535-9141,51,58.82
17,8565-9149,189,53.44
17,8625-9193,89,69.66
17,8665-9187,263,59.32
17,8810-5639,75,21.33
17,8815-5481,133,25.56
17,8820-4033,66,36.36
17,9120-2528,116,22.41
17,9200-A575,107,83.18
17,9200-B505,25,80.0
17,9200-C320,332,84.64
17,9200-C360,197,90.36
17,9200-C623,69,49.28
17,9200-C700,293,78.5
17,9200-C705,175,70.86
17,9200-C710,115,62.61
17,9200-C715,147,65.31
17,9200-D135,57,96.49
17,9200-D842,22,81.82
17,9205-B760,130,83.08
17,9205-B970,153,67.32
17,9205-C125,75,86.67
17,9210-B249,181,88.95
17,9210-D415,73,83.56
17,9215-A660,15,66.67
17,9215-B560,24,70.83
17,9215-D530,151,86.75
17,9215-D535,157,73.89
17,9220-A120,276,87.32
17,9220-A125,158,63.29
17,9220-D165,173,78.03
17,9220-D225,231,81.82
17,9230-A195,187,82.35
17,9230-B452,30,90.0
17,9230-C270,61,73.77
17,9315-8295,89,98.88
17,9320-1536,39,66.67
17,9325-2524,23,17.39
17,9330-1537,89,50.56
17,9345-8094,13,15.38
17,9380-5874,38,63.16
17,9445-6208,83,69.88
17,9460-4022,109,26.61
17,9535-4130,131,29.77
17,9545-4164,72,38.89
17,9575-5523,63,41.27
17,9610-C695,22,18.18
17,9620-1441,53,81.13
17,9640-2551,30,40.0
17,9650-5724,225,82.67
17,9655-5292,10,10.0
17,9670-5664,54,11.11
17,9705-4486,75,62.67
17,9710-5977,20,15.0
17,9730-6864,26,3.85
17,9755-5979,11,45.45
17,9770-5524,58,17.24
17,9790-5092,74,55.41
17,9805-2527,15,60.0
17,9865-5290,322,44.1
17,9875-771,35,65.71
17,9880-7567,62,53.23
17,9890-2488,126,38.89
17,9895-5444,43,37.21
17,9905-7944,570,55.44
17,9915-5903,25,12.0
17,9930-5302,15,80.0
17,9950-7952,38,36.84
