year,mergecode,totaltest,elapass
21,15-21,79,72.15
21,25-29,152,55.92
21,35-23,85,63.53
21,125-47,635,84.57
21,225-91,562,86.65
21,235-101,309,50.81
21,235-102,435,53.1
21,235-105,286,38.81
21,235-177,289,51.56
21,235-219,396,62.37
21,255-49,234,83.33
21,255-81,132,40.91
21,255-285,133,63.16
21,255-297,199,45.23
21,255-394,79,87.34
21,365-397,491,65.58
21,365-399,315,66.35
21,370-410,84,51.19
21,395-445,138,73.19
21,515-489,113,53.98
21,615-539,122,70.49
21,630-512,488,90.98
21,665-553,226,67.7
21,670-573,116,70.69
21,750-621,65,55.38
21,755-637,103,65.05
21,775-645,77,66.23
21,815-689,80,47.5
21,875-701,280,46.43
21,935-765,71,60.56
21,935-813,47,80.85
21,945-777,181,67.96
21,1000-833,104,60.58
21,1000-1007,230,53.04
21,1010-809,42,52.38
21,1010-821,160,55.0
21,1010-849,427,51.76
21,1125-897,59,67.8
21,1125-933,211,66.35
21,1150-957,60,65.0
21,1160-977,95,56.84
21,1170-997,196,41.33
21,1180-1021,69,88.41
21,1300-1059,89,70.79
21,1315-1069,55,83.64
21,1375-1121,60,66.67
21,1405-1125,154,59.09
21,1560-7213,298,72.48
21,1600-1179,165,52.73
21,1620-1177,169,72.78
21,1655-1263,72,66.67
21,1655-1267,69,66.67
21,1730-1268,166,64.46
21,1805-1317,89,60.67
21,1820-1325,151,50.99
21,1835-1345,230,70.43
21,1875-1369,186,76.88
21,1885-1372,77,54.55
21,1895-1375,88,50.0
21,1900-1386,61,75.41
21,1910-1389,179,78.77
21,1940-1401,65,69.23
21,1970-1421,293,39.25
21,2040-1545,72,59.72
21,2100-1583,104,88.46
21,2110-1588,106,63.21
21,2120-1593,272,65.81
21,2155-1613,124,66.13
21,2260-1701,148,59.46
21,2270-1715,340,64.41
21,2275-1733,333,69.37
21,2285-1737,197,76.65
21,2305-1752,48,33.33
21,2305-1754,499,51.7
21,2315-1821,386,65.8
21,2395-1889,226,61.5
21,2400-1925,387,53.75
21,2400-1930,423,80.61
21,2435-2053,41,73.17
21,2440-2005,79,79.75
21,2455-2022,77,61.04
21,2475-2083,173,58.38
21,2645-2173,104,62.5
21,2650-2159,57,63.16
21,2725-2233,53,45.28
21,2735-2249,125,54.4
21,2765-2211,172,75.58
21,2815-2293,113,72.57
21,2825-2321,84,71.43
21,2855-2333,188,55.85
21,2865-2351,181,47.51
21,2920-2419,57,84.21
21,2940-2435,68,76.47
21,2950-2437,94,46.81
21,2960-2445,29,62.07
21,2980-2429,67,46.27
21,3005-2487,904,82.63
21,3005-2499,776,85.18
21,3025-2477,165,66.06
21,3030-2493,652,85.28
