year,mergecode,totaltest,mathpass
21,5945-6411,89,25.84
21,5995-6417,52,26.92
21,6055-6453,94,19.15
21,6060-6458,230,36.96
21,6065-6489,21,23.81
21,6080-6513,60,30.0
21,6145-6573,32,18.75
21,6155-6581,102,27.45
21,6160-6589,56,33.93
21,6195-6613,135,39.26
21,6260-6627,80,22.5
21,6325-6708,79,48.1
21,6340-6733,24,0.0
21,6350-6741,117,53.85
21,6375-6654,77,11.69
21,6445-6763,130,31.54
21,6460-6813,78,37.18
21,6470-6925,488,49.59
21,6510-6825,60,60.0
21,6510-6833,57,38.6
21,6510-6849,63,50.79
21,6520-6838,126,31.75
21,6530-6841,110,56.36
21,6550-6853,551,24.68
21,6560-6881,472,60.17
21,6590-6949,154,35.71
21,6600-6975,127,40.16
21,6620-6997,45,26.67
21,6630-7025,50,20.0
21,6705-7071,73,28.77
21,6715-7061,117,52.14
21,6750-7077,73,38.36
21,6755-7089,109,39.45
21,6795-7119,22,13.64
21,6795-7131,335,10.15
21,6795-7142,61,3.28
21,6805-7121,40,17.5
21,6820-7151,75,16.0
21,6825-7125,90,15.56
21,6835-7161,63,7.94
21,6865-7182,100,27.0
21,6895-7217,168,60.12
21,6900-7193,71,25.35
21,6910-7205,65,30.77
21,6995-7285,137,35.77
21,7150-7453,147,46.94
21,7175-7353,784,53.06
21,7200-7461,321,22.74
21,7205-7421,159,18.87
21,7205-7505,449,27.62
21,7205-7513,204,19.12
21,7205-7517,134,12.69
21,7205-7534,22,0.0
21,7215-7399,87,34.48
21,7230-7629,76,14.47
21,7255-7641,161,31.06
21,7285-7661,62,30.65
21,7285-7665,31,61.29
21,7350-7689,114,38.6
21,7360-7701,35,42.86
21,7365-7717,228,30.7
21,7385-7759,142,50.0
21,7445-7795,92,45.65
21,7495-7831,32,9.38
21,7515-7849,74,27.03
21,7525-7833,138,29.71
21,7605-7877,74,56.76
21,7610-7885,23,21.74
21,7615-7893,178,41.01
21,7645-7917,57,3.51
21,7715-7957,106,33.02
21,7775-7993,101,20.79
21,7855-8015,16,0.0
21,7855-8069,461,22.99
21,7865-8003,397,36.27
21,7865-8029,462,53.03
21,7875-8129,190,78.42
21,7935-8155,61,32.79
21,7945-8177,107,32.71
21,7950-8193,85,16.47
21,7995-8237,159,18.24
21,7995-8241,223,38.57
21,7995-8245,272,45.22
21,7995-8253,345,56.81
21,7995-8270,22,0.0
21,7995-8271,152,17.11
21,7995-8311,216,29.17
21,7995-8326,53,30.19
21,8010-8394,56,7.14
21,8020-8432,121,26.45
