year,mergecode,totaltest,elapass,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,districtcode,white,black,hispanic,lowincome,totalenroll,year_21,state
17,25-29indiana,177,72.32,180768001314,0.0,0.0,1.0,0.0,0,25indiana,82.63,0.87,12.74,32.13,691,0,indiana
18,25-29indiana,167,60.48,180768001314,0.0,0.0,1.0,0.0,0,25indiana,82.79,1.34,12.17,34.42,674,0,indiana
19,25-29indiana,164,65.24,180768001314,0.0,0.0,1.0,0.0,0,25indiana,82.66,1.88,11.42,35.55,692,0,indiana
21,25-29indiana,152,55.92,180768001314,0.11,0.08,0.82,0.13,0,25indiana,83.0,1.24,11.75,33.85,647,1,indiana
17,35-23indiana,63,74.6,181026001642,0.0,0.0,1.0,0.0,0,35indiana,84.01,0.54,11.65,35.5,369,0,indiana
18,35-23indiana,84,60.71,181026001642,0.0,0.0,1.0,0.0,0,35indiana,84.5,1.17,12.28,39.18,342,0,indiana
19,35-23indiana,86,60.47,181026001642,0.0,0.0,1.0,0.0,0,35indiana,85.07,1.41,9.58,38.31,355,0,indiana
21,35-23indiana,85,63.53,181026001642,0.0,0.0,1.0,0.0,0,35indiana,85.96,0.86,9.74,34.1,349,1,indiana
17,125-47indiana,572,82.69,180003000002,0.0,0.0,1.0,0.0,0,125indiana,81.39,5.71,4.98,11.63,2348,0,indiana
18,125-47indiana,570,80.18,180003000002,0.0,0.0,1.0,0.0,0,125indiana,81.31,5.16,4.4,11.61,2343,0,indiana
19,125-47indiana,566,83.22,180003000002,0.0,0.0,1.0,0.0,0,125indiana,80.78,4.95,5.45,14.44,2424,0,indiana
21,125-47indiana,635,84.57,180003000002,0.03,0.16,0.81,0.18,0,125indiana,77.83,5.31,7.19,15.42,2503,1,indiana
17,225-91indiana,568,79.58,180825001414,0.0,0.0,1.0,0.0,0,225indiana,87.02,2.24,3.86,13.95,2280,0,indiana
18,225-91indiana,598,81.77,180825001414,0.0,0.0,1.0,0.0,0,225indiana,86.23,2.36,3.82,17.79,2411,0,indiana
19,225-91indiana,610,80.33,180825001414,0.0,0.0,1.0,0.0,0,225indiana,85.36,2.45,4.02,17.95,2412,0,indiana
21,225-91indiana,562,86.65,180825001414,0.0,0.1,0.9,0.1,0,225indiana,84.61,2.26,4.81,18.06,2475,1,indiana
17,235-101indiana,392,51.79,180363000550,0.0,0.0,1.0,0.0,0,235indiana,45.63,21.11,15.43,70.1,1672,0,indiana
18,235-101indiana,371,49.06,180363000550,0.0,0.0,1.0,0.0,0,235indiana,43.19,23.11,15.39,75.24,1644,0,indiana
19,235-101indiana,334,51.8,180363000550,0.0,0.0,1.0,0.0,0,235indiana,43.42,22.32,16.65,62.58,1550,0,indiana
21,235-101indiana,309,50.81,180363000550,0.77,0.23,0.0,0.62,0,235indiana,40.79,23.4,17.58,68.78,1547,1,indiana
17,235-102indiana,448,59.38,180363000556,0.0,0.0,1.0,0.0,0,235indiana,57.19,22.97,7.95,46.76,1850,0,indiana
18,235-102indiana,458,53.93,180363000556,0.0,0.0,1.0,0.0,0,235indiana,55.25,23.43,9.6,49.18,1895,0,indiana
19,235-102indiana,448,58.93,180363000556,0.0,0.0,1.0,0.0,0,235indiana,52.69,23.44,10.75,41.94,1860,0,indiana
21,235-102indiana,435,53.1,180363000556,0.3,0.7,0.0,0.85,0,235indiana,49.73,22.46,14.1,47.87,1830,1,indiana
17,235-105indiana,341,32.55,180363000562,0.0,0.0,1.0,0.0,0,235indiana,19.09,36.62,29.24,78.42,1409,0,indiana
18,235-105indiana,366,36.07,180363000562,0.0,0.0,1.0,0.0,0,235indiana,18.41,33.43,31.3,81.44,1358,0,indiana
19,235-105indiana,309,36.25,180363000562,0.0,0.0,1.0,0.0,0,235indiana,19.44,32.03,31.22,69.15,1358,0,indiana
21,235-105indiana,286,38.81,180363000562,0.07,0.93,0.0,0.97,0,235indiana,18.94,29.96,34.35,73.22,1415,1,indiana
17,235-177indiana,359,39.28,180363000568,0.0,0.0,1.0,0.0,0,235indiana,39.4,29.03,16.34,67.99,1340,0,indiana
18,235-177indiana,328,42.38,180363000568,0.0,0.0,1.0,0.0,0,235indiana,37.37,29.64,17.09,69.69,1346,0,indiana
19,235-177indiana,299,45.48,180363000568,0.0,0.0,1.0,0.0,0,235indiana,34.84,31.56,16.65,62.24,1369,0,indiana
21,235-177indiana,289,51.56,180363000568,0.72,0.28,0.0,0.64,0,235indiana,32.9,31.18,16.42,67.03,1395,1,indiana
17,235-219indiana,514,56.61,180363000552,0.0,0.0,1.0,0.0,0,235indiana,61.33,15.16,13.02,50.74,2097,0,indiana
18,235-219indiana,481,56.76,180363000552,0.0,0.0,1.0,0.0,0,235indiana,58.9,15.58,14.41,54.61,2124,0,indiana
19,235-219indiana,501,54.49,180363000552,0.0,0.0,1.0,0.0,0,235indiana,56.5,16.39,15.01,47.44,2032,0,indiana
21,235-219indiana,396,62.37,180363000552,0.75,0.25,0.0,0.62,0,235indiana,50.73,18.62,15.93,52.64,2046,1,indiana
17,255-49indiana,231,76.19,180285000349,0.0,0.0,1.0,0.0,0,255indiana,88.96,1.99,3.45,16.1,1304,0,indiana
18,255-49indiana,238,78.99,180285000349,0.0,0.0,1.0,0.0,0,255indiana,88.49,1.92,3.84,16.53,1355,0,indiana
19,255-49indiana,230,80.43,180285000349,0.0,0.0,1.0,0.0,0,255indiana,87.29,1.77,4.17,19.21,1416,0,indiana
21,255-49indiana,234,83.33,180285000349,0.03,0.05,0.92,0.07,0,255indiana,87.71,2.07,4.07,17.66,1399,1,indiana
17,255-81indiana,168,45.83,180285000344,0.0,0.0,1.0,0.0,0,255indiana,67.02,11.13,6.28,48.3,764,0,indiana
18,255-81indiana,145,52.41,180285000344,0.0,0.0,1.0,0.0,0,255indiana,62.41,8.73,8.23,54.68,790,0,indiana
19,255-81indiana,152,49.34,180285000344,0.0,0.0,1.0,0.0,0,255indiana,63.75,7.5,8.12,57.12,800,0,indiana
21,255-81indiana,132,40.91,180285000344,0.0,0.05,0.95,0.05,0,255indiana,56.87,8.65,9.29,52.67,786,1,indiana
17,255-285indiana,120,57.5,180285000361,0.0,0.0,1.0,0.0,0,255indiana,78.9,5.07,4.79,34.52,730,0,indiana
18,255-285indiana,145,57.93,180285000361,0.0,0.0,1.0,0.0,0,255indiana,83.04,4.38,4.79,34.47,731,0,indiana
19,255-285indiana,121,65.29,180285000361,0.0,0.0,1.0,0.0,0,255indiana,85.13,3.4,4.25,33.14,706,0,indiana
21,255-285indiana,133,63.16,180285000361,0.03,0.05,0.92,0.07,0,255indiana,89.14,2.26,4.09,25.39,709,1,indiana
17,255-297indiana,236,39.41,180285000353,0.0,0.0,1.0,0.0,0,255indiana,50.99,29.59,9.76,61.64,1014,0,indiana
18,255-297indiana,247,38.46,180285000353,0.0,0.0,1.0,0.0,0,255indiana,50.37,29.3,9.62,65.66,1092,0,indiana
19,255-297indiana,251,50.6,180285000353,0.0,0.0,1.0,0.0,0,255indiana,48.26,30.01,10.07,65.38,1063,0,indiana
21,255-297indiana,199,45.23,180285000353,0.0,0.03,0.97,0.03,0,255indiana,53.29,21.29,8.96,58.65,1306,1,indiana
17,255-394indiana,82,84.15,180285002532,0.0,0.0,1.0,0.0,0,255indiana,47.73,13.31,12.01,55.19,308,0,indiana
18,255-394indiana,82,82.93,180285002532,0.0,0.0,1.0,0.0,0,255indiana,45.11,9.78,13.56,61.51,317,0,indiana
19,255-394indiana,83,89.16,180285002532,0.0,0.0,1.0,0.0,0,255indiana,41.21,10.54,13.74,64.54,313,0,indiana
