year,mergecode,totaltest,elapass
18,15-21,92,70.65
18,25-29,167,60.48
18,35-23,84,60.71
18,125-47,570,80.18
18,225-91,598,81.77
18,235-101,371,49.06
18,235-102,458,53.93
18,235-105,366,36.07
18,235-177,328,42.38
18,235-219,481,56.76
18,255-49,238,78.99
18,255-81,145,52.41
18,255-285,145,57.93
18,255-297,247,38.46
18,255-394,82,82.93
18,365-397,485,65.77
18,365-399,314,60.51
18,370-410,56,64.29
18,395-445,128,62.5
18,515-489,136,43.38
18,615-539,125,61.6
18,630-512,469,82.94
18,665-553,228,54.39
18,670-573,162,48.77
18,750-621,73,63.01
18,755-637,98,59.18
18,775-645,62,62.9
18,815-689,114,53.51
18,875-701,297,47.81
18,940-765,89,61.8
18,940-777,222,61.26
18,940-813,50,68.0
18,1000-833,112,44.64
18,1010-809,54,64.81
18,1010-821,153,63.4
18,1010-849,497,55.53
18,1125-897,64,64.06
18,1125-933,237,43.46
18,1150-957,70,54.29
18,1160-977,87,60.92
18,1170-997,195,38.46
18,1180-1021,80,60.0
18,1300-1059,119,57.98
18,1315-1069,58,79.31
18,1375-1121,84,51.19
18,1405-1125,179,45.81
18,1560-7213,311,70.42
18,1600-1179,190,55.26
18,1620-1177,164,65.85
18,1655-1263,82,51.22
18,1655-1267,90,67.78
18,1730-1268,171,59.06
18,1805-1317,100,51.0
18,1820-1325,157,43.31
18,1835-1345,272,57.35
18,1875-1369,211,63.98
18,1885-1372,74,68.92
18,1895-1375,85,52.94
18,1900-1386,52,67.31
18,1910-1389,188,68.09
18,1940-1401,73,50.68
18,1970-1421,314,37.26
18,2040-1545,65,61.54
18,2100-1583,98,76.53
18,2110-1588,124,60.48
18,2120-1593,270,76.67
18,2155-1613,119,56.3
18,2260-1701,164,59.76
18,2270-1715,375,55.2
18,2275-1733,307,57.98
18,2285-1737,226,73.01
18,2305-1749,363,48.76
18,2305-1750,359,51.81
18,2315-1821,454,51.76
18,2395-1889,247,51.42
18,2400-1925,437,51.03
18,2400-1930,449,76.39
18,2435-2053,59,54.24
18,2440-2005,69,66.67
18,2455-2022,72,33.33
18,2475-2083,181,51.38
18,2645-2173,137,53.28
18,2650-2159,52,65.38
18,2725-2233,53,50.94
18,2735-2249,151,48.34
18,2765-2211,155,76.77
18,2815-2293,122,59.84
18,2825-2321,84,57.14
18,2855-2333,197,49.24
18,2865-2351,251,43.03
18,2920-2419,60,60.0
18,2940-2435,85,62.35
18,2950-2437,83,63.86
18,2960-2445,62,77.42
18,2980-2429,71,67.61
18,3005-2487,843,78.17
18,3005-2499,823,76.55
18,3025-2477,170,74.71
18,3030-2493,551,77.31
18,3055-2463,67,55.22
18,3060-2505,1244,85.85
18,3070-2517,740,79.05
18,3115-2565,293,72.01
18,3125-2595,337,58.46
18,3135-2569,305,64.26
18,3145-2585,111,66.67
18,3160-2613,68,63.24
18,3180-2629,134,64.18
18,3190-2640,182,69.78
18,3190-2670,61,59.02
18,3295-2731,140,79.29
18,3305-2709,658,77.96
18,3315-2737,736,76.77
18,3325-2741,225,62.67
18,3330-2749,430,78.14
18,3335-2692,102,65.69
18,3405-2801,43,53.49
18,3415-2773,55,50.91
18,3435-2817,104,71.15
18,3445-2825,243,42.39
18,3455-2869,84,60.71
18,3460-2894,99,56.57
18,3470-2897,152,83.55
18,3480-2919,149,85.23
18,3490-2921,197,76.14
18,3500-3013,367,34.33
18,3625-3065,336,63.69
18,3640-3093,11,18.18
18,3675-3133,373,52.28
18,3695-3126,153,60.13
18,3710-3121,27,33.33
18,3785-3181,261,61.3
18,3815-3201,116,62.07
18,3945-3239,256,53.13
18,3995-3309,187,55.08
18,4000-3337,71,49.3
18,4015-3345,308,62.99
18,4145-3421,447,62.19
18,4205-3437,628,73.09
18,4215-3447,56,66.07
18,4225-3445,374,58.56
18,4245-3473,294,63.27
18,4255-3419,146,62.33
18,4315-3537,97,48.45
18,4325-3490,106,69.81
18,4335-3553,154,50.65
18,4345-3639,203,45.81
18,4415-3647,501,59.08
18,4445-3602,118,59.32
18,4455-9191,94,56.38
18,4515-3690,109,66.06
18,4525-3697,92,73.91
18,4535-3730,139,38.85
18,4580-3785,163,61.96
18,4590-3791,103,44.66
18,4600-3809,540,49.07
18,4615-3833,772,66.06
18,4645-3865,273,68.13
18,4650-3869,155,30.97
18,4660-3901,679,74.52
18,4670-3924,280,32.86
18,4680-3965,91,39.56
18,4690-4163,177,35.03
18,4690-4168,68,45.59
18,4700-4173,177,50.85
18,4710-4411,185,31.89
18,4710-4413,217,48.85
18,4710-4415,193,27.98
18,4710-4417,315,35.24
18,4720-4281,285,61.4
18,4730-4305,312,75.96
18,4740-4332,367,87.47
18,4760-4353,118,58.47
18,4805-4689,248,60.08
18,4860-4701,75,48.0
18,4915-4692,43,51.16
18,4925-4795,382,38.48
18,4940-4737,68,73.53
18,4945-4741,426,56.81
18,5075-4911,381,53.02
18,5085-4925,120,58.33
18,5245-5005,114,39.47
18,5245-5011,111,63.96
18,5255-5053,324,62.65
18,5265-5041,113,56.64
18,5275-4945,448,30.8
18,5280-5149,100,53.0
18,5300-5177,449,50.56
18,5300-5188,54,18.52
18,5310-5193,655,67.33
18,5330-5275,564,41.13
18,5330-5276,627,49.28
18,5340-5307,594,50.67
18,5340-5309,538,46.47
18,5350-5353,749,50.87
18,5360-5361,918,38.34
18,5370-5451,829,55.73
18,5375-5213,951,29.02
18,5375-5288,20,40.0
18,5375-5447,152,69.74
18,5380-5449,213,48.83
18,5385-5465,176,4.55
18,5385-5469,428,23.36
18,5385-5473,220,22.73
18,5385-5477,139,25.9
18,5385-5483,181,12.71
18,5385-5487,89,69.66
18,5385-5643,110,19.09
18,5400-5891,127,72.44
18,5455-5245,63,52.38
18,5470-5937,47,74.47
18,5480-5941,111,62.16
18,5485-5945,252,65.87
18,5495-5923,49,61.22
18,5520-5985,46,47.83
18,5525-6003,65,69.23
18,5615-6032,151,60.93
18,5620-6049,79,55.7
18,5625-6069,129,72.09
18,5635-6085,148,50.68
18,5705-6146,184,58.15
18,5740-6166,424,82.31
18,5740-6168,400,69.75
18,5740-6202,22,95.45
18,5740-6220,14,21.43
18,5835-6271,135,65.19
18,5845-6257,132,63.64
18,5855-6277,157,49.04
18,5900-6321,145,53.79
18,5910-6325,32,40.63
18,5925-6329,337,54.6
18,5930-6369,360,60.56
18,5945-6411,81,54.32
18,5995-6417,55,69.09
18,6055-6453,101,49.5
18,6060-6458,284,59.15
18,6065-6489,166,53.61
18,6080-6513,54,53.7
18,6145-6573,51,68.63
18,6155-6581,128,56.25
18,6160-6589,70,52.86
18,6195-6613,191,51.31
18,6260-6627,74,56.76
18,6325-6708,86,65.12
18,6340-6733,20,45.0
18,6350-6741,86,40.7
18,6375-6637,42,40.48
18,6375-6649,34,85.29
18,6445-6763,157,59.87
18,6460-6813,92,68.48
18,6470-6925,499,67.74
18,6510-6825,59,59.32
18,6510-6833,63,71.43
18,6510-6849,63,82.54
18,6520-6838,134,62.69
18,6530-6841,124,58.06
18,6550-6853,607,54.37
18,6560-6881,513,77.97
18,6590-6949,151,50.99
