Corp ID,Corp Name,Schl ID,Schl Name,American Indian,Asian,Black,Hispanic,Multiracial,Native Hawaiian or Other Pacific Islander,White,Free/Reduced price meals,Paid meals,Grand Total
15,Adams Central Community Schools,13,Adams Central Middle School,,2,3,12,2,,270,74,215,289
15,Adams Central Community Schools,20,Adams Central Elementary School,1,2,6,31,17,,574,171,460,631
15,Adams Central Community Schools,21,Adams Central High School,1,7,5,5,6,,350,74,300,374
25,North Adams Community Schools,29,Bellmont Senior High School,3,5,13,79,20,,572,246,446,692
25,North Adams Community Schools,33,Bellmont Middle School,1,2,11,34,13,1,273,179,156,335
25,North Adams Community Schools,37,Bellmont Elementary,,6,31,69,48,2,597,471,282,753
35,South Adams Schools,17,South Adams Middle School,,6,3,39,4,,226,117,161,278
35,South Adams Schools,23,South Adams High School,1,8,5,34,5,,302,136,219,355
35,South Adams Schools,25,South Adams Elementary School,,3,3,73,16,,519,254,360,614
125,M S D Southwest Allen County Schls,45,Aboite Elementary School,1,27,6,19,24,,402,72,407,479
125,M S D Southwest Allen County Schls,46,Whispering Meadow Elementary Sch,3,35,69,34,33,2,370,125,421,546
125,M S D Southwest Allen County Schls,47,Homestead Senior High School,7,111,120,132,95,1,1958,350,2074,2424
125,M S D Southwest Allen County Schls,63,Summit Middle School,2,22,19,42,24,,609,131,587,718
125,M S D Southwest Allen County Schls,64,Lafayette Meadow School,,8,19,21,22,1,497,84,484,568
125,M S D Southwest Allen County Schls,67,Woodside Middle School,2,54,77,59,61,2,783,192,846,1038
125,M S D Southwest Allen County Schls,68,Haverhill Elementary School,1,11,16,22,21,,347,81,337,418
125,M S D Southwest Allen County Schls,71,Deer Ridge Elementary,,29,15,22,24,,336,49,377,426
125,M S D Southwest Allen County Schls,72,Covington Elementary School,1,24,101,46,45,1,636,189,665,854
225,Northwest Allen County Schools,69,Arcola School,2,,,14,8,,166,63,127,190
225,Northwest Allen County Schools,79,Maple Creek Middle School,,36,18,51,32,,764,142,759,901
225,Northwest Allen County Schools,87,Hickory Center Elementary School,2,18,5,9,34,,361,85,344,429
225,Northwest Allen County Schools,89,Huntertown Elementary School,,29,9,39,37,,544,218,440,658
225,Northwest Allen County Schools,90,Carroll Middle School,1,24,27,44,50,,770,221,695,916
225,Northwest Allen County Schools,91,Carroll High School,7,98,59,97,92,,2059,433,1979,2412
225,Northwest Allen County Schools,92,Perry Hill Elementary School,,19,18,25,32,,469,98,465,563
225,Northwest Allen County Schools,94,Oak View Elementary School,,17,9,16,36,,424,42,460,502
