year,mergecode,districtcode,white,black,hispanic,lowincome,totalenroll
18,15-13,15,94.01,1.12,3.75,23.6,267
18,15-20,15,92.14,0.94,3.93,27.04,636
18,15-21,15,94.18,0.26,2.38,22.75,378
18,25-29,25,82.79,1.34,12.17,34.42,674
18,25-33,25,80.89,2.44,11.11,55.78,450
18,25-37,25,80.05,3.46,10.37,66.76,376
18,25-41,25,77.08,4.51,12.15,66.32,288
18,35-17,35,80.95,1.02,14.29,44.56,294
18,35-23,35,84.5,1.17,12.28,39.18,342
18,35-25,35,84.57,0.64,12.22,43.09,622
18,125-45,125,80.59,2.16,5.1,12.55,510
18,125-46,125,70.16,10.85,6.2,20.93,516
18,125-47,125,81.31,5.16,4.4,11.61,2343
18,125-63,125,84.14,2.12,6.94,15.72,706
18,125-64,125,87.52,3.51,4.22,13.36,569
18,125-67,125,76.68,6.64,5.31,13.74,1055
18,125-68,125,82.93,3.66,4.63,17.32,410
18,125-71,125,80.96,2.75,3.21,7.57,436
18,125-72,125,75.54,10.65,5.57,20.58,826
18,225-69,225,85.64,1.1,7.18,31.49,181
18,225-79,225,85.02,1.66,4.76,15.46,841
18,225-87,225,81.76,1.62,3.0,14.78,433
18,225-89,225,83.84,1.51,5.89,32.78,662
18,225-90,225,84.02,2.66,6.1,24.53,901
18,225-91,225,86.23,2.36,3.82,17.79,2411
18,225-92,225,86.15,3.04,4.17,17.84,527
18,225-94,225,85.26,1.68,3.58,8.21,475
18,225-95,225,82.68,2.74,5.32,9.43,583
18,225-96,225,82.15,1.82,4.19,22.22,549
18,225-145,225,88.89,11.11,0.0,100.0,9
18,235-100,235,62.5,12.5,12.5,50.0,8
18,235-101,235,43.19,23.11,15.39,75.24,1644
18,235-102,235,55.25,23.43,9.6,49.18,1895
18,235-105,235,18.41,33.43,31.3,81.44,1358
18,235-107,235,57.21,21.7,6.91,45.99,811
18,235-118,235,41.71,22.78,22.61,55.44,597
18,235-119,235,62.87,13.66,10.81,51.07,703
18,235-121,235,28.32,30.5,24.16,77.82,505
18,235-125,235,35.27,29.26,12.22,81.96,499
18,235-126,235,33.43,34.15,18.96,69.61,691
18,235-127,235,35.27,26.79,26.46,62.9,601
18,235-128,235,20.51,35.03,20.33,82.03,551
18,235-129,235,46.19,15.56,17.14,73.97,630
18,235-133,235,45.27,23.2,21.85,81.53,444
18,235-134,235,39.35,33.51,17.87,62.71,582
18,235-136,235,17.73,31.98,31.21,90.17,519
18,235-137,235,5.76,43.92,38.17,91.68,469
18,235-141,235,15.93,27.41,33.33,90.74,270
18,235-149,235,47.44,19.6,15.91,80.97,352
18,235-151,235,41.49,31.95,15.35,42.32,241
18,235-153,235,32.29,31.45,12.58,77.78,477
18,235-154,235,70.96,14.44,5.28,28.88,644
18,235-157,235,35.03,25.55,11.34,78.51,591
18,235-161,235,53.22,12.02,21.46,72.53,466
18,235-162,235,55.95,16.72,7.88,61.9,622
18,235-164,235,39.63,30.65,11.76,62.85,646
18,235-177,235,37.37,29.64,17.09,69.69,1346
18,235-178,235,16.67,27.48,31.98,81.38,666
18,235-186,235,57.28,8.89,17.04,69.14,405
18,235-189,235,36.57,25.23,25.0,71.99,432
18,235-193,235,24.16,51.68,13.09,62.75,298
18,235-197,235,28.88,23.8,31.02,72.19,374
18,235-205,235,42.89,28.45,11.25,75.16,471
18,235-209,235,79.14,4.3,8.94,50.0,302
18,235-217,235,21.32,29.01,16.04,72.97,455
18,235-219,235,58.9,15.58,14.41,54.61,2124
18,235-221,235,59.47,8.14,17.61,66.67,528
18,235-233,235,66.98,10.77,7.26,46.37,427
18,235-239,235,58.87,17.73,12.07,56.65,406
18,235-240,235,43.18,20.39,19.34,64.62,667
18,235-241,235,41.63,28.57,20.82,51.43,245
18,235-249,235,6.27,48.04,23.5,89.56,383
18,235-253,235,20.57,32.9,31.62,85.35,389
18,235-257,235,34.54,20.72,28.95,86.84,304
18,235-265,235,48.11,20.08,18.18,78.41,264
18,235-269,235,67.72,7.13,10.89,56.44,505
18,235-270,235,43.84,22.13,17.51,63.45,714
18,235-273,235,41.85,20.17,7.3,76.18,466
18,235-275,235,45.64,21.99,16.39,51.87,482
18,255-43,255,8.14,31.01,14.34,89.79,774
18,255-49,255,88.49,1.92,3.84,16.53,1355
18,255-53,255,89.86,1.05,4.2,18.18,572
18,255-81,255,62.41,8.73,8.23,54.68,790
18,255-83,255,72.1,12.45,6.01,69.74,466
