year,mergecode,totaltest,mathpass
19,15-21,102,49.02
19,25-29,164,35.98
19,35-23,86,43.02
19,125-47,566,55.48
19,225-91,615,51.22
19,235-101,333,23.42
19,235-102,445,27.19
19,235-105,315,12.38
19,235-177,300,13.67
19,235-213,31,6.45
19,235-219,499,28.06
19,255-49,229,52.84
19,255-81,149,20.13
19,255-285,121,38.02
19,255-297,249,26.91
19,255-394,83,44.58
19,365-397,503,44.14
19,365-399,348,39.94
19,370-410,70,22.86
19,395-445,133,33.08
19,515-489,112,20.54
19,615-539,138,23.91
19,630-512,487,66.12
19,665-553,215,42.79
19,670-573,146,31.51
19,750-621,80,62.5
19,755-637,115,45.22
19,775-645,69,31.88
19,815-689,112,31.25
19,875-701,262,48.85
19,940-765,82,32.93
19,940-777,222,38.74
19,940-813,50,38.0
19,1000-833,88,18.18
19,1010-809,43,23.26
19,1010-821,172,20.93
19,1010-849,488,25.41
19,1010-891,22,0.0
19,1125-897,62,33.87
19,1125-933,235,31.49
19,1150-957,66,39.39
19,1160-977,77,20.78
19,1170-997,219,8.22
19,1180-1021,86,33.72
19,1300-1059,98,46.94
19,1315-1069,59,72.88
19,1375-1121,80,42.5
19,1405-1125,188,30.32
19,1560-7213,305,48.85
19,1600-1179,205,23.9
19,1620-1177,156,46.15
19,1655-1263,83,37.35
19,1655-1267,94,30.85
19,1730-1268,157,28.03
19,1805-1317,101,44.55
19,1820-1325,136,27.21
19,1835-1345,275,30.91
19,1875-1369,215,43.26
19,1885-1372,54,14.81
19,1895-1375,83,40.96
19,1900-1386,57,38.6
19,1910-1389,198,39.9
19,1940-1401,67,46.27
19,1970-1421,274,22.63
19,1970-1524,13,0.0
19,2040-1545,62,51.61
19,2100-1583,90,53.33
19,2110-1588,121,43.8
19,2120-1593,268,53.36
19,2155-1613,121,38.02
19,2260-1701,127,27.56
19,2270-1715,395,24.56
19,2275-1733,336,45.83
19,2285-1737,205,56.1
19,2305-1749,376,22.34
19,2305-1750,355,21.41
19,2305-1752,67,4.48
19,2315-1821,438,34.7
19,2395-1889,232,30.6
19,2400-1925,413,22.03
19,2400-1930,440,40.0
19,2435-2053,43,27.91
19,2440-2005,59,37.29
19,2455-2022,92,20.65
19,2475-2083,173,26.01
19,2645-2173,110,21.82
19,2650-2159,45,24.44
19,2725-2233,70,28.57
19,2735-2249,123,34.96
19,2765-2211,173,55.49
19,2815-2293,96,35.42
19,2825-2321,95,38.95
19,2855-2333,184,22.28
19,2865-2351,224,29.02
19,2920-2419,66,31.82
19,2940-2435,90,30.0
19,2950-2437,110,27.27
19,2960-2445,62,38.71
19,2980-2429,57,24.56
19,3005-2487,855,66.2
19,3005-2499,785,64.71
19,3025-2477,191,36.13
19,3030-2493,555,58.92
19,3055-2463,75,36.0
19,3060-2505,1314,71.46
19,3070-2517,705,56.31
