year,mergecode,droprate,totalenroll
17,710-0106,3.1,1968.0
17,702-0184,3.0,1267.0
17,631-2052,6.3,1063.0
17,789-4052,1.9,842.0
17,694-2060,2.2,500.0
17,722-3052,4.5,2356.0
17,706-0278,2.1,1381.0
17,755-0275,3.0,1467.0
17,742-3050,3.1,387.0
17,761-0186,3.9,1256.0
17,625-3056,5.6,786.0
17,643-0116,24.3,103.0
17,747-0205,4.5,1178.0
17,667-1710,1.9,2789.0
17,706-0378,4.0,975.0
17,622-5054,4.2,1714.0
17,740-0213,4.4,318.0
17,669-0202,1.1,1818.0
17,761-2664,19.6,250.0
17,660-0106,0.9,2444.0
17,754-0105,1.6,875.0
17,652-0176,2.9,862.0
17,658-0214,0.4,2750.0
17,696-0275,2.1,476.0
17,663-4752,0.8,2000.0
17,675-0214,2.2,1455.0
17,761-0192,1.8,1889.0
17,675-0307,1.3,1692.0
17,771-0112,2.2,455.0
17,625-5070,3.9,1231.0
17,675-0804,11.4,342.0
17,678-0191,0.9,1222.0
17,622-2052,2.0,1250.0
17,620-0295,2.0,2750.0
17,633-0807,12.8,133.0
17,781-0101,3.4,2647.0
17,616-0203,2.0,1000.0
17,717-0114,2.1,810.0
17,761-0415,9.8,102.0
17,611-0198,6.5,1277.0
17,675-0295,4.4,1659.0
17,891-0405,27.0,74.0
17,645-0292,33.3,69.0
17,761-0106,3.0,400.0
17,688-0193,4.7,1404.0
17,617-0288,1.3,1308.0
17,721-5566,2.6,654.0
17,681-0196,2.4,833.0
17,667-2558,1.5,2800.0
17,633-1054,4.6,3022.0
17,633-0188,1.1,2091.0
17,706-1064,2.6,1038.0
17,636-0112,2.1,2048.0
17,625-0210,4.8,667.0
17,636-0183,1.6,875.0
17,715-0207,16.3,92.0
17,675-0104,2.4,1292.0
17,667-0189,34.8,793.0
17,698-0104,5.2,442.0
17,644-0103,6.0,1883.0
17,656-0192,2.3,1304.0
17,633-2056,2.0,3050.0
17,747-0111,4.1,1537.0
17,675-0105,3.0,1700.0
17,7820120-0120,9.6,6021.0
17,667-1814,3.5,2943.0
17,675-3050,4.1,1195.0
17,712-0198,0.7,1429.0
17,737-0199,4.6,1609.0
17,689-0192,2.9,1241.0
17,726-0101,2.7,1407.0
17,647-1050,3.7,892.0
17,644-3070,9.8,939.0
17,710-0109,1.3,2308.0
17,667-0805,1.2,3500.0
17,693-0101,2.6,1192.0
17,690-0110,2.6,423.0
17,647-2052,6.5,1062.0
17,635-0112,25.8,186.0
17,667-0182,1.1,3545.0
17,761-4560,2.7,1481.0
17,624-0287,3.5,457.0
17,633-1069,3.4,2353.0
17,7820412-0412,14.6,1904.0
17,660-0176,4.3,1744.0
17,660-0910,0.5,2200.0
17,660-1110,2.4,2167.0
17,654-2050,6.1,459.0
17,710-0292,3.2,1781.0
17,706-5052,3.2,1281.0
17,649-2050,2.3,696.0
17,659-3050,3.1,1226.0
17,676-0111,1.1,1727.0
17,721-0100,2.7,1444.0
17,656-0182,0.8,1750.0
17,748-0195,1.4,1643.0
17,611-0105,3.2,1406.0
17,647-1058,5.8,1086.0
17,667-0388,17.0,641.0
17,733-0201,2.8,429.0
17,607-0101,2.5,1880.0
17,633-1064,2.3,2522.0
17,633-2066,7.2,2389.0
17,625-0117,2.7,1481.0
17,732-0194,2.5,1040.0
17,669-0102,0.8,1375.0
17,631-0190,4.9,2184.0
17,669-1552,0.8,1250.0
17,631-4058,7.3,2342.0
17,667-0195,1.7,3353.0
17,608-0198,2.4,1708.0
17,631-1054,9.7,2072.0
17,651-0390,1.8,1944.0
17,781-0207,37.8,37.0
17,891-0898,24.1,83.0
17,648-0507,22.6,137.0
17,608-0114,2.1,1714.0
17,689-0105,5.5,1873.0
17,628-0106,1.0,2100.0
17,609-0291,3.1,871.0
