year,mergecode,districtcode,black,hispanic,white,lowincome
19,601-0103,601,22,12,61,90
19,605-0189,605,72,2,22,93
19,606-0199,606,2,9,87,51
19,607-0101,607,15,21,56,54
19,607-3052,607,14,18,57,50
19,608-0114,608,16,17,61,51
19,608-0198,608,7,15,75,44
19,610-0101,610,13,9,74,83
19,611-0105,611,64,4,25,99
19,611-0186,611,89,2,5,99
19,611-0198,611,87,4,6,99
19,611-0204,611,43,11,41,99
19,611-0286,611,95,1,2,99
19,611-0386,611,94,3,2,99
19,613-1050,613,3,2,94,68
19,615-0182,615,16,10,64,24
19,615-0502,615,24,3,67,63
19,616-0203,616,11,5,80,39
19,616-2054,616,49,8,38,57
19,618-0190,618,32,3,61,89
19,620-0295,620,23,8,60,40
19,622-2052,622,12,9,73,48
19,622-5054,622,26,10,56,55
19,623-0109,623,2,2,91,26
19,623-1052,623,7,8,78,61
19,623-4052,623,2,4,90,37
19,625-0101,625,88,4,5,73
19,625-0210,625,94,1,3,80
19,625-0411,625,18,7,65,30
19,625-2052,625,86,6,5,75
19,625-3056,625,71,19,6,85
19,625-5060,625,63,7,21,58
19,625-5070,625,69,12,12,63
19,628-0106,628,3,8,87,12
19,628-0115,628,9,20,64,21
19,628-0176,628,11,18,66,24
19,628-0191,628,7,14,74,20
19,628-0197,628,12,17,64,25
19,628-5050,628,7,26,63,35
19,629-0102,629,55,28,13,92
19,629-5556,629,46,24,24,92
19,631-0104,631,82,13,1,93
19,631-0115,631,66,27,1,93
19,631-0190,631,81,13,2,93
19,631-0290,631,70,21,2,93
19,631-0377,631,80,15,1,93
19,631-1054,631,42,44,3,93
19,631-1056,631,68,22,3,93
19,631-2052,631,88,8,0,93
19,631-4058,631,67,17,1,93
19,633-0101,633,27,18,43,28
19,633-0103,633,20,17,54,32
19,633-0175,633,6,6,65,4
19,633-0188,633,5,6,78,5
19,633-0192,633,13,6,75,8
19,633-0209,633,19,10,63,17
19,633-0373,633,28,21,37,38
19,633-0381,633,7,9,73,7
19,633-0707,633,35,10,47,21
19,633-0807,633,63,5,31,100
19,633-1054,633,40,33,19,54
19,633-1064,633,68,18,8,58
19,633-1069,633,39,19,26,40
19,633-2056,633,37,19,34,39
19,633-2066,633,29,64,3,79
19,633-3056,633,61,28,7,73
19,633-4066,633,58,33,6,70
19,634-0195,634,33,19,45,66
19,634-0308,634,30,20,46,81
19,635-1554,635,26,27,43,95
19,636-0112,636,37,14,40,34
19,636-0183,636,18,8,68,40
19,636-0189,636,18,6,62,23
19,636-4050,636,21,10,59,33
19,637-0111,637,34,8,52,53
19,638-0196,638,14,8,71,21
19,638-0389,638,25,11,56,32
19,638-5054,638,26,7,61,43
19,639-0193,639,23,4,69,92
19,640-0196,640,55,4,37,40
19,644-0103,644,96,2,0,76
19,644-0105,644,95,2,0,74
19,644-0172,644,96,3,0,100
19,644-0176,644,93,4,1,75
19,644-0202,644,92,6,1,80
19,644-0276,644,78,8,3,77
19,644-0497,644,93,4,1,67
19,644-0500,644,84,8,4,98
19,644-0810,644,78,15,2,72
19,644-1070,644,63,13,9,62
19,644-2054,644,96,2,0,100
19,644-2055,644,41,14,28,42
19,644-3060,644,24,33,33,38
19,644-3070,644,93,3,1,100
19,644-4053,644,59,4,4,100
19,644-4054,644,4,89,1,77
19,644-4069,644,89,7,0,100
19,644-5052,644,24,28,31,35
19,644-5055,644,15,30,47,26
19,644-5067,644,96,2,1,71
19,647-4062,647,87,1,8,100
19,648-0100,648,57,11,24,43
19,648-0175,648,51,30,15,73
19,648-0187,648,28,10,56,38
19,648-0212,648,79,11,6,63
19,648-4050,648,67,13,14,64
19,651-0197,651,11,8,76,28
19,651-0390,651,20,7,69,38
19,652-0176,652,31,11,55,56
19,653-0189,653,46,9,42,87
19,656-0192,656,59,16,17,35
19,656-0398,656,57,13,16,38
19,658-0107,658,3,11,77,10
19,658-0195,658,3,14,79,19
19,658-5050,658,3,25,64,26
19,659-3050,659,9,7,81,44
19,660-0106,660,10,13,62,11
19,660-0176,660,95,3,1,100
19,660-0191,660,13,22,57,22
19,660-0198,660,24,27,40,34
19,660-0205,660,19,12,43,11
19,660-0291,660,89,8,1,70
19,660-0383,660,88,8,1,100
19,660-0386,660,21,51,24,50
19,660-0392,660,12,11,46,9
19,660-0691,660,66,30,1,100
19,660-1110,660,88,9,1,68
19,660-1320,660,90,8,0,20
19,660-4062,660,50,20,25,47
19,660-5069,660,97,2,0,48
19,661-0196,661,0,26,73,51
19,663-3552,663,38,12,43,54
19,663-4752,663,28,11,57,40
19,664-0106,664,2,10,84,48
19,665-1050,665,36,17,45,90
19,667-0101,667,50,15,26,38
19,667-0103,667,28,48,14,63
19,667-0105,667,19,15,53,19
19,667-0176,667,26,21,29,42
19,667-0182,667,29,16,34,29
19,667-0185,667,72,17,4,69
19,667-0187,667,20,69,2,78
19,667-0189,667,31,54,9,32
19,667-0195,667,29,30,23,41
19,667-0388,667,57,20,15,58
19,667-0805,667,29,19,20,35
19,667-1018,667,19,26,43,35
19,667-1050,667,24,63,3,77
19,667-1114,667,40,51,4,75
19,667-1214,667,25,18,46,11
19,667-1410,667,27,23,35,33
19,667-1710,667,45,14,34,37
19,667-1814,667,36,45,6,72
19,667-1817,667,1,97,1,81
19,667-2558,667,74,15,5,65
19,667-3750,667,45,36,9,76
19,667-4052,667,42,22,28,44
19,667-4556,667,11,9,51,10
19,667-5550,667,29,38,15,53
19,669-0102,669,2,48,47,47
19,669-0105,669,8,53,38,65
19,669-0202,669,7,22,65,27
19,669-1552,669,9,55,32,66
19,669-4752,669,5,70,22,68
19,672-0299,672,17,6,72,32
19,673-3050,673,25,8,62,53
19,675-0101,675,35,6,50,22
19,675-0104,675,67,11,13,44
19,675-0105,675,76,7,5,41
19,675-0214,675,26,9,60,37
19,675-0295,675,73,13,9,60
19,675-0307,675,23,6,68,23
19,675-0315,675,58,11,27,52
19,675-0391,675,74,10,7,51
19,675-0408,675,61,10,22,44
19,675-3050,675,80,9,7,64
19,676-0111,676,26,7,60,27
19,676-0192,676,28,9,50,28
19,676-1054,676,34,5,56,47
19,676-2052,676,50,11,31,65
19,676-4056,676,54,11,28,64
19,678-0191,678,5,13,76,30
19,684-0192,684,26,2,69,38
19,685-0175,685,33,3,60,56
19,687-0110,687,26,4,68,45
19,687-0197,687,43,4,50,85
19,688-0193,688,25,3,66,33
19,689-0105,689,56,14,19,67
19,689-0192,689,51,9,30,57
19,691-0205,691,28,16,47,72
19,692-5050,692,24,9,61,40
19,695-5050,695,9,12,73,53
19,697-0192,697,53,4,39,65
19,702-0184,702,24,2,70,46
19,704-1050,704,26,6,64,31
19,706-0378,706,81,11,4,94
19,706-1064,706,90,3,3,94
19,706-2062,706,64,7,22,94
19,706-5052,706,94,4,2,94
19,706-5062,706,52,12,32,94
19,707-0173,707,78,8,9,63
19,707-0206,707,57,7,32,59
19,707-0295,707,34,5,56,49
19,710-0101,710,49,12,33,51
19,710-0106,710,20,7,69,33
19,710-0109,710,18,10,67,18
19,710-0292,710,23,10,61,35
19,710-2552,710,27,11,55,47
19,711-2052,711,52,17,27,88
19,715-0207,715,35,9,54,100
19,715-5050,715,14,33,49,85
19,721-0100,721,67,4,25,96
19,721-0392,721,85,3,10,96
19,721-2056,721,62,4,29,96
19,721-4060,721,74,5,16,96
19,722-0176,722,62,16,16,54
19,722-0192,722,82,9,6,66
19,722-3052,722,72,13,10,67
19,726-0101,726,36,6,53,50
19,726-0187,726,59,8,27,77
19,727-5050,727,15,4,74,51
19,732-0194,732,25,19,53,90
19,737-0199,737,32,19,46,96
19,741-0201,741,47,4,41,60
19,741-0387,741,34,4,56,52
19,741-1052,741,44,7,42,57
19,745-0195,745,35,3,58,69
19,746-0190,746,8,4,82,69
19,746-0198,746,5,4,86,63
19,747-0111,747,16,6,73,35
19,747-0199,747,21,10,63,32
19,747-0205,747,35,5,53,54
19,748-0195,748,33,7,55,67
19,751-0101,751,22,9,64,60
19,754-0105,754,2,4,89,47
19,755-0112,755,2,34,60,60
19,755-0175,755,2,30,63,50
19,755-0212,755,2,33,59,66
19,755-0275,755,2,67,28,71
19,757-0110,757,53,7,33,99
19,759-0176,759,30,2,64,93
