year,mergecode,districtcode,black,hispanic,white,lowincome
18,601-0103,601,21.0,12.0,63.0,90.0
18,605-0189,605,71.0,2.0,23.0,65.0
18,606-0199,606,2.0,9.0,87.0,53.0
18,607-0101,607,14.0,20.0,57.0,52.0
18,607-3052,607,15.0,17.0,57.0,52.0
18,608-0114,608,15.0,15.0,63.0,52.0
18,608-0198,608,7.0,13.0,76.0,45.0
18,610-0101,610,13.0,8.0,75.0,84.0
18,611-0105,611,62.0,4.0,28.0,99.0
18,611-0186,611,89.0,2.0,6.0,99.0
18,611-0198,611,88.0,3.0,6.0,99.0
18,611-0204,611,44.0,10.0,41.0,99.0
18,611-0286,611,96.0,1.0,2.0,99.0
18,611-0386,611,95.0,2.0,2.0,99.0
18,613-1050,613,3.0,2.0,93.0,68.0
18,615-0182,615,17.0,9.0,65.0,23.0
18,615-0502,615,23.0,2.0,70.0,63.0
18,616-0203,616,12.0,5.0,79.0,44.0
18,616-2054,616,49.0,8.0,38.0,60.0
18,618-0190,618,32.0,3.0,62.0,87.0
18,620-0295,620,23.0,7.0,61.0,43.0
18,622-2052,622,14.0,8.0,72.0,54.0
18,622-5054,622,26.0,9.0,58.0,53.0
18,623-0109,623,2.0,2.0,90.0,31.0
18,623-1052,623,7.0,7.0,80.0,57.0
18,623-4052,623,2.0,3.0,92.0,42.0
18,625-0101,625,87.0,3.0,6.0,61.0
18,625-0210,625,94.0,1.0,3.0,65.0
18,625-0411,625,17.0,7.0,66.0,22.0
18,625-2052,625,87.0,4.0,5.0,65.0
18,625-3056,625,71.0,16.0,9.0,58.0
18,625-5060,625,62.0,6.0,21.0,47.0
18,625-5070,625,67.0,10.0,14.0,49.0
18,628-0106,628,2.0,7.0,87.0,15.0
18,628-0115,628,9.0,18.0,65.0,20.0
18,628-0176,628,10.0,17.0,67.0,23.0
18,628-0191,628,7.0,13.0,74.0,21.0
18,628-0197,628,12.0,17.0,64.0,25.0
18,628-5050,628,8.0,22.0,66.0,35.0
18,629-0102,629,56.0,26.0,13.0,92.0
18,629-5556,629,46.0,24.0,23.0,92.0
18,631-0104,631,82.0,13.0,1.0,99.0
18,631-0115,631,67.0,26.0,1.0,99.0
18,631-0190,631,80.0,14.0,2.0,100.0
18,631-0290,631,72.0,19.0,2.0,100.0
18,631-0377,631,79.0,15.0,0.0,100.0
18,631-1054,631,42.0,45.0,3.0,99.0
18,631-1056,631,69.0,21.0,3.0,99.0
18,631-2052,631,89.0,7.0,0.0,99.0
18,631-4058,631,67.0,16.0,2.0,100.0
18,633-0101,633,28.0,16.0,44.0,30.0
18,633-0103,633,23.0,16.0,54.0,32.0
18,633-0175,633,6.0,5.0,67.0,4.0
18,633-0188,633,6.0,6.0,77.0,6.0
18,633-0192,633,12.0,6.0,76.0,8.0
18,633-0209,633,19.0,8.0,66.0,17.0
18,633-0373,633,29.0,19.0,39.0,39.0
18,633-0381,633,8.0,9.0,72.0,8.0
18,633-0707,633,35.0,9.0,49.0,21.0
18,633-0807,633,68.0,0.0,32.0,100.0
18,633-1054,633,41.0,34.0,17.0,55.0
18,633-1064,633,70.0,17.0,9.0,59.0
18,633-1069,633,39.0,20.0,26.0,43.0
