year,mergecode,districtcode,black,hispanic,white,lowincome
21,601-0103,601,23.0,15.0,58.0,90.0
21,605-0189,605,73.0,3.0,19.0,93.0
21,606-0199,606,2.0,9.0,85.0,40.0
21,607-0101,607,16.0,21.0,54.0,40.0
21,607-3052,607,15.0,20.0,57.0,34.0
21,608-0114,608,15.0,19.0,59.0,44.0
21,608-0198,608,8.0,14.0,73.0,43.0
21,610-0101,610,13.0,10.0,73.0,46.0
21,611-0105,611,67.0,6.0,19.0,100.0
21,611-0186,611,89.0,3.0,6.0,100.0
21,611-0198,611,86.0,6.0,5.0,100.0
21,611-0204,611,48.0,14.0,33.0,100.0
21,611-0286,611,94.0,1.0,3.0,100.0
21,611-0386,611,93.0,3.0,3.0,100.0
21,613-1050,613,3.0,3.0,91.0,69.0
21,615-0182,615,16.0,12.0,62.0,21.0
21,615-0502,615,22.0,5.0,66.0,57.0
21,616-0203,616,12.0,5.0,78.0,38.0
21,616-2054,616,53.0,8.0,34.0,56.0
21,618-0190,618,31.0,5.0,60.0,89.0
21,620-0295,620,22.0,8.0,60.0,41.0
21,622-2052,622,10.0,11.0,74.0,43.0
21,622-5054,622,26.0,11.0,55.0,48.0
21,623-0109,623,2.0,3.0,91.0,23.0
21,623-1052,623,7.0,7.0,79.0,51.0
21,623-4052,623,2.0,3.0,90.0,29.0
21,625-0101,625,88.0,4.0,4.0,72.0
21,625-0210,625,91.0,4.0,2.0,77.0
21,625-0411,625,16.0,8.0,65.0,24.0
21,625-2052,625,87.0,7.0,4.0,72.0
21,625-3056,625,63.0,24.0,8.0,62.0
21,625-5060,625,58.0,11.0,20.0,50.0
21,625-5070,625,66.0,14.0,11.0,58.0
21,628-0106,628,2.0,9.0,86.0,13.0
21,628-0115,628,7.0,22.0,63.0,19.0
21,628-0176,628,10.0,21.0,62.0,23.0
21,628-0191,628,8.0,15.0,73.0,17.0
21,628-0197,628,12.0,18.0,61.0,21.0
21,628-5050,628,7.0,30.0,59.0,34.0
21,629-0102,629,52.0,29.0,14.0,82.0
21,629-5556,629,42.0,24.0,27.0,64.0
21,631-0104,631,81.0,14.0,1.0,93.0
21,631-0115,631,63.0,31.0,1.0,93.0
21,631-0190,631,81.0,13.0,2.0,93.0
21,631-0290,631,71.0,21.0,2.0,93.0
21,631-0377,631,77.0,18.0,1.0,93.0
21,631-1054,631,42.0,46.0,3.0,93.0
21,631-1056,631,67.0,23.0,3.0,93.0
21,631-2052,631,86.0,11.0,0.0,93.0
21,631-4058,631,65.0,19.0,2.0,93.0
21,633-0101,633,29.0,19.0,40.0,26.0
21,633-0103,633,22.0,19.0,50.0,28.0
21,633-0175,633,6.0,7.0,64.0,3.0
21,633-0188,633,6.0,8.0,75.0,5.0
21,633-0192,633,13.0,7.0,74.0,7.0
21,633-0209,633,18.0,12.0,61.0,17.0
21,633-0373,633,28.0,24.0,36.0,31.0
21,633-0381,633,7.0,11.0,69.0,8.0
21,633-0707,633,33.0,13.0,45.0,21.0
21,633-0807,633,49.0,4.0,40.0,100.0
21,633-1054,633,39.0,32.0,21.0,47.0
21,633-1064,633,68.0,20.0,7.0,55.0
21,633-1069,633,37.0,21.0,25.0,34.0
21,633-2056,633,36.0,20.0,33.0,35.0
21,633-2066,633,27.0,65.0,5.0,76.0
21,633-3056,633,59.0,30.0,7.0,68.0
21,633-4066,633,54.0,37.0,6.0,65.0
21,634-0195,634,29.0,20.0,47.0,66.0
21,634-0308,634,30.0,22.0,45.0,81.0
21,635-1554,635,26.0,30.0,40.0,64.0
21,636-0112,636,38.0,14.0,37.0,28.0
21,636-0183,636,19.0,9.0,65.0,30.0
21,636-0189,636,19.0,7.0,59.0,19.0
21,636-4050,636,22.0,10.0,59.0,24.0
21,637-0111,637,33.0,9.0,52.0,67.0
21,638-0196,638,14.0,10.0,67.0,17.0
21,638-0389,638,25.0,12.0,54.0,25.0
21,638-5054,638,27.0,8.0,58.0,38.0
21,639-0193,639,20.0,5.0,72.0,51.0
21,640-0196,640,56.0,6.0,34.0,100.0
21,644-0103,644,94.0,3.0,1.0,66.0
21,644-0105,644,93.0,3.0,0.0,67.0
21,644-0172,644,94.0,3.0,1.0,99.0
21,644-0176,644,91.0,7.0,1.0,65.0
21,644-0202,644,93.0,5.0,0.0,69.0
21,644-0276,644,79.0,8.0,2.0,99.0
21,644-0497,644,92.0,5.0,1.0,60.0
21,644-0500,644,81.0,16.0,1.0,99.0
21,644-0810,644,69.0,25.0,1.0,42.0
21,644-1070,644,61.0,16.0,9.0,51.0
21,644-2054,644,95.0,3.0,1.0,99.0
21,644-2055,644,40.0,14.0,31.0,35.0
21,644-3060,644,21.0,38.0,32.0,33.0
21,644-3070,644,94.0,2.0,1.0,99.0
21,644-4053,644,58.0,4.0,5.0,99.0
21,644-4054,644,4.0,90.0,0.0,52.0
21,644-4069,644,86.0,9.0,1.0,99.0
21,644-5052,644,21.0,29.0,32.0,34.0
21,644-5055,644,15.0,31.0,45.0,23.0
21,644-5067,644,96.0,2.0,0.0,63.0
21,647-4062,647,89.0,2.0,6.0,100.0
21,648-0100,648,59.0,13.0,21.0,38.0
21,648-0175,648,51.0,34.0,11.0,62.0
21,648-0187,648,29.0,11.0,52.0,35.0
21,648-0212,648,78.0,12.0,5.0,52.0
21,648-4050,648,68.0,15.0,11.0,53.0
21,651-0197,651,12.0,10.0,71.0,26.0
21,651-0390,651,21.0,7.0,67.0,32.0
21,652-0176,652,32.0,12.0,51.0,47.0
21,653-0189,653,48.0,9.0,40.0,87.0
21,656-0192,656,60.0,18.0,16.0,33.0
21,656-0398,656,62.0,13.0,13.0,36.0
21,658-0107,658,4.0,12.0,74.0,8.0
21,658-0195,658,4.0,16.0,75.0,17.0
21,658-5050,658,5.0,27.0,60.0,23.0
21,659-3050,659,9.0,8.0,77.0,38.0
21,660-0106,660,10.0,13.0,60.0,8.0
21,660-0176,660,94.0,4.0,1.0,100.0
21,660-0191,660,14.0,24.0,55.0,18.0
21,660-0198,660,25.0,29.0,38.0,28.0
21,660-0205,660,18.0,13.0,40.0,8.0
21,660-0291,660,88.0,9.0,1.0,63.0
21,660-0383,660,88.0,11.0,1.0,100.0
21,660-0386,660,26.0,51.0,19.0,29.0
21,660-0392,660,14.0,12.0,42.0,8.0
21,660-0691,660,64.0,31.0,2.0,100.0
21,660-1110,660,87.0,10.0,1.0,63.0
21,660-1320,660,91.0,6.0,0.0,85.0
21,660-4062,660,49.0,20.0,25.0,34.0
21,660-5069,660,95.0,2.0,0.0,46.0
21,661-0196,661,0.0,28.0,70.0,49.0
21,663-3552,663,38.0,14.0,41.0,54.0
21,663-4752,663,24.0,12.0,59.0,37.0
21,664-0106,664,2.0,10.0,85.0,45.0
21,665-1050,665,34.0,21.0,43.0,100.0
21,667-0101,667,54.0,16.0,20.0,36.0
21,667-0103,667,28.0,51.0,14.0,61.0
21,667-0105,667,20.0,16.0,49.0,20.0
21,667-0176,667,27.0,22.0,26.0,38.0
21,667-0182,667,30.0,16.0,31.0,29.0
21,667-0185,667,69.0,21.0,4.0,64.0
21,667-0187,667,18.0,73.0,2.0,77.0
21,667-0189,667,30.0,60.0,6.0,34.0
21,667-0195,667,32.0,31.0,20.0,38.0
21,667-0388,667,60.0,22.0,9.0,56.0
21,667-0805,667,29.0,22.0,17.0,30.0
21,667-1018,667,20.0,27.0,40.0,36.0
21,667-1050,667,22.0,65.0,3.0,74.0
21,667-1114,667,37.0,47.0,8.0,62.0
21,667-1214,667,29.0,18.0,43.0,20.0
21,667-1410,667,30.0,23.0,32.0,32.0
21,667-1710,667,50.0,17.0,26.0,36.0
21,667-1814,667,33.0,50.0,5.0,65.0
21,667-1817,667,1.0,96.0,0.0,86.0
21,667-2558,667,71.0,17.0,6.0,59.0
21,667-3750,667,43.0,39.0,9.0,66.0
21,667-4052,667,45.0,24.0,23.0,38.0
21,667-4556,667,12.0,9.0,47.0,11.0
21,667-5550,667,28.0,41.0,13.0,52.0
21,669-0102,669,2.0,52.0,43.0,39.0
21,669-0105,669,9.0,40.0,49.0,45.0
21,669-0202,669,7.0,27.0,61.0,28.0
21,669-1552,669,8.0,58.0,31.0,56.0
21,669-4752,669,4.0,76.0,17.0,61.0
21,672-0299,672,14.0,6.0,73.0,24.0
21,673-3050,673,23.0,9.0,62.0,40.0
21,675-0101,675,42.0,7.0,39.0,21.0
21,675-0104,675,72.0,10.0,10.0,40.0
21,675-0105,675,77.0,8.0,4.0,38.0
21,675-0214,675,31.0,10.0,54.0,34.0
21,675-0295,675,70.0,15.0,9.0,50.0
21,675-0307,675,27.0,7.0,61.0,24.0
21,675-0315,675,60.0,12.0,23.0,47.0
21,675-0391,675,75.0,11.0,6.0,45.0
21,675-0408,675,64.0,9.0,19.0,38.0
21,675-3050,675,81.0,8.0,6.0,57.0
21,676-0111,676,26.0,8.0,58.0,24.0
21,676-0192,676,30.0,10.0,47.0,27.0
21,676-1054,676,34.0,5.0,55.0,43.0
21,676-2052,676,52.0,12.0,29.0,81.0
21,676-4056,676,56.0,11.0,27.0,81.0
21,678-0191,678,6.0,14.0,73.0,19.0
21,684-0192,684,28.0,1.0,68.0,47.0
21,685-0175,685,28.0,4.0,63.0,47.0
21,687-0110,687,24.0,4.0,69.0,85.0
21,687-0197,687,39.0,6.0,52.0,85.0
21,688-0193,688,25.0,3.0,64.0,31.0
21,689-0105,689,56.0,15.0,18.0,61.0
21,689-0192,689,49.0,11.0,31.0,61.0
21,691-0205,691,31.0,16.0,44.0,55.0
21,692-5050,692,24.0,9.0,61.0,30.0
21,695-5050,695,10.0,13.0,70.0,45.0
21,697-0192,697,55.0,4.0,36.0,65.0
21,702-0184,702,23.0,3.0,71.0,35.0
21,704-1050,704,24.0,7.0,65.0,29.0
21,706-0378,706,74.0,16.0,4.0,97.0
21,706-1064,706,89.0,4.0,3.0,97.0
21,706-2062,706,62.0,9.0,19.0,97.0
21,706-5052,706,90.0,5.0,3.0,97.0
21,706-5062,706,54.0,13.0,26.0,97.0
21,707-0173,707,77.0,10.0,7.0,60.0
21,707-0206,707,56.0,9.0,29.0,53.0
21,707-0295,707,38.0,7.0,51.0,43.0
21,710-0101,710,50.0,15.0,29.0,50.0
21,710-0106,710,21.0,7.0,68.0,33.0
21,710-0109,710,21.0,9.0,63.0,19.0
21,710-0292,710,25.0,12.0,57.0,36.0
21,710-2552,710,30.0,11.0,51.0,46.0
21,711-2052,711,52.0,17.0,27.0,75.0
21,715-0207,715,50.0,9.0,38.0,100.0
21,715-5050,715,13.0,37.0,45.0,85.0
21,721-0100,721,64.0,5.0,25.0,98.0
21,721-0392,721,83.0,3.0,9.0,98.0
21,721-2056,721,73.0,4.0,19.0,98.0
21,721-4060,721,71.0,5.0,19.0,98.0
21,722-0176,722,63.0,20.0,12.0,44.0
21,722-0192,722,79.0,11.0,5.0,51.0
21,722-3052,722,72.0,14.0,9.0,49.0
21,726-0101,726,37.0,7.0,52.0,47.0
21,726-0187,726,58.0,10.0,25.0,64.0
21,727-5050,727,13.0,5.0,74.0,42.0
21,732-0194,732,25.0,19.0,51.0,90.0
21,737-0199,737,33.0,21.0,42.0,37.0
21,741-0201,741,49.0,6.0,39.0,49.0
21,741-0387,741,35.0,4.0,55.0,42.0
21,741-1052,741,47.0,8.0,38.0,50.0
21,745-0195,745,34.0,4.0,58.0,69.0
21,746-0190,746,8.0,5.0,82.0,74.0
21,746-0198,746,4.0,3.0,88.0,63.0
21,747-0111,747,13.0,7.0,76.0,29.0
21,747-0199,747,23.0,13.0,58.0,27.0
21,747-0205,747,35.0,7.0,50.0,49.0
21,748-0195,748,36.0,7.0,52.0,67.0
21,751-0101,751,23.0,10.0,63.0,72.0
21,754-0105,754,2.0,6.0,88.0,44.0
21,755-0112,755,2.0,34.0,60.0,46.0
21,755-0175,755,2.0,33.0,61.0,41.0
21,755-0212,755,0.0,31.0,61.0,53.0
21,755-0275,755,1.0,66.0,29.0,58.0
21,757-0110,757,46.0,9.0,37.0,94.0
21,759-0176,759,31.0,4.0,60.0,100.0
21,761-0106,761,95.0,3.0,0.0,100.0
21,761-0182,761,92.0,7.0,0.0,100.0
21,761-0186,761,76.0,7.0,14.0,41.0
21,761-0192,761,33.0,25.0,37.0,16.0
21,761-0212,761,98.0,2.0,0.0,95.0
21,761-0315,761,97.0,2.0,0.0,100.0
21,761-0403,761,88.0,12.0,0.0,100.0
21,761-1409,761,96.0,4.0,0.0,100.0
21,761-1412,761,91.0,7.0,1.0,100.0
21,761-1413,761,97.0,2.0,0.0,100.0
21,761-4058,761,95.0,4.0,0.0,100.0
21,761-4560,761,38.0,8.0,47.0,10.0
21,766-1050,766,30.0,18.0,45.0,37.0
21,767-2050,767,21.0,21.0,51.0,36.0
21,772-0110,772,5.0,82.0,9.0,85.0
21,776-3050,776,17.0,63.0,14.0,57.0
21,781-0101,781,39.0,37.0,19.0,52.0
21,781-0207,781,25.0,25.0,50.0,0.0
21,7820108-0108,7820108,4.0,15.0,75.0,1.0
21,7820120-0120,7820120,45.0,9.0,36.0,42.0
21,7820412-0412,7820412,37.0,9.0,45.0,36.0
21,7820613-0613,7820613,33.0,11.0,51.0,64.0
21,784-0111,784,51.0,5.0,42.0,100.0
21,789-4052,789,60.0,2.0,36.0,45.0
21,792-0273,792,74.0,5.0,16.0,95.0
21,891-0104,891,88.0,4.0,4.0,100.0
21,891-0298,891,73.0,8.0,19.0,100.0
