year,mergecode,districtcode,black,hispanic,white,lowincome,droprate,totalenroll,charter,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,state,year_21
21,611-0186georgia,611georgia,89.0,3.0,6.0,100.0,1.8,1000,0,130042000000.0,0.56,0.44,0.0,0.72,georgia,1
17,611-0198georgia,611georgia,89.0,2.0,6.0,99.0,6.5,1277,0,130042000000.0,0.0,0.0,1.0,0.0,georgia,0
18,611-0198georgia,611georgia,88.0,3.0,6.0,99.0,7.7,1312,0,130042000000.0,0.0,0.0,1.0,0.0,georgia,0
19,611-0198georgia,611georgia,87.0,4.0,6.0,99.0,7.8,1321,0,130042000000.0,0.0,0.0,1.0,0.0,georgia,0
21,611-0198georgia,611georgia,86.0,6.0,5.0,100.0,1.7,1118,0,130042000000.0,0.56,0.44,0.0,0.72,georgia,1
17,611-0204georgia,611georgia,46.0,9.0,41.0,99.0,5.4,1148,0,130042000000.0,0.0,0.0,1.0,0.0,georgia,0
18,611-0204georgia,611georgia,44.0,10.0,41.0,99.0,4.3,1093,0,130042000000.0,0.0,0.0,1.0,0.0,georgia,0
19,611-0204georgia,611georgia,43.0,11.0,41.0,99.0,4.8,1042,0,130042000000.0,0.0,0.0,1.0,0.0,georgia,0
21,611-0204georgia,611georgia,48.0,14.0,33.0,100.0,4.1,976,0,130042000000.0,0.56,0.44,0.0,0.72,georgia,1
17,611-0286georgia,611georgia,96.0,1.0,2.0,99.0,3.5,829,0,130042000000.0,0.0,0.0,1.0,0.0,georgia,0
18,611-0286georgia,611georgia,96.0,1.0,2.0,99.0,3.1,806,0,130042000000.0,0.0,0.0,1.0,0.0,georgia,0
19,611-0286georgia,611georgia,95.0,1.0,2.0,99.0,3.3,818,0,130042000000.0,0.0,0.0,1.0,0.0,georgia,0
21,611-0286georgia,611georgia,94.0,1.0,3.0,100.0,3.8,763,0,130042000000.0,0.56,0.44,0.0,0.72,georgia,1
17,611-0386georgia,611georgia,94.0,2.0,2.0,99.0,3.7,919,0,130042000000.0,0.0,0.0,1.0,0.0,georgia,0
18,611-0386georgia,611georgia,95.0,2.0,2.0,99.0,4.2,929,0,130042000000.0,0.0,0.0,1.0,0.0,georgia,0
19,611-0386georgia,611georgia,94.0,3.0,2.0,99.0,8.1,975,0,130042000000.0,0.0,0.0,1.0,0.0,georgia,0
21,611-0386georgia,611georgia,93.0,3.0,3.0,100.0,3.9,846,0,130042000000.0,0.56,0.44,0.0,0.72,georgia,1
17,613-1050georgia,613georgia,3.0,2.0,93.0,68.0,5.6,1054,0,130048000000.0,0.0,0.0,1.0,0.0,georgia,0
18,613-1050georgia,613georgia,3.0,2.0,93.0,68.0,2.9,1034,0,130048000000.0,0.0,0.0,1.0,0.0,georgia,0
19,613-1050georgia,613georgia,3.0,2.0,94.0,68.0,1.5,1067,0,130048000000.0,0.0,0.0,1.0,0.0,georgia,0
21,613-1050georgia,613georgia,3.0,3.0,91.0,69.0,1.7,1000,0,130048000000.0,0.2,0.8,0.0,0.9,georgia,1
17,615-0182georgia,615georgia,16.0,8.0,67.0,25.0,1.7,2235,0,130057000000.0,0.0,0.0,1.0,0.0,georgia,0
18,615-0182georgia,615georgia,17.0,9.0,65.0,23.0,1.2,2250,0,130057000000.0,0.0,0.0,1.0,0.0,georgia,0
19,615-0182georgia,615georgia,16.0,10.0,64.0,24.0,1.2,2417,0,130057000000.0,0.0,0.0,1.0,0.0,georgia,0
21,615-0182georgia,615georgia,16.0,12.0,62.0,21.0,1.4,2429,0,130057000000.0,0.0,0.0,1.0,0.0,georgia,1
17,615-0502georgia,615georgia,23.0,2.0,71.0,66.0,4.4,636,0,130057000000.0,0.0,0.0,1.0,0.0,georgia,0
18,615-0502georgia,615georgia,23.0,2.0,70.0,63.0,3.3,606,0,130057000000.0,0.0,0.0,1.0,0.0,georgia,0
19,615-0502georgia,615georgia,24.0,3.0,67.0,63.0,3.5,600,0,130057000000.0,0.0,0.0,1.0,0.0,georgia,0
21,615-0502georgia,615georgia,22.0,5.0,66.0,57.0,2.2,591,0,130057000000.0,0.0,0.0,1.0,0.0,georgia,1
17,616-0203georgia,616georgia,12.0,5.0,79.0,46.0,2.0,1000,0,130063000000.0,0.0,0.0,1.0,0.0,georgia,0
18,616-0203georgia,616georgia,12.0,5.0,79.0,44.0,2.1,1000,0,130063000000.0,0.0,0.0,1.0,0.0,georgia,0
19,616-0203georgia,616georgia,11.0,5.0,80.0,39.0,1.8,1111,0,130063000000.0,0.0,0.0,1.0,0.0,georgia,0
21,616-0203georgia,616georgia,12.0,5.0,78.0,38.0,2.5,1160,0,130063000000.0,0.0,0.0,1.0,0.0,georgia,1
17,616-2054georgia,616georgia,49.0,7.0,38.0,59.0,3.6,1750,0,130063000000.0,0.0,0.0,1.0,0.0,georgia,0
18,616-2054georgia,616georgia,49.0,8.0,38.0,60.0,3.5,1771,0,130063000000.0,0.0,0.0,1.0,0.0,georgia,0
19,616-2054georgia,616georgia,49.0,8.0,38.0,57.0,4.5,1778,0,130063000000.0,0.0,0.0,1.0,0.0,georgia,0
21,616-2054georgia,616georgia,53.0,8.0,34.0,56.0,4.8,1854,0,130063000000.0,0.0,0.0,1.0,0.0,georgia,1
17,618-0190georgia,618georgia,34.0,3.0,60.0,87.0,4.8,1021,0,130069000000.0,0.0,0.0,1.0,0.0,georgia,0
18,618-0190georgia,618georgia,32.0,3.0,62.0,87.0,3.4,1029,0,130069000000.0,0.0,0.0,1.0,0.0,georgia,0
19,618-0190georgia,618georgia,32.0,3.0,61.0,89.0,4.0,1050,0,130069000000.0,0.0,0.0,1.0,0.0,georgia,0
21,618-0190georgia,618georgia,31.0,5.0,60.0,89.0,2.0,1050,0,130069000000.0,0.4,0.0,0.6,0.2,georgia,1
17,620-0295georgia,620georgia,24.0,7.0,60.0,41.0,2.0,2750,0,130078000000.0,0.0,0.0,1.0,0.0,georgia,0
18,620-0295georgia,620georgia,23.0,7.0,61.0,43.0,1.4,2714,0,130078000000.0,0.0,0.0,1.0,0.0,georgia,0
