year,mergecode,droprate,totalenroll
21,747-0199,1.9,1789.0
21,660-0383,8.7,253.0
21,625-0210,2.2,727.0
21,660-1321,47.8,23.0
21,7820412-0412,7.8,2859.0
21,779-0174,0.9,1222.0
21,638-0196,3.1,1871.0
21,658-0195,1.2,2750.0
21,753-3052,3.3,303.0
21,687-0197,2.2,682.0
21,631-0115,2.6,1692.0
21,649-2050,3.9,590.0
21,622-0189,3.0,667.0
21,714-0194,1.1,1182.0
21,761-0186,2.0,1450.0
21,644-4054,11.1,1775.0
21,748-0195,2.6,1692.0
21,623-0109,1.2,1250.0
21,761-0403,25.9,58.0
21,625-5060,1.8,1056.0
21,732-0194,2.0,1050.0
21,717-0114,3.1,871.0
21,707-0173,1.9,2579.0
21,644-0497,3.2,1406.0
21,638-5054,1.7,2471.0
21,634-0308,2.7,519.0
21,628-0176,2.0,2650.0
21,660-0386,19.8,338.0
21,634-0195,1.6,1312.0
21,644-5052,3.1,1806.0
21,722-0176,2.3,1870.0
21,631-0377,2.4,1417.0
21,633-4066,8.4,2583.0
21,616-0203,2.5,1160.0
21,684-0192,2.3,1609.0
21,644-0276,6.9,1304.0
21,761-0212,1.4,857.0
21,697-0192,2.1,1048.0
21,692-5050,1.8,3167.0
21,622-2052,1.6,1188.0
21,667-3750,3.3,2303.0
21,644-0172,2.9,1172.0
21,622-5054,1.4,1714.0
21,675-0104,2.4,1333.0
21,648-0100,1.5,1533.0
21,611-0186,1.8,1000.0
21,761-1412,1.4,929.0
21,670-0288,5.2,269.0
21,633-0807,29.3,99.0
21,631-0190,1.5,2000.0
21,629-5556,2.8,1857.0
21,644-0500,63.2,68.0
21,631-1056,3.8,1474.0
21,638-0389,3.2,3406.0
21,747-0205,2.3,1087.0
21,757-0110,4.3,395.0
21,644-0105,3.0,1300.0
21,608-0114,2.0,1550.0
21,660-1110,2.2,2091.0
21,675-0101,2.8,1571.0
21,667-0176,3.2,3344.0
21,667-0103,4.2,2929.0
21,685-0175,2.8,857.0
21,607-0101,3.0,2033.0
21,737-0199,1.2,2417.0
21,659-3050,1.9,1105.0
21,710-0109,1.0,2900.0
21,673-3050,1.0,1100.0
21,633-0192,0.5,2400.0
21,628-0115,1.3,2077.0
21,601-0103,1.2,1083.0
21,667-1410,2.7,2852.0
21,721-0100,1.6,1125.0
21,669-1556,1.0,1200.0
21,721-2056,2.3,1000.0
21,656-0105,1.0,1400.0
21,667-1814,2.5,3000.0
21,648-0175,3.0,1600.0
21,666-0401,3.3,455.0
21,709-2050,1.5,667.0
21,660-0205,0.9,2444.0
21,695-5050,1.5,1533.0
21,633-0707,1.4,2286.0
21,631-0290,4.3,1419.0
21,677-2050,2.2,500.0
21,667-0805,1.2,3500.0
21,761-0182,3.6,1306.0
21,660-5069,1.9,2211.0
21,616-2054,4.8,1854.0
21,678-0191,1.5,1533.0
21,639-0193,2.9,517.0
21,667-1818,2.5,1120.0
21,891-4199,36.4,33.0
21,636-0183,2.5,1200.0
21,721-3054,3.0,833.0
21,615-0182,1.4,2429.0
21,792-0273,1.4,2286.0
21,658-5050,1.2,2583.0
21,667-4556,1.1,3182.0
21,656-0398,2.1,1429.0
21,746-0198,1.2,1167.0
21,644-0810,37.5,507.0
21,664-0106,1.5,1200.0
21,672-0299,2.2,1773.0
21,688-0193,3.1,1484.0
21,710-0106,2.6,2000.0
21,651-0197,1.6,1938.0
21,702-0184,1.8,1222.0
21,726-0187,2.1,1619.0
21,710-0292,2.6,1846.0
21,669-0189,2.2,1227.0
21,636-4050,2.2,1955.0
21,675-0391,2.6,1577.0
21,667-1050,4.6,3130.0
21,633-0103,2.3,1522.0
21,715-0207,21.3,89.0
21,689-0105,2.4,1792.0
21,608-0198,1.5,1533.0
21,710-0101,2.0,1500.0
21,665-1050,1.4,1286.0
21,676-0192,0.7,2143.0
21,669-0105,18.5,254.0
21,633-0381,0.5,2000.0
21,653-0189,4.1,805.0
21,891-0104,29.2,48.0
21,767-2050,2.6,1538.0
21,652-0176,3.6,861.0
21,625-3056,3.5,914.0
21,755-0175,1.4,1357.0
21,761-4058,1.4,1214.0
21,776-3050,3.2,2406.0
21,633-0175,0.5,2800.0
21,644-4069,2.1,810.0
21,759-0176,4.8,896.0
21,669-0391,1.3,1000.0
21,622-0212,2.2,455.0
21,669-4752,2.8,1429.0
21,644-1070,4.8,1750.0
21,660-0191,1.4,2286.0
21,660-0119,0.6,2000.0
21,631-2052,4.7,1255.0
21,699-4050,3.4,412.0
21,722-0192,4.1,1220.0
21,629-0102,1.3,1462.0
21,675-0307,1.2,1833.0
21,656-0182,0.7,1714.0
21,644-5067,3.1,1258.0
21,631-4058,3.8,1947.0
21,660-4062,1.2,1500.0
21,654-2050,2.0,550.0
21,761-0315,2.2,909.0
21,661-0196,2.7,1259.0
21,605-0189,2.3,1304.0
21,669-0202,1.5,1400.0
21,7820120-0120,4.1,3805.0
21,675-0105,1.8,1833.0
21,611-0286,3.8,763.0
21,640-0196,3.9,1128.0
21,667-1819,2.6,885.0
21,631-1054,3.6,1861.0
21,755-0275,2.4,1542.0
21,667-0185,2.1,2286.0
