year,mergecode,droprate,totalenroll
19,611-0105,3.4,1324.0
19,620-0295,0.8,2625.0
19,682-0201,6.0,317.0
19,648-0507,25.6,82.0
19,721-0100,2.2,1273.0
19,628-0197,2.6,2462.0
19,623-4052,3.4,1088.0
19,631-4058,4.3,1977.0
19,633-2056,1.1,3000.0
19,644-3060,4.0,2275.0
19,667-1018,1.5,2000.0
19,667-0176,1.7,3235.0
19,644-4069,6.5,985.0
19,652-0176,2.0,850.0
19,663-4752,1.3,2000.0
19,713-0182,3.7,1081.0
19,641-0195,1.9,632.0
19,645-0292,26.2,65.0
19,722-0192,4.4,1341.0
19,891-0298,32.7,104.0
19,738-0192,1.9,842.0
19,667-4052,1.0,2300.0
19,651-0390,2.8,1929.0
19,660-4062,4.1,1659.0
19,667-0388,18.0,722.0
19,685-0175,3.8,789.0
19,611-0186,3.3,1121.0
19,702-0184,2.3,1217.0
19,660-0910,0.8,2250.0
19,774-0412,12.0,92.0
19,710-0292,1.7,1824.0
19,611-0198,7.8,1321.0
19,660-1320,45.0,584.0
19,674-0110,2.1,619.0
19,785-0193,0.7,2143.0
19,647-1058,3.4,1176.0
19,611-0386,8.1,975.0
19,631-0378,18.5,1416.0
19,618-0190,4.0,1050.0
19,634-0308,3.3,515.0
19,660-0291,5.2,2000.0
19,637-0111,1.8,944.0
19,721-4060,1.1,1364.0
19,622-5054,0.6,1667.0
19,601-0103,1.5,1000.0
19,660-0691,7.7,1662.0
19,722-3052,3.9,2385.0
19,625-0411,1.4,1071.0
19,676-0111,1.6,1688.0
19,676-0192,0.9,2000.0
19,751-0101,2.5,1560.0
19,660-0198,2.3,2000.0
19,761-0182,4.8,1458.0
19,644-5055,2.1,2190.0
19,667-1814,2.9,2931.0
19,610-0101,1.4,857.0
19,660-0191,1.7,2294.0
19,667-4556,0.7,3286.0
19,776-3050,3.9,2308.0
19,675-0408,1.6,1625.0
19,746-0190,2.7,1370.0
19,759-0176,3.4,882.0
19,891-0898,20.0,70.0
19,660-0392,0.5,2000.0
19,737-0199,3.6,2306.0
19,681-0196,1.3,846.0
19,715-0207,15.7,89.0
19,644-2054,7.2,1097.0
19,638-0389,1.8,3278.0
19,633-0175,0.6,2833.0
19,710-0106,3.0,2000.0
19,658-5050,1.1,2545.0
19,631-0290,2.5,1520.0
19,7820613-0613,33.7,3347.0
19,644-4053,7.6,1632.0
19,653-0189,2.8,750.0
19,732-0194,2.5,1040.0
19,644-1070,7.3,1945.0
19,675-0391,2.9,1586.0
19,675-0307,1.8,1722.0
19,761-0192,1.8,2111.0
19,667-0805,1.4,3357.0
19,689-0192,2.1,1190.0
19,706-0278,2.5,1280.0
19,781-0101,3.9,2667.0
19,633-0807,19.2,130.0
19,753-3052,3.1,323.0
19,699-4050,2.5,440.0
19,644-2055,3.3,1424.0
19,721-2056,2.0,1050.0
19,617-0288,2.1,1286.0
19,755-0175,1.6,1375.0
19,750-1052,1.6,938.0
19,667-0101,0.8,3375.0
19,667-3750,3.3,2333.0
19,721-3054,1.9,789.0
19,632-1050,3.1,387.0
19,656-0398,2.0,1450.0
19,891-0405,35.8,81.0
19,660-0176,6.8,1794.0
19,644-0172,5.6,1250.0
19,675-0804,12.5,360.0
19,706-0378,4.7,1170.0
19,648-0100,1.2,1583.0
19,622-0189,1.5,667.0
19,720-0201,5.0,260.0
19,676-2052,2.0,1950.0
19,633-3056,3.2,2156.0
19,680-0199,1.1,909.0
19,633-2066,6.4,2391.0
19,678-0191,1.3,1308.0
19,667-1817,21.6,273.0
19,721-2574,1.4,1000.0
19,636-0112,1.4,2214.0
19,636-4050,1.7,1941.0
19,644-0497,4.2,1571.0
19,706-1064,7.6,987.0
19,663-3552,1.3,1846.0
19,761-1409,3.6,944.0
19,625-5070,2.0,1100.0
19,725-0196,3.4,441.0
19,695-5050,1.8,1500.0
19,726-0101,2.5,1400.0
19,757-0110,5.5,436.0
19,707-0173,2.4,2708.0
19,784-0111,4.2,405.0
19,755-0112,1.4,1143.0
19,792-0273,2.3,2391.0
19,761-0186,2.9,1414.0
19,628-0191,1.7,2118.0
19,659-3050,2.1,1143.0
19,613-1050,1.5,1067.0
19,631-0190,4.7,2043.0
19,648-0175,4.1,1707.0
19,755-0212,24.8,258.0
19,747-0199,1.9,1737.0
19,694-2060,3.9,436.0
19,628-0106,0.8,2125.0
19,644-4054,6.3,1698.0
19,684-0192,2.9,1621.0
19,633-0373,1.7,1882.0
19,727-5050,1.1,1182.0
19,746-0198,2.0,1200.0
19,7820412-0412,15.8,2867.0
19,661-0196,2.0,1300.0
19,625-0101,4.0,825.0
19,635-1554,3.1,1935.0
19,651-0197,1.8,1722.0
19,648-0187,1.5,1867.0
19,631-1056,6.2,1548.0
19,761-1413,6.7,597.0
19,667-1818,2.3,652.0
19,672-0299,1.2,1750.0
19,706-5052,2.6,1077.0
19,764-0191,0.9,1556.0
19,633-0707,0.9,2444.0
19,660-0106,0.9,2333.0
19,676-4056,3.1,1774.0
19,761-0315,5.5,800.0
19,644-5067,5.5,1345.0
19,669-0105,21.1,355.0
19,629-0102,3.1,1516.0
19,622-0112,12.9,116.0
19,633-4066,6.8,2735.0
19,669-0102,0.8,1375.0
19,635-0112,22.6,159.0
19,626-0206,3.3,485.0
19,676-1054,2.6,1462.0
19,675-0105,3.1,1806.0
19,774-0211,2.2,636.0
19,675-0101,2.1,1619.0
19,706-0203,1.1,1545.0
19,647-2052,4.0,1200.0
19,710-2552,1.4,1929.0
19,614-0394,9.7,134.0
19,667-0189,47.6,1046.0
19,734-0202,41.4,29.0
19,638-5054,2.0,2400.0
19,644-0105,5.0,1500.0
19,761-0403,14.0,257.0
19,747-0111,1.1,1455.0
19,608-0114,0.9,1556.0
19,660-3066,1.8,1778.0
19,667-0182,0.8,3875.0
19,633-1069,2.4,2333.0
19,629-0104,13.5,126.0
19,669-4752,1.3,1538.0
19,623-1052,2.5,1040.0
19,687-0197,2.9,655.0
19,689-0105,1.2,1750.0
19,611-0286,3.3,818.0
19,761-0106,1.9,526.0
19,638-0196,2.0,1850.0
19,633-0101,1.2,2000.0
19,781-0207,29.7,37.0
19,616-2054,4.5,1778.0
19,608-0198,0.9,1556.0
19,623-0109,1.6,1312.0
19,745-0195,2.9,1276.0
19,761-0207,11.0,109.0
19,721-0391,13.9,331.0
19,668-2052,1.5,1467.0
19,633-0209,1.7,1824.0
19,687-0110,1.4,1286.0
19,640-0196,3.6,1139.0
19,625-0117,1.0,1500.0
19,649-2050,3.1,645.0
19,628-0176,2.7,2593.0
19,622-2052,1.5,1200.0
19,656-0192,2.8,1214.0
19,611-0204,4.8,1042.0
19,741-0201,2.0,850.0
19,644-0202,6.0,1600.0
19,636-0183,1.5,1133.0
19,667-5550,1.1,3000.0
19,631-2052,4.4,1386.0
19,707-0206,2.8,2071.0
19,636-0189,1.0,2000.0
19,675-0295,5.1,1647.0
19,704-1050,1.0,1000.0
19,669-0189,1.5,1133.0
19,721-1052,1.6,1062.0
19,706-2062,2.9,1345.0
19,761-0212,3.9,821.0
19,633-0808,29.4,449.0
19,644-3070,9.0,822.0
19,676-0116,14.6,240.0
19,675-0104,2.0,1350.0
19,634-0195,3.1,1387.0
19,647-4062,3.0,1467.0
19,644-5052,3.8,1789.0
19,633-0192,0.5,2400.0
19,675-0315,2.8,1286.0
19,707-0295,3.2,1625.0
19,891-0598,25.0,48.0
19,711-2052,3.9,1000.0
19,741-0387,2.4,1417.0
19,625-5060,2.7,1148.0
19,743-0201,4.3,256.0
19,766-1050,1.6,1688.0
19,669-1552,1.2,1333.0
19,610-0106,12.3,81.0
19,629-5556,2.3,1913.0
19,660-0386,15.3,444.0
19,660-5069,3.8,2237.0
19,789-4052,5.1,843.0
19,605-0189,2.3,1261.0
19,7820108-0108,36.3,3614.0
19,726-0187,0.6,1667.0
19,644-0176,4.9,1184.0
19,628-0115,2.3,1957.0
19,648-4050,3.2,2094.0
19,692-5050,1.1,2909.0
19,891-5001,29.4,68.0
19,607-0101,2.1,2000.0
19,691-0205,1.6,1062.0
19,660-0383,17.6,335.0
19,712-0198,0.8,1500.0
19,754-0105,0.8,1250.0
19,660-0205,1.7,2353.0
19,793-0273,1.6,750.0
19,658-0195,1.7,2647.0
19,709-2050,1.8,667.0
19,667-0185,5.8,2466.0
19,643-0116,16.2,142.0
19,631-1054,6.5,1877.0
19,721-0392,7.1,662.0
19,660-1110,4.3,2163.0
19,644-0103,5.8,1741.0
19,625-0210,3.0,600.0
19,773-3050,1.2,1500.0
19,644-0810,43.0,698.0
19,761-1412,3.8,921.0
19,606-0199,2.0,900.0
19,772-4050,0.8,2250.0
19,673-3050,1.1,1000.0
19,772-0110,19.5,446.0
19,715-5050,1.4,1357.0
19,660-0203,0.5,2000.0
19,639-0193,4.4,500.0
19,675-0214,3.1,1548.0
19,667-0187,6.0,3633.0
19,7820120-0120,8.1,4728.0
19,710-0101,1.5,1600.0
19,627-0111,12.9,116.0
19,667-1710,1.2,3000.0
19,625-0107,14.8,81.0
19,710-0109,1.3,2462.0
19,675-3050,2.9,1241.0
19,616-0203,1.8,1111.0
19,631-0115,6.1,1820.0
19,7820618-0618,32.7,1725.0
19,747-0205,1.7,1118.0
