year,mergecode,districtcode,droprate,black,white,hispanic,totalenroll,lowincome,charter,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,state,year_21
21,0020-4108colorado,0020colorado,1.3,1.48,57.4,30.43,2235,19.7,0,80690001491,0.3,0.5,0.2,0.65,colorado,1
17,0020-5043colorado,0020colorado,0.9,1.29,69.25,19.76,2550,19.6,0,80690001784,0.0,0.0,1.0,0.0,colorado,0
18,0020-5043colorado,0020colorado,0.9,1.31,67.93,21.09,2594,19.1,0,80690001784,0.0,0.0,1.0,0.0,colorado,0
19,0020-5043colorado,0020colorado,0.56,1.15,65.66,22.93,2691,17.2,0,80690001784,0.0,0.0,1.0,0.0,colorado,0
21,0020-5043colorado,0020colorado,1.3,1.17,63.0,23.19,2643,19.2,0,80690001784,0.3,0.5,0.2,0.65,colorado,1
17,0020-5816colorado,0020colorado,3.8,3.91,23.83,65.24,2123,40.3,0,80690001192,0.0,0.0,1.0,0.0,colorado,0
18,0020-5816colorado,0020colorado,3.0,3.85,21.94,67.45,2129,39.9,0,80690001192,0.0,0.0,1.0,0.0,colorado,0
19,0020-5816colorado,0020colorado,3.3,3.95,21.33,68.27,2124,38.4,0,80690001192,0.0,0.0,1.0,0.0,colorado,0
21,0020-5816colorado,0020colorado,2.8,3.32,19.29,70.09,1809,68.5,0,80690001192,0.3,0.5,0.2,0.65,colorado,1
17,0020-6060colorado,0020colorado,1.2,2.55,56.41,34.04,2315,35.3,0,80690001996,0.0,0.0,1.0,0.0,colorado,0
18,0020-6060colorado,0020colorado,2.5,2.4,56.25,34.48,2329,34.8,0,80690001996,0.0,0.0,1.0,0.0,colorado,0
19,0020-6060colorado,0020colorado,0.61,2.26,54.2,36.71,2299,31.3,0,80690001996,0.0,0.0,1.0,0.0,colorado,0
21,0020-6060colorado,0020colorado,1.0,1.68,47.1,41.82,2085,36.6,0,80690001996,0.3,0.5,0.2,0.65,colorado,1
17,0020-6402colorado,0020colorado,2.2,2.76,27.93,63.62,2463,31.4,0,80690001188,0.0,0.0,1.0,0.0,colorado,0
18,0020-6402colorado,0020colorado,1.1,2.34,26.63,64.73,2475,52.4,0,80690001188,0.0,0.0,1.0,0.0,colorado,0
19,0020-6402colorado,0020colorado,1.62,2.55,25.33,65.74,2475,54.9,0,80690001188,0.0,0.0,1.0,0.0,colorado,0
21,0020-6402colorado,0020colorado,2.1,1.48,21.85,70.67,2366,64.4,0,80690001188,0.3,0.5,0.2,0.65,colorado,1
17,0020-6956colorado,0020colorado,17.7,2.81,44.53,48.12,640,50.9,0,80690006550,0.0,0.0,1.0,0.0,colorado,0
18,0020-6956colorado,0020colorado,15.3,3.63,40.55,52.47,688,48.8,0,80690006550,0.0,0.0,1.0,0.0,colorado,0
19,0020-6956colorado,0020colorado,14.46,3.73,38.1,54.28,643,38.7,0,80690006550,0.0,0.0,1.0,0.0,colorado,0
21,0020-6956colorado,0020colorado,21.0,2.19,34.0,58.5,547,47.2,0,80690006550,0.3,0.5,0.2,0.65,colorado,1
17,0020-9431colorado,0020colorado,0.0,0.0,75.85,17.39,207,14.6,1,80690006417,0.0,0.0,1.0,0.0,colorado,0
