,mathpass_ed_virtualper_inf
0,0.002166992665666516
1,1.699353689222833e-05
2,0.0017992587131011914
3,0.00015256739268640064
4,0.0013327395821478684
5,0.00019512784212717723
6,8.834243831908749e-05
7,0.0010623097529839374
8,-0.004777195594282113
9,-0.0015121356927795249
10,0.000761327333172436
11,-0.011161224562194974
12,-0.0017695566254135745
13,0.0008934131567877434
14,-0.0017484067021223068
15,-0.012618251358335072
16,-0.0010596972740217168
17,-0.00047776379350085603
18,2.810530503279414e-06
19,-0.0021173437805305853
20,0.00026981928501767247
21,-0.00021116106085548633
22,0.0011259010346817478
23,0.002683711132670282
24,-0.00082558807546081
25,0.00044588586958067464
26,-0.0008782831796091084
27,0.00026344676050513415
28,0.000585931276934862
29,-0.0010071464177726795
30,-0.0038580665752096775
31,-0.004390753100100346
32,0.00014730717742907548
33,0.00122920248565864
34,8.881666886638471e-05
35,0.0054176574647994274
36,0.0001747810108256271
37,-0.0005700890667611829
38,8.449034788104653e-05
39,-0.003018638685962756
40,-0.00041353831803209336
41,0.00236489292030962
42,-0.002411123783335372
43,-0.0031685307103544278
44,5.974103566285787e-05
45,-0.0020387642848640627
46,0.001371976642788479
47,-0.0008152505931844556
48,-0.0015284398664381818
49,-0.0020519418770100282
50,0.003147685319179124
51,-0.0015046620222620836
52,3.558197613894658e-05
53,0.0005448549232300028
54,0.00033680060539624854
55,0.0013285477967661333
56,0.002480167477478279
57,-0.0008327805651666799
58,-0.0024301471231685605
59,-0.0065623678021077695
60,-0.004997335634144848
61,-0.00825659752602148
62,0.003017807706719119
63,-0.032090077094740814
64,7.546611856345587e-06
65,-0.0001002662281191077
66,0.00014789649742200428
67,-0.00012641539167553446
68,-0.00039894618726833475
69,0.00012016713608162334
70,0.00024089072763524864
71,-0.0006540147623896367
72,0.0010025987118014346
73,-0.00038721913282013245
74,-0.002677727780915272
75,-0.006904434104933621
76,-0.0020926561817136307
77,-1.840433129109357e-05
78,0.00030900482410135897
79,-0.0017818304621489988
80,2.519254502625502e-06
81,-0.0004736155826299176
82,0.0002581360327275374
83,5.7099930540822826e-05
84,0.0009388012015137491
85,-0.00017048695439605708
86,-0.00021228205902033698
87,0.00048125415459239945
88,0.0003106613219406068
89,0.0015122288390579887
90,-0.001009901006098782
91,0.003639799667524061
92,-0.0006785729021062648
93,-0.0032005892889764077
94,0.0013738917108524651
95,-0.009114872444838506
96,-0.0021526131075115763
97,-0.0008205266782208208
98,0.003515498277145851
99,-0.010364438090154202
100,0.0008509910196583122
101,-0.004850286467096847
102,-0.0037839978551639617
103,-0.025831974420721018
104,9.254141976091214e-05
105,-0.0005380064439288095
106,0.0009484270138361026
107,0.001986092728601943
108,-4.1723588463304e-06
109,0.0030905771883906084
110,0.0021766163454612778
111,0.013172776652734164
112,4.73733020155658e-05
113,0.0005648494886762476
114,0.00044396628372165756
115,8.495388161610337e-05
116,0.00012783626795594805
117,0.0006981688607052144
118,-0.000996083415000082
119,0.0006567104063229
120,-0.0008800906209089854
121,-8.10444437958724e-05
122,2.2332837576131216e-05
123,0.00012738859936182377
124,1.9094560423608633e-05
125,0.00011545417199928977
126,0.0005823622269470476
127,0.0011395028650406772
128,-0.00046852667880887096
129,0.001778018317571065
130,-0.008905034944787362
131,-0.02604359443426622
132,-8.291357828180175e-05
133,0.00041587288330831117
134,-0.0002427756695423722
135,0.0006869610739543171
136,0.00011999405627538038
137,0.00023035831691396215
138,-5.558398541710171e-06
139,-0.00011932052683312536
140,-0.0001810972204544005
141,-0.00042850587936627227
142,-7.058727412574513e-05
143,-7.739834832813238e-05
144,0.00040442633700524125
145,-7.545067274135328e-06
146,5.867747003310025e-06
147,0.00036778925334797025
148,-0.0004116884921882263
149,8.517484053077453e-05
150,-0.00029405564605473254
151,4.354617578427002e-05
152,-0.0009119531933098471
153,-0.00035243420030454795
154,-0.00074131870335715
155,-0.000228431696912168
156,0.0012197806326692583
157,0.0026451042295378324
158,-0.004656570363569231
159,0.0016736212611563129
160,0.000899507013889015
161,-0.0013179945169906008
162,9.041694980819056e-06
163,-0.0011089789989033676
164,0.0005623693666236475
165,-0.00225135448509604
166,0.0003121573708401124
167,-0.00418120173949578
168,0.00021598026556931578
169,-0.00012729942878923566
170,-0.00025588721264194913
171,-0.00013954022476114482
172,-0.0007168993927499813
173,5.8350045702067905e-05
174,-0.0001641411964138678
175,0.0003465899199421644
176,-0.0018729413406647607
177,0.00019580194698053794
178,0.00013327056344936665
179,-0.0018339156932217669
180,-2.815253243505612e-05
181,0.011519679512804325
182,0.0012678265747313674
183,0.03789665952008664
184,9.33233081345055e-05
185,-0.0001414262234326544
186,0.0001221814327326727
187,-0.0006414960414218762
188,-0.00038732299996764737
189,2.3751850819887986e-05
190,5.7294337699675824e-05
191,-0.00033086918525311864
192,0.00020082813375702467
193,5.694163945471826e-06
194,-8.149280945094374e-05
195,-0.00010764455729788198
196,0.00018425563076574655
197,0.0006418189198256029
198,-0.0005816313271601073
199,0.002461447119009548
200,0.00017965609143869596
201,1.1773545682207171e-05
202,-7.405662655015192e-06
203,1.8162324028574493e-05
204,-0.0001725734892825123
205,0.0017461695987898089
206,-2.6228988438490562e-05
207,-0.00043700560202373205
208,-0.0005779277334586837
209,0.0013115509836953195
210,-1.4441815641678006e-05
211,0.0010137454821093394
212,-0.00022391718092147102
213,-1.5264712974246444e-06
214,-0.00030477656211344887
215,-0.0008675520466846086
216,-0.0003377666470801651
217,-5.660577222065208e-05
218,-0.0003586788825051601
219,-0.0004209149799129185
220,-0.0001673456879272314
221,-3.329241074735773e-06
222,0.0012089425735487477
223,0.0003879787474640992
224,-0.0002689301140220413
225,-0.00022417446413087108
226,0.0006158580256303915
227,-0.00045012527436800586
228,0.00049114466756234
229,-0.005496496143538863
230,0.0013710262757209066
231,-0.004189101287558168
232,-0.0033777109266628527
233,-0.0035103999316048423
234,0.009220963230687641
235,-0.010844712268029175
236,-0.00014381468964744595
237,0.000582052957388058
238,-0.00020510885416618108
239,-0.001578258483026153
240,-0.0015543504965621414
241,0.00025605462140421587
242,0.0008060691088013765
243,-0.002328534012634484
244,-1.74867050635372e-05
245,6.274525029237668e-05
246,0.0006433529937802162
247,0.002621801793700968
248,0.0005850589738977311
249,8.11593263862755e-05
250,8.744900810462489e-05
251,0.0007003775504902665
252,-0.006122307250568671
253,-0.0017981063589455708
254,0.013222062866461572
255,0.018869234619532212
256,-0.002278634704953589
257,0.002668216110462082
258,-0.0018703487937959174
259,-0.004394783259108433
260,-0.0001112606896556477
261,0.000551427721015796
262,2.88452108910945e-05
263,0.0009729015863251454
264,0.00011202327863618012
265,2.6562396783040642e-05
266,-0.00019967475539321334
267,-0.000524574708610089
268,-0.0007308639338191563
269,0.00036956386964812977
270,0.0005203915167074461
271,0.0005603660796557751
272,0.0015492124123628978
273,-0.001273700813191685
274,-0.0002924458629121242
275,-0.00034950808084384627
276,0.0014006430162679998
277,-0.0023403086078150155
278,0.0019383313343609417
279,0.0034084098834879653
280,-5.5206209922322285e-06
281,-0.00019192814707812093
282,0.00020196562920766684
283,-0.0004277580936970972
284,1.9352794305519487e-05
285,0.00013622132726358064
286,0.0003484743404284629
287,0.0003033799678899091
288,0.0008408860323780759
289,0.0015886109323143306
290,-0.0023055134302082643
291,-0.001961423784420262
292,0.0008261825499857745
293,-5.313456826267284e-07
294,0.0002760359486550067
295,0.00016854942700494295
296,0.0004763969126186451
297,2.3417060758098645e-05
298,0.0011737605872481935
299,-0.0002482782985409141
300,-0.0002687991061225916
301,0.0002455124250074505
302,-3.847372904941873e-05
303,-0.00015241513993809403
304,0.000256909074034892
305,2.304711339548976e-05
306,1.67197504234527e-06
307,6.806420548118863e-05
308,0.00025502614938430727
309,0.00018459742353138427
310,0.0009335640419199885
311,0.0005248430237962065
312,0.00013116728761544783
313,-2.3088828198810835e-05
314,-0.0019295773517117312
315,-0.0051836444935571355
316,0.0012811026490242234
317,5.074745832226501e-05
318,-2.7291112231914866e-05
319,-0.0015783322245019908
320,-0.0005280589899900195
321,0.0009237063077334501
322,-0.00012817611816985116
323,0.0037694314255575473
324,0.00012053400417351602
325,-0.0015088954581837877
326,0.0009561224046210648
327,-0.001133297687460239
328,-0.00010347849765473303
329,6.442406519764789e-05
330,-1.6746267284215257e-05
331,0.00015793180731776143
332,-0.0022721409022072904
333,-0.003103389055684507
334,0.0036029554349804966
335,-0.006826891088364497
336,-0.00016810560163361108
337,0.0001531817529134941
338,0.00011466243070025673
339,-4.089536134297564e-05
340,-1.6249166763902566e-05
341,0.0004738691061679024
342,0.0007464340903299779
343,0.0001691320771026159
344,6.556603643731633e-05
345,0.0001775119272050196
346,0.0003822310906159744
347,-9.937270794082263e-05
348,-0.00029066432059913664
349,-0.00041475654951789463
350,-0.0004950187641657468
351,-0.001935721700759983
352,-0.003103058512040843
353,0.0036730498479715045
354,0.003054732258491891
355,0.007951972613542909
356,-0.0011613930809962103
357,5.037741360351044e-06
358,9.905463026337982e-05
359,-0.0008402239034443154
360,-0.001508828477191065
361,-0.0002530281363278929
362,-0.00021155284661572303
363,-0.0019558752354772086
364,-0.0035299899230464716
365,0.0010541759636551167
366,-0.002603693844941668
367,-0.014681333667709268
368,-0.000272497350260363
369,-0.0007400628275135737
370,-0.0009687998218018132
371,-0.002186995392373698
372,0.00010700987034788993
373,0.00010949124110617168
374,-1.5263251966347844e-05
375,6.510428815383721e-05
376,-0.001301371803681799
377,0.0003036040776084938
378,-0.00036081989692563995
379,0.0013092923262526376
380,3.4750647849690524e-05
381,-9.485477097214207e-05
382,-0.0004392869072157787
383,-0.0002502018520595601
384,-0.002657945651635282
385,0.0014122356405083987
386,-0.0004080588253438889
387,-0.004373034595394522
