,drop_co_virtual
0,-5.3724823905323424e-05
1,-0.0007026863919974098
2,-0.0012968311807068278
3,-0.004767630997602851
4,-0.0016146230115168575
5,-0.001606144730990336
6,0.0026013006000480837
7,-0.0025097657348074703
8,0.0036810694041318234
9,0.0013228759041701782
10,-0.0012321759417471179
11,0.009940319314575903
12,0.0027725790238433234
13,0.0014486988897746036
14,-0.0035521806491434263
15,0.001807644600760705
16,0.0021168123841112563
17,0.0018868357211913069
18,8.154358683396437e-05
19,0.013974467044387541
20,0.0010610391903537958
21,-0.0006325654212294112
22,-0.0015284670806503579
23,-0.005468326291873658
24,-0.00010630651846295708
25,-2.9697716189319046e-05
26,-0.0020753147706587295
27,-0.006973541792317803
28,0.00014167014902136948
29,0.00203156042288784
30,-0.0005966127840755365
31,0.006516652927913453
32,-0.0012522332087841394
33,-0.001060907418353981
34,-6.417031097932366e-05
35,-0.010060955547392078
36,0.005175794834393823
37,0.0013698847398175703
38,-0.0007203160807910616
39,0.015762426601316513
40,0.0015123286374828873
41,-0.0023473952690879598
42,-0.0003491117041632778
43,-0.0043903997402161155
44,-0.0011604987668533049
45,-0.0005258327570507224
46,-0.0028924334064878666
47,-0.01797421683631828
48,0.0002453479706713578
49,0.0003870727363945901
50,-0.001720061088925359
51,-0.0023907717295404184
52,0.0004235015911982899
53,-0.00034108883790245036
54,0.00022729085844125325
55,0.0009048455150337624
56,-0.002636553597195115
57,0.0007947472755864307
58,-0.005476662454460648
59,-0.021451049380111505
60,-0.0007878829910346562
61,-9.205221929180332e-05
62,-0.0021951480447798435
63,-0.010141733198324067
64,-0.0051153491852473166
65,0.004256690309560717
66,-0.0013619902806412563
67,-0.009332197377337275
68,-0.00015744951164793934
69,0.00011362672929943436
70,-8.663175299537336e-05
71,0.0002115494251248289
72,2.7310136599725164e-05
73,7.97790154586992e-05
74,-7.162870849414897e-05
75,0.000263424497866438
76,-3.668334605929077e-05
77,-0.00012175401258403646
78,-2.7226901731053894e-05
79,-0.000689632627351248
80,-3.783222600038773e-05
81,0.0004338213478097248
82,-9.614464602590755e-05
83,0.000594473740984746
84,0.00010635899899580195
85,3.1282108304680284e-05
86,0.00019324701513341597
87,-6.955482473924903e-05
88,-1.814093428460161e-05
89,2.5064260696509924e-05
90,4.624545306730529e-05
91,-7.46258929655188e-05
92,0.0008140327018000559
93,-0.0005168904080673603
94,0.001399855434727098
95,0.005932641935920908
96,0.00018026824434648744
97,-0.00024601396585726044
98,-0.00024362251277745128
99,-0.0008194785659638743
100,-0.002895552026110513
101,-0.002573088324795103
102,0.002039884955018383
103,-0.011505178423991078
104,-0.0003421750425161768
105,0.00019189194788620388
106,0.0005132147200052871
107,-0.0014653196316194023
108,-8.810845667450276e-05
109,-0.0001883711166372264
110,-0.0004918920924419749
111,-0.0022173921575574305
112,0.0003041075103386285
113,-0.00016928333785803292
114,0.0007417228938869301
115,0.0009255756686225384
116,0.0015259400222110092
117,-0.00019466034685681487
118,0.0012546067959949743
119,0.007290006765856074
120,-0.0007749419102013249
121,-0.00079524927732853
122,0.0016485809015903752
123,0.000481550333352005
124,0.00016482409270936286
125,0.0005198491504935602
126,0.002656262264774712
127,0.008425412934951606
128,0.0002097703816391231
129,-0.0007258452636593725
130,-0.0013922250879237418
131,-0.005001476358905489
132,0.00020475931115911786
133,-9.145862240861413e-05
134,-0.00024338108669626646
135,-0.0003395896361795163
136,-0.003122301250049649
137,-0.00146337907172086
138,0.00027809903501215845
139,-0.013091946574981658
140,0.0004062476410097443
141,-0.003242648787863139
142,0.002967583694105363
143,-1.6186213546422428e-05
144,0.0006097510903175914
145,-0.00013676150816227287
146,0.000675408891345003
147,0.0034536041570682793
148,8.887349351161868e-05
149,-0.00023307411131255122
150,0.00015095408782943607
151,-0.0016043895542765957
152,-0.0015064476192886407
153,0.0008991819851749681
154,0.0033007677192207372
155,0.013529141340330222
156,-0.0023462530806962244
157,0.0019952814123477412
158,0.0038674716975784303
159,0.014131277571623836
160,-0.0002652962762351553
161,0.0003444624126480382
162,0.007014514853957198
163,0.024236045023009363
164,-0.0007118151772599567
165,-0.0003440575413238087
166,0.0032899755605900983
167,0.009258693001730899
168,0.0010451889892118308
169,0.0003032271044903071
170,0.0012338029838402534
171,0.008784062389068297
172,0.003067274822240481
173,0.0010187324844225082
174,-0.00072643799218841
175,0.01019087802060396
176,4.139360136040679e-05
177,0.001984484686256028
178,0.003314992652450919
179,0.015753663540900294
180,0.00023221779994474464
181,0.006602460374887654
182,-0.009905335379449268
183,-0.007899626158220712
184,0.0019980789180837673
185,0.002255973214318017
186,-0.00833879518905154
187,-0.011601372666925602
188,-3.4866081856454243e-07
189,-2.2366328302670818e-05
190,-0.00020142334126859154
191,-0.00016023240378738437
192,-1.3512872772808003e-05
193,-1.3813375252625293e-06
194,-6.992966815603574e-05
195,-0.00020343396210902113
196,-0.0011365006099003
197,-0.0005836613036593418
198,0.005485855456412026
199,0.011793250547844462
200,-0.002585553254256332
201,-0.0006882960784645801
202,0.0022399959639005595
203,-0.0029309472817967094
204,-0.0013493982861318948
205,-0.0013383253201184604
206,0.0015324071277866445
207,-0.0031352159587750275
208,-0.0032884621779532123
209,0.0001727443530201363
210,0.0030611257357202747
211,-4.845613731211792e-05
212,-0.0008239208147672629
213,-1.6000282428778253e-05
214,0.00011540881878968796
215,-0.0024829996688525173
216,-0.001908125583141368
217,-0.0002864545944767431
