,mathpass_hispanic_hybridper_inf
0,-0.0033339776069310385
1,-0.0003454052936112091
2,-0.0018499372095161217
3,-0.0006219686301275061
4,-0.0015444413874620873
5,-0.0007954978018202087
6,-0.0001691462433217879
7,-0.002242974776277435
8,0.002532002968541901
9,-0.0007432214940695876
10,0.00029663779544075595
11,-0.00012302575480541822
12,0.00045110879547142504
13,1.0450743670649316e-05
14,-0.001227837401676652
15,-0.00041476634924368845
16,0.001260817041530152
17,0.0007340419198628573
18,0.00013020990171492693
19,0.0025056122878587953
20,0.00015671838054981676
21,-0.00017893706272595821
22,-0.00025909719554856634
23,0.0008748746285337878
24,5.107427706558672e-05
25,0.0007781143338721527
26,0.0004758010582203248
27,0.00025909575934157685
28,0.005389024344460056
29,-0.00040067144777375006
30,-0.0007519572960363589
31,-0.004405999386362301
32,0.0001306430401841379
33,0.0010276897862596703
34,-3.3393335223365394e-05
35,0.0025631594835604948
36,-0.0002962950111043791
37,0.0006577456817555607
38,-0.0009090119380565379
39,0.0029413651980234163
40,4.109348829328143e-05
41,7.280469060915344e-05
42,-0.0007015589355528691
43,-0.00024267054388227275
44,4.828549073597641e-05
45,-0.0006761843230395263
46,0.000512860147917485
47,-0.0003917671343139282
48,-0.0003192403449450784
49,0.00019566253255858334
50,5.292749728409473e-05
51,-4.5122279819563576e-05
52,-0.00022486108285175473
53,7.574825894135433e-06
54,-0.0003167548629828688
55,-0.00016422972126276048
56,0.00012063456515425011
57,-0.0006081991597766408
58,-0.0028403551986346635
59,-0.0036458295422284195
60,0.0013313653095564282
61,0.0014702915839177797
62,-0.00024178127970142556
63,0.005659575523346349
64,-0.00026910997245692143
65,-0.00045943954847432495
66,0.0004271028584070666
67,-0.0010602131759071339
68,-0.0016293677707119546
69,6.591256505425656e-05
70,0.0013523022489383342
71,-0.0010124688714987643
72,4.072061422685913e-05
73,1.7435312202663798e-05
74,0.0016445549672532106
75,0.001736402443094109
76,0.002803839812951858
77,8.880549048051317e-05
78,-0.0006971012505161994
79,0.0025259881395887167
80,6.0323509296200385e-05
81,-0.00031417304952271476
82,0.00011238212438512517
83,6.665294484203684e-05
84,-0.0001542210137201699
85,0.000410424472053972
86,0.0004745189022869943
87,-0.000644895601800377
88,-0.00017536826884028602
89,-0.000557885145695925
90,0.0003492173926084852
91,-0.0015579656079886123
92,-0.00025452843913155286
93,-0.0016073354652312883
94,0.00018726625068583654
95,-0.003116066252043142
96,-0.0069359223290584434
97,0.00010384886630497276
98,-0.0007681808120206184
99,-0.0030090874204646806
100,-0.00020763890188648867
101,0.0007131698088605674
102,-3.965797670623276e-05
103,0.003301352459613192
104,6.002843761756828e-05
105,-5.1028485332071264e-05
106,0.00022815109733943413
107,0.0005472067944523667
108,-4.388124463296965e-06
109,-0.00016238824732190172
110,0.0002230270222104133
111,0.0022383799476151686
112,-0.00016889548980114353
113,-0.0005187378362742172
114,-0.0005781320723933493
115,-0.00014099709348251399
116,3.978550889673916e-05
