,drop_co_hybrid
0,-3.268221282988884e-05
1,-0.0002897262609593525
2,-0.0005189232906298355
3,-0.0021380229061355584
4,0.00031652255654474016
5,0.00026596987442802284
6,-0.00030829062893430315
7,0.0003966382154796751
8,-0.0007727157235842502
9,-0.00026941411980590163
10,0.0001422548324263469
11,-0.0017876342850162731
12,-0.00031565684573455513
13,-0.00030905954031455605
14,0.0006026805452402661
15,-0.0002972003034891356
16,-0.00023556614921176674
17,-0.0002362853255102996
18,-1.2145178708870947e-05
19,-0.0017895694986205931
20,-7.92787384508147e-05
21,0.00021758085072432314
22,0.0010822215956706703
23,0.0018604440179526905
24,3.354325178394701e-05
25,1.0241353501068133e-05
26,0.0006434872766329652
27,0.0022417136944875957
28,-5.124076718751808e-05
29,-0.0008015473169999961
30,0.00018359199783686114
31,-0.0022871395905949086
32,0.00033012268108078527
33,0.0003168678000519712
34,2.5197419467449625e-05
35,0.003169670381967264
36,-0.0015107370573976796
37,-0.000719861029747962
38,0.0004416118387077792
39,-0.007365884911487141
40,-0.0009842764642078142
41,0.0017027303938215003
42,5.868501380960183e-05
43,0.002169192521731716
44,-0.0007842062309187937
45,0.000246023598602114
46,0.0005205536578510567
47,0.0021686179523696925
48,2.6819680488729376e-05
49,-0.0002368068326236704
50,0.00010301072725062572
51,0.0003074633019398697
52,-0.0001640795493112482
53,0.0001772388892304973
54,-5.406887559886224e-05
55,-0.0003408023731197082
56,0.00016745103529229222
57,-0.00029189956381997945
58,0.00021861128358333527
59,0.0034313287342957514
60,0.0003218800169083551
61,3.8928412687371226e-05
62,0.0010708191757327545
63,0.004445744573697269
64,-0.0016952290184982617
65,-0.0016865455713849131
66,0.0003764100642836688
67,0.0010146646195607863
68,-0.0011565832780962438
69,0.0012516041403090174
70,0.0010335362369038549
71,0.004044097365201656
72,0.0015321238936787853
73,0.00350328714262606
74,-0.0018462463175730464
75,0.009833779269172708
76,-0.0004465265407805798
77,-0.0014342704968144772
78,-0.0003212399041746198
79,-0.008223527577001483
80,-0.00057425038294032
81,0.003849412723676726
82,-0.0011485145839375663
83,0.006782409515558492
84,-0.0015245940776752536
85,-0.00020725740313894003
86,0.0025906135756174967
87,0.0016600154950661965
88,-0.000858169677141759
89,0.0002871578904343971
90,0.0003647200752865106
91,-0.0009120136550791804
92,3.3660736144034824e-08
93,2.1384806284596598e-05
94,0.0002586973748670578
95,0.00024923140876624236
96,4.8740842393864114e-05
97,-1.075602495622573e-05
98,-3.0671490965839136e-05
99,-0.00011063392176298932
100,0.0011124490655702295
101,0.001037536337988961
102,-0.0008484940463402261
103,0.004626935766756583
104,-0.0021730506427741856
105,0.0007423707293227871
106,0.00021338676282525823
107,-0.0028605132480311996
108,-7.028897692119258e-05
109,-0.0004536137927765941
110,-0.001268668737092631
111,-0.004409647805104285
112,-0.000819785467662549
113,0.0023225663042917904
114,-0.002159215803366549
115,-0.0037333543529673337
116,-0.003076658168238358
117,0.0004399739500331951
118,-0.003302928940318894
119,-0.016748455476945447
120,0.002226752625745328
121,0.0018764939725223098
122,-0.004504680513426161
123,-0.0012722754988946541
124,-0.00034215040423846854
125,-0.0010952133667943675
126,-0.006118679389554984
127,-0.018271261979233126
128,-0.0003318751235105092
129,0.000962525133707888
130,0.0019751224403301727
131,0.007168126753519069
132,-0.0006980780421911836
133,0.0003253073556827397
134,0.0005397828923230835
135,0.0010229587948725409
136,0.001894602098375266
137,0.0007134387452377723
138,-0.00010872774921058882
139,0.0062061189834248225
140,-0.000716881573608433
141,0.005197329209296435
142,-0.004673843276717939
143,2.639697684208443e-05
144,-0.0010353041937853377
145,0.0002072034102439547
146,-0.0007790452364420504
147,-0.00496714889271321
148,-9.38692337271119e-05
149,0.0018120600926499724
150,-0.0003687671698838286
151,0.0032920036230859643
152,0.000496413046656302
153,-0.00035411152111356755
154,-0.0010719150164523775
155,-0.004738066751680038
156,0.0006393283489156618
157,-0.0008093436603745332
158,-0.0015555114926032
159,-0.005057106926891693
160,7.204784381994554e-05
161,-0.0001210011227101838
162,-0.0030864041278498094
163,-0.008721092815192061
164,0.00016511502538380272
165,0.00014159104032515854
166,-0.0013448164238772644
167,-0.003208603964277709
168,6.590237258521619e-06
169,-2.4354865741588242e-05
170,-0.0003143046814397833
171,-0.0008493816449508095
172,-0.000305404682903418
173,-0.00014042209351629472
174,0.00011054252470356086
175,-0.0013403416783552774
176,-9.09484702731096e-06
177,-0.00027425831762945067
178,-0.0003713546785772434
179,-0.0024449430041209985
180,-5.7329518856026814e-05
181,-0.0007022398429514998
182,-0.0006518211469560395
183,0.0006905031806372697
184,0.0001174973068074329
185,0.00013333536920607662
186,-0.002597404070364813
187,-0.0017033627733994267
188,0.0014506927375734933
189,-0.0007151939221022482
190,-0.0019296438480888149
191,-0.003519758561469736
192,-0.0007231109796283366
193,-0.0003058675163312933
194,-0.0009841278189574286
195,-0.006509656687901587
196,0.0016794070128122649
197,0.0008241644372299226
198,-0.00803821762658208
199,-0.017115792653437444
200,0.0013929536317389111
201,0.0003377015011009243
202,-0.0005697435524898757
203,0.0012227123166686472
204,0.003712452061436911
205,0.004234503960860098
206,-0.0051477835666080786
207,0.00963438032058436
208,0.00811538242257953
