,drop_ga_hybrid
0,1.9325377792692084e-05
1,0.00022157198103339785
2,0.0003459691020045478
3,0.0014384332743159409
4,0.0002115051729143616
5,0.00019362147860773073
6,-0.00038130160511585826
7,0.00033393109165007103
8,-0.00022457104266123006
9,-0.00017720804907292472
10,0.00021549098907840488
11,-0.0011767353809895508
12,-0.00038266742334518546
13,-0.00019665295043732825
14,0.0005102228898958291
15,-0.0002513271452632236
16,-0.0003291128744664541
17,-0.00030786502894578787
18,-1.4093368268191131e-05
19,-0.002286795467459765
20,-0.00014776517745689882
21,0.00011849021997298007
22,0.0004473725697037512
23,0.0010845352289674162
24,2.0396652077153368e-05
25,3.802262879244114e-06
26,0.0003490105129032117
27,0.0011431589565133484
28,-2.8030736531307136e-05
29,-0.0003538155111741303
30,7.00202710034887e-05
31,-0.001043992047668695
32,0.0002177960530839724
33,0.00016338728398286622
34,7.037021124267099e-06
35,0.0014838408199919
36,-0.0004563506175909956
37,-0.00015006352824344275
38,9.172542885424005e-05
39,-0.001693121814505397
40,-0.000337568162908303
41,0.0004217312407711886
42,0.00010706630473606349
43,0.001056623641521412
44,0.0004955756217417148
45,5.150568056903534e-05
46,0.0004644151468774796
47,0.0033797255512008667
48,-3.856720890043676e-05
49,-8.884345136680678e-05
50,0.0003126533186464657
51,0.0004404793419291088
52,-7.626194107539165e-05
53,5.9470893438513755e-05
54,-9.468363238227868e-05
55,-0.0002263730975248321
56,6.468099157092802e-05
57,2.4197381776968097e-05
58,-0.00013303209711059468
59,-0.00025982154693378936
60,0.0001372842553215355
61,8.488177084067356e-06
62,0.0002471238100289762
63,0.0012951958096880298
64,0.0008664922162526458
65,-0.0007162275488915635
66,0.0002845714701092468
67,0.001696542644013456
68,-0.000362714594924289
69,0.00039798478406869077
70,0.0003143941941012789
71,0.0012629679711628993
72,0.0011192046020412113
73,0.0023772537355396285
74,-0.0012615829581020257
75,0.006845349760772276
76,-0.00018721378560427235
77,-0.0005975694012998721
78,-0.00014430677617509208
79,-0.003512332539160885
80,-0.0004513415157625699
81,0.0027471890144523162
82,-0.0008417555465383984
83,0.005043705652002304
84,-8.374432098133465e-05
85,-6.977944783274996e-06
86,0.000309482356301749
87,0.00011988109075743
88,-0.0005835968476557854
89,0.00018394142332621194
90,0.00021404313498187658
91,-0.0005772235511327764
92,-3.306266167151655e-05
93,7.39882582487094e-05
94,-0.0003126580229689196
95,-0.0007867265194504948
96,4.63646060928201e-06
97,-5.361870775530042e-06
98,2.881402901263336e-05
99,1.6740230799729303e-05
100,0.0009411137326660568
101,0.0008325190194992279
102,-0.000660369444275596
103,0.0037282677089129947
104,-0.0005917011683058224
105,0.00022714936225300743
106,0.0003225279593909995
107,-0.0013088508885179286
108,7.308938848094778e-06
109,0.00015432688761954735
110,0.0004802055528285094
111,0.0014490086744531523
112,-0.00041943615184985244
113,0.0012743936652650108
114,-0.0013772498079662584
115,-0.0021018279315389724
116,-0.0014531563314298646
117,0.0001807662060632406
118,-0.001056173152746262
119,-0.006621491221884276
120,0.001488289123467203
121,0.001326865890908597
122,-0.00326099903196425
123,-0.0008901706992039817
124,-0.00019006243052221487
125,-0.0005244677347351474
126,-0.0025468094809023623
127,-0.008720203620179112
128,-0.0001303509039312583
129,0.00032625947266359627
130,0.0003497072003731163
131,0.0020672150410005197
132,-0.000632667628010114
133,0.0002813975010728743
134,0.0005744952212792778
135,0.000955784766067912
136,0.00029264130520577
137,9.407718244229269e-05
138,-2.4198754762240657e-05
139,0.0010595033124627035
140,-0.000495702603710992
141,0.002540980802723583
142,-0.0021591160319356026
143,1.4032865039976674e-05
144,-0.0005244808485497087
145,9.871572074805615e-05
146,-0.0004085540128330515
147,-0.002492364975373089
148,-3.498445071489475e-05
149,0.0010448207504204891
150,-0.00026532558926353056
151,0.0018030201106206659
152,0.0003031507359743348
153,-0.00014473345760146857
154,-0.00044701360716585444
155,-0.002259427893899339
156,0.000427218149304974
157,-0.0003376904902837227
158,-0.0005391907134999212
159,-0.0023159755679087535
160,5.453209056094075e-05
161,-6.714613859782448e-05
162,-0.0008112470262277099
163,-0.004079862418764871
164,9.567898551843621e-05
165,5.8231094306083916e-05
166,-0.0004203982509515155
167,-0.0013217548413272837
168,-0.00016066839719163815
169,-6.794077150725002e-05
170,-0.000302298818688372
171,-0.0017863217637495397
172,-0.0006604281829785441
173,-0.0002491548268190303
174,0.00012369106991845296
175,-0.002110222640043972
176,-9.316823088460521e-06
177,-0.000437774368499254
178,-0.0008152574609208336
179,-0.003633093724256175
180,-3.363949197574664e-05
181,-0.0008904678983697499
182,0.0020423240710137434
183,0.001290403311629705
184,-0.0002990904174042698
185,-0.00039924643433511466
186,0.0017905722249072292
187,0.002094602463906088
188,0.0011214663019844865
189,-0.0005646308644918193
190,-0.0015985930160783669
191,-0.0028059344686876993
192,-0.0005929313827900611
193,-0.00022118365086329703
194,-0.0007611224553986996
195,-0.00501958682859596
196,0.0016654180676218002
197,0.0008351023489625842
198,-0.008056829609279252
199,-0.017157216346790707
200,0.0007811945783686389
201,0.00023812814749782498
202,-0.0008358972341916114
203,0.001005745378565916
204,0.00390942661217965
205,0.004375439641932069
206,-0.00490212173546325
207,0.009753135272383355
208,0.006026981487260785
209,-0.0002880720897955014
210,-0.005823958310000036
211,8.704474121317976e-05
212,0.0010375057001854177
213,1.6382307842822238e-05
214,-0.00011295929095879426
215,0.002681776745237587
216,0.005798807300102766
217,0.0009490380491442231
218,-0.007269453212988391
219,-0.0014650874285706405
220,-0.00017739368689771316
221,0.0029876428609240725
222,-0.00211189782536106
223,0.0021129618503301023
224,0.0007729885345177888
225,0.0010054951476912342
226,0.00014651077004673385
227,0.0051168403240517725
228,0.0005070404613224502
229,-0.0004437957962520489
230,-0.0006730698989029803
231,-0.0023321532730258493
232,0.0006928028373274967
233,0.0004649094304357345
234,-0.001597340602175364
235,-0.001100587334781617
236,-0.0002016790115850546
237,-1.6375287385823108e-05
238,-5.862835210654412e-05
239,-0.0009087943594198664
240,3.0286572882028607e-05
241,0.00016544414603430699
242,0.0005334386174135044
243,0.002521914819647968
244,0.00023017865210766118
245,0.001010350529940109
246,-0.0006882539060555679
247,0.0017008545965720061
248,-0.00015116483725110665
249,-5.959930080991372e-05
250,-3.1008063768549616e-05
251,-2.5516836493388358e-05
252,2.9698317804750743e-05
253,-3.371334327309967e-05
254,-1.3768624882729473e-05
255,-0.00042375267052218054
256,-1.9762932227435422e-05
257,-1.3060076627769047e-06
258,7.362082572304302e-06
259,-5.558202474941539e-05
260,-9.802870902691058e-05
261,0.0001729355485394538
262,-0.00015689716731389123
263,-0.0002903508543150478
264,-1.845040342972674e-05
265,2.524386573820799e-05
266,-1.5700787182613983e-05
267,-2.2025145726500572e-05
268,0.0011413182535264916
269,-0.00040524679347302606
270,-0.002377010243495285
271,-0.005468522911606882
272,0.0036027101205319545
273,0.003133122765188854
274,-0.00334854050148189
275,0.011357930940428768
276,0.0007248978892593098
277,0.0013710838540396193
278,0.00013291754769521912
279,0.007355261022834258
280,0.0033812883554049937
281,0.0007470292993774078
282,-0.003919936393153485
283,0.0008324837645993115
284,-0.00011398354819351539
285,0.0007330376751347638
286,-0.00044851876394830736
287,0.0004280672460224236
288,1.4059275985742818e-05
289,-4.0110236726733357e-05
290,6.939764394901367e-05
291,0.0001462846794238578
292,1.462305995441529e-06
293,-4.0752672991803025e-05
294,-0.00011097663653429995
295,-0.0004568405226666567
296,0.0011072139221330508
297,0.0006529799263121072
298,-0.00027523155923124613
299,0.005565692271120093
300,0.0016708619107222709
301,-0.0004617272964876772
302,-0.003016917057299325
303,-0.0059845622945934075
304,0.0015954019965643304
305,0.0030709556394058453
306,-0.003849693497595574
307,0.003192317054407237
308,-0.0002905576110162269
309,0.00016031986503968663
310,0.0003453293522576108
311,0.0007229399428792765
312,-6.819401568668256e-06
313,0.0004572030012655464
314,-0.00033255083540507257
315,0.0006742790195984924
316,3.451263803539717e-08
317,-0.00022701261845900123
318,0.0003628172362029325
319,-3.0959566758931906e-05
320,0.00045471280185812603
321,6.295944300715035e-05
322,0.00010754679892009901
323,0.0016445746657190042
324,-0.00014630717267518611
325,6.481524092453088e-05
326,-0.00010504092737166725
327,-0.00043941602686735007
328,0.00019488542363808365
329,-0.0004986718031322071
330,0.0006288933590975203
331,0.0010891275895929487
332,0.0021309079893847647
333,0.0006735739880021642
334,-0.0018973676737883667
335,0.004771771025311781
336,0.0007769081280215919
337,0.0003936508313860456
338,0.000140679578178198
339,0.004698667278221488
340,0.0008800128495821696
341,0.00014506307793550282
342,0.000931981610119379
343,0.005640871810928146
344,-0.0004361709967225106
345,-0.00036501722081879156
346,0.0003153398620646203
