,mathpass_black_hybridper_inf
0,-0.00022018244385468063
1,-4.794191792086585e-05
2,-0.0003307487540963637
3,-1.8467036033165165e-05
4,-0.00024818466819311914
5,-0.00035992215380251466
6,-2.0691817612835477e-05
7,-0.0011316415275909458
8,0.0026015134119643343
9,0.00018239653265567364
10,-0.00013415587413585672
11,0.0036051918864393982
12,-0.000878988843132016
13,0.0005814633211566354
14,-0.0025037883968163427
15,-0.009270466853845541
16,0.0008041291897187921
17,0.00053326622446319
18,-2.272237182382454e-05
19,0.0019767114896473035
20,0.0003459326971616622
21,-0.00010400588682348005
22,-0.0002895087420936818
23,0.0015156686379550987
24,0.00014872113203280034
25,0.0010070770364350868
26,-5.972798448631515e-05
27,0.001126215812408281
28,0.005157061123650018
29,-0.0009978303039737972
30,-0.0046473227837867115
31,-0.007454812754634159
32,0.00021693580543023636
33,0.0004160079620183986
34,-1.03653349719939e-05
35,0.0036171271154357017
36,-4.735624526909533e-05
37,-0.00025756039160267747
38,-0.0006286583737778431
39,-0.0011800742874993047
40,-7.0375396055526e-05
41,0.00038265818421360815
42,-0.0011275002092972456
43,-0.0008367867442367845
44,3.8715742770275703e-05
45,-0.0008271160473188582
46,0.000619051582375046
47,-0.00039962694517107036
48,-0.00066027031876405
49,-0.0006472239617381151
50,0.0012188394790362714
51,-0.0005617703295784266
52,-9.163010928169107e-05
53,3.0727469354973794e-06
54,-7.653695306316908e-05
55,5.962279400013687e-05
56,0.001444612664010422
57,-0.0008424515934906654
58,-0.0027801774612207356
59,-0.00565325580349116
60,0.0018180836792778036
61,0.0033639674709446785
62,-0.0009472313584284506
63,0.011580791561465445
64,-0.00029476820255857483
65,-0.000888953449337623
66,0.0008736152374925378
67,-0.0016067912876433122
68,-0.001992395813357987
69,0.00012646709726322317
70,0.0015262721063339364
71,-0.0013921903443717223
72,-0.00024934291648984436
73,0.0002792054663955456
74,0.0012566607036317836
75,0.002914470955549357
76,0.0008941738190233522
77,4.064357416469562e-05
78,-0.0003154129280111638
79,0.0009200450896131889
80,2.4186652444942926e-05
81,-3.495994286611012e-05
82,-7.253975718698177e-05
83,1.0349340363430281e-05
84,-0.00020701967052047827
85,0.00023635886553359062
86,0.00035035977220920767
87,-0.0004314162727416513
88,2.078870135373354e-05
89,8.578310341917715e-05
90,-0.00016062029483527142
91,0.00035125428850031734
92,-0.0002927786750956927
93,-0.0013370207606467604
94,0.0003940653379409437
95,-0.003466498405749961
96,-0.003669866218002424
97,-0.0002312297517961451
98,0.0009075883129841571
99,-0.004829264180884003
100,0.0001152188739671726
101,-0.0010776732367158456
102,-0.0014885197641349988
103,-0.0064259936591507085
104,5.3020059764816384e-05
105,-0.00017405881895845443
106,0.00037157980075127966
107,0.0008059013700882218
108,-2.011864463734234e-06
109,0.000501955658691354
110,0.0003277337930433158
111,0.002704984362828642
112,-6.636955355783099e-05
113,-5.8962471368523555e-05
114,-0.00030955174093438284
115,5.5491099425296715e-06
116,0.00011081269219004139
117,0.0008262737948187393
118,-0.0006401888238982969
119,0.0005666628671400391
120,0.0004776183812638494
121,0.00021895666409450763
122,6.688476483043876e-05
123,-5.141046918978246e-06
124,-5.4618949209281066e-05
125,6.663675639438864e-05
126,3.951953018114006e-06
127,0.0007280476835285398
128,-0.00010927672569818426
129,0.000489619241316769
130,-0.0021735472634864137
131,-0.006559831989713045
132,0.00024240785040654993
133,0.00017827647537527758
134,-4.9303731574036165e-05
135,0.00046882913113728097
136,1.4798147384504144e-05
137,4.062057462072825e-05
138,2.34501795583911e-05
139,8.314117103677656e-06
140,-0.00030298328248681887
141,6.595846498647236e-05
142,-5.8973559998407495e-05
143,3.085229738379188e-05
