,elapass_wi_hybridper_inf
0,0.0009441684154889698
1,-7.688901444208964e-05
2,3.3939146248585267e-06
3,0.0013505079236019704
4,0.0004898418121035465
5,8.801762532196444e-05
6,-8.772793068461575e-05
7,2.3252810304114836e-05
8,-0.0003585668394818548
9,-0.0007547047278821634
10,7.643725090421307e-05
11,-0.0010964231078125237
12,-0.0017886040365111449
13,4.994581713643035e-05
14,-0.0001235937506413853
15,-0.002991343215523474
16,0.001693467794583204
17,-0.0002346722461235808
18,0.0009432417344364323
19,0.0006206879185013201
20,0.00028466474402529825
21,-0.0009058907246007846
22,-0.00019265005642943311
23,8.085408076388352e-05
24,-0.0006266018016993485
25,-1.2268134925262147e-05
26,5.250198964766035e-05
27,-0.0009831112219120467
28,9.811604131121958e-06
29,5.35230165929887e-05
30,-0.00021084100113968215
31,-0.00038277645363179455
32,-0.0004022645260346701
33,2.8984951964060897e-05
34,-2.7098508145731924e-05
35,-9.110413138647176e-05
36,-3.414166264473991e-05
37,0.0005609955092080226
38,-0.0005351711073277497
39,0.000174403842694562
40,0.0001366749956650968
41,0.0001075988144102506
42,-0.00011679044087681364
43,0.0002094267881548257
44,-0.0007230634240346142
45,0.0005565934863312603
46,-9.183469958200561e-05
47,-3.1428537239018283e-06
48,0.0003166109752347338
49,-6.450188320790801e-05
50,-0.00016470391994203264
51,-0.0003429486929666311
52,-7.280411761605916e-05
53,-0.0004888092129778982
54,-6.253325632912606e-05
55,4.080138415490596e-05
56,-1.7853814672248945e-05
57,5.9127758804544845e-05
58,-4.656025270779043e-06
59,0.00016574754783535786
60,0.00012591856144193687
61,0.0001917320357664356
62,1.598630685779161e-06
63,-0.00020211359293867737
64,0.000735621405048265
65,-0.00018951723775069196
66,-0.0012564501135795007
67,-0.0020701210050815323
68,0.0005099795436255338
69,0.00042008986917234023
70,-0.0005555309626827443
71,0.00033907934578109
72,0.00022709620944297892
73,-0.00013337617670705748
74,0.0002712569008247614
75,-0.00012122370406633768
76,-5.878878031534545e-08
77,-0.001941829450807457
78,-1.4992670219362074e-06
79,-0.0028700251668970483
80,1.1397527393879337e-05
81,3.348748809883491e-06
82,0.000584163756855365
83,0.0014519022256989419
84,-0.0003784355413268946
85,-0.00023565372866437382
86,0.00010884426357200003
87,-0.0001387948983020345
88,0.0005626013352973293
89,-5.714680140737375e-05
90,-0.0001512752742311709
91,0.00012915338182595813
92,-0.00012163916728134564
93,-0.00015404960807728795
94,0.000413414027459834
95,0.0015583301271293315
96,9.774309216773758e-05
97,0.0004890283274079097
98,-0.0003048630315891815
99,0.0017282287774722665
100,4.127363047998532e-05
101,-0.0002227068953526459
102,-7.050413876543637e-05
103,-0.0005026447533350236
104,0.00014478168781869333
105,1.0188699381779266e-05
106,0.00020383705363304972
107,0.0010261650401351353
108,0.000815871941487809
109,0.0003289324361614261
110,-0.00017242848483102317
111,-0.0006801772936909151
112,-0.00015795290068314303
113,-6.471526363457178e-05
114,-8.225586271669049e-05
115,-0.00017399253330846673
116,0.00025287074369747544
117,0.0011724128696606305
118,0.0002740767927772711
119,0.00012348922651339543
120,0.00018250949010324298
121,0.00035539945276635414
122,0.00023073047332200074
123,-1.2413009680193687e-05
124,-0.00029054226803688443
125,-3.512819030196986e-05
126,1.3745598860853463e-05
127,0.00022852939280974566
128,-0.0006746071878707181
129,-9.720520817689696e-05
130,-6.298804602619382e-05
131,5.071937154341962e-05
132,-4.3679397058901566e-05
133,-0.00015850661234259803
134,9.11965616171947e-06
135,-0.0008679571050426954
136,-0.00010109691354178247
137,0.0005005792321719909
138,-0.00027403702939650436
139,0.0004156936097555114
140,0.00014288337594895383
141,3.52464312894732e-05
142,3.875916779524867e-05
143,8.387612451841048e-05
144,0.00043004140270441006
145,-0.00010993473439350939
146,0.00011565589418601365
147,-0.00014612078787408457
148,-0.003816378376521995
149,3.899893970215862e-05
150,-0.00020195341856388185
151,-0.00244839293120899
152,-0.0007884945284637595
153,3.226994812180493e-05
154,0.00043146744850941493
155,-0.0007329325580511058
156,-0.00018495152340131124
157,2.850481971964835e-05
158,-0.00019606999584974609
159,0.00020255450906309083
160,-0.0008595899903679089
161,-4.523871892144971e-05
162,3.9095988008124916e-05
163,-0.0010627913088549065
164,-0.0004038879554482242
165,0.00026885946695707124
166,-0.0005397557534105969
167,2.2488702146819967e-05
168,-0.0004928935039612865
169,6.354260198827483e-05
170,-8.611603384560679e-05
171,-2.248275056490167e-05
172,-0.00033193002340795225
173,-2.2268274976580277e-05
174,8.050304518310353e-05
175,-2.103906824068072e-06
176,-6.348457714572526e-05
177,-0.00020429960242840132
178,-0.00026078669126669454
179,-6.298403936507392e-05
180,0.000312083075341264
181,0.000697267579597225
182,0.00035291622624614665
183,0.0001333141990399915
184,-0.001766376834864911
185,-7.972966073659957e-05
186,-2.6657164620919238e-05
187,-0.0021452088480510044
188,-6.693737719110821e-06
189,0.00010280912976608774
190,2.350548649907358e-05
191,-0.0005720038011006427
192,0.00020551394549853742
