,drop_virual_1
0,6.506571823169264e-05
1,0.0007600959245577255
2,0.0014475429587953615
3,0.005367425732108427
4,0.0015541716360130745
5,0.0015989024819226371
6,-0.0026701100970499374
7,0.002501030201545983
8,-0.004089545531838296
9,-0.001474891209001548
10,0.0014513196664717022
11,-0.011253506459905109
12,-0.00397513423177999
13,-0.0019862355223978748
14,0.005014726855238208
15,-0.002541590744927093
16,-0.0030453409699145386
17,-0.0026981858380416847
18,-0.00011438012948329759
19,-0.01990285297367986
20,-0.0012558926157915148
21,0.000618193708358621
22,0.0011626345504294497
23,0.005458474042646359
24,8.496791700068447e-05
25,2.3582538111631574e-05
26,0.0017164662395226192
27,0.005645534923626573
28,-6.236813593286034e-05
29,-0.0008086438060485513
30,0.0003429970922557505
31,-0.003120495171634946
32,0.0010283421277670233
33,0.0008207965844173544
34,4.718358898234607e-05
35,0.007835386725983549
36,-0.0027544799133297393
37,-0.00042419872871538267
38,0.00015722234318912704
39,-0.00571366076944743
40,-0.0018476549229658923
41,0.002739439303274797
42,0.0004889752950674429
43,0.00558149677816176
44,0.001679220963153101
45,0.00035320333546170546
46,0.0026039921218096907
47,0.016596019771555063
48,-0.0003985501807140279
49,-0.00046594611517448655
50,0.002615807256290109
51,0.0035468571795995705
52,-0.0003478932721303346
53,0.0002619359849314263
54,-0.00022326842517138962
55,-0.0007747252059433128
56,0.0021984370056297533
57,-0.0005168312802305378
58,0.004967337292121509
59,0.01709336730620248
60,0.00042338254801159425
61,4.742173629243716e-05
62,0.0009696352872183838
63,0.005068584662999438
64,0.007982127119221314
65,-0.004328752001071706
66,0.001401579802133324
67,0.011260758606837772
68,0.0007036905014765208
69,-0.0007508513608066933
70,-0.0003508373407739604
71,-0.0021145232759646154
72,-0.0002346344487296576
73,-0.0006631573405425081
74,0.00040470239943891614
75,-0.0018541585696694202
76,0.00016246810926314446
77,0.0005465661286201116
78,0.00012121758798386036
79,0.003073606128505029
80,0.00013152207041352507
81,-0.001124354313492519
82,0.0002884860335915833
83,-0.0017479185562291062
84,0.00046059048135380147
85,4.095237352918088e-05
86,-0.0015783397131811968
87,-0.0006363148752183488
88,0.00018403609736574207
89,-9.132345984972814e-05
90,-0.00014836509786584807
91,0.0002911359127439574
92,-0.0012267043265388978
93,0.0007180360772946376
94,-0.002247287286322536
95,-0.008872963876065539
96,-0.00014481020324089394
97,0.00020006344025445689
98,0.00017367108437875466
99,0.0006385970266059259
100,0.004912768215489153
101,0.004339338679427391
102,-0.0034307945710149923
103,0.019418687369333994
104,0.0008414262858132431
105,-0.00042994374411988167
106,-0.0005301358281710689
107,0.0021858613556584613
108,0.00010396837915729908
109,0.00033047747225714764
110,0.0008106091182074125
111,0.00343592359626398
112,-0.0002701078558057543
113,-0.0003202242337025856
114,-0.0007138004521706931
115,-0.0005582212670826164
116,-0.0010240345695780057
117,0.00011890015284628248
118,-0.00048139790311137166
119,-0.004060723081008246
120,0.0007559187744754874
121,0.0008630111613427019
122,-0.0016956895328545112
123,-0.0004971647793728878
124,-0.0001232616202825796
125,-0.00034835960571699264
126,-0.0015185835256872019
127,-0.0055464027693067006
128,-0.00011018725108281495
129,0.0005090692172616072
130,0.0010689193207858683
131,0.0034093595704151264
132,-0.0001680185732981253
133,8.340801151649361e-05
134,0.0003776647208610161
135,0.00038068519868076674
136,0.00042089887587811565
137,0.0004360048795391311
138,-0.00011409546170762477
139,0.004031275362796669
140,-0.00042977435378075107
