,elapass_black_virtualper_inf
0,-0.00042166397101615086
1,-0.00010738670295373251
2,0.0003120080098185973
3,0.0009396378512479824
4,-0.0003949942690950184
5,3.06223867587675e-05
6,-6.819031866043538e-05
7,-1.4880680829530861e-05
8,0.00015619609827100542
9,0.00022307685974241802
10,5.667792427146075e-05
11,0.0003031998000193821
12,0.0007200152327914072
13,0.0001429124956624332
14,-0.0002630772281553017
15,-0.0017296583518511069
16,-0.0016531993604525707
17,0.0002812461601793339
18,0.0007843405396561415
19,-0.0013193004452464888
20,-0.00011540542721545287
21,0.0006868664805845319
22,4.9503835925532696e-05
23,-7.489013400021664e-05
24,0.0002632625151582233
25,5.518847686105995e-06
26,8.85682628099015e-05
27,0.00015925731822171555
28,-5.0942190522362157e-05
29,0.0004909499104890628
30,0.00027770524991193587
31,0.0010564106767958553
32,-0.00048096315315056677
33,-0.00020673114591929502
34,0.00014886742310438108
35,-0.00026735893694253515
36,-0.00015874953859164862
37,-0.0008325029721826989
38,0.002136698888320078
39,-0.00043513515608915946
40,-4.3201406761768604e-05
41,-6.768818302694049e-05
42,0.00044615694864986647
43,-0.0002800224911467454
44,-0.0024082130474973513
45,0.0015378826644078215
46,0.0005050323648524779
47,-1.8258432813702786e-05
48,0.0011014878345989802
49,0.00046253808592305114
50,-0.00285547549665764
51,-0.004571116993055508
52,-0.00028195239420906825
53,0.0018823272297127467
54,-0.0004336066062066126
55,0.001736652918925687
56,-0.0017069262512075774
57,-0.0004789937654999233
58,0.0008337996574776239
59,-0.0038470389625107505
60,-3.928963047683761e-05
61,-0.000574101027255792
62,0.00019636104985560772
63,-0.0004541481891620883
64,-0.0008692163836960917
65,0.00021567842904514334
66,0.0013052001559353545
67,0.0023071506399490174
68,0.0007266830816882661
69,0.0003611868493362288
70,-0.0003813144778511111
71,0.00034896121203801487
72,0.00047260241928773883
73,-0.0014125957305848383
74,0.00023408307687730026
75,-0.0002990198735006493
76,1.3473019836256462e-06
77,0.000802222531939261
78,9.430112324664145e-07
79,0.0007156683465859328
80,-0.0001162277253957014
81,4.442945649003073e-06
82,0.0014718834556081506
83,0.005154018716053688
84,0.00046285677493630977
85,7.50833615035164e-05
86,-8.167993121273368e-05
87,0.00012567714832485244
88,7.195158393040057e-07
89,-0.00010263153533380211
90,-2.804717617772311e-05
91,3.108879025781696e-05
92,6.069353376674753e-05
93,0.00019523269694316666
94,-0.0003719977790109967
95,-0.0011527384971517925
96,-0.00032401239860023766
97,-0.001441451023672387
98,0.00045613727907898736
99,-0.003912431405220707
100,0.00019971672822717852
101,0.0007352913506256078
102,0.00026630622920309586
103,0.003999902181574158
104,0.0004086733691670365
105,0.0005286849659825103
106,0.0009740802202693321
107,0.005817178402910686
108,0.0006822955064391167
109,-0.0007425267480549937
110,0.0024570613380101285
111,0.01138858571335888
112,-0.0004047876862747634
113,0.0005028396814350689
114,-0.00032984668557415134
115,-0.0016036305768131523
116,0.00027166231168202046
117,-0.003406683501202289
118,-0.0014144711468349386
119,-0.01151989420523911
120,-0.0001013748917842054
121,-0.00045605013689052853
122,-0.00017774928677910426
123,2.8078723555418318e-06
124,0.00024315578474830694
125,-8.294313106404645e-05
126,-0.00011638200259651366
127,-0.0003783403618975306
128,-5.6233891228427316e-05
129,2.4656394345618262e-05
130,4.357608697258711e-05
131,3.061026541821457e-06
132,-3.636239747193588e-05
133,-0.0006811131048444693
134,2.004548073842721e-05
135,-0.0017539281210559236
136,0.0009161002782648481
137,-0.004560269983020634
138,0.0022847071204454335
139,-0.0036753108786495617
140,1.269468778505753e-05
141,-0.000280004986039927
142,0.00011092174836363745
143,0.00020246323619850816
144,-0.00019058543262049808
145,-3.2216470636476744e-06
146,-7.581425590323613e-05
147,6.974162261298054e-05
148,0.0024589930582286893
149,-0.00013734934522674502
150,0.0002634203658753199
151,0.0007053929246589227
152,0.000418847115086612
153,-1.4627129341363193e-06
154,5.42003636167495e-05
155,0.00012090485341372263
156,0.00012270892983777215
157,-2.3786491139565668e-05
158,0.00020542615171768617
159,-0.00010991289396965786
160,0.0003653260276287996
161,-9.779595859994803e-07
162,0.00013577427849277698
163,-4.1920441161166034e-05
164,-0.000567542280001846
165,-0.001908155378649405
166,0.001981346893109539
167,-0.0032902019445254635
168,-0.0007708633343104492
169,0.00032605160254522693
170,0.0008687181128549196
171,-0.00013615638217747507
172,-0.0015506581776570264
173,0.0007462246716429643
174,-0.0005779879429793327
175,-0.004918728633346051
176,7.098888096420362e-05
177,-4.689181329332921e-05
178,0.0002851147613638
179,-8.795484403436741e-06
180,-0.0001375692169099401
181,-0.0006543813456340207
182,-0.00022956660313508382
183,-3.527263215886389e-06
184,0.0010808049553145062
185,-5.8657536795453124e-05
186,4.1042170692850836e-05
187,0.0009595879432227221
188,-1.1432072216948735e-05
189,-0.0025906375596513984
190,-0.0001772799918592453
191,-0.008032951453568627
192,-9.229718109968209e-05
193,-6.998051188860071e-05
194,7.16837183711621e-05
195,-0.0003653922624356727
196,7.863522841852878e-05
197,5.004721465126391e-05
198,-0.0001337738074123072
199,-0.00040273954538481803
200,0.00013079133607795556
201,6.21637848458947e-07
202,0.00010244253104189293
203,2.82824472064654e-05
204,0.00031831385763239536
205,-0.0011433774222164622
206,0.00026139469244645697
207,-0.0012618071425779444
208,4.85969512776463e-05
209,-2.7343673228388512e-05
210,-0.0006211537282989719
211,0.00014852758902487068
212,0.00032143135139911874
213,-0.0007726214644393106
214,0.0004505135191660967
215,0.00023069385101653786
216,-1.1444815339671032e-05
217,-3.17867935215966e-05
218,3.959691603642386e-06
219,-0.00011050498827383404
220,0.0002449449458006904
221,0.00010630808723478229
222,0.0007430222500589362
223,0.001053296567067261
224,-3.9099539683149074e-05
225,1.1537199439808017e-05
226,-2.435450922316202e-06
227,-0.0001996534810168359
228,0.0003839192306862732
229,0.0002824399619897191
230,-0.0005045505068549574
231,-0.00045665749557483926
232,0.0005280361132448532
233,-1.320486969593298e-05
234,2.561723050218564e-06
235,0.0011223933590743642
236,-0.00020589834565728972
237,0.001473945796844457
238,-0.0013080384332121208
239,-0.0020408171549830554
240,0.000842839317009095
241,-0.00045680895263788574
242,0.0005840204634418428
243,0.004449200950177995
244,-0.0018891367198394127
245,-0.001171084130480721
246,0.0007850685037086414
247,-0.006615116004465584
248,0.000446320118393664
249,-1.0373149460019207e-05
250,0.00015936721216499423
251,0.0010191989320156854
252,0.0022582098852366346
253,0.00041467107658386525
254,-0.0008738803239587791
255,0.009443626386266534
256,-3.6190358290490596e-05
257,-0.00010661205060988612
258,0.00036094236288453167
259,0.001311291693727451
260,0.006815043808031625
261,0.0023114121486383435
262,-0.005305460452230476
263,0.015453531018454987
264,-0.0007450921343642206
265,0.000486755282809981
266,0.001231619906567862
267,0.0011031217699549146
268,-0.0002527486564258703
269,-5.744625572723567e-05
270,-2.1003445516199614e-05
271,-0.0010341749202352414
272,-6.0857907241323994e-05
273,-9.49607602976464e-05
274,-8.346359132362238e-05
275,1.110154745961931e-07
276,0.0003272559008054713
277,-0.0012675639951200057
278,-6.214743570543714e-05
279,-0.002408730798803616
280,8.243597443907081e-05
281,0.00020515045089082308
282,4.1458278398134354e-06
283,-1.8293342574002225e-05
284,0.001358774731314677
285,-0.0009391563878625802
286,-0.000694814274535497
287,-0.001859513960186745
288,2.8699622462471328e-05
289,-0.0002304628851332117
290,-2.838760923730751e-05
291,0.00029642592696470753
292,0.0001491713215697552
293,0.00030654482816531195
294,-0.0007806837119090214
295,0.0007611179430683472
296,-0.0013745283807177532
297,-0.000551856314137682
298,0.0013695034424282902
299,-0.0014116067521985616
300,-0.00021857323966784992
301,-2.0015146417043854e-05
302,0.00018700771667290371
303,0.0001227299061035801
304,-0.00022432076530934947
305,-1.9217484781856294e-06
306,-0.00043265556301857815
307,0.0006964166894447042
308,-3.240293793882971e-05
309,-0.00018369930169837576
310,-6.161758203666777e-05
311,0.00012019940940245789
312,-0.00010639600803023959
313,-3.345841305116212e-05
314,-7.87937162941141e-06
315,0.00022397773104047359
316,-0.0006873403071842336
317,0.00020183563622264348
318,-0.0011077720765069056
319,7.140733725727404e-05
320,0.0001554290800278917
321,7.605045154204138e-05
322,0.00035588301221544576
323,0.0016912849839636342
324,6.241230467268179e-05
325,6.669822250236103e-06
326,0.0001357559447401125
327,0.0013563285004419493
328,-2.54444415138152e-05
329,-3.467016556510634e-06
330,-0.00015997105681455522
331,-0.0009879769658378626
332,-0.0006613531541874668
333,0.0007739983194448174
334,0.00011269670806773229
335,0.0010499085652479212
336,-0.00021936366047274099
337,3.225664566661212e-05
338,-0.00012347989168193764
339,0.00017394104379828417
340,-3.673608461876342e-05
341,0.00022807424124707327
342,-0.0006476171345028018
343,0.0003980957749984035
344,0.0009611010237700606
345,0.0025027230018829305
346,-0.0012309881240675097
347,0.0023047101433814267
348,-0.0005525093645541348
349,0.0012183132853560532
350,0.0005399618273930827
351,0.0024649508121591546
352,0.0001050819094866499
353,-0.0004997393850969218
354,0.0001734408707663826
355,0.0008547739002740123
356,0.0008306167602533055
357,1.941539173362782e-05
358,-0.0006967155623432631
359,0.001227254595234085
360,9.174631968909148e-05
361,0.00045381743339099423
362,-9.523351087841459e-05
363,0.0004451601567784679
