,elapass_in_hybridper_inf
0,-0.004020002368619449
1,0.0011353663950103864
2,-0.0011081864299287896
3,-0.01224676273003482
4,2.5573397847042336e-07
5,3.967020776917856e-05
6,-0.00017144889170124685
7,1.6133888999884788e-05
8,-0.0006146794070439923
9,-0.001181904285689347
10,0.0010334502245233177
11,-0.002643758129544689
12,-0.0028574942345818304
13,0.0004699150919675008
14,-0.0007592092390716272
15,-0.01081986014159996
16,0.039585359205699784
17,-0.004586406845528695
18,-0.02585733550131049
19,0.02950603331125584
20,0.012251402474166975
21,-0.016890858657010278
22,0.006301243862692049
23,0.0055261325942718735
24,0.00047063448893402
25,9.62102122171786e-06
26,-7.144382929211095e-05
27,0.0008287984330827262
28,-0.0001845477934134164
29,0.0006511881405827031
30,0.0005518993734200595
31,0.0019389413180931625
32,0.00039477109798058646
33,0.0001674632226742254
34,-7.506512473631769e-06
35,0.00019432719236024543
36,0.0002731744907976823
37,-0.00011834109778243007
38,-0.00018267425220414447
39,3.844113169977754e-05
40,0.00030716058356799764
41,2.1409458409958872e-05
42,-6.26414293216731e-05
43,0.00020902168728801878
44,0.005527023889048583
45,-0.004888178568025641
46,-0.0020031946564784994
47,5.6298796088980465e-05
48,-0.0017099719473736453
49,-0.000613889503438545
50,0.00467851539771393
51,0.006886279429471994
52,-0.0003013561168137987
53,0.0012893200504940476
54,-0.0004629313803551896
55,0.001601376717521974
56,-0.002003122010429544
57,-0.0005233352321066782
58,0.0010391261196208057
59,-0.0044907568516057254
60,-0.00011158861593964425
61,0.00038327396836580746
62,-5.4309236123822776e-05
63,0.0005283725267266964
64,-0.007278615783925144
65,0.0023750865087266777
66,0.01161647736145114
67,0.02139450348938129
68,0.006283478379412538
69,0.005314803399868202
70,-0.010089617282396579
71,0.004732537633524399
72,-0.010243913417978404
73,0.02401636482310023
74,-0.01128039334181653
75,0.007028860966352936
76,-2.0507369429628062e-05
77,0.007905264211236194
78,2.8948790156062974e-05
79,0.027427746984325194
80,0.00036647103713764744
81,-2.0069386180176525e-05
82,-0.0058141869800478994
