,elapass_hispanic_hybridper_inf
0,-0.0019887469189423723
1,0.00018914918683383305
2,0.0003315583895638778
3,-0.0018188618524406157
4,-0.0007983100503073451
5,0.0004532996631722556
6,-0.0003403820901740818
7,-5.663849608226304e-05
8,0.00039508711428657003
9,-0.00041251252427996083
10,0.0001569220832000054
11,-6.713265960950007e-05
12,0.0023834672553134646
13,-2.368252131863058e-05
14,-0.00018062926404101705
15,0.0018349669645300142
16,0.000804940668651992
17,-5.501159896093004e-05
18,0.0002679497246271865
19,0.00023810160591296667
20,0.0001737795925247337
21,-0.0003489495161494426
22,0.0002717278549000035
23,0.0001444264345908698
24,0.0007261500409119421
25,1.501983308927269e-05
26,4.496783990864947e-05
27,0.0009115947098866321
28,0.0006220536396718304
29,-0.00040050339324412674
30,3.755897632487469e-05
31,-0.001216557767594153
32,-0.00029012940991787934
33,5.89736896082956e-05
34,7.837010157697748e-05
35,-6.720763441645708e-05
36,0.0017774979357965636
37,0.00026760578837116785
38,0.00025973549523593617
39,0.0003259217845810266
40,0.0005039627529356276
41,0.00021969912357412027
42,0.00020285723395303652
43,0.00034492532289447726
44,-0.004338847782078454
45,0.0011591451173188097
46,-0.0005424100953970037
47,-1.0833397678812525e-05
48,0.00021196837488947072
49,2.01732315319125e-05
50,0.0002454057277191452
51,-0.00025198830053621877
52,0.00018799812898527687
53,-0.000383452878194665
54,0.0001473576553628123
55,-0.0006656318968157431
56,0.00032945052722762946
57,-6.866189280449408e-05
58,-2.320034194211672e-05
59,7.252806960163169e-05
60,-0.0001383682187636584
61,-1.5246612105352809e-06
62,0.000271745282865759
63,-2.843958307389016e-05
64,-6.291600596144065e-06
65,-0.0002130722726961253
66,-0.0014498066167835208
67,-0.0015365475407031891
68,0.0014287127143222547
69,0.0007002475968222299
70,-0.0005338998436072123
71,0.0006490070900545946
72,0.0006043710281844908
73,-0.0006980972425388738
74,0.00022865005341981138
75,-0.00026152036157542157
76,3.4197897121545494e-06
77,-0.0010212683474825647
78,-4.366433939637945e-06
79,-0.00406150202053226
80,-6.429327500572215e-06
81,1.0414244391018984e-06
82,0.0008700992789139011
83,0.0013905663083372487
84,0.0005706848730942696
85,-0.00021532455207336624
86,-0.0007740665668786009
87,0.00018333293974706977
88,-0.0001724416654732578
89,6.867205372413695e-05
90,2.5861807061336325e-05
91,-4.5210734953409827e-05
92,9.464738531651053e-06
93,0.0004220308642122873
94,-0.0006417862196923115
95,-0.001446713948553873
96,-0.00024736892460043287
97,-0.0006514838506463459
98,0.00018840094725915802
99,-0.0020382041968326817
100,-6.479986773789639e-05
101,-0.00031203132399179964
102,-3.84166611736632e-05
103,-0.001240335239742444
104,-0.0006525211656663901
105,0.00011906424220379203
106,0.00032856936641718416
107,-0.0012180372376247505
108,0.0007400021864872252
109,-0.0002940873000149173
110,0.0004842163310197882
111,0.00494386613662434
112,0.00023777313781764555
113,2.22403471523327e-06
114,8.396623231549875e-05
115,0.0003450604585635786
116,-0.0001392844926651076
117,-0.00038294187992817414
118,0.00020317615896404015
119,0.0012616282589914512
120,0.0001933209053541792
121,-0.0004884530752618618
122,-0.0002514926911654434
123,-8.42120443520265e-06
124,-8.831189521139169e-05
125,-2.2197233591173505e-05
126,-0.00013129069978648014
127,-5.541433157457874e-05
128,-0.0022100798599541584
