,drop_ed_hybridper_inf
0,6.86028048019961e-05
1,0.0008953189985033585
2,0.0016373663055314898
3,0.006051256757095439
4,-3.3628026551869546e-05
5,5.249629450958164e-05
6,-5.466749144174087e-05
7,3.056056605648071e-05
8,-0.00010973649361054765
9,0.00016225029226874953
10,-0.0002525111516263248
11,0.0008859522505414275
12,0.0003010241127202261
13,0.0001927405395802503
14,-0.0003545266035751362
15,0.00020592489180818675
16,0.0001855652280872159
17,0.00016591823180867884
18,1.0142721877725723e-05
19,0.001389763511260697
20,-0.00019855973949634882
21,2.2043065354761556e-05
22,-0.00011901629833530457
23,0.0003495204812688562
24,4.1284484356344325e-06
25,3.502170593311232e-06
26,0.00022935307875328144
27,0.000636884719616492
28,1.163398088231289e-05
29,0.00016754755849515072
30,7.22119256684781e-05
31,3.2651598795610416e-05
32,0.00010026449959833583
33,7.629518462187523e-05
34,1.1307418180839693e-05
35,0.0010744867473207677
36,0.0003260850022712938
37,0.00021294356695432897
38,-0.0001512660576546259
39,0.0021896647572952994
40,-0.0005863512606791969
41,0.0009885105349759274
42,2.69001399692185e-05
43,0.0012391820815645
44,0.0003007555542435264
45,0.00029089665429295636
46,0.0014226337861517548
47,0.008449439429153292
48,-0.00010711237277454627
49,-9.735998085529484e-05
50,0.0007126495116124268
51,0.0009189630981124532
52,-3.38112299503461e-05
53,6.2505247206342596e-06
54,3.695330115457131e-05
55,8.681464696769654e-06
56,0.0008324535862648226
57,-0.00034059805476639206
58,0.0024119959649452545
59,0.008575820663219418
60,-8.302377936579012e-05
61,-5.538506572702838e-06
62,-0.0002930226609596059
63,-0.0010079682480326785
64,0.002981612385173623
65,-0.002451805019397827
66,0.0005986673322651114
67,0.004985663665586916
68,0.004169034235205222
69,-0.004536774905974515
70,-0.004275675616967455
71,-0.015267008405684063
72,0.0011330695072563385
73,0.0024453737629915114
74,-0.0012255799142969395
75,0.006873120251669423
76,0.00012062036194204133
77,0.00046852231556755177
78,0.0001317615284263466
79,0.0027189137240295944
80,-0.0005497040791509535
81,0.0035305050595732927
82,-0.0011009249673892161
83,0.006404389318616203
84,0.0027698047201613497
85,0.0003675068873877041
86,-0.00498025728250413
87,-0.0030581572551153205
88,-9.425803974551652e-05
89,1.943391004653802e-05
90,5.78113068557495e-06
91,-5.6091157693445964e-05
92,-0.001066211978522678
93,0.0005709104587911395
94,-0.0015912891152457375
95,-0.007027858941333522
96,-0.00017935043678210354
97,0.0002387594617946885
98,0.00020411073335098847
99,0.0007674566285714284
100,-0.0029623244875339335
101,-0.0026381513441085438
102,0.0020915987317293118
103,-0.011788755918700758
104,0.005777090424641099
105,-0.00193082263074243
106,-0.0018039308307029192
107,0.00979399355897678
108,6.691623406266089e-05
109,-9.723190936381094e-05
110,-0.00036534928152419534
111,-0.00047443914305348394
112,0.001261644418173635
113,-0.0036963741713143894
114,0.003876748507851405
115,0.006102293432154562
116,0.0003822314501927134
117,-3.8907288743680914e-05
118,0.00013795999583704938
119,0.0013703308956806153
120,0.0015834846526160667
121,0.0014543675598148028
122,-0.0031322387222440817
123,-0.0009241069853752385
124,-5.269830765515876e-05
125,-0.00022058408678829266
126,-0.00141988841948174
127,-0.0036412623041324594
128,0.001068760611869584
129,-0.0029414288018099837
130,-0.004569640567718038
131,-0.020068574340875164
132,-7.681751175417459e-05
133,5.474359721012024e-05
134,0.00021576918609599776
135,0.0002156772349736854
136,-0.0012981986226488892
137,-0.0003798468775237606
138,5.6620534219588444e-05
139,-0.0035628474474933267
140,0.0007751677634945738
141,-0.003932410892985848
142,0.00306901047893538
143,-2.119094649229551e-05
144,0.0022761942405597813
145,-0.00045806780165254875
146,0.0019500708484087152
147,0.011389814742192304
148,0.0005561928502432908
149,-0.010333574629460619
150,0.002706131540223394
151,-0.02055355100518106
152,-0.00010213609010088677
153,-1.3885978106069554e-05
154,-0.00031736760059079534
155,-0.0001567718085899097
156,-0.00011470632223850528
157,5.913906325316632e-05
158,-0.00020244687775019033
159,0.00013145283305656083
160,-2.6621136405790422e-05
161,2.8842186475336226e-05
162,-0.000664947892593034
163,0.0005226621356567831
164,3.3127971110473824e-05
165,-1.9608894300990334e-05
166,-0.0001359992546504783
167,-0.00012303753655962786
168,-0.00027226147232947175
169,-4.7455490032172296e-05
170,-0.00014762251806529187
171,-0.0016290037283418974
172,-0.002415253226281447
173,-0.000779367912260119
