,mathpass_ed_hybridper_inf
0,0.000695282574429688
1,0.00020410626620133866
2,-0.00032149540665051197
3,0.0003517951712196502
4,0.00014127443918581124
5,0.0003104881849036567
6,2.1823890897551628e-05
7,0.0008567569261624485
8,0.0005083338527851465
9,0.0011078546366812977
10,-0.0008018095826379927
11,0.005846900555033466
12,0.00020354874742645537
13,-0.00021445090776126685
14,0.001041450915725173
15,0.003229420740844579
16,-0.0006515220337426306
17,-0.0004439081531015826
18,-5.419710267306498e-05
19,-0.001447614841161925
20,-0.0003625706985381564
21,6.518705706198747e-05
22,0.00032187361015873904
23,-0.001471707158839498
24,0.0002464606718210941
25,-0.0006801157776947753
26,4.310189934505005e-05
27,-0.00033396788668499285
28,-0.005006776490394993
29,0.0009186887529465075
30,0.004244330290555916
31,0.006999388537135241
32,-0.00022648979217511264
33,-0.00036674100371769766
34,2.185231692764225e-05
35,-0.0034840465555910087
36,5.260956686250512e-05
37,0.00014918359710236267
38,0.000516382397078025
39,0.0006889792445320532
40,2.2503961942526547e-06
41,-0.0001411812241626542
42,0.0008905652540615904
43,0.0004576380096558228
44,-2.180586444866838e-05
45,0.0003948661962798078
46,-0.00034126093449948774
47,0.00021339179703764338
48,0.00030871366589482275
49,0.0003082128405390954
50,-0.0007197241716529026
51,0.0002888029959513921
52,9.500931388898907e-05
53,4.274223140076453e-05
54,7.055131823528102e-05
55,-3.156549657780869e-05
56,-3.3565327514854577e-06
57,0.00010533068876363133
58,0.00019426631597836374
59,0.00038657583002121707
60,-0.001454757617697279
61,-0.0026742518000828423
62,0.0006978598971040967
63,-0.009031777948748721
64,-8.745694635796192e-05
65,-0.0005009003854102569
66,0.0002565858158742831
67,-0.0005934494409258573
68,0.0012821358910983002
69,-8.113417428027718e-05
70,-0.0008173366055243644
71,0.000847926999319377
72,-6.686542818044447e-05
73,-1.0486867737897547e-05
74,-0.00024756282234244604
75,-0.0001149143900870899
76,-0.0009518039618877648
77,-4.792809655682919e-05
78,0.00025711845033564673
79,-0.0007643173758412969
80,-2.683971027643247e-05
81,1.9103702581034248e-05
82,3.641773595236365e-05
83,-1.3750224148900926e-05
84,0.00015044205580416344
85,-0.0002210229814935215
86,-0.000343195282740963
87,0.0003996830987793865
88,2.9626571277874026e-05
89,0.00034993161340521545
90,-1.3490987260644927e-07
91,0.0003734485629816756
92,0.00021516009416938504
93,0.0009465470427879928
94,-0.00029730653254061014
95,0.0025288487301355074
96,0.0019287849027080253
97,6.324589500868902e-05
98,-0.0002642667289019745
99,0.0019520069748410133
100,3.123271871334265e-05
101,0.00026269852144870785
102,0.0007976734353001885
103,0.0019370273514315282
104,-2.9277353412489995e-05
105,7.33008962834092e-05
106,-0.000210501515697678
107,-0.0004127358772872687
108,1.0554597223674364e-06
109,-0.00027630673798598415
110,-0.0002328150523061304
111,-0.001584801615608222
112,6.491354921369004e-05
113,0.0001250152932177126
114,0.0002976801410068089
115,1.4543258550799801e-05
116,-2.5570107067808962e-05
117,7.021196856751862e-05
118,-0.00011025368654659338
119,-1.9419574239101153e-05
120,-0.0004298766181928077
121,-0.00016905055073575546
122,-5.991770296140554e-05
123,8.905653223638407e-06
