,drop_il_hybrid
0,-1.807180591291382e-07
1,3.818888005391997e-05
2,-1.1305856164702053e-05
3,5.712711581325604e-05
4,0.0005336048386072567
5,0.000435363360094287
6,-0.000613687366225158
7,0.00069425242606419
8,-0.0008013451499365913
9,-0.0003958635350607522
10,0.0003743327743522385
11,-0.0026798406983435602
12,-0.0005194752686558926
13,-0.0003796617231783016
14,0.000753568255282814
15,-0.00039755844312677806
16,-0.0003891101160256944
17,-0.000351607606364905
18,-1.8252733914907367e-05
19,-0.002759001786186173
20,-0.00010600902168331273
21,0.00023586851559760413
22,0.0009707893794299331
23,0.0018493182444810903
24,3.8576050931660614e-05
25,1.0814583918464083e-05
26,0.000663364888100793
27,0.0024056929673133883
28,-6.19480887233736e-05
29,-0.0009977436912337362
30,0.00015902660187230492
31,-0.0025312478833166767
32,0.0003867835082645819
33,0.0003611978478333426
34,2.055029654584217e-05
35,0.003250068800659097
36,-0.0011871490580275222
37,-0.0005616280405353723
38,0.0003529174449782153
39,-0.005816245479528705
40,-0.0005988899272257511
41,0.001037309800391339
42,0.00010953462805276576
43,0.0016672142076925498
44,0.00025814646686933026
45,0.00021155518066385317
46,0.00020841163670737287
47,0.003760193938964743
48,2.510301974296601e-05
49,-0.0001933914719814474
50,1.089172704152244e-05
51,0.00019757914674071132
52,-0.0001518349783555401
53,0.00020566031663792753
54,-0.00010221677601935386
55,-0.0004070766758572586
56,0.00047917170520773533
57,-0.000215112169323232
58,0.00046640490417063313
59,0.0038090002086927795
60,0.00023206067960383458
61,3.0005783891377555e-05
62,0.0009197249798535072
63,0.0034916092246727094
64,-0.0007398130728634623
65,-0.0011202058410501403
66,0.00033864719728275006
67,0.0011110870123309505
68,-0.0013920167903932685
69,0.0015357144936537343
70,0.0013152462923473529
71,0.004987112635133481
72,0.001810328611505677
73,0.003951621728652664
74,-0.0021257523596948436
75,0.01133307229992183
76,-0.00046792980722179414
77,-0.0015958469966705052
78,-0.00038581286208020575
79,-0.009169858357211146
80,-0.0006990608550050203
81,0.004528116134855223
82,-0.001393260430943272
83,0.00815345884343896
84,-0.0010511530808391151
85,-0.00013579092557636517
86,0.0021667838430072302
87,0.0012174024563082785
88,-0.0010809393600927641
89,0.00034459440500269445
90,0.0004478260785071717
91,-0.0011198772455990058
92,0.00020950658122910563
93,-9.405087498651287e-05
94,0.00038778808567385676
95,0.0014051331459695997
96,-2.785114993460842e-05
97,1.4383206037243332e-06
98,3.8416528039735336e-05
99,7.870063563863248e-05
100,0.0019647500888975004
101,0.0017772026781590873
102,-0.0014247522298352572
103,0.007937166905393641
104,-0.0014184485056348123
105,0.0005379537111501729
106,0.0004201531538133692
107,-0.002478637157135923
108,9.895197537689845e-06
109,-4.625407724603646e-06
110,0.00011385132098600043
111,0.0002225348677822497
112,-0.001284574888024981
113,0.0035524322964077867
114,-0.003634598460243623
115,-0.005923617231394481
116,-0.0021805134276566512
117,0.000311608057194323
118,-0.002248411267866305
119,-0.011690236353046491
120,0.002247773192908121
121,0.0019129840768535556
122,-0.004752158923715644
123,-0.001308010759017553
124,-0.00025456598698314994
125,-0.0007638505658750616
126,-0.004016735085522256
127,-0.012704918644332368
128,-0.0005073546679078308
129,0.0013813385229789175
130,0.002273842089787407
131,0.009649998962089774
132,-0.000891086402517931
133,0.00041490149925142185
134,0.0007437468950867146
135,0.0013337803644674978
136,0.0016525389730581573
137,0.000553901881014201
138,-7.70876660921735e-05
139,0.004848689241873685
140,-0.0009893485183330422
141,0.006431930967466768
142,-0.0054431028643725544
143,3.2901150382905146e-05
144,-0.0015549170849141543
145,0.00031577271778504654
146,-0.0012944326021988787
147,-0.007732254359699388
148,-0.0002213720453747858
149,0.004500306448488769
150,-0.001110428911539897
151,0.008529013141117914
152,0.000614286285881285
153,-0.00035671867325728077
154,-0.001055286921977462
155,-0.005096871546007643
156,0.0008322722373579243
157,-0.0008485216609264456
158,-0.0014509811556600615
159,-0.005426608685264232
160,0.00010768511810189953
161,-0.00015529219265758958
162,-0.0025047990394982613
163,-0.00972875567570993
164,0.00020415651255180746
165,0.00016038813577865375
166,-0.0012446473217210049
167,-0.003447918324373661
168,-0.00011417309929309624
169,-6.387169440833365e-05
170,-0.0004602851131098398
171,-0.0019153236729180891
172,-0.0002738732408869567
173,-0.00015600396368759038
174,9.220377183198106e-05
175,-0.0012574650557964648
176,-1.1249844794567332e-05
177,-0.0004484039029278337
178,-0.0006523949037589783
179,-0.003632940575362323
180,-7.144305684496852e-05
181,-0.0012130053042371494
182,0.001068073641495519
183,0.0015334785159732084
184,-0.0005336243828195479
185,-0.0005811542296436058
186,0.000767222271276296
187,0.00235851815406528
188,0.0016272846276696115
189,-0.0008187927005458765
190,-0.0023166513535598046
191,-0.004068854763102063
192,-0.00083317291377416
193,-0.00030812645870558397
194,-0.001032327815926473
195,-0.0069518547695630855
196,0.002367060492026678
197,0.0011706643648623511
198,-0.011375064756991023
199,-0.024218962831173856
200,0.0013404650413892365
201,0.0003435968683829654
202,-0.0009184152644518808
203,0.0013827879264525255
204,0.005137530846026507
