,mathpass_wi_hybridper_inf
0,0.0013426723055612315
1,0.00012086340325668859
2,-0.0001715461436899802
3,0.00041153324335910127
4,0.0009059670769341177
5,-9.654777903152929e-05
6,-6.130805622106181e-05
7,0.0013203617195771894
8,-0.0007141345501601132
9,-0.0009281642962530361
10,-3.574875924432745e-06
11,-0.002983016520322482
12,-0.0007175235187754309
13,0.0005093673007342601
14,-0.00036323993420416006
15,-0.005493363802175728
16,-0.0010145344595062723
17,-0.0005569140684156373
18,0.00027831366843912483
19,-0.002882385958990498
20,7.241828199127377e-05
21,3.479935511645856e-05
22,0.00016451119724396823
23,0.0003880547413329816
24,-0.0010548334864255125
25,0.0001129171516441041
26,0.00014058795764100446
27,-0.001350283755183713
28,0.0006188240708689895
29,-0.0005674419478213699
30,-0.0012727786581590104
31,-0.002203016833044074
32,8.241789900539767e-05
33,0.0004963972725657258
34,7.732037128710786e-06
35,0.0019959233583680754
36,-1.1956698264716544e-05
37,2.0601929805564914e-05
38,-0.00032151471589960626
39,-0.0005111484886932841
40,6.415512238846552e-05
41,0.0007758457629019395
42,-0.00043611031984515776
43,-0.00042761353275059345
44,-3.051971996847441e-06
45,-0.0006506139898234564
46,3.949774876371689e-06
47,-8.161832433725504e-05
48,-8.830490075028717e-05
49,-0.0002744619663325172
50,0.00015631717481308122
51,-0.00012515131869813626
52,0.00018893101615495534
53,6.732561666604293e-05
54,-4.7092088949038465e-05
55,-0.0005339658495215033
56,0.001381244286319764
57,-0.0005923063020329515
58,-0.002386121467361147
59,-0.004722053452880031
60,0.0009989146326170061
61,0.0018154986613395467
62,-0.00045921934128901915
63,0.00610533793755404
64,-9.460787995597932e-05
65,-0.00015362264600289212
66,0.00034160322099996724
67,-0.00048815436483625206
68,-0.0002592218472192309
69,0.00013535558609509935
70,0.0005581699339619219
71,-0.0007770490815166224
72,0.0002866251635102471
73,0.0004198616568849684
74,0.0006468738236934056
75,0.0011701617339771684
76,-0.0020042957930412613
77,0.00010364819868610069
78,0.00018672409079172937
79,-0.002411041137942152
80,-0.00013778772883350033
81,0.00021777587602034206
82,-0.0006354389093534387
83,-0.00014791595336441124
84,0.0017192277447623141
85,-0.00014965762858749318
86,-0.00041056119379517266
87,0.0007275545263931672
88,6.584873069779465e-05
89,0.0005013566359426759
90,-0.0005148448427507532
91,0.0012869250270637796
92,1.3494563409638132e-05
93,-0.00106913779573811
94,0.00032771697216482133
95,-0.0016786359859514485
96,0.0004051980290339661
97,-5.501841195668086e-05
98,-0.00022520056073236858
99,0.0002816037921735273
100,-6.34363745426402e-05
101,-0.0015867394582578132
102,-0.0007165293073972425
103,-0.004181519153574146
104,-1.7042484396421622e-05
105,-9.245924110596736e-05
106,-9.405884719409115e-05
107,-7.0901011065901885e-06
108,4.206429433828451e-06
109,0.000862613532084791
110,0.0002613442813504207
111,0.0003685127568051484
112,-0.00013812136953194736
113,0.00015780164459982046
114,0.0005392094464480724
115,-0.00020866662026604256
116,0.00011461429549694397
117,0.00015105799159079305
118,-0.0003021816153366555
119,0.00035950277266756485
120,0.0006067726869193601
121,-0.00015219611218227308
122,-2.4277250472424734e-05
123,-0.000122875528005222
124,2.2699006493198497e-05
125,-1.2142046321600821e-05
126,-0.00014917102660511763
127,-0.0004252476156167384
128,-7.423419928383993e-05
129,0.00029930783095713585
130,-0.0014346128975964497
131,-0.004241342629575491
132,-0.0003512867036100428
133,3.9324905558054546e-05
134,0.00016291793140731334
135,-0.0004357526555732768
136,0.00048154346726356423
137,-0.00014957482816904766
138,0.00021652699465019173
139,0.0007593977675989322
140,-0.00134057267828817
141,1.8727651509419942e-05
142,2.3080647955664756e-05
143,0.00012149193338303583
144,0.0004233426620325692
145,1.5051921825378758e-05
146,2.8105444043097647e-05
147,0.001446312115328492
148,-0.000376867371693189
149,0.00011931118999722924
150,-3.540893841585068e-05
151,0.00011656694674594004
152,-0.001590636931628026
153,0.00010896072788244777
154,0.0003193970033873615
155,0.0006420455368999624
156,-0.00042953686580214716
157,0.0004503190046496381
158,-0.0010796511624091836
159,0.00014124760643669494
160,-0.0003025249618827083
161,1.7741372767549818e-05
162,8.419869380331264e-07
163,3.849651433832385e-05
164,-3.17594282545611e-05
165,-0.0002674213611674309
166,5.10734437759144e-05
167,-0.0003385505206413951
168,0.00010344483784585913
169,-0.00032247782169641886
170,-5.4394180162794474e-05
171,-0.00018965865208584075
172,-0.0011538655523261633
173,1.540769505844348e-05
174,0.0003151023310713694
175,-0.0007176342943752618
176,-0.002104479316709524
177,-0.00033749023528966234
178,-6.283845010075534e-05
179,-0.005964706725006118
180,8.608099405584563e-06
181,0.0017084280104952567
182,0.0002368214816005801
183,0.002471691917813465
184,0.0001225810313925188
185,-0.0002103869520746186
186,-0.00023111280513414756
187,-0.0014164668433183504
188,-0.0004966002885722348
189,6.815576874388628e-05
190,0.00014811394185079002
191,-0.0006244096562590388
192,0.0004323682197922521
193,-3.93509951816206e-05
194,1.8347778216743094e-05
195,0.0007741947876446242
196,-0.00014926405886435214
197,0.00016739350619429324
198,-1.1469835040613894e-05
199,-9.89224139430382e-05
200,0.0003435509111441704
201,-0.00014017966831347714
202,-7.663789018301726e-05
203,8.559989162391785e-05
204,0.00020701421827180302
205,0.0008552573401893131
206,-5.793356355449009e-05
207,-0.00013244880897979222
208,-0.0006257553575789652
209,0.0014063281516015823
210,6.8509989022339045e-06
211,0.001548917600742464
212,-0.0003490709540120272
213,4.138680735949917e-06
214,-0.00036103094498567053
215,-0.0013977765485740825
216,0.0001145144863637905
217,-8.51722903482223e-05
218,3.7102530555535538e-06
219,-0.00019665854734295232
220,-0.0012032146483834363
221,1.6876199918634292e-05
222,0.0009386370912531538
223,0.0010828224750344612
224,-0.00024541563079684246
225,7.112988508588501e-05
226,-0.0004091927172724202
227,-0.0009135517399785401
228,-0.00010176894954446283
229,-0.0017841184285209315
230,-0.0002564657848829504
231,-0.000286161757778229
232,0.002648932410659691
233,0.0011635178546168063
234,-0.005652061670141329
235,0.006022360326414368
236,9.632866105617625e-05
237,0.0002217383423529505
238,4.821853105924898e-05
239,1.3672573588139144e-05
240,-0.0011176685750959642
241,-0.00029842375513699967
242,0.0025301989028379515
243,-0.0040435969919408715
244,0.000238431908069303
245,-6.867197953354337e-05
246,0.0001304270054419337
247,0.00045449326235539613
248,0.0005670975522847293
249,1.2983727734887047e-05
250,0.00021573410002207795
251,0.0011327880310212104
252,-0.0008618917222839655
253,-0.00042062420430716025
254,0.0026882263403472935
255,0.0036363090173132527
256,0.0011650661666245965
257,-0.0033874256010320795
258,0.002660530788864802
259,0.004230185193375106
260,0.00018229584903631666
261,-0.00030680340108699323
262,-1.5299606233171675e-05
263,-0.000745729552141565
264,-0.0001789638948441569
265,-0.00013253566430318674
266,-0.00030852278252062993
267,-0.002148170980357809
268,0.000652166368649635
269,7.886484077104728e-06
270,-0.0002520313593609369
271,-0.0002500774465122459
272,0.0016836384869302532
273,-0.001711930771779098
274,-0.0004659912428920017
275,-0.00046119078511606065
276,-0.00029593811123562925
277,0.0004426091378733696
278,-0.00010099133096619164
279,-0.00041611456780391877
280,8.215749647329326e-05
281,-0.0010242790632984866
282,0.00021197282503460972
283,-0.001215014329825838
284,0.00020993302184387866
285,-3.655761283994053e-05
286,1.8567208476417828e-05
287,-0.00011669875714730908
288,4.954276863282218e-05
289,0.000404349385036908
290,0.0006969093268939458
291,-0.00010821520752512436
292,0.0008933925858828562
293,0.00043362426895345686
294,-0.0012310549026755381
295,0.00048243099434193393
296,0.0007548330412204993
297,-8.581053385040416e-05
298,0.00034248193396493317
299,-0.002001672839307133
300,-0.00016495211267235043
301,1.0618326090818806e-05
302,0.0006465433538488347
303,-0.0009322116342370257
304,0.0006276083326745256
305,0.0015541126629848153
306,-3.2624253103592843e-06
307,-0.0001990920752588341
308,0.00018130076118871998
309,0.0008638489286888335
310,0.002031578534133348
311,0.0049578949820671524
312,7.527416777987113e-05
313,-3.916386282656442e-05
314,-0.0021733938466725216
315,-0.004954675187869581
316,0.0008306747858351391
317,-0.00026639797236561357
318,-0.0005314653770436558
319,-0.001989175227090915
320,-0.0005238048974363471
321,0.001522575867002814
322,-0.0001764629631640837
323,0.004735232729252348
