,elapass_ed_hybridper_inf
0,0.0005234055608298765
1,-0.00010627097269617791
2,-6.105882282675121e-06
3,0.0009484366593011047
4,0.00018607979238130065
5,-0.00022236761368124052
6,4.277685949937877e-05
7,3.3209936545636785e-05
8,-9.770944889765634e-06
9,0.0004289564844657004
10,-0.00029992374780970837
11,0.0006352521973085846
12,-0.00033077114825577614
13,-5.903585911308124e-05
14,0.00017892788605948352
15,0.0010466737006751495
16,0.0040539023111371185
17,-0.0004703331735494926
18,-0.0025163075833177662
19,0.0029765491819273857
20,0.0004996866863096292
21,-0.0006698221516110169
22,0.00019971329407661797
23,0.00020624365085794572
24,-0.00046097362414551966
25,-1.0808129331135035e-05
26,1.0328668286084286e-05
27,-0.0007142955158417596
28,-0.0009542242609302557
29,0.00016729899149673725
30,-4.516040178722824e-05
31,0.0014965948614678907
32,0.0002633716052812364
33,-6.97071030675767e-05
34,9.828824696903526e-05
35,1.7463993239867515e-05
36,-0.001496143207379826
37,-0.0006857499864587946
38,0.0011541738645181197
39,-0.0005206251061525968
40,-0.0006231640839274293
41,-0.00010693363494703268
42,-0.00012548637040568774
43,-0.0003570659565482002
44,0.0010952408786436664
45,-0.00010820578204391903
46,0.00027380022366123774
47,5.342155397868683e-07
48,-0.00021821398249548526
49,-3.63361423543177e-05
50,-0.00010385099407035028
51,0.00038554012115351726
52,-5.9999584443052343e-05
53,0.00013959835226532946
54,-6.213215292738852e-05
55,0.00023828451447374495
56,-0.00024850651930064926
57,-4.597685034766977e-05
58,0.0001696417804729328
59,-0.0005617278232839363
60,6.0609765274391534e-05
61,1.835187107156496e-05
62,-7.220271631923335e-05
63,-3.962774051520822e-05
64,-1.033794173416844e-05
65,5.476645072320458e-05
66,0.0002164301128223422
67,0.0003063217391462395
68,-0.0018232457270763213
69,-0.0014316522966690642
70,0.0020937564212704187
71,-0.0012088533270520764
72,5.958388535965573e-05
73,-0.0003217877406018709
74,0.00017011641801753828
75,-7.850574375751766e-05
76,-2.8824294000629782e-06
77,0.0012436668716129145
78,3.1674182677633883e-06
79,0.0037516874651515567
80,1.960068888500819e-05
81,-1.7693468876738404e-06
82,-0.0005494971674627973
83,-0.001511325052762133
84,-0.0002729139101113674
85,5.6305296911229866e-05
86,0.00038044187317601936
87,-9.720241423453951e-05
88,2.6866807825074842e-05
89,9.852104348740032e-07
90,1.6119056996223197e-05
91,-1.3155117309977294e-06
92,-1.41776964585914e-05
93,-0.00025975328581050384
94,0.0005183698834812891
95,0.0010434361855081167
96,5.648750651939225e-05
97,0.00039528494292115726
98,-2.6050755379518623e-05
99,0.0006795358769886733
100,3.394701618571897e-05
101,0.00013716149422878828
102,4.178229800842202e-05
103,0.0006899572145602989
104,0.000157414747727014
105,-2.1497677855955592e-05
106,-5.357053537477469e-05
107,0.0003796955756042376
108,-0.0003167428886931655
109,6.526264970890786e-05
110,0.00021421476921667056
111,-0.0009766496252652458
112,-8.483376717658675e-05
113,1.1118992855441765e-05
114,-5.089628864240847e-05
115,-0.0001707930650178076
116,-1.0103752025287764e-05
117,-1.627812561025139e-05
118,-0.00011323136592912996
119,-0.0002248647651477909
120,-2.927841164781093e-05
121,5.7171840881341105e-05
122,0.0001492324539397885
123,-5.363582910332068e-06
124,5.6314348241310154e-05
125,3.925153998582428e-05
126,4.978589807554001e-05
127,2.8514903342585788e-05
128,0.00047559829745350685
129,-0.00018892398107487923
130,0.0005800239279829328
131,6.561610134730151e-06
132,-2.070858036790666e-05
133,5.185332804571672e-05
134,-8.03437308383406e-06
135,0.00011635476063407106
136,7.824193192296818e-05
137,-0.000478756552921272
138,0.00022609339461466868
139,-0.00035638256075343157
140,3.333148122147786e-05
141,1.975495069334367e-05
142,-2.4935143478681367e-05
143,-7.3135151765743116e-06
144,3.3801291951674096e-05
145,-0.0001544167762712164
146,2.7557174135848015e-05
147,-3.883267652899995e-05
148,0.0001806121172232239
149,4.0875479995127715e-05
150,0.0001427844661027535
151,0.00010544747438417031
152,-0.0005975258282291484
153,1.871188509535708e-05
154,0.00020551068784854375
155,-0.0004474920842206352
156,-0.0001041428261761593
157,2.6561642680000247e-05
158,9.616810160183462e-05
159,0.000285911180495538
160,-0.00034502988790215545
161,-0.00018913250812064466
162,5.055326836320374e-05
163,-0.0009729432358681605
164,-0.00014607882587880114
165,-0.00033454160709898235
166,0.00022892544371605809
167,-0.0005546753514492232
168,-0.00022982764961677944
169,0.00012282124159107994
170,3.065860250738877e-05
171,-2.7761642492887002e-05
172,-0.00032684057586963085
173,0.00011180159978579968
174,-8.804798993764162e-05
175,-0.0008255221508198413
176,-5.977625994072407e-05
177,-9.183102552324882e-05
178,5.596743366208983e-05
179,-0.00012543500733995416
180,2.3088151340278183e-05
181,-0.00010485002913821535
182,0.00030184875149703025
183,9.726054930622505e-05
184,-0.0003557376661864722
185,-5.8785543930390394e-05
186,0.00028154543680621806
187,-0.0013357925777359918
188,-1.1272798272565233e-07
189,0.00011108422182050568
190,2.1928219307899223e-06
191,0.00015040573211162243
192,1.177812968182467e-05
193,0.00010039348934904936
194,-4.406386806317433e-05
195,0.00015217905408695725
196,-5.155263115363669e-05
197,-2.8685453002277475e-05
198,0.00018629028727494643
199,0.0003039748306473418
200,-6.200600871559222e-06
201,-7.757761421805076e-05
202,9.697307802892632e-05
203,-4.704017244633939e-05
204,0.00021678174602481027
205,-0.0003178279508570089
206,-3.2613632541439137e-05
207,-0.0002323124360868688
208,-1.9373369385617324e-06
209,0.0001029028856049012
210,0.0003095077999703639
211,-3.296206630764043e-05
212,-0.00024786229942578317
213,-0.00018361913103476433
214,0.0010326947017227001
215,0.00033855041356826857
216,6.4868810691426975e-06
217,1.6062093887164363e-05
218,2.2047719199266925e-06
219,7.22184725229529e-05
220,-0.0003401012826480749
221,0.00028599225330665326
222,-0.0013162840445649165
223,-0.0031367553551348783
224,-0.00012527297157245446
225,5.829772913038675e-06
226,-4.4348173464562486e-07
227,-0.00019154235488056323
228,-0.0005428032234835557
229,0.0002984363011410963
230,0.0016000849068961978
231,0.002567815320804894
232,-0.0001418648188195821
233,-4.330301676279208e-05
234,-5.674658821737972e-05
235,-0.0006883567374614013
236,-1.609365481177274e-05
237,0.0001398825292990804
238,1.095843456869166e-05
239,-0.00012821364412077504
240,-0.0012155930988911885
241,0.0006060901856191559
242,-0.0016402423276921936
243,-0.007805574056439443
244,0.0012068802751450248
245,0.0004008641202787931
246,-0.0002497978901536839
247,0.0027759611213884236
248,-0.0002668983557641988
249,6.583948070326866e-05
250,-1.6969644363936615e-05
251,-0.0006334556447878942
252,0.0010222784622749123
253,-0.00016096515092333863
254,0.0003224356793266402
255,-0.0012983470405489657
256,2.960063913618014e-05
257,-0.00024322218994575782
258,-0.0002225398110381236
259,-0.0015084956965889936
260,-0.00018599333925144076
261,4.7140617846213243e-05
262,-0.000199881725351592
263,0.00017948923836900917
264,-0.0010289068787343412
265,0.0003672595311095439
266,0.0006276647039823117
267,0.0008751126292740114
268,0.00012348966840868648
269,1.110294362154348e-05
270,-2.1265503071066e-05
271,0.00019464351857331972
272,-1.1524286752981718e-06
273,-2.4316430336102557e-05
274,5.1636525383302454e-05
275,-0.00018315468718709747
276,-0.00020044145783785597
277,5.9503323758108535e-05
278,-3.6552097261710965e-05
279,0.0003033305259385697
280,-0.001755305125077588
281,0.0025835437967403284
282,-0.0016883559018374432
283,-0.002242065511150075
284,-0.00014341411596398174
285,-8.62639863626472e-05
286,-9.466206303721021e-05
287,-5.37178114151441e-05
288,-6.961260513255719e-06
289,4.957810765471615e-05
290,2.5994112592098153e-05
291,-0.0001484993915667062
292,-9.370583568467872e-05
293,-0.0001520563068140581
294,0.0003673513862745126
295,-0.00037849569984689345
296,-0.0006709655892205861
297,-0.00012793353752971648
298,4.690393563214876e-05
299,-0.0003571297507732261
300,0.00023073967623096805
301,0.00014533211155203315
302,-0.00032972265498127664
303,-0.00020156494343058045
304,4.354879283862338e-05
305,-6.537092032140606e-05
306,-0.00015310527845634441
307,-0.0005722247386988601
308,3.965135258619801e-05
309,-3.9680689028306483e-05
310,3.120408593121738e-05
311,-0.00020798415462281497
312,-0.0003195855697639993
313,2.8673121614852566e-05
314,-0.00011458393708164619
315,-0.0011553073170732374
316,-5.524021615959567e-05
317,-0.0001240628479884909
318,0.0003478370877477008
319,-0.0002283558164838266
320,0.00022150922682068896
321,0.00025480037751749937
322,0.0003814507329722098
323,0.0026795644863402816
324,-3.773899532099003e-05
325,2.7150544033749806e-06
326,-6.584949488335097e-05
327,-0.0007583326073335245
328,-0.0001784438406323923
329,-0.0009259664446748721
330,-0.0003293161395350215
331,-0.004353391973141019
332,0.00021608808303124835
333,-0.0003611327363435692
334,-7.33405929739706e-05
335,-0.000506796392173032
336,0.0009366932478333716
337,-0.0012801073980320903
338,-0.0006289422762520123
339,-0.0036854234984849397
340,0.00016486854380381625
341,-0.0031368969551343997
342,0.002592195282105776
343,-0.002155290790308098
344,0.001131011703984507
345,0.0035613367017403134
346,-0.003281675609621595
347,0.0036109835743217376
348,-0.0006437130979557122
349,0.0005944527184691484
350,0.0004451781211543963
351,0.001881833721981161
352,0.00012482904400624924
353,-0.00012731879151375752
354,5.278277174110287e-05
355,0.0002942967957004811
356,-0.0007109546482508174
357,-6.895647460264006e-05
358,0.0005373222480177614
359,-0.0011663179567359043
360,-4.4903552307146985e-05
361,-0.0003130653696636127
362,0.0003818589307417532
363,-0.00033569155780735504
364,0.0017643277434186047
365,-0.00395539029659269
366,0.003105406036023591
367,0.0029009257692555177
368,5.6032023625607054e-05
369,-0.00010421426907023344
370,3.0184086231830766e-05
371,2.7333778448995915e-05
372,2.1922947623360702e-05
373,-9.502085425735873e-05
374,-9.80813408904973e-06
375,-0.0002543636106750529
376,0.00019989490895296042
377,-1.2765109784634804e-05
378,2.4007556132897884e-05
379,9.068284262971378e-05
380,-5.82836426328984e-06
381,1.2960887218988736e-05
382,2.2029548820177328e-05
383,1.016030114683328e-05
384,1.518192447426665e-05
385,-7.689395187453571e-06
386,2.443657516619734e-05
387,9.825552936967818e-05
388,-0.0009651481125987027
389,0.0003227347813781807
390,4.0728648322009956e-05
391,-0.0003533047097615752
392,-1.0575052264176574e-05
393,-0.00034574981343711
394,-0.00028581040642275505
395,-0.0019495180204695613
396,-8.12893832458878e-05
397,0.0004786064022596145
398,0.00033385615627326906
399,0.002187830491651403
400,0.00029037906856499077
401,-8.696390066694931e-05
402,6.60705384165584e-05
403,1.2108908156188044e-05
404,-0.0008331913986453721
405,-0.000186844376045815
406,0.00040869311627710064
407,-0.0016902698496647393
408,-4.599487685738811e-05
409,-0.0002653864829770012
410,0.0001448039321219873
411,-0.0006947417019286948
412,0.00011719687320109129
413,-7.883810421198478e-06
414,-1.3099431417081744e-05
415,0.00010381605689975818
416,-2.5446097241367156e-05
417,-5.548899935838358e-06
418,2.8975107591605048e-05
419,0.00021740272966343094
420,-0.0001663037450969869
421,2.447244268465713e-06
422,4.1362117440991985e-05
423,-2.1408859960473392e-05
424,0.00038290925588939606
425,-4.15110522594839e-05
426,0.00040912201525777333
427,0.00018761953771637968
428,0.00011067844487401228
429,-7.502904235271753e-05
430,0.00013844304818921963
431,0.0007208820586922923
432,-0.00025874560950629776
433,0.00023673545240333614
434,-0.00021394058479801847
435,-0.00044623676339452124
436,-0.00022464890111937888
437,0.00025328571310181925
438,-0.00015739898098380685
439,-0.0006393133394153494
440,9.503363707278124e-05
441,0.00014707476251838125
442,-0.00027625478206144975
443,0.0006557913678458268
444,-0.00011866375183916392
445,-2.9630211221927934e-05
446,0.0003609561535964539
447,-0.0012395649083326472
448,-0.0004481171040502403
449,0.00024980239865973004
450,0.0008737244878941615
451,0.0011797427707511347
452,0.0029966639400777558
453,-0.0005342161726282017
454,0.00015653076353457483
455,0.0015513070007101078
456,0.00014976230712277795
457,-2.2959395274638875e-05
458,-4.499594921317982e-06
459,0.00019767627121910936
460,1.055206235573339e-05
461,-3.97087090909671e-05
462,-0.000256180870052042
463,-0.0005347580400253503
464,-0.0004316004628742147
465,7.568456357352899e-05
466,1.7895173851061335e-05
467,-0.00083777482848382
468,-3.8603135066964106e-05
469,8.26386467727476e-05
470,-4.64843097082726e-05
471,0.0001454081076084959
472,-0.0005475770779469832
473,2.818246158955856e-05
474,-0.0008097469510177597
475,4.9721909917159896e-05
476,-0.0003607640903034495
477,1.523409219767457e-05
478,-4.872523173345204e-05
479,-0.0009877783932790577
480,-0.0002553749457843498
481,-7.176338707305851e-06
482,7.620424171899084e-05
483,0.00011864916276934162
484,-0.0005465740402043045
485,-0.0009949156612310535
486,0.001062848860783479
487,-0.001364052037939111
488,-0.0010865782903937394
489,-0.0004366954315915977
490,4.6912597163436485e-07
491,-0.004048444877889606
492,-0.001401418778697122
493,-0.00018027907569217474
494,0.00018863966682358308
495,-0.0016274853189432194
496,-8.256475792624084e-05
497,-9.43391597325962e-06
498,0.000191845880816774
499,-0.00014538232010742808
500,3.8636548280227555e-05
501,0.00036318715872118296
502,4.7602699689278754e-05
503,0.0022171155134140916
504,0.00047020073781912203
505,-9.873686849785985e-05
506,1.2718190511493128e-05
507,0.00030068018323306387
508,0.0002046116062579667
509,0.00025286012524434066
510,-0.00018790705707709895
511,0.0012042587338856818
512,-0.0002581575316678667
513,2.0578007358694764e-05
514,-3.551773294110455e-05
515,-0.0005884432050266426
516,-0.00012573501286170403
517,4.0172839120741276e-05
518,9.062900224784776e-05
519,-0.0002445888529204411
520,-0.0007914504796242198
521,-0.00045722953192717323
522,0.0002762977894099041
523,-0.0010845536235654328
524,-0.00044470838805547386
525,-0.0003187539883656136
526,-8.916529850568919e-05
527,-0.0030758118752897733
528,0.00011315117506303133
529,3.436135332196295e-05
530,2.119481212778045e-05
531,9.648804753280431e-05
532,-0.00016054026779337252
533,-0.00011256085860610008
534,-2.113983384743554e-05
535,-4.8813523820031426e-05
536,-6.091258254041567e-06
537,-7.796339124103852e-05
538,3.4617178523475594e-06
539,-7.931871578220194e-05
540,-1.5105669682701088e-05
541,0.00010704840363040809
542,0.00020096175609882522
543,0.0005982031619766207
544,0.0001680056199384174
545,-0.00015777824797040283
546,-7.670033838902982e-05
547,-0.0004188949983274192
548,-0.0003163055669594178
549,5.4739294568103076e-05
550,3.8520991363998e-05
551,-0.0006002971563809122
552,0.000546143012958806
553,0.0006705111873987181
554,5.275000152879341e-05
555,0.0037964541587726074
556,0.0031616643940582047
557,0.0008885899360798345
558,-0.0012386953956010748
559,0.004661709741973555
560,2.084228606717858e-05
561,-9.518038411082532e-05
562,0.0005690480695484791
563,0.0013697679424990385
564,0.0007601658575380502
565,-0.0009420729661365103
566,0.0022852135910205384
567,0.006551606853385789
568,-0.0022381993359459128
569,0.0017293164541532964
570,-0.0005006865914327327
571,-0.005333406440938653
572,-0.0006458830813857142
573,0.0001428912252856409
574,-1.0728801301003392e-05
575,5.551924028396677e-05
576,-0.0008225951231424541
577,0.00044771443482375485
578,-0.00023384193050405734
579,-0.0017892062548393601
580,1.6083510717342062e-05
581,0.0002362469270549865
582,4.29638408430696e-05
583,0.00032786425526463135
584,0.001387147281368353
585,-0.00046877976432400427
586,-0.0015738671497337428
587,-0.002212408076946233
588,-3.537026121799396e-05
589,-0.0005041770898846265
590,0.00014710243788874103
591,-0.0005103799985463093
592,-0.00012321792601215697
593,3.3512138943388947e-05
594,3.5550654347420754e-05
595,-0.00013473470277272417
596,-5.905878601847098e-05
597,-3.0112488429558706e-05
598,8.71079771743181e-05
599,-5.8430180879789955e-05
600,-1.855292651368625e-05
601,-9.759536467274894e-05
602,-3.9200360184558724e-05
603,-0.0004328831778876754
604,0.0004293107659868674
605,-0.00014570835198048941
606,0.00014902428278732114
607,-0.00022405837299804696
608,-0.000588287489403418
609,-0.00015278482426125495
610,1.1732582155316497e-05
611,-0.0020058251561109277
612,0.0013158817900622462
613,-0.000878148487494669
614,0.0001255273479334246
615,0.0031801578357188534
616,0.0002144128591872518
617,-0.0004609004627489483
618,-0.00032127377143241075
