,drop_black_virtual
0,-4.802515347616339e-05
1,-0.0006653017981215087
2,-0.0011353938318381638
3,-0.0042982679826095525
4,0.001086326510755538
5,0.0011177585519500793
6,-0.0020233295419449615
7,0.0018024454590714167
8,-0.0026723742161718286
9,-0.0012852210560804532
10,0.0013666414585670503
11,-0.009135635693487514
12,-0.0020547165330840377
13,-0.0010320787919022197
14,0.00284090670751745
15,-0.0013558779880181546
16,-0.0015932189785803498
17,-0.0014999838191439142
18,-6.251774320422608e-05
19,-0.010783224738197763
20,0.0001728558367145086
21,-0.00021574932395204967
22,-0.0002777759637961012
23,-0.0012186913977416279
24,-3.594971169115769e-05
25,-1.4530406430717516e-05
26,-0.0006226844218149835
27,-0.002541912850522161
28,2.733118159944714e-05
29,0.0006161812070868234
30,-0.0001099572163696685
31,0.0014501657524785753
32,-0.0005971423505619349
33,-0.0006281924278552599
34,-3.855752467595044e-05
35,-0.005572240071757056
36,-0.0006790864870306402
37,-0.00015755358755236454
38,8.426958734749314e-05
39,-0.0019178690998253474
40,0.0030622849059637252
41,-0.005155822124550248
42,-0.0007238709275787453
43,-0.009206642156291345
44,-0.00024290478386765398
45,-0.0004055862405266757
46,-0.0004898422269561914
47,-0.00677410471251244
48,0.00013321365642550705
49,0.000489820476908577
50,-0.0010091634345051686
51,-0.001742106838392728
52,-7.865275322101372e-05
53,3.942185741947474e-05
54,-0.0002310937330731804
55,-0.0003791269202425365
56,-1.5493176206558833e-06
57,9.273453562393995e-05
58,-2.053025826876605e-05
59,-0.0008977300471093468
60,0.0001789942243173103
61,-9.198424311057258e-06
62,-0.00018144085723602004
63,0.00021686874827991603
64,-0.003783581633608656
65,0.004635206631442901
66,-0.0014475708471644927
67,-0.008969046878211826
68,-0.0007152519701176733
69,0.000598399546081117
70,0.0004820181922890897
71,0.002107542940127364
72,0.00015394422175840782
73,0.00030583972038794696
74,-8.491180135322624e-05
75,0.0007579831380528589
76,-0.0001530690566130676
77,-0.00023759073582008895
78,-2.3496170696195138e-05
79,-0.001666567026478369
80,-5.5672144198485406e-05
81,0.0001765000664444059
82,4.602410721829579e-05
83,0.00022448535072632089
84,-0.00042678369748219854
85,-4.7534683041067685e-05
86,0.0001422430874543788
87,0.00029804372323192005
88,-0.00016626418191097945
89,7.445901206914184e-05
90,1.364354932511477e-05
91,-0.00014528009724955364
92,0.0011176192290173192
93,-0.0006286415124091112
94,0.0015326107006726913
95,0.007313080569798118
96,7.339379474432832e-05
97,-2.7777825195102098e-05
98,1.2484022496383824e-05
99,-0.00012092476167089828
100,-0.009571661309146124
101,-0.008560962210706102
102,0.006808518581317438
103,-0.038249557092071305
104,-0.001039395842928609
105,0.00032551335523029357
106,0.000646122662651732
