,mathpass_hispanic_virtualper_inf
0,-0.0014600389308832165
1,1.4813948101196209e-05
2,-0.0015748827560377607
3,-1.667360166340795e-05
4,-0.0010390695003328835
5,-0.0002757102114158511
6,-4.9054975167671455e-05
7,-0.0014130434805807576
8,0.0010099935928552732
9,3.567749376727682e-05
10,0.00017204842347038994
11,0.0005787148911110422
12,0.002130593947917124
13,-0.0011020091867439941
14,0.003154944776687734
15,0.016763950946143767
16,0.0007146815707957152
17,0.0004136810958341122
18,0.00014776735690249788
19,0.0012363331272033037
20,-8.964246249927626e-05
21,0.0002343068882887537
22,-0.0008501482448139841
23,-0.001691737474580919
24,-0.0009390729546298674
25,-0.0010308788838835734
26,0.0005197336160844052
27,-0.0025943295728786397
28,-4.665159286574822e-05
29,0.0007931512685582019
30,0.0041572887256329065
31,0.0037609985224672407
32,-2.466515581184871e-05
33,-0.00046562839294082885
34,-9.778431462790176e-05
35,-0.0028142844045499467
36,-0.00020072798460493487
37,0.0009876191602470068
38,0.00036191636364324106
39,0.00501467821514977
40,0.0008587773796482756
41,-0.0034847858693345746
42,0.003983844166796064
43,0.0054275393375574415
44,-8.945267350505144e-05
45,0.002646924847654435
46,-0.0017785391864510128
47,0.0011033157844984565
48,0.0017990870379146558
49,0.002111883396378161
50,-0.0031914028499141203
51,0.0016041617608837824
52,-6.81671415221938e-05
53,-0.00045289525098729343
54,-0.0002562950035549594
55,-0.0009460132084260816
56,-0.00301636163067108
57,0.0012424914273980931
58,0.004153952770452957
59,0.009400245222300293
60,0.002183430065896995
61,0.0032494877399530378
62,-0.0010401601325163241
63,0.01259382189697386
64,6.254398578332375e-05
65,0.00024914794609048153
66,-0.0004735380561248027
67,0.000550810494664541
68,0.0006500842490178228
69,-0.00011707958609947399
70,-0.0010044262718983208
71,0.0009131311951466978
72,-0.0014049668317310583
73,0.0008894186828318751
74,0.0032445285932948486
75,0.010165930544678263
76,0.0028032972324621027
77,-1.58494911485805e-05
78,-0.00031651336312298246
79,0.0024839103117880834
80,-1.9159961924058396e-05
81,0.0004325858792237458
82,-0.00023206387288407895
83,-6.15279913218165e-05
84,-0.0008742679292155359
85,0.0002739579714407273
86,0.0004433870817990463
87,-0.0006656993926234982
88,-0.0003097858500295745
89,-0.002019451579109082
90,0.0010226414973852752
91,-0.00402043560047934
92,0.0008724721955192644
93,0.0038603091677201734
94,-0.001470624560844606
95,0.010840758631076086
96,0.004916347998481375
97,0.0009482313830690636
98,-0.003983108065657546
99,0.013472507025458588
100,-0.0009002446865857173
101,0.005156261831940938
102,0.00418717719066032
103,0.02776851502677637
104,-0.00013216467065849932
105,0.0006721464414133508
106,-0.0011465108157143623
107,-0.0025390518456908364
108,8.03197336494828e-06
109,-0.003219947565524284
110,-0.002161853770622191
111,-0.015206637282762024
112,2.393324868044921e-05
113,-0.0003899219764082712
114,-0.0005287412477569129
115,4.516957876318136e-05
116,-0.00015050511518752314
117,-0.0012674068893990006
118,0.0013146821809916617
119,-0.0008977718255701865
120,0.0004741623078099236
121,0.00014595045845365343
122,3.15361187199115e-05
123,-3.248666839215523e-05
124,3.348669640281014e-05
125,-0.00016952258567474836
126,-0.0006145493061768594
127,-0.00183182465116474
128,0.0005247056008523295
129,-0.002066796270744269
130,0.009996496966984179
131,0.02958861192137975
132,-0.0001244920797544443
133,-0.0005642527289182575
134,0.00037891322997372125
135,-0.0011889706645285452
136,-0.00017718519709709372
137,-3.8791467188423015e-06
138,-0.00010230994954924935
139,-0.0002608902725076819
140,0.0005223762328291403
141,0.00023330735218163353
142,1.253047572073429e-05
143,2.388695336570609e-06
144,-0.0002949536196377469
145,3.3814747183708053e-06
146,9.893444084716524e-07
147,-0.00023317285048068604
148,0.0003645816657306559
149,-0.00012871433364584385
150,0.00011522208903322266
151,-9.790359512619266e-05
152,0.000634046668765741
153,8.385308485381394e-05
154,0.0007770342839885522
155,0.000149851414303357
156,-0.0017285210264966645
157,-0.0029084450676388073
158,0.005002767702025815
159,-0.0019361145444878008
160,-0.0012932041520132835
161,0.0017684459488267745
162,-1.0038792655445935e-05
163,0.0013864698282575443
164,-0.0007537249209546122
165,0.00305273050124313
166,-0.00037905734236259197
167,0.005435334874095565
168,-0.00017542400448125866
169,9.339298770590722e-05
170,0.00013147574416929095
171,0.00015863675738808864
172,0.0005977350276332132
173,-2.777845792363518e-05
174,-0.00013551967608303346
175,0.00015810769987247196
176,0.0015702253491772702
177,3.22509591128147e-05
178,3.877173066557702e-05
179,0.0036048426529772305
180,4.691983291903375e-05
181,-0.015598373492197554
182,-0.0015484826328134294
183,-0.05179317430879997
184,-6.681119438892405e-05
185,0.00013253139804060053
186,4.607751617745636e-05
187,0.0006938320032899925
188,0.000498072437925069
189,-5.3782681234031494e-05
190,-0.0001238098495297431
191,0.0005531346026232698
192,-0.00014401729541596868
193,-6.267228618418846e-07
194,3.1530652317527425e-05
195,-4.194125265668411e-05
196,-0.0005120999544518745
197,-0.00134624410278615
198,0.0009833772703502195
199,-0.00487528390415849
200,-0.00014474388414274358
201,-1.7295466279115175e-06
202,4.601448407344356e-05
203,-3.125283214601806e-05
204,-0.0003295328491613691
205,-0.0010024448497591837
206,-9.404976991263303e-05
207,6.832276504745342e-05
208,0.0005838350667380327
209,-0.0012243064756073706
210,3.211435001292783e-06
211,-0.001205583375036754
212,0.0003812973692102364
213,-6.187055278804671e-06
214,0.0004150169499032642
215,0.001627902791094031
216,0.0002492960071770762
217,3.5701258350338573e-06
218,0.0001439896939492106
219,1.4573381623363835e-05
220,0.0004044637666361829
221,4.050791226944899e-06
222,-0.0013139420884888758
223,-0.0005122324298074969
224,0.00021020075343559396
225,-4.388194612359976e-05
226,-8.503610446115284e-05
227,0.0006097029783086005
228,-0.0007201895012586208
229,0.006454300659283978
230,-0.0021803575025369643
231,0.005640767421263343
232,0.00482059060596489
233,0.003920356379840057
234,-0.00834353601403147
235,0.011689683962173856
236,0.0005228510722208999
237,-0.0013144010666688878
238,0.0019160215818935704
239,0.005369764584916748
240,0.0015011659562656175
241,0.0004347637564450791
242,-0.0008961777005239891
243,0.0030222098349250394
244,-0.0007692511546692553
245,-0.00027244531211496545
246,-0.0009311293662556731
247,-0.006681702750447023
248,-0.0004626612969867217
249,1.0386249367386429e-05
250,-0.00017972106325536398
251,-0.0009804714075497291
252,0.007027061798841559
253,0.0020928794134753665
254,-0.015795673255862012
255,-0.022041118324779965
256,-0.001216396450064322
257,0.004103044686397074
258,-0.004573454597141332
259,-0.005706539087899931
260,0.0002306268214221624
261,-0.0005646230935391257
262,-1.7385750849678497e-05
263,-0.0010616290172268364
264,6.9495814022670055e-06
265,4.782730693920396e-05
266,0.0002026850082096861
267,0.0010197211178276828
268,0.0011462555295424465
