,elapass_in_virtualper_inf
0,0.0001835300660482188
1,-0.00017121771205641734
2,0.00029959219424170204
3,0.001808641990563034
4,0.0002589202527630208
5,-0.00010470763817384448
6,-0.0003724782905818812
7,7.296417793419157e-05
8,0.0025626549203407257
9,0.002758635015071648
10,-0.0022723931782180165
11,0.007262285153638961
12,0.004631832296547585
13,-0.0005202048854406326
14,0.0007572955004843801
15,0.013140150556502092
16,-0.008704105199286638
17,0.0009407825148786195
18,0.0036134900282602197
19,-0.0056117740766968354
20,-0.003413053588087247
21,0.004489611859143843
22,-0.001315441584115732
23,-0.0013851796453850746
24,0.00018815675589629836
25,2.9430833843379713e-06
26,0.00010568004239528747
27,-2.118889805521697e-05
28,0.0008662150166867729
29,-0.0001396837066097878
30,0.00035720895313243693
31,-0.0007251535296742195
32,0.00022060029271997388
33,4.227662709854814e-05
34,0.0003156299169251891
35,1.602399049614365e-05
36,0.00149558784909065
37,0.0004557642982517734
38,-0.0016841624684760148
39,0.0005257812596385281
40,0.0004717306521951738
41,-9.976627527611915e-05
42,0.0002070531688316751
43,7.954528993292103e-05
44,0.00686087622806334
45,-0.006209488071478827
46,-0.0025064599607256452
47,7.063227581610072e-05
48,-0.001846625980424585
49,-0.0006211446522755375
50,0.005200860432901494
51,0.007377793567836456
52,0.00047771232617241333
53,-0.0017422412616369828
54,0.0006195681488397813
55,-0.002282690234394151
56,0.001916699567420816
57,0.00041408803229084373
58,-0.0009618027700409547
59,0.003997543379989795
60,5.645571541932367e-05
61,-0.0007842738812970273
62,0.0003151697825772058
63,-0.0009414928024231387
64,0.003412369676875462
65,-0.0012406363256895548
66,-0.00606415745680726
67,-0.010792142979387359
68,0.00801978217514074
69,0.006802289512828354
70,-0.012740291517864757
71,0.0060239949236507995
72,0.002769359817419517
73,-0.0059507213973900575
74,0.003108329647506718
75,-0.0018589472744228227
76,1.0546079838338965e-05
77,-0.003621477075089391
78,-1.5631876097722963e-05
79,-0.013769263693987843
80,1.5102777248590075e-05
81,-1.8138082140740563e-06
82,-4.233609203579995e-05
83,-0.000886710682315952
84,-0.0002038909388450694
85,-0.0006847422996899434
86,0.00043319025888651153
87,-0.00021967383009904414
88,2.4391436462110524e-05
89,-0.00010652167224223107
90,-7.984784622966009e-05
91,4.9801015612914614e-05
92,-6.399383712226488e-05
93,-0.00014661853570176973
94,0.0006467293413169522
95,0.0012721305697836528
96,0.0004429917864094175
97,0.0015256262211832906
98,-0.00041359155248794227
99,0.004257408100622153
100,-0.0002534331932556199
101,-0.000646635216796682
102,-0.00021227563216694913
103,-0.00392947075967143
104,-0.0012370188330936849
105,-0.0007521968780901223
106,-0.0016058903754047659
107,-0.011194726864918432
108,-0.010936488219338784
109,0.003551197387527026
110,-0.017848242513830246
111,-0.08411824612358303
112,0.0006016358979697886
113,-0.00037938642975431905
114,0.00041041195361834863
115,0.0017257648470253289
116,-0.0002139579014561576
