,drop_il_virtualper_inf
0,-6.135605830603894e-05
1,-0.0007805717792977489
2,-0.0014434769929130668
3,-0.0053329768840795905
4,-0.0022742744862574043
5,-0.0022487511249329037
6,0.003509307761699435
7,-0.003474547773979514
8,0.005028443047374198
9,0.0018388383407081797
10,-0.0017361957800349232
11,0.013782791518950807
12,0.0036225839639149743
13,0.001922953079325465
14,-0.00474460058291828
15,0.0023908654465265686
16,0.002817852139849361
17,0.002505968804232741
18,0.00010617007097855726
19,0.01845806707704137
20,0.0012627299085564633
21,-0.0007736513493959875
22,-0.0019700715185067097
23,-0.006719185523869736
24,-0.0001385772609235392
25,-4.162203804044846e-05
26,-0.0027909873814742415
27,-0.00940394809903644
28,0.00018673980106988117
29,0.0028888350323958024
30,-0.0007605927059407001
31,0.008684229522933818
32,-0.001711700198637929
33,-0.0014121037314986456
34,-8.46536449024858e-05
35,-0.013483254874779057
36,0.006345266329535084
37,0.0017451429609085917
38,-0.0009249072613368719
39,0.01985126958604053
40,0.0019842345872669344
41,-0.0031839828237981813
42,-0.0003522873629972395
43,-0.005325124750421073
44,-0.002332204050815415
45,-0.0007605816239929046
46,-0.003017269491247369
47,-0.024310526604779985
48,0.00027242187090248745
49,0.0004334598777116756
50,-0.0018818172166281532
51,-0.0026435281909094554
52,0.0004856291825754354
53,-0.0005370797655148342
54,0.0003198568975523448
55,0.001209949915990311
56,-0.003523228980385595
57,0.0010800827893039237
58,-0.007595834816830492
59,-0.029226157585238183
60,-0.0009373675953898948
61,-0.00011503169785739781
62,-0.002973202169836861
63,-0.012794804621162961
64,-0.006604692584767265
65,0.005074033789316433
66,-0.001365482596125083
67,-0.010868933761808674
68,0.00019852395526409437
69,-0.0001259580332587198
70,-0.0003758657811218306
71,-0.0008286319675903118
72,-2.5908893534611712e-05
73,-4.1029306391341636e-05
74,-4.276135547179601e-05
75,-1.248287446569943e-05
76,1.3048670346630031e-05
77,-4.451338594823323e-06
78,-1.324718648949341e-05
79,-2.1058099004774618e-05
80,-5.610645530153103e-05
81,0.00023883901077119196
82,-6.516702957183017e-05
83,0.00048688010903437287
84,0.000258404839817795
85,4.9759148549220914e-05
86,0.0005398564875659103
87,-8.45395599001294e-05
88,2.8021528787772373e-05
89,5.26794953981203e-06
90,1.9082610064859047e-05
91,-1.4053178223696842e-05
92,0.00105855256825646
93,-0.000526461836954501
94,0.001524372644721298
95,0.006742473077541778
96,0.0002672274918658346
97,-0.00030395995495787907
98,-0.0002822263107224622
99,-0.0010517062481386176
100,-0.003430121010436266
101,-0.003062309062830481
102,0.002438459497047725
103,-0.01369565035481252
104,-0.0005843995184276274
105,0.00033595590687558605
106,0.0005915971276012376
107,-0.0019952519668193515
108,-0.00022130886593092023
109,-0.00029758812254981263
110,-0.0008490544085852381
111,-0.0042207560921078795
112,0.0006140730614603072
113,-0.0006857227123863324
114,0.001411918546577238
115,0.002038660898245221
116,0.0013266290308746088
117,-0.00020562295178271767
118,0.0014620454841821674
119,0.0074843669899158465
120,-0.0009487511955545156
121,-0.0008894416407064575
122,0.0017782735022736967
123,0.0005481968125323602
124,0.00014447448366826406
125,0.00047681916982201004
126,0.0026879534016803906
127,0.007912015884530254
128,0.0002452768540112954
129,-0.0009242241458784469
130,-0.0023186426302567987
131,-0.007042668831446509
132,0.00017958656630067085
133,-0.00011352009424038406
134,-0.00037798922902505263
135,-0.0004218382234197483
136,-0.0038864302295632393
137,-0.0018292308662205133
138,0.00034008327749395926
139,-0.01619656157709523
140,0.0004662790608356327
141,-0.0045130556677950035
142,0.004280011707712647
143,-2.189959707114984e-05
144,0.0009543081596831413
145,-0.00021503554968080725
146,0.001003305771096869
147,0.005311423405211327
148,0.0001956249388429221
149,-0.0011747355487641317
150,0.0003987078715356617
151,-0.004150667620564854
152,-0.0019008747829358256
153,0.0011646255894736917
154,0.004475221855277884
155,0.017620247011281957
156,-0.0029878770480935633
157,0.002633141466909239
158,0.005170000477727496
159,0.018499924075300253
160,-0.0003611172972689753
161,0.0004874780596237792
162,0.008862440162303059
163,0.032501826512928614
164,-0.0009732974371975199
165,-0.00048741814170799385
166,0.004177341467977869
167,0.012492097732996612
168,0.0013719148808239172
169,0.00038098063022057294
170,0.0016768757240510088
171,0.011477249585166263
172,0.0035263036657903753
173,0.0011681967396444464
174,-0.00083095440465149
175,0.011684184613441827
176,5.33066874859364e-05
177,0.0024351320565212885
178,0.004143120137861942
179,0.019756310361770335
180,0.00032862485511851085
181,0.008852171632155403
182,-0.012456967859547917
183,-0.010534730746169299
184,0.002790664052431132
185,0.003227554807826339
186,-0.011450472757325499
187,-0.016227304831996626
188,3.210492093511382e-05
189,-6.526718060092481e-05
190,-0.0003184125362430975
191,-0.00032851521655899956
192,-0.0002791748125556678
193,-5.510980580929132e-07
194,-0.00010342954459144285
195,-0.0010421842217483862
196,-0.0014348310137941714
197,-0.0007381309433863203
198,0.007022808277464091
199,0.014968506044447587
200,-0.0028504104779516837
201,-0.0007356403906397193
202,0.0028438406079862263
203,-0.003379861406995001
204,-0.001770779397923723
205,-0.001802158070638209
206,0.0019575423811210944
207,-0.004115087624202745
208,-0.0033994762081229943
209,0.0001716879234312577
210,0.0032153605113356574
211,-4.9662546121865266e-05
212,-0.0009867938833838415
213,-1.869039732394905e-05
214,0.00013632813908039907
215,-0.0029347481074007654
216,-0.0025363138339877934
217,-0.0003607080338266014
218,0.0028503475296316975
219,0.0005908965340549154
220,6.923931955129477e-05
221,-0.0014047317048797084
222,0.0008756495024398648
223,-0.000898058748547102
224,-0.0007666923852603757
225,-0.001047756980218039
226,-0.0001733298206429193
227,-0.005452347577258096
228,-0.00185217633524949
229,0.0016373557857324499
230,0.0024936325404660443
231,0.008585600762283459
232,-0.0008488011853683598
233,-0.0005673287520568744
234,0.001866488999192865
235,0.0013243510093430702
236,7.018458076941757e-05
237,-4.844698289012999e-06
238,-6.285865846621184e-06
239,-5.358791718248369e-05
240,-3.316868454997157e-05
241,-0.00022019085293360034
242,-0.0011710525144584686
243,-0.0037411382164872268
244,-0.00020107786645989892
245,-0.0008367228897471009
246,0.000637405524248341
247,-0.0014892640612378899
248,0.0005808481361159549
249,-0.0016386383641068187
