,elapass_hispanic_virtualper_inf
0,-0.0005016128433648
1,-0.00011297038220385751
2,0.00035600789568667444
3,0.001015036725794036
4,-0.00040804105076743956
5,7.602777684009262e-05
6,-0.00012924142314269522
7,-1.3919234295471826e-05
8,0.00044996867390975333
9,0.00035219912575281304
10,-1.9469105839293072e-05
11,0.000803086548569741
12,0.0013372796431635257
13,0.0001152917843880559
14,-0.0002477215588763003
15,-0.0007581164251329614
16,-0.0008004827998141728
17,0.0001693138419826032
18,-0.0003638066190749302
19,-0.0004469421989182471
20,-0.00022683527874403124
21,0.0008115377609259664
22,0.00010614781352599478
23,-8.801561169388604e-05
24,0.00037121872297780185
25,7.418797649234523e-06
26,0.00013265350960138303
27,0.00019387190335034063
28,0.0003678353180685751
29,0.0005748218359012485
30,0.00046788153443801567
31,0.0008737237144890604
32,-0.0004884502608008285
33,-0.00018842308984723472
34,0.00023218514758709133
35,-0.00027773574984476076
36,0.0005117526236810408
37,-0.0006134419087298895
38,0.001499383075379001
39,-0.00020859201565091214
40,0.0002594868861156178
41,-8.032495167772195e-05
42,0.000536604077962134
43,-0.00016990672686101766
44,-0.0018199727911978342
45,0.0006845347599070261
46,7.272005218955225e-05
47,-8.602973546578687e-06
48,0.0010073324793191246
49,0.00044143609526464835
50,-0.0023524067536347015
51,-0.004107480194452525
52,-0.00024561525670887125
53,0.001827826361646675
54,-0.00040115886292038254
55,0.0016096978026641081
56,-0.001544661489567779
57,-0.0004541922897637715
58,0.000738956699576312
59,-0.003518754750593158
60,-5.714979746926987e-05
61,-0.0007083540066331871
62,0.000261518500918115
63,-0.0005649610178312446
64,-0.000685019362083473
65,0.00011969286176343645
66,0.0008907604619495698
67,0.0015853587106360396
68,0.0015781058528485021
69,0.001079782278946798
70,-0.0015239427981350064
71,0.0009541862123643447
72,0.0007692100211184675
73,-0.0019871286227668332
74,0.0005886422414572584
75,-0.0004961755506477669
76,2.377354897808885e-06
77,0.0004614594614520996
78,-4.353691163872377e-07
79,-0.0005683770321119431
80,-0.00011741793423852379
81,4.413320009654064e-06
82,0.001584550814938774
83,0.005290302601394353
84,0.0005093678007998693
85,-6.152528995053619e-05
86,-0.00013650501976136156
87,0.00011851679902206321
88,-5.325606273264e-05
89,-0.00011493123902221532
90,-3.7361247067605975e-05
91,2.9472308126795263e-05
92,6.160313490151144e-05
93,0.000255540367562108
94,-0.0004461308692656519
95,-0.0013433635687457842
96,-0.00035140103459443457
97,-0.001589788723318613
98,0.0004727505240760556
99,-0.004207216211909587
100,0.00018450510968332612
101,0.0007100548401914726
102,0.000264373625070024
103,0.0038396386176412513
104,0.0002714794920023185
105,0.0004994337097358009
106,0.0009035545983375607
107,0.005033048142499405
108,0.0008894968776460192
109,-0.000791060250298161
110,0.0021941004151515074
111,0.011875295029854824
112,-0.0003683729344744001
113,0.000506113931057627
114,-0.0003166118736844888
115,-0.0015545732822158616
116,0.000271129204608577
117,-0.0036514894267421
118,-0.0015451978952462835
119,-0.012233399782818748
120,-7.364714578615454e-06
121,-0.0006430341459249308
122,-0.00021553147782916334
123,-4.658473299466406e-06
124,0.00012922382537421863
125,1.3463783725977546e-05
126,-4.317912417615397e-05
127,-0.00013494305903588948
128,-0.0004307402977627816
129,3.5176984453715084e-05
130,3.442355047836744e-05
131,2.6386275744488557e-05
132,-1.3685268486790331e-05
133,-0.0006322090723036676
134,2.432165676069301e-05
135,-0.0016179773107449912
136,0.0009167822893903285
137,-0.004523922725451691
138,0.002284200308890199
139,-0.0036649010190901777
140,-2.032616478387794e-06
141,-0.00030000861052112914
142,0.00014111042492861707
143,0.0002229874457380756
144,-0.0001273633101979495
145,-0.0001446368248770158
146,-3.569421516347394e-05
147,2.133295367470297e-05
148,0.0020434262855541937
149,-0.0002256765048480983
150,0.0003953299317600326
151,-0.00036247928910919494
152,0.0004836427261396648
153,-3.947441565873409e-07
154,4.467469838800836e-05
155,0.00013993719719602825
156,0.00011758293629296938
157,-2.232228178051239e-05
158,0.0002898453504063484
159,-4.664658898630435e-05
160,0.00047047003500486897
161,2.1557754401972848e-05
162,0.0001420886238112961
163,0.00010026886523507935
164,-0.000498357876679209
165,-0.0018737697202822763
166,0.002008491461431636
167,-0.0031986903941273247
168,-0.0006968020429833111
169,0.0002843915419040644
170,0.000919695083980154
171,-0.00013125416432377694
172,-0.0014373966689168731
173,0.0007169104201757728
174,-0.0005643645759887394
175,-0.004705870553611476
176,7.61406597878723e-05
177,-7.756287389498895e-05
178,0.0003973898124203402
179,-4.658586808659974e-05
180,-8.900079028789153e-05
181,-0.0010282855475522875
182,-9.779712850686037e-05
183,0.0001303486038587427
184,0.0010261378738575873
185,-0.00020648604101893413
186,5.27946290310185e-05
187,0.00047312547435200263
188,-1.1171025365549356e-05
189,-0.002650422932098261
190,-0.00018287303599372692
191,-0.008158030246760584
192,-8.722923556752194e-05
193,8.587398798376798e-06
194,2.6697689908756855e-05
195,-0.00024488264542457346
196,6.991042680476333e-05
197,4.23807513934807e-05
198,-0.0001231786898163346
199,-0.0003539275295683068
