,mathpass_virtualper_inf
0,0.0003640368966354002
1,0.0003350276316353881
2,-0.0014135747082926948
3,0.0005722751374944185
4,0.000732950869488351
5,0.0006543017748485074
6,-0.00017280268675704246
7,0.004595185510566993
8,0.0030606076968221854
9,0.0013058310154942067
10,-0.0006095773875118812
11,0.00836667255264066
12,-0.0011382362136423238
13,0.0005650516206551899
14,-0.0032477228215974313
15,-0.010933275794350172
16,-0.001158146301467736
17,-0.0008964833848505914
18,0.000638465300245765
19,-0.00455742432066435
20,-0.0002918236416703604
21,0.00024528732613324423
22,-0.001063173571209452
23,-0.002803724666847888
24,0.0007802414811683434
25,-0.0012662514441457075
26,0.0015750498505609023
27,-0.0017476811954528612
28,-0.0034910046872079774
29,0.001178338283999355
30,0.0036764371235446652
31,0.006382573300960149
32,-0.00018807856702706015
33,-0.0019578580124235048
34,-6.522504367116187e-05
35,-0.006440492380435264
36,9.540116116930424e-05
37,-0.0008514974685822137
38,-0.0006471919794663803
39,-0.0040477267749753805
40,-0.0006244435546111492
41,0.0015541081746397747
42,-0.0023399085355518415
43,-0.0032174943703869785
44,1.890927221695194e-05
45,-0.00017178800379113326
46,0.0002100835281839401
47,-0.0001422087911563062
48,0.00032897539447237275
49,0.000557760880469056
50,-0.0009274481455979093
51,0.0003965131795669457
52,0.00026935790978988835
53,-0.0008437252984564591
54,-0.0003312219560249177
55,-0.0024505962104111193
56,0.001306257754409148
57,-0.0008018380109993584
58,-0.0027755796593773
59,-0.0053990989213101295
60,0.004379531643940271
61,0.007819473492308668
62,-0.0029811194104981398
63,0.030032205826247688
64,-5.6576047460628874e-05
65,-0.00019413257942007406
66,0.00029350685604186935
67,-0.00039858572019700996
68,-0.0014185549904853511
69,3.7273771742681825e-05
70,0.001488375346242136
71,-0.000886554566766441
72,0.0006172146309472136
73,-0.0008312183833076347
74,-0.0015432861118858236
75,-0.005923214912358653
76,-0.0027263898375615796
77,0.00020889188087662173
78,0.0008108755057170342
79,-0.005076411772524459
80,-6.599082842446626e-05
81,0.00071450881618122
82,-0.0005542183313922907
83,-0.00013563554897296068
84,0.001285332918379526
85,-0.0004908908653151737
86,-0.0011379768887790234
87,0.001269057922546031
88,-5.2054596049098e-05
89,4.294156633486069e-05
90,0.0002235749905441515
91,-0.0004644003724986704
92,-0.00017504865081745312
93,-0.00024004349018694781
94,-7.871514378153896e-06
95,-0.001008937062944763
96,-0.001528775622755688
97,-7.5995000904820845e-06
98,8.500270747968387e-05
99,-0.0011604977048230351
100,0.00015834900790987342
101,-0.0002600035818625527
102,-0.0006087652845652064
103,-0.003287730174490211
104,9.679863215838607e-06
105,1.606092870749308e-05
106,-3.908706121886027e-05
107,-3.1995575101562328e-06
108,-5.160709445022747e-07
109,-0.0010164604139577297
110,-0.0008880994485045654
111,-0.003843202516930208
112,-0.0002751237596339715
113,-0.0010074244888452983
114,0.0007669869255629748
115,-0.0007051346496293972
116,9.875377291712902e-05
117,0.0016546189097947864
118,-0.0012196675643621876
119,0.000840092325984622
120,0.001011384603748165
121,-0.0006989620699319343
