,elapass_hybridper_inf
0,0.0016968960059547628
1,-0.00048105035074183365
2,0.00044986887414351123
3,0.005116552431109463
4,0.0011970954044783551
5,-0.0006331733343889868
6,-0.0005538520682028834
7,0.00021143967301775948
8,-0.001305143127142583
9,-0.0015315629551124232
10,0.0014793685306382582
11,-0.00411135886917599
12,-0.004434522206654343
13,0.0006485243299750769
14,-0.0009783871661395772
15,-0.015102824196258819
16,-0.002192119046052957
17,0.00026551501326387385
18,0.0010249844792556161
19,-0.0015148809604896788
20,0.00021904637157997992
21,-0.0001277598382312275
22,0.00010884072344000382
23,7.936773256833188e-05
24,-0.002037713746201321
25,-4.56457599086839e-05
26,0.0006194833918863618
27,-0.00446596737025149
28,-0.0008713314395710572
29,0.0015055631469366036
30,0.000709001818437653
31,0.004036477326684432
32,-0.0008224746540239173
33,-0.0005630147348993613
34,0.0010382762964693587
35,-0.0007258429300104242
36,-0.002234245348937124
37,-0.001767670594329745
38,0.0036681045315361755
39,-0.001146455843041512
40,-0.0005254946418246863
41,-0.00041125830009537554
42,0.0006853309818076544
43,-0.0009118008481586582
44,-0.00042246911865519984
45,0.0006273627437993254
46,0.00040998390142586553
47,-8.088792715573448e-06
48,0.0003286454907244763
49,0.00015253901791665623
50,-0.0009917314468404848
51,-0.0014820454466600416
52,-0.000329061279168406
53,0.0014997034390904817
54,-0.0004548930621479665
55,0.0017145944928252971
56,-0.0024673692021874812
57,-0.000585639081896921
58,0.0012050051196639047
59,-0.005250320639187483
60,0.0003262697126532392
61,-0.001675381680964865
62,0.000486063615775204
63,-0.0022526033766954766
64,0.00030827585619278594
65,-8.190633233637208e-05
66,-0.00024630099586515707
67,-0.000694714983095401
68,0.0004892958136398051
69,0.0004542332496771845
70,-0.0008527708163182496
71,0.00039091948391730563
72,-0.0003831510908340856
73,0.0006404077627045829
74,-0.00036611161685954854
75,0.00022725031890765774
76,3.922247610588327e-06
77,-0.0012454506088262732
78,-5.1465586519097295e-06
79,-0.0047931669576162595
80,-1.0092724923063122e-05
81,-7.10697657125722e-08
82,-9.277673977236567e-05
83,6.641974591875732e-05
84,-0.0007792472026494619
85,-0.00098729817228959
86,0.001887705308013727
87,-0.0005795316999212507
88,0.0008154882961249052
89,-0.00038510770491707283
90,-0.00031610327934855544
91,0.0002825479031969359
92,-0.00019217539018945694
93,-0.0007788894206006706
94,0.0022644428969000627
95,0.004783538516435554
96,-0.0003146014261945297
97,-0.0011951067397493458
98,0.00033388054765691943
99,-0.0032606281744144558
100,0.0001250223286610866
101,0.00043085401387325003
102,0.0001437499117173262
103,0.0023421240817459864
104,0.0006950133389459241
105,0.0004811034705634983
106,0.0009658147347687178
107,0.006668407822516151
108,0.0006517031156934189
109,-0.0003322022322053007
110,0.0014120831736892602
111,0.006494081120212599
112,-0.0006085456973478449
113,0.00047828100817607375
114,-0.00045016141803296206
115,-0.0019354388736331145
116,0.0005194843070836874
117,-0.003364252638790902
118,-0.001926473720125073
119,-0.015142185036136962
120,0.0006366340023396375
121,-0.0014060781712058354
122,0.0006154162094564586
123,-0.00010282033680823558
124,-0.0002693366813235638
125,0.0003228226864760849
126,0.000311840639406598
127,0.0007759827739007079
128,-0.0014252206773566482
129,-0.0011135228476032836
130,0.0031098104114209092
131,0.0003052346972047293
132,-0.0002037944089908078
133,-0.0017987605422240833
134,7.075651444901884e-05
135,-0.006166728152603117
136,0.00012951914643386005
137,-0.0007822166454469492
138,0.0003615696443436649
139,-0.0005804964738301875
140,0.0004949042488017715
141,-0.0007547409948528655
142,0.0005328490479836294
143,0.0009365069124298191
144,0.00113267452530303
145,-0.001955836099008519
146,0.0005001966953733704
147,-0.0006901230866246819
148,-0.003558319702774801
149,-0.0005843850340242554
150,0.0021356782194604696
151,-0.010060638920307766
152,-0.004143624454753802
153,0.0001889057652992847
154,0.002567613481164406
155,-0.004155752892049778
156,-0.0007789052930037233
157,0.0001563962011728684
158,0.001215461273357826
159,0.0022550108049104152
160,-0.0016466507542624127
161,-0.000694398257250801
162,0.0005972079557903428
163,-0.005130777436897853
164,-0.0004292671538175598
165,-0.001013228989143111
166,0.0009585706063996064
167,-0.0018466390410669178
168,-0.0011712014980344943
169,0.0004309336265913823
170,0.0007943825630703768
171,-0.00016111080439557585
172,-0.0021094157035955567
173,0.0008749300607720593
174,-0.00064993286503408
175,-0.005944207149295018
176,-0.0002962085325660545
177,-0.0013552710615119137
178,0.0012867585740924002
179,-0.0012080958972780999
180,0.0008986739696803937
181,-0.0033051515607181382
182,0.0026917226798981774
183,0.0017974520941073278
184,-0.0038781299422069944
185,-0.001712075466896327
186,0.00164327067676476
187,-0.01347380198990281
188,-8.69126462510111e-06
189,-0.0013309435754396642
190,-9.015812416161672e-05
191,-0.004575639977418285
192,0.00036248845763468606
193,0.0015942506797481761
194,-0.0006814227348579228
195,0.002839893185171857
196,-0.00034709748212848073
197,-0.00020853173864396148
198,0.0012061290119517176
199,0.0020675445395238914
200,-0.0005626535354032946
201,-0.0005818338460647968
202,0.0009546213822136294
203,-0.0005968600392063035
204,0.0001272445382763757
205,-0.0003525344909761304
206,5.2141351479429574e-05
207,-0.00035225723636948234
208,-0.00024275076190859553
209,-0.002275629354325549
210,0.0020537460973348884
211,-0.0009562891494424097
212,-0.001943096324166605
213,-0.0020963086211694144
214,0.004871597243641413
215,0.0024139622919477554
216,3.172439368745041e-05
217,9.165954267063557e-05
218,5.340766123525262e-05
219,0.0005025544115126469
220,-0.0004999038079466547
221,0.0005861546929016711
222,-0.0018318857535442842
223,-0.005057535066369483
224,-0.0006714797999721109
225,8.386201052294968e-05
226,-1.5837329340161433e-05
227,-0.0018156149106025989
228,-0.0015461801990311694
229,0.0013264645841039784
230,0.002941216291726771
231,0.006750907561721384
232,-0.000958906433314447
233,-0.0004996977188691721
234,-0.0004906994628492644
235,-0.005847926105923529
236,-0.00048101803747865944
237,0.001847534491542935
238,-0.0022390908905995724
239,-0.003321434062971705
240,0.0006922549417176767
241,-0.0002069925328921847
242,2.1832052972075013e-05
243,0.0020777273187467687
244,-0.003646718794452603
245,-0.0014724703726413768
246,0.0016452119515104383
247,-0.0111855756472321
248,-0.0017510173778454254
249,0.0005120057603996718
250,-0.0005883306425072277
251,-0.005843122429535906
252,-0.0009603550446700828
253,-0.000638526609637082
254,0.0005270198443784661
255,-0.006878733647601566
256,0.00017444608080274723
257,-0.0016671241405511723
258,-0.001198632272757078
259,-0.009064245954029746
260,0.0002623888899057348
261,0.00015512805181744786
262,-0.00033708273204549106
263,0.0008833394262211299
264,0.0007708771060873859
265,-0.00029149981045107346
266,-0.0006637360868791716
267,-0.0007402480813334587
268,-0.0006934480662844429
269,-0.0001751650803765318
270,-0.00017369286906906831
271,-0.0036306931024863544
272,-0.0008090085674849664
273,-0.0006848173021629352
274,0.0003044463119196934
275,-0.002993270111467328
276,0.00047985976745725564
277,-0.0017791936006449167
278,-0.00019381886367124548
279,-0.004324810667481521
280,0.0002873009455054907
281,-0.0002968631765013
282,0.00017035401420479102
283,0.00028567982150655376
284,0.0009739035902129567
285,-0.0008338736430574145
286,-0.0005243304807648388
287,-0.0014597624556796506
288,-0.0013413123723890626
289,0.0007143629211116971
290,0.0001172139767206679
291,-0.0014569993091886136
292,0.0002743394041127066
293,0.00015197003638946186
294,-0.0002879439906966678
295,0.0004419540053105637
296,-0.002189140378756395
297,-0.0006027089830834701
298,0.001967683932704114
299,-0.001869263578272757
300,0.0006941397524635395
301,0.0006370486715066036
302,-0.0015750020616342507
303,-0.0007853663359876188
304,0.000475516539377013
305,-0.0007694387488314166
306,-0.001763718954009677
307,-0.006506935344468195
308,0.0002725712111862193
309,-0.0015197988660129644
310,0.0004677854950534496
311,-0.0024580072026908783
312,-0.0016274885401013988
313,0.0002193216789197433
314,-0.0014732229066380597
315,-0.008465261831406471
316,-0.0009463981708333935
317,-0.0010464856281494044
318,0.001179091988043028
319,-0.0015993673446342406
320,-0.0002846062288585146
321,-0.00017579293523299535
322,-0.0002999239199657578
323,-0.002351916800382349
324,-0.00010492371893435705
325,-0.00030592972474091727
326,-0.0009045971633382924
327,-0.004921881879611181
328,0.00011927732102344957
329,0.0006423981834698335
330,0.00022160395637021434
331,0.0029500537193084355
332,-0.0005174111129897394
333,0.0005439525237348153
334,7.583519732285198e-05
335,0.0007543331505688945
336,-0.00047561535779714703
337,0.0009392889700329236
338,0.0003851760463744339
339,0.002250317619351881
340,9.106139637210702e-06
341,-0.00013273046485129644
342,0.00013650358606722462
343,-0.0001080850936216998
344,-0.001291444513666438
345,-0.003330146762460478
346,0.003605521351607288
347,-0.003790830453528225
348,0.00046786665609537686
349,-0.0006112180760042922
350,-0.0004329502286554257
351,-0.0016813593927235081
352,0.0014260692384412484
353,-0.0009734179224620835
354,0.00032801419878068035
355,0.0023237305655031794
356,-0.0036736424020353702
357,-0.0006557867366805162
358,0.0021251117667483205
359,-0.006391730619236252
360,-0.0002733126790180542
361,-0.0032612284990972246
362,0.002784556418413315
363,-0.0025019249444173546
364,-0.0014533058327179547
365,0.0030744690597246122
366,-0.002415238357509093
367,-0.0022971857188262947
368,0.00010577300803699077
369,-0.00021823607188199782
370,4.385775510955267e-05
371,5.005913548522722e-05
372,0.0001621382085945955
373,-0.0006648716152331928
374,-0.00026532586003857043
375,-0.0023260073194538056
376,0.0020000466107277523
377,0.0006036033319202619
378,-0.0004968876367198256
379,0.005406837967315898
380,6.0318950285105354e-05
381,0.00021674092772211795
382,-0.00046696487474622304
383,-0.0005362668224400003
384,0.0003434445796981339
385,-0.00017318158806362862
386,0.000508774351404291
387,0.002155542441904009
388,-0.0025953574130352626
389,0.0013884382371576996
390,0.0005607322372424563
391,-0.0015157323813884173
392,-8.14544977342268e-05
393,-0.002619272339198697
394,-0.002998597436184697
395,-0.016381125972281935
396,-5.280347696916539e-05
397,0.00034454228145388514
398,0.0002537570975882502
399,0.00155382152663142
