,drop_hispanic_virtualper_inf
0,-6.49481619491887e-05
1,-0.0008512285560730653
2,-0.0015232244191190594
3,-0.0056893723875861574
4,0.0009474917239368694
5,0.0009344910717216057
6,-0.0017524288227450527
7,0.0015465579523293907
8,-0.0017247862298219456
9,-0.0009990844270370922
10,0.001088715285089459
11,-0.0068028107320145656
12,-0.0007993632899662094
13,-0.00040450657483077484
14,0.0012333525942560025
15,-0.0005492762793016611
16,-0.0007129812913859677
17,-0.0007294839908748186
18,-3.125451094923991e-05
19,-0.005152403332542245
20,0.0001361188416153955
21,-7.99444381924733e-05
22,0.00037745351670964597
23,-0.00010502215983788463
24,-2.7371314531145655e-05
25,-1.4098848243982285e-05
26,-0.0005561945242728537
27,-0.002252105918421083
28,-6.67797787758266e-05
29,-0.0007443223914916337
30,0.00016641772199446915
31,-0.0023913046924928425
32,-0.0005245896020547899
33,-0.0005486695064883715
34,-3.5060214034155084e-05
35,-0.004942060052675362
36,-0.005099620275890556
37,-0.0016168938926452122
38,0.0009230277607636229
39,-0.01798294745815999
40,0.003583036413093845
41,-0.0059962593201763415
42,-0.0008241331377750831
43,-0.010643677156217082
44,-0.0005338242468217411
45,-0.0004009592328325537
46,-0.0004548322207836819
47,-0.007432479512045328
48,0.00026726752226182094
49,0.0006255009179724806
50,-0.0018476974729669973
51,-0.002880958917839931
52,-0.00010654545452358392
53,4.022620734595525e-05
54,-0.00025140690920776097
55,-0.00043017383196846857
56,-0.0003986212095390532
57,0.00017817994852947663
58,-0.001329927676662347
59,-0.004494881513565064
60,0.0007319193388419493
61,4.95768127344778e-05
62,0.0014194532334785871
63,0.0072111401814568595
64,-0.006101898568782369
65,0.005352660666475683
66,-0.0015787784377845361
67,-0.011232315327430476
68,-0.0014325833760498042
69,0.0014342970590880445
70,0.0011189349166163915
71,0.004680395447200176
72,0.00022198335646510988
73,0.0005233377011559635
74,-0.000235676315632678
75,0.001381727871921409
76,-0.0002864993420154302
77,-0.0006913892082272996
78,-0.00013439050430954748
79,-0.004285437398730433
80,-7.462811508105206e-05
81,0.00024607692556586193
82,3.963570053480482e-05
83,0.00035094328092837745
84,-0.001678506563070795
85,-0.00021269924850239095
86,0.0026519232308726704
87,0.0017397598009873706
88,-0.0002429572878643076
89,0.00011141179374932162
90,6.617458257091712e-05
91,-0.00025699310756652335
92,0.0016258057271395494
93,-0.0008476987126802153
94,0.0022586363296052576
95,0.010406441574576404
96,0.00013176017505856392
97,-8.784917105469418e-05
98,-1.3636146391105055e-05
99,-0.0003052250687565496
100,-0.012183378007937276
101,-0.010882981477985023
102,0.00865278133984076
103,-0.048637542873847375
104,-0.0022873965794947323
105,0.0008200290160857114
106,0.0010927363353946062
107,-0.0046721494641105005
108,-0.0001509254153294989
109,-7.390038363322921e-05
110,-0.00025402311329723556
111,-0.001826071126380341
112,0.00025885839391869085
113,0.0003449187730944619
114,7.3341164252307e-05
115,0.00020139545823078707
116,-0.002548200719770484
117,0.0002799368664591317
118,-0.001403846083926627
119,-0.010309295906695512
120,0.00025214811534903767
121,0.000191487163578697
122,-0.0006781717156516028
123,-0.00015558046118930053
124,-0.0002373954520136461
125,-0.0006027567304047759
126,-0.002944554773539465
127,-0.010339516741480682
128,5.912931600243871e-05
129,-0.00028268010041521434
130,-0.0008085823938084638
131,-0.002200593879129339
132,-6.92923195063032e-05
133,-2.362091609472631e-05
134,-6.69074912592131e-05
135,-2.582607037380517e-05
136,0.0018314776936137398
137,0.0007482526092574687
138,-0.000176034748459592
139,0.007608053795749401
140,-0.0001188939249968083
141,-0.0018787116337188358
142,0.0014562150612913802
143,-5.363316157977154e-06
144,0.0004818097310222421
145,-0.0001446326375019724
146,0.0007596227308433752
147,0.0034503427590841904
148,0.00026246177806633344
149,-0.002935012814045376
150,0.0008577487020367047
151,-0.007313271250178297
152,0.0010081777510985177
153,-0.0005213948772210165
154,-0.0017170876431007059
155,-0.008013959150667434
156,0.0024510624340773873
157,-0.002114066144784068
158,-0.0037219326181334375
159,-0.01444548350170077
160,0.0002610164817784442
161,-0.0003418346641813181
162,-0.004785949110393719
163,-0.021151276571826735
164,0.00021616095567332278
165,0.00014151914133467657
166,-0.0008942385294695624
167,-0.003014653266966419
168,0.00013891165859849502
169,-2.1651086351214407e-05
170,-8.45971090866105e-05
171,5.8595970824570674e-05
172,0.004541725879486115
173,0.0015650888011612951
174,-0.0011862433055002954
175,0.01585897076187045
176,2.5028753896560927e-05
177,0.0011960095018675363
178,0.0015772977210767862
179,0.008825904688785071
