,drop_black_hybridper_inf
0,-3.181246240282706e-05
1,-0.00037171549947154713
2,-0.0007145209965500777
3,-0.0026363200577096155
4,0.00013972576936020108
5,7.480580838436462e-05
6,-0.00017907757622574754
7,0.00016750129674856636
8,-0.00021444405742823585
9,-0.00021763746788754359
10,0.00023112621326539957
11,-0.0013018653347681092
12,-0.0002848642156006026
13,-0.00020514008489952304
14,0.0003832916464418404
15,-0.00021194295429131119
16,2.453154218133007e-05
17,1.30093467205866e-06
18,-3.3262887285531663e-06
19,-0.00012341449464778575
20,0.00020674717172536547
21,-3.287097414223869e-05
22,0.0001653580296013628
23,-0.00034730497051458926
24,8.337448383385978e-06
25,-7.003743515865426e-07
26,2.4740130898557707e-05
27,0.00015120055688374887
28,-1.0797429861105948e-05
29,-5.076192112297804e-05
30,-2.5427493616734688e-05
31,-0.00010287467560612468
32,1.3887678835158832e-05
33,3.981290630680372e-05
34,2.993597126001213e-07
35,0.00018164944852185004
36,-0.00012356071480403388
37,-0.00017354567680194936
38,0.00013037600708508857
39,-0.001674375628215144
40,0.0003195421343594492
41,-0.0005669838005864383
42,-1.3534374781393882e-05
43,-0.0006866740835267571
44,-0.0005927428419261226
45,-8.37852129440925e-05
46,-8.46122006126357e-05
47,-0.002872522580905537
48,6.591752247824751e-05
49,-2.5801464503870087e-05
50,-0.00031758247156858524
51,-0.00037246359842245933
52,-5.4055806755841836e-05
53,-4.546164786670077e-06
54,-3.6251751167675623e-05
55,-9.095008230044635e-05
56,0.0006709393331028264
57,-0.00020139726699730463
58,0.0005392829440972429
59,0.004241405131594537
60,0.00010735802643660198
61,5.228103081875042e-06
62,0.00013533989089558612
63,0.0008770107012384857
64,-0.00257632388908781
65,0.0008608262262853678
66,-8.880348878511242e-05
67,-0.002435538767184341
68,-0.00138279601298183
69,0.0015908812758454898
70,0.0013527942152554001
71,0.005085800921032962
72,-0.0004766149318192428
73,-0.0009595285237485252
74,0.00045873400806344214
75,-0.0027190681967656167
76,-0.000189409344779125
77,-0.000654158160577695
78,-0.00016518471845203286
79,-0.00379548099625644
80,0.00019649632920591055
81,-0.0013947478047628711
82,0.00044296987468145463
83,-0.0024672276557264478
84,-0.001497293277815897
85,-0.0001980059886138799
86,0.003090187449034419
87,0.0017468044700524213
88,-1.539347932590656e-05
89,1.6547394031590084e-05
90,2.6817310411370555e-05
91,-4.698850043175491e-05
92,0.0007730286020739074
93,-0.0003340152781103075
94,0.0010778893761960054
95,0.004674310040311224
96,2.039628828229976e-05
97,-1.9311731197190065e-05
98,4.3066279781005896e-05
99,-7.81306993903061e-06
100,0.0014912754653860678
101,0.0013355392749178562
102,-0.0010609582129737921
103,0.005962342590819057
104,-0.0003842195083780942
105,0.00025192179544001974
106,0.0003112277568060823
107,-0.0012255361243945272
108,-0.00016820496966116124
109,-0.00022849083158269897
110,-0.0006456636132829936
111,-0.003218664987035333
112,-0.0007339482236061757
113,0.0024075480759265635
114,-0.0023432823338122057
115,-0.0037541189694528985
116,-0.00027427153302309786
117,8.989243482214765e-06
118,-1.8676996441624452e-05
119,-0.0006032288797803155
120,-0.0007710529193612894
121,-0.0007119100063091288
122,0.0014519659105579437
123,0.0004437803964534326
124,5.943001733886395e-05
125,0.0001942139125838377
126,0.001125715790818755
127,0.003267315330735207
128,-0.0006346823427857106
129,0.0016985799414761208
130,0.0024223940090253885
131,0.011378298632592234
132,0.00017626318221470474
133,-0.00011663521364906958
134,-0.00039533712636547505
135,-0.00043271208120079796
136,0.0009477839472514089
137,0.0002625294832730547
138,-4.022314559134062e-05
139,0.0025340748280457365
140,-0.0006252449595613381
141,0.0029890167677246223
142,-0.0023669972917896315
143,1.653220226489108e-05
144,-0.001380386608244765
145,0.0002695734803245004
146,-0.0011103349966957619
147,-0.006704481201420779
148,-0.0002666677232881451
149,0.005594707547590834
150,-0.001428090734270525
151,0.010621888185044205
152,8.969138397792775e-05
153,-1.2207345137501771e-05
154,0.00029271279435169
155,2.8857698865470972e-05
156,-1.140214715166149e-05
