,drop_wi_hybridper_inf
0,-1.0293371198531449e-05
1,-4.418736817785442e-05
2,-0.0001654182655725907
3,-0.0005778325078071825
4,0.0005971794720195522
5,0.0004276103629609326
6,-0.0003981962580527707
7,0.0006459322891821475
8,-0.001096594910874937
9,-0.0004070855796744531
10,0.00032123501631600764
11,-0.0028829391021422245
12,-0.0006010936878258637
13,-0.0004986630365380563
14,0.0007772686723097439
15,-0.0004693746782744634
16,-0.00045250006007866307
17,-0.00035792083909017756
18,-2.0594729117480404e-05
19,-0.0030445001062510907
20,1.0828104934122921e-05
21,0.00024321658746071927
22,0.0008183512172530282
23,0.0014672543968775819
24,2.5071857209543143e-05
25,1.054048370379423e-05
26,0.00036455071301883717
27,0.0017006381090530543
28,-3.823324484465464e-05
29,-0.0008212369036897715
30,6.804593039301718e-05
31,-0.0016336144154031106
32,0.00017151345520830322
33,0.0002693731088982725
34,1.7017584369695394e-05
35,0.0021713081892198484
36,-0.00014913340589415718
37,-0.0003256794676792983
38,0.00023110381134619316
39,-0.002951639400423891
40,-0.0005456083166365821
41,0.0012399801624850928
42,0.00010985443953698783
43,0.0017397434632625067
44,-0.00030665094507730076
45,0.0002535483725751982
46,-0.0006293499829950275
47,0.00012188383941329567
48,5.956894480679227e-05
49,-0.00028390005554444065
50,-0.00021114039256472724
51,8.048698273630461e-05
52,-0.00013470607790220848
53,0.0002538276399282711
54,1.1115382249479797e-05
55,-0.0002878487143015482
56,0.00025915732749300915
57,-0.00021975875676191826
58,1.2537162574663257e-05
59,0.002685348192601836
60,-2.8482370432884483e-05
61,2.118148126821321e-05
62,0.0007011465219071321
63,0.0016640904985908912
64,-0.0017833338003961415
65,-0.0011297839490117677
66,0.0003279297068417401
67,0.00044355317379624255
68,-0.0016921001682079853
69,0.0019492533044067335
70,0.001766181218412179
71,0.006359282895695508
72,0.0013257281451399797
73,0.002940214160919396
74,-0.001649194066090001
75,0.008514754912190904
76,-0.00036432254433177067
77,-0.0014312831928821447
78,-0.00036801907363014276
79,-0.008020238539798224
80,-0.0005005974221828615
81,0.0034658779477319246
82,-0.0011228770267975123
83,0.006222588937800339
84,-0.000867202035462646
85,-0.00011453005483888055
86,0.0022553604822913987
87,0.001122855368678454
88,-0.0009097336908253668
89,0.00028019965016074693
90,0.00042698899848849317
91,-0.0009773343053622228
92,0.00017479539505003226
93,-0.0001302674816157175
94,0.0007334948722332666
95,0.001913194554909728
96,-6.926992611883368e-05
97,-2.3549686013839107e-06
98,7.887354119026089e-06
99,9.655179554900221e-05
100,0.002726851163100077
101,0.0024762320425385136
102,-0.0019826309115733892
103,0.011041332434820831
104,-0.0019528467154902689
105,0.0007116232760768828
106,0.0003226413607635085
107,-0.0028910692553310836
108,0.00012051758863949011
109,0.00011637630890498074
110,0.0005724013622157944
111,0.0022607445635190616
112,-0.0015367666215643809
113,0.0039445123083029585
114,-0.004008032679758755
115,-0.006724586952609207
116,-0.0006152974322299256
117,0.00014124517989283256
118,-0.0014825971260595929
119,-0.005561786040778023
120,0.0015361507860416153
121,0.0012453436482434837
122,-0.003183441972455552
123,-0.0008742239022449404
124,-8.212738414230371e-05
125,-0.0003152507937363889
126,-0.0018497360755169523
127,-0.005104443959370081
128,-0.0006096346744233592
129,0.0016623525257377554
130,0.002781888388683043
131,0.01167496179009404
132,-0.000721393519196263
133,0.00036270871838140677
134,0.0005587853876573942
135,0.0010884096656869485
136,0.0014353789419866867
137,0.00037719598768788865
138,-7.038808358634726e-06
139,0.0026884605338121106
140,-0.0008487312858582668
141,0.006802329174264019
142,-0.00553709132604017
143,3.239552724041425e-05
144,-0.0017196008804384517
145,0.00037067670712294967
146,-0.0015602966498845135
147,-0.0089673170496578
148,-0.000328355598504887
149,0.00630286211657636
150,-0.0015740406376921344
151,0.01221202324241554
152,0.0003952729809788912
153,-0.00025806798100542073
154,-0.0006110335951557077
155,-0.003341478990421215
156,0.00043635638889667294
157,-0.0005821257851369364
158,-0.0009446680485059409
159,-0.0033776508855468514
160,5.7030422948992616e-05
161,-9.693834399800692e-05
162,-0.0018651465464845196
163,-0.006175154907343471
164,8.240952129821438e-05
165,0.00011194158908872809
166,-0.0009171701968115711
167,-0.002174022291559906
168,-7.85058670564536e-05
169,-3.56403733476689e-05
170,-0.00043229112798382396
171,-0.0014676979019974247
172,0.0002647968652462381
173,1.5091429739671154e-05
174,6.078847731995372e-05
175,-8.83783612472369e-06
176,-1.036169590220293e-05
177,-0.0004013790478485808
178,-0.00024266082586122734
179,-0.002736660979397303
180,-0.00010751766818666185
181,-0.0017513126283057244
182,0.0001796923191276965
183,0.0018711141811789107
184,-0.0011734726988342893
185,-0.0010889849368108215
186,0.0010490512496670905
187,0.004584538581950674
188,0.0011303431765256262
189,-0.0005724912741002869
190,-0.0016304515196104553
191,-0.0028455155466848765
192,-0.0005706578506720091
193,-0.0001775722376387244
194,-0.0005557111957638434
195,-0.004182582958100858
196,0.0019808487229738348
197,0.0009669762879834678
198,-0.009444860385940527
199,-0.020126585490094304
200,0.0015887522523810862
201,0.00034016146682123164
202,-0.0007092290425420119
203,0.0013592776145923407
204,0.0037602735997344615
205,0.004290841574756767
206,-0.005490945143141242
207,0.00993547678474908
208,0.00459606659235284
209,-0.0001819822523932466
210,-0.003949730584618406
211,6.011770924480069e-05
212,0.001582471941053212
213,2.4942496709332827e-05
214,-0.00015287986005603415
215,0.003938036379436414
216,0.006129130861876507
217,0.0009775813391561003
218,-0.007985295362705633
219,-0.0015562333667540585
220,-0.0001963930448337277
221,0.0032048118356405
222,-0.002352891822522531
223,0.0023205634447012293
224,0.0011497118321858936
225,0.0010354100579782822
226,0.0002506966073928173
227,0.007116265968127998
228,0.001462970578032002
229,-0.0013174375362695865
230,-0.002018416958926896
231,-0.00687688003575726
232,0.001548911837663644
233,0.0009637145408332746
234,-0.0035091407133453403
235,-0.0023916657291039377
236,-0.0003099699724037541
237,-5.52108837382021e-06
238,-6.695078398765319e-05
239,-0.0008475758636965002
240,8.160982447434326e-05
241,0.00047817148635958645
242,0.0021000569962306755
243,0.007840098408455917
244,0.0006547682989475667
245,0.0032117082270310513
246,-0.002149840333681888
247,0.005181283152858531
248,-0.0002793233358322993
249,-0.0007936470026652137
250,4.800028441950003e-07
251,3.208231551049122e-05
252,0.00012744564454576334
253,-2.6381026699661356e-05
254,4.7554310797076794e-05
255,-0.0009977406169608294
256,0.0008043956136629379
257,2.847087165381377e-05
258,-0.00014533871748194802
259,0.0014636557087820124
260,-4.430803464324381e-05
261,5.022814514145931e-05
