,drop_hispanic_hybridper_inf
0,0.0001030449748904417
1,0.0011225674692397075
2,0.0016445518621466617
3,0.007195655804651112
4,0.0005624223230871645
5,0.0003364466310987985
6,-0.0005811265267062323
7,0.0006446009600237208
8,0.00027487966626292933
9,-0.0003151645999359074
10,0.0005786323527248895
11,-0.0018687645641111902
12,-0.00031779072126729386
13,-0.0001669782257288661
14,0.00012151144405296598
15,-0.00016175934454691873
16,-0.00011994515197683086
17,-5.6040953588004355e-05
18,-8.883687408307252e-06
19,-0.0008952383294639841
20,0.00045734589109321
21,-0.00014087305932032737
22,-0.00048512872398332683
23,-0.001828800320917461
24,-2.578271765819244e-06
25,-4.805940637294495e-06
26,-0.0004167942011801183
27,-0.0009587553437849812
28,-6.7928318425185295e-06
29,-0.00015644413336181424
30,-0.00023137932101692762
31,0.00071043974397911
32,-0.00013416862074813185
33,-7.521932008681931e-05
34,-2.469887057054714e-05
35,-0.001811739643246591
36,0.003132825309343841
37,0.0008613476766004893
38,-0.0004323058938116713
39,0.00962617456441903
40,0.0011036035688131048
41,-0.0018598034031375365
42,0.00013093347048353705
43,-0.0014794972471897953
44,0.0022766650133892383
45,-6.231042148648451e-05
46,-0.0010604310824308112
47,0.002480146554386047
48,6.798625706634547e-05
49,-2.096688090989005e-05
50,-0.0005429033540747335
51,-0.00051753179307904
52,6.884567687855625e-05
53,2.178527815074776e-05
54,-7.781021324269241e-05
55,-4.4650828677601854e-05
56,0.0008623131293734589
57,0.00013129423632922153
58,-0.00015351343353028812
59,0.0006137625809569505
60,-0.0004931362366523643
61,-5.4864628845120855e-05
62,-0.0011748919521022462
63,-0.005956784362219068
64,0.0001635810577026006
65,0.0013570712357262647
66,3.33403398653817e-05
67,-0.0008205393687897676
68,-0.0004061610035539643
69,0.0006335000913113255
70,0.0003638621159260618
71,0.0016475253276704398
72,-0.0003278139125760953
73,-0.0009522760159700371
74,0.0003119547432552384
75,-0.0021498593282446676
76,0.0001385316712091568
77,0.0001578896148873063
78,-3.697223916476998e-05
79,0.0009592175479391107
80,-5.353034685236787e-06
81,-0.00023035511892404402
82,-1.2228442185194346e-05
83,-9.089328300110031e-05
84,0.002253869292698434
85,0.00033737834452392604
86,-0.001590236012657949
87,-0.0019973831702221737
88,-0.00011741190436043657
89,2.75459849961259e-05
90,9.648290612000661e-05
91,-0.0001543571686294898
92,0.0007498123373110227
93,-0.00031164326787572823
94,0.0005073385997513825
95,0.0037861183685675625
96,-0.0002897577506903726
97,9.803456261619036e-05
98,0.0003279725680035586
99,0.0008547761437035472
100,0.003000869235215835
101,0.002639412037780601
102,-0.0020676230203234714
103,0.011787398818331308
104,0.003920344676374323
105,-0.0009761293354960472
106,0.00034110606898427276
107,0.003172230616969463
108,0.0003318514345576693
109,0.001601867805187869
110,0.0050577402100323845
111,0.017053143564287998
112,-0.001090345541055665
113,0.00368366362810054
114,-0.0036874958849019515
115,-0.0057481828848096155
116,0.005342206864531164
117,-0.0007543622952889261
118,0.005367794578150061
119,0.0282625765902936
120,-0.0015140974412676173
121,-0.0013738594598544037
122,0.0025295292068327003
123,0.0008353772611950291
124,0.0005962037053941349
125,0.0019349498824759487
126,0.01091477190826288
127,0.03227086147297481
128,-0.000530450019851406
129,0.0011234085642975909
130,0.00033361627529669295
131,0.006342325462420894
132,-0.00021060906001187473
133,7.379736366440267e-05
134,4.410485914320206e-06
135,0.0001981767919639462
136,-0.001112905157774446
137,-0.0008266173454568193
138,0.00018105169472814282
139,-0.007240113793546472
140,-0.0006391762120259571
141,0.0019331098770521632
142,-0.0006171398998159312
143,1.0940713113822872e-05
144,-0.0014836424434203652
145,0.0002963923336532416
146,-0.0013105579221384335
147,-0.007481161114889003
148,-0.00040417217875847157
149,0.009877238788214613
150,-0.0025887500445635463
151,0.018127303679749216
152,6.543961109619239e-05
153,0.00016449329665445142
154,0.0010841295279494236
155,0.0020237234558905543
156,-7.955750248379986e-05
157,0.00032462613791494683
158,0.0013427478706447803
159,0.002522806806913584
160,2.793377407575689e-05
161,-6.195895405049176e-06
162,0.003030915014985219
163,0.0030183323175557173
164,-0.00011730722842839048
165,-1.3193526909030151e-05
166,0.0008329564251582953
167,0.0014473670638346986
168,-5.906422035777126e-05
169,-7.137719557623798e-05
170,-0.00037427775489749587
171,-0.0016415763829063525
172,0.0005893521591578989
173,6.147511991641377e-05
174,-0.0001540420529600735
175,0.0016218814776400524
176,-4.183264838868682e-06
177,-0.00034243185083943783
178,-0.00038801253415629035
179,-0.0020639587998423923
180,-5.870669058828098e-05
181,-0.0012275990733593759
182,0.003958826629657427
183,0.002231334850868734
184,-0.0025383855541012243
185,-0.0027786732492989627
186,0.01060333546250791
187,0.01460776936625838
188,-0.0005192304986616829
189,0.00016211056128299104
190,7.549957695217252e-05
191,0.0007276008834949411
192,6.415407236143684e-05
193,0.00025871914457032975
194,0.0006536590354791163
195,0.003523336710582092
196,0.0009938287777773453
197,0.00047916096041948907
198,-0.004756925613719869
199,-0.01007043091868954
200,-0.0001933186587117138
201,-3.546588673615348e-07
202,-0.00031978208335999936
203,9.013173111044944e-05
204,0.0011321253209412275
205,0.0014616910576134411
206,-0.0017256993304628466
207,0.0031656943793539984
208,-0.008931413652726925
209,0.0004555385336857837
210,0.008748535878436586
211,-0.00013245179814166662
212,-0.0015493233295690466
213,-3.720250800901354e-05
214,0.0002467192409877054
215,-0.005266551940648595
216,0.0017023527578144014
217,0.000343096284299555
218,-0.0027002315370768864
219,-0.0005012723051514717
220,-8.636974178164681e-05
221,0.0010133261994889667
222,-0.0009950603132994975
223,0.0009147028950329688
224,-0.0018575272220419533
225,-0.002195296502930907
226,-0.00034386372312799723
227,-0.011813881803960324
228,0.001521344104297603
229,-0.001322011382277956
