,drop_ed_virtual
0,2.703672044466852e-05
1,0.0004838902120131894
2,0.0008110746384950662
3,0.002950649565900555
4,-0.001043115689886899
5,-0.001083189391479643
6,0.0022020617106692257
7,-0.0018254521033998507
8,0.0028611069035338436
9,0.0014048856944208923
10,-0.0015828467413797767
11,0.010137718933631376
12,0.003044690546428056
13,0.0014216282685955578
14,-0.0038202729386590246
15,0.0019021473947551924
16,0.002328418177059766
17,0.002129487677302706
18,9.170358541230408e-05
19,0.015618333116593898
20,0.00018655565323024486
21,0.00010577733742999268
22,0.00046549026256188065
23,0.00037202076931016747
24,6.152060031686946e-05
25,2.6183295884603555e-05
26,0.0012593459912184097
27,0.004711864653078297
28,-6.773138078423343e-05
29,-0.0014943317251665264
30,0.0002543202615816966
31,-0.0034870940403295275
32,0.0010261467426004387
33,0.0009779885870014608
34,6.520341172566247e-05
35,0.00919939958065386
36,0.0008965464643313315
37,-7.590031278041511e-05
38,8.466478762992383e-05
39,0.00014565548172210618
40,-0.0037982963488581074
41,0.006573906819090761
42,0.0006076327205739054
43,0.010162205596359273
44,0.0005361957602801682
45,0.0007407258769367729
46,0.0003448323943861261
47,0.01097105616455398
48,-1.6287532358010364e-05
49,-0.000482035667792895
50,0.0003762220877070164
51,0.0009642797243544752
52,9.85005115036484e-05
53,0.00012008892024225324
54,0.00022398483057659054
55,0.0002786956347277961
56,0.0005468913980551571
57,-0.0005012495973456148
58,0.0015175917651767178
59,0.008127412158197383
60,-0.00011345018499400844
61,2.422139510966422e-05
62,0.00086163812027492
63,0.0016217799043499882
64,0.0022458564541026006
65,-0.005436936740112698
66,0.0012404415959671941
67,0.008139908202541428
68,4.6521773352181444e-05
69,-8.602541485984813e-05
70,-0.00012077314581350337
71,-0.00029932356356386256
72,6.190788698133914e-05
73,0.0003586979194598842
74,-0.0002093114943592811
75,0.0008575711126483328
76,2.0587151107936613e-05
77,-6.585000800951695e-05
78,-3.205200440305358e-06
79,-1.7665614465167707e-05
80,-3.0268007969348918e-06
81,0.0007989727092277872
82,-0.0002505876068515471
83,0.0009879418218186383
84,6.601179924725898e-05
85,8.145583193671284e-06
86,-0.00010294857188926814
87,-6.753334668351491e-05
88,4.376089203812338e-05
89,-4.6857109325416235e-06
90,8.364948887226913e-05
91,-5.6849041744867665e-05
92,-0.0012157933798366063
93,0.0005284065694744137
94,-0.0011094853019362719
95,-0.0066043194600037295
96,-0.00012576318141296102
97,7.339026236035925e-05
98,-4.301995053995607e-06
99,0.00025936436541238746
100,0.009729988134519826
101,0.008763120063922946
102,-0.007004348447447525
103,0.03914417838557796
104,0.0007850017372557841
105,-0.0002760424422958026
106,-0.0007950322125361933
107,0.00236356210826612
108,0.0001262880080728113
109,-0.00041278206269322436
110,-0.0010339240357468515
111,-0.0024185384821315873
112,-0.0002554518860535796
113,0.0002890164215660736
114,0.00015983596010255748
115,-0.00047114702414569466
116,0.0010607003438975837
117,-2.88511935585154e-05
118,-0.0007830577189985922
119,0.0006222237820684865
120,-9.600979157796918e-05
121,-0.00028605807771881967
122,0.0007885046789369391
123,0.00015653851642905939
124,9.586310338546043e-05
125,0.00010292466292192194
126,-0.00037517848742151536
127,0.0016239900424378658
128,-0.00018630043104019068
129,0.0006350479157828219
130,0.002064529552359211
131,0.005655519525849378
132,0.00014042091112542824
133,7.2421060534211815e-06
134,-0.00010429891204258392
135,-0.00011925139494292334
136,0.003012136972697422
137,0.0011567507487082824
138,-0.00013779299242611343
139,0.00922656844626154
140,0.000205737476669506
141,0.0018518388937269403
142,-0.0016779349418500702
143,4.966698693854559e-06
144,-0.0005430310529126646
145,0.00014342583794404394
146,-0.0005471442934687085
147,-0.003146704211111498
148,-0.00023342643192641682
149,0.0031265491974490347
150,-0.0007150919245838038
151,0.006734525272473118
152,0.0001185261738836706
153,-0.00021773679408063865
154,-0.0007900321563396923
155,-0.0024989771993689557
156,-0.0005769867812971999
157,9.053077733815691e-05
158,-5.3854916177874475e-05
159,0.0013569805510838643
160,-2.7961400600333845e-05
161,-1.5122015355396127e-05
162,-0.0011965422842555922
163,-0.0010913557930541742
164,0.0003465083361121489
165,0.000254710515164466
166,-0.0020760531112528134
167,-0.005673936513759763
168,0.00023599470692209227
169,0.00010512944019229902
170,8.763674297238155e-05
171,0.0019615431502802683
172,-0.004560565880396796
173,-0.0016446497955124929
174,0.001214660791824568
175,-0.01627636892802677
176,-1.5319542499819346e-05
177,-0.0004755359802709372
178,-0.0003642152339967312
179,-0.003733798261829784
180,6.430613396214714e-07
181,0.001401238168864685
182,-0.0067509219826847435
183,-0.0024994408681730494
184,0.0004544270373563927
185,0.0007689899381790635
186,-0.006749961604845874
187,-0.005385044091322788
188,0.0002685383660929022
189,-9.437569637465093e-05
190,-0.00019012853236881753
191,-0.0004864486494919635
192,5.6924603989605704e-05
193,-8.273011068398955e-05
194,-0.00013447668892012287
195,-0.0007376488845952693
196,-0.0006789727598872158
197,-0.000365652302869034
198,0.003372904874951843
199,0.00723109993414142
200,0.0017535457555526597
201,0.0003169999958604561
202,-0.000809444788057279
