,elapass_virtualper_inf
0,5.323385249293658e-05
1,-0.00021302607876012668
2,0.00034528721860328196
3,0.001961583614543701
4,0.000401508663210896
5,-0.0003871890550122844
6,-0.0005118480663277144
7,0.00013471060066667297
8,0.0002588312634472376
9,0.00013531354198435615
10,0.00011233198504665535
11,0.00028790822698747035
12,-0.0002811771446330009
13,0.0001363104650959161
14,-0.00019950988623535
15,-0.0024337155176149005
16,0.0006907828444073775
17,-0.0001297163914023334
18,-0.001973251931905894
19,0.001158328467933381
20,0.00012027609496826638
21,-0.00033559610430268874
22,0.00041991779449646456
23,0.00017920852478579282
24,-0.000846378702700744
25,-2.3106044123000083e-05
26,0.0003209229637221306
27,-0.002145201963809844
28,-0.0010446320581997922
29,0.0007846017230622041
30,0.0007004489389615138
31,0.0036452336314365882
32,0.00041329079419207703
33,-0.00020223858164187977
34,0.0008711006311898763
35,-0.0001690274155915066
36,-0.0011717826167171295
37,-0.0012683240680988017
38,0.001745117036394878
39,-0.0006576045812259399
40,-0.0006609872306833793
41,-0.00039964556263379536
42,0.0003833555127847357
43,-0.0008364631028026375
44,-0.000399342783820868
45,-0.00047540097757471476
46,-0.00031847932574146677
47,4.140536121857824e-06
48,-0.0008948150052005841
49,-0.00019202524316865786
50,0.001757762336618605
51,0.002834749445325174
52,6.404116361954844e-05
53,-3.5430268651885146e-05
54,1.0727587675693147e-05
55,-0.00014154348081047834
56,-0.0008152413982176062
57,-0.0002982179525214709
58,0.0005996572170820884
59,-0.0023342980882386454
60,0.00017757806116804582
61,-0.0011137882763841945
62,0.0004193015461235672
63,-0.0015300713448978067
64,0.0004908738554441684
65,-0.0002686649059841911
66,-0.0015629584448139783
67,-0.00225489073948762
68,0.003755508152669489
69,0.0031589458258603335
70,-0.006531115730303365
71,0.0029027740256933787
72,-4.09149774395169e-05
73,0.00039044562928064946
74,0.0001339139651284957
75,2.2374303230474353e-05
76,2.585973747764587e-06
77,-0.0003330934152323223
78,-6.320193573544132e-06
79,-0.0034233383914422416
80,6.427887755110861e-05
81,-5.284418789120451e-06
82,-0.000849041636681746
83,-0.0037566252732565606
84,-0.0005654357128929663
85,-0.0008152708955916847
86,0.0010378901958236764
87,-0.00039716830755475
88,0.0002627688749226614
89,-0.0002012356621981326
90,-0.00015715571976656874
91,0.00012409044102741602
92,-0.00010553357778667745
93,-0.0005405215789063728
94,0.0016482572407102158
95,0.0031632183272166793
96,-0.0002443654639618518
97,-0.00027881348729578965
98,0.00023396313517755628
99,-0.0017632645503324177
100,-5.3538808020994306e-05
101,-5.67408640518156e-05
102,2.9306287103131732e-05
103,-0.00033913743020358563
104,-0.00015557155808948586
105,0.00012522792111470282
106,0.00028191466414918327
107,0.0005520120578777055
108,0.0010276635523916115
109,-0.00037105383163960786
110,0.0010539245006767168
111,0.007191285247827932
112,-1.9412953061636135e-05
113,7.23407070684838e-05
114,-9.305135667257154e-05
115,-0.00025910341144019127
116,-2.0636953368375263e-05
117,-0.0016324299026163305
118,-0.00101530143459289
119,-0.004970660682289313
120,0.0006125375402952269
121,-0.0012382098686007398
122,0.00036747157062453825
123,-8.33725044204003e-05
124,-0.00025702573952978444
125,0.00039289440705940194
126,0.000285963834998429
127,0.0008048132482196431
128,-0.0019590213663815068
129,-0.0007165238798714392
130,0.0023753784537804633
131,0.00027833438575732965
132,-9.718026006011127e-06
133,-0.0006048550683294069
134,4.151644831067731e-05
135,-0.002073974582926835
136,-0.00021036531360705356
137,0.0013335474502119075
138,-0.0005341806780351687
139,0.0009355196442408897
140,0.00017012360759763884
141,-0.00034273079126993366
142,0.00025165289864764983
143,0.0004028780919435863
144,0.0007916348099075283
145,-0.0017838430753963949
146,0.00042503198572322215
147,-0.0005712454186732303
148,-0.0037141403093342426
149,-0.000680756785671543
150,0.0014865564158272001
151,-0.009512432011851528
152,-0.0020029178874378826
153,0.00012044895519292958
154,0.0012864834942178532
155,-0.002245598247873473
156,-0.0004079023027417551
157,0.00010643391963893841
158,0.0011054277011292954
159,0.0015739710935892795
160,-0.00063647420948551
161,-0.0005168891584511634
162,0.00033856511987711326
163,-0.0029423443036052143
164,0.0002920056810088619
165,-7.736431070991458e-05
166,0.00020159036139699352
167,0.00018728453145513185
168,4.206048775894252e-05
169,8.502565862797816e-06
170,0.000267709850687346
171,-1.8384261818880556e-05
172,-0.00017712233610657924
173,5.904010509765455e-05
174,-0.0001320567430310424
175,-0.0006946513175048215
176,-0.00011470791046698276
177,-0.0007750649486509739
178,0.0011362243044870845
179,-0.0007444222537822856
180,0.0005006264033178699
181,-0.003033633494436266
182,0.0024096377866000777
183,0.0014265574262593702
184,-0.0018665394405667783
185,-0.0013114073760584954
186,0.0013678940306139028
187,-0.009366860727639665
188,8.427015459859454e-06
189,0.0008025672220251973
190,2.7198505683305095e-05
191,0.002809490375663089
192,0.00014790850496458347
193,0.0009396135299382977
194,-0.0006408116310949582
195,0.0017788287497226556
196,-0.00023462629890218055
197,-0.0001650381122683146
198,0.0008643250266854558
199,0.0014963795720898884
200,-0.00022436887453168122
201,-0.0003193907490076371
202,0.0008802488669568371
203,-0.00037066714883991254
204,-0.0003370884047608012
205,0.0007716050096074949
206,-0.00012387633821585894
207,0.000842381824839784
208,-0.00013213160640972255
209,-0.0015649916101182354
210,0.0018398248886740223
211,-0.0006791659456142981
212,-0.0019392233743563674
213,-0.00214811422095553
214,0.0032384071191782836
215,0.0021810904678833216
216,1.704657699364403e-05
217,4.384928757535914e-05
218,4.8137392755868515e-05
219,0.00031758928790340236
220,-0.0005723252786809257
221,0.0006704756906903126
222,-0.001617169333581577
223,-0.005350063122282467
224,-0.0003247258316887295
225,5.5602230816424175e-05
226,-1.9926182958109548e-05
227,-0.0013637951812783186
228,-0.0014325884366794609
229,0.000942527064407517
230,0.0017904804472104504
231,0.004984056257270632
232,-0.00023572808527022227
233,-0.00042576487970745155
234,-0.0004804349076745962
235,-0.003928902407819296
236,-7.246455565018473e-05
237,0.0005298044400407455
238,-6.29774117144808e-05
239,-0.0005563801498839405
240,-0.0013159939520056528
241,0.00035004537219473727
242,-0.0003251245085148484
243,-0.004346347677888578
244,0.0013450771809305556
245,0.0004422356533584191
246,-0.0006127458743729288
247,0.0038969799023483064
248,-0.0009619689925481347
249,0.00041594325702827784
250,-0.0003677638969328906
251,-0.0038937228171268146
252,-0.007480861594074254
253,-0.0019960316829417757
254,0.0009597043838741968
255,-0.02295419761781484
256,7.387574814679775e-05
257,-0.0013462883301884742
258,-0.0009518557186348726
259,-0.005961170288589157
260,-0.001564319965916955
261,-0.0005537764206421652
262,0.0016538933734781824
263,-0.004029461526978909
264,0.0021998696771619395
265,-0.0009298625354072072
266,-0.0021153570425737523
267,-0.00227545790521867
268,-0.00016180851162059457
269,-9.25196216501268e-05
270,-0.00013242402558166042
271,-0.0017697812589775829
272,-0.0006644090872167478
273,-0.0004674935481154719
274,0.00015428548329436567
275,-0.0020421312860027093
276,4.3547508013012755e-05
277,-0.0004193138860584616
278,-7.88513961051601e-05
279,-0.0011002981947641488
280,-0.0004319398924277127
281,0.0005331031402792793
282,-0.0003299024354138952
283,-0.0004858364048934871
284,-0.0004877415104442922
285,0.00018855178169905823
286,-0.00019358785678259645
287,0.00023514916416894898
288,-0.0009378847878177175
289,0.0006094509549747188
290,6.701399288936146e-05
291,-0.0010346624256239636
292,-0.00019983828844090357
293,-8.599300019040469e-05
294,-9.230532314930613e-05
295,-0.00014033916801946391
296,-0.0006480174976592855
297,-0.0002664816516762424
298,0.00036260614911676816
299,-0.0005966664774006402
300,0.0004804712195009911
301,0.0005555848149909192
302,-0.0016017652713707505
303,-0.0006764954734173276
304,0.00029420156350460074
305,-0.0005770881493338657
306,-0.001676697889733883
307,-0.004923507177055364
308,0.00018091246487140773
309,-0.00116939870962604
310,0.0003677936793121389
311,-0.0018035463759655968
312,-0.00120130324059824
313,0.0001786907631788553
314,-0.0011652651123262973
315,-0.006607908720839605
316,-0.00029037631908203766
317,-0.000834000092643466
318,0.001029571728618655
319,-0.001011256097132198
320,5.911171431659061e-06
321,-0.0002735019714491799
322,-0.00023312925021598213
323,-0.0016710082095237136
324,-2.786882698146156e-05
325,-0.00023057875101995234
326,-0.0007286932461878208
327,-0.0029007055955681173
328,-1.4788459679773285e-05
329,0.00040872696458273735
330,0.00010351241787736613
331,0.0009551715928517695
332,0.0005009549973303158
333,3.3616627903087345e-05
334,3.0847184357803544e-05
335,-0.0001447459559990302
