,mathpass_hybridper_inf
0,0.002015160938523903
1,0.0005300582889677957
2,-0.0014102031586019632
3,0.001068888481528464
4,0.0017168060877969142
5,0.0007834604886767059
6,-0.00017841464799888781
7,0.006088158782037712
8,-0.006630535694689672
9,-0.0027592078692949443
10,0.002181322135316628
11,-0.020782701532508253
12,-0.0005406003646142965
13,0.0002496096025994811
14,-0.0010825825585143059
15,-0.004462863393108112
16,-0.002729772459185972
17,-0.0016960879844458462
18,0.001323443913029333
19,-0.009520112915473623
20,-0.00012905434532638015
21,0.00043298154924211347
22,-0.0012361640379352369
23,-0.0026656802186206144
24,-0.001767824765599386
25,-0.002844589296801047
26,0.001975063145192946
27,-0.006690798997854531
28,-0.0036985417922717704
29,0.00109038877643914
30,0.004447373748266459
31,0.006694315130034263
32,-6.546853964396343e-05
33,-0.0018153889990094646
34,-0.00011070615841546334
35,-0.005270643121198539
36,-2.9481230023167486e-05
37,0.00032632196278461703
38,0.00045081037435806424
39,0.001901011843190073
40,0.00016880150246363106
41,-0.0007697671566390439
42,0.0007422283052691122
43,0.0010917631360675539
44,-5.462513115880171e-05
45,0.0012823370430568963
46,-0.0009494908200527333
47,0.0005967056875844292
48,0.0014619735305490783
49,0.001389621911230506
50,-0.0023524423152910105
51,0.001175148951957721
52,0.0004130047011536285
53,-0.0011065186370316094
54,-0.00036571769873416763
55,-0.0032053191063591796
56,-9.51500936520777e-05
57,0.00010671934784276156
58,0.0006702297200505461
59,0.0008547588286223978
60,0.0002459534465749554
61,0.0006442738843153036
62,-0.00018690426096540656
63,0.0020070535397364387
64,0.000250074087646983
65,0.0008574183879836348
66,-0.0006499438187987953
67,0.0013578208692147148
68,-0.0011873090581558505
69,6.019712807037818e-05
70,0.0007410384791019213
71,-0.0007187044574077693
72,6.717095134489416e-05
73,-0.00013014813051226624
74,-0.0005758010178144931
75,-0.0012101782574625562
76,-0.003354059266303297
77,0.0002571504225319834
78,0.001145049429366363
79,-0.006581079232910066
80,-0.00017391526170214614
81,0.0011684611462552713
82,-0.0010439338881598212
83,-0.0002712187073990479
84,0.002179730373117752
85,-0.0005601706701638414
86,-0.001302272190376167
87,0.0016184723331538811
88,-0.00015730673446225869
89,-0.0011733399469498146
90,0.0004716992219015214
91,-0.002088001701680278
92,0.00025282581784242256
93,0.0012719619642525073
94,-0.00038483672374929465
95,0.0032027214492280124
96,0.005193082113729352
97,0.0004619636770295004
98,-0.001926673860118625
99,0.00838951029900048
100,-0.00025576468609158384
101,0.0012573846865888718
102,0.001014245475459148
103,0.007092690447814941
104,-9.987572203374143e-05
105,0.0003683143608144719
106,-0.0007591663317670416
107,-0.001623352110982454
108,8.346405564819374e-06
109,-0.0019105419550623942
110,-0.0016582520541149385
111,-0.011560071317784108
112,-0.0003034579904968177
113,-0.0010522762271317836
114,0.0010417369870263768
115,-0.0008107135677451971
