,elapass_ed_virtualper_inf
0,0.0010996586187961624
1,7.305967314308303e-05
2,-0.0003870150312763915
3,-0.00030074115650967933
4,0.0006320909103360331
5,-3.151758981152921e-05
6,0.00022128819905546798
7,7.515251057137104e-06
8,-0.0010306498225796437
9,-0.0009970790999173991
10,0.00046996976788666277
11,-0.0024040560582594484
12,-0.0024392586392973513
13,1.725670848109059e-05
14,1.8246644927847764e-05
15,-0.002696377382446052
16,0.001198108945068459
17,-0.0001666912967621715
18,0.0010269550224284746
19,0.0003135615464700281
20,0.0004201827829313157
21,-0.0008473518148231812
22,-0.00025242157121611896
23,7.748111001051998e-05
24,-0.0005899264863139643
25,-8.6731972135113e-06
26,-7.082658176124531e-05
27,-0.0005412803106380048
28,0.00030664237270436757
29,-0.0005025796132662884
30,-0.0006404755001100441
31,-0.002166351588211149
32,-0.0003120092277713334
33,8.99706125562714e-05
34,-0.00042996540120225884
35,4.864202421112157e-05
36,-0.00030352244069449205
37,0.0008578237160247523
38,-0.0012475627120332971
39,0.00027034854384171825
40,0.0002119326359880453
41,0.00024044417616866996
42,-0.0004836512674863469
43,0.0005203670779962097
44,0.0020330652971448974
45,-0.000357729655933659
46,0.00015346081553399728
47,5.49930348499305e-06
48,-0.0002975655237819978
49,-0.00028223876944088436
50,0.0010924496998057308
51,0.0019053818099702094
52,0.00011127774891874704
53,-0.0013165875329891078
54,0.0002707221308508793
55,-0.0010176789980486844
56,0.0012834438354507082
57,0.000469698378881999
58,-0.0007934891548740616
59,0.003454945193915591
60,4.0153919025892564e-05
61,0.0008081867301990929
62,-0.00034537385441289775
63,0.0007649709643229218
64,0.000626062751737482
65,-2.7200716409036566e-05
66,-0.00014506963642825125
67,-0.000783342397104812
68,-0.0042454438918446856
69,-0.0033258654328169024
70,0.006403054841062003
71,-0.0030546876204151064
72,-0.0007482831543478399
73,0.0016686530732963436
74,-0.000735697589364958
75,0.0004882519152317796
76,-2.2798047778404613e-06
77,-0.0008052725838868619
78,3.0615946937892545e-06
79,0.0008811637751284128
80,7.703948724431195e-05
81,-1.1293567242904483e-06
82,-0.0011846089388452257
83,-0.0030870760978483533
84,-0.0003705201254172885
85,0.00016829851599586512
86,0.00017454176371394168
87,-7.359592540177724e-05
88,0.000133793775761002
89,0.0001223132418096911
90,3.932748800708303e-05
91,-2.1201988758096177e-05
92,-7.210524196506268e-05
93,-0.00014682137309154683
94,0.0001525460042972671
95,0.0009763562509526569
96,0.0004065387434190758
97,0.0012222318107527825
98,-0.0005088335110720559
99,0.004095442638176367
100,-0.00011744606131583814
101,-0.0005576408614596295
102,-0.00025204862374401927
103,-0.003030850102519991
104,2.679402067993397e-05
105,-0.0004349250595749756
106,-0.0008112721606194681
107,-0.003458202262913369
108,-0.0014995287375487074
109,0.0009471544542962124
110,-0.0027063941083101915
111,-0.015471385941836419
112,0.00018955800370645503
113,-0.0003818692492002549
114,0.00024359479783513417
115,0.0010951048936708387
116,-5.903627183152689e-05
117,0.003528176683392181
118,0.0016031379717804232
119,0.010182648995433221
120,-0.0001258093390702279
121,0.0008289581933494288
122,0.00018942901326784978
123,1.7581336616080092e-05
124,-0.00012709740549329688
125,-0.00011582695137468896
126,5.685166785659497e-06
127,1.1877414148271648e-05
128,0.001028000171861992
129,8.25577388379786e-06
130,-0.00044838763352189544
131,-8.441819371437666e-05
132,-5.0265579520554185e-05
133,0.0003955044596324061
134,-2.7358066521314642e-05
135,0.0008420023198096245
136,-0.0007830306012196696
137,0.0036219779893572183
138,-0.0019442026073246078
139,0.0030535228992252085
140,7.03411723817301e-05
141,0.00022613503765823634
142,-9.815507392596425e-05
143,-0.00012680829620628732
144,8.695220415115462e-05
145,0.0005565107351113222
146,-4.750638239063863e-05
147,7.788092232089253e-05
148,-0.0009842894365058104
149,0.0004254536401855213
150,-0.00047919694852126683
151,0.002473530858813237
152,-0.0006505829293346923
153,-1.2224059229239384e-05
154,6.759202146631092e-05
155,-0.00016489592091615033
156,-0.000166860170030606
157,1.0764257279156156e-05
158,-0.0005339589682632688
159,-0.00010020828436254912
160,-0.00062009966643398
161,0.00010996208169549025
162,-0.00013495460927447488
163,7.697435163961827e-05
164,0.00019556640878271603
165,0.0016784997525908323
166,-0.0018754702660621738
167,0.0025959446685580216
168,0.0003094354386183578
169,-0.0001684520368467801
170,-0.000827440124516435
171,9.355928207431088e-05
172,0.0008912804691786089
173,-0.00046521372958249286
174,0.0004446170409496343
175,0.003250081398602208
176,-0.0001175288491367072
177,1.1075120097725682e-05
178,-0.0006114963225238979
179,3.922677751646034e-05
180,0.00015250958788549365
181,0.0016520914170376267
182,-0.00047723189446697054
183,-0.00033149412254836517
184,-0.0014180952956383468
185,0.0003531010351900802
186,-0.00034720712502518523
187,0.00028133786869104883
188,3.577260200535557e-06
189,0.0017378359928092977
190,0.00014341946507107493
191,0.005142239373102974
192,0.00015013064769988776
193,4.5436622092077636e-05
194,0.00013278956763957748
195,0.0002620459369715162
196,-4.920616701352194e-05
197,-1.0751982872406479e-05
198,8.84178382672186e-06
199,0.00015009928233893888
200,-0.00018155099660643406
201,-9.964472189616581e-06
202,-0.00042888499033461356
203,1.8363775205355752e-05
204,-4.0304291405570524e-05
205,0.0004575694551606664
206,-0.0001695091025315858
207,0.0005711330183623126
208,-5.844721945898685e-05
209,0.0002470390261323845
210,9.491843357987054e-05
211,-4.775420436483539e-05
212,0.0004430322309511873
213,0.0015164822607741698
214,-0.0006215445320962215
215,-0.0008801688829814333
216,1.332210889282633e-05
217,4.090253628615828e-05
218,-1.8646510140832505e-05
219,9.429665977493593e-05
220,-7.232718544681516e-05
221,-0.0003241194132138174
222,-0.0005583501006528639
223,0.0003345467000405202
224,-1.5916977586572634e-05
225,-1.8916274909370035e-05
226,1.141614363512081e-05
227,0.0004695477099095139
228,-1.5268805007779376e-05
229,-0.0003713491038432835
230,0.0005637780777970684
231,-0.0001285354646705996
232,-0.0008076413283041558
233,0.00013765341640413665
234,0.00014398452954204327
235,-0.0007200579583303825
236,6.47606860617178e-05
237,-0.001072082925691088
238,0.00035716958517296283
239,0.0010373969987482994
240,0.0002279033296223975
241,0.00021391098046303887
242,-0.0006570953089459772
243,-0.0017527523223666943
244,-0.000899109892055773
245,9.607640589057754e-05
246,0.0004912695806681427
247,-0.0018596012768843338
248,-0.0004542985074705845
249,-9.644573893655835e-05
250,-0.00015558443351203807
251,-0.0005759601414416363
252,-0.00013408596659591807
253,-9.32801066802926e-05
254,0.001087170988750259
255,-0.0067372316251789344
256,6.660261570161188e-05
257,0.0004195504393877942
258,-0.00015200230110867734
259,-0.0008925361614917839
260,-0.006718383078845259
261,-0.002076842236617344
262,0.004359565331703069
263,-0.013899183307311436
264,-0.000845418121750815
265,0.00020147842964593737
266,0.000319380884687693
267,0.0005632739892071471
268,0.00012444825251594656
269,6.936537746802272e-05
270,6.576432415093303e-05
271,0.001143118838201906
272,0.00025020132722464763
273,0.0001782707031595953
274,0.0001112800964330879
275,0.00030368866278000024
276,-0.00019817295053259067
277,0.0009254036858671231
278,5.0063479386182455e-05
279,0.0016834023703518645
280,-4.88434724327372e-05
281,-9.88321781473843e-05
282,-6.794383989387252e-05
283,-2.405632848946482e-05
284,-0.000689016229053314
285,0.0005684339453985609
286,0.0007267871368565908
287,0.0012861284172943678
288,7.93792159601029e-05
289,5.504756427502718e-05
290,3.226917948920839e-05
291,-0.00015055476490140904
292,1.7334794991059508e-05
293,-0.00023255745322341444
294,0.0008757085019457024
295,-0.0006518610587450889
296,0.0010586977441936277
297,0.0005463004705250673
298,-0.0009965183333123665
299,0.0012126855074577427
300,0.00019862475854372027
301,-0.00010923547598909554
302,0.0003248662595583473
303,2.358203755419751e-05
304,0.00020688274714851735
305,0.00011577825415029166
306,0.0009529677271268033
307,0.00026154199740099535
308,7.3643851825682575e-06
309,0.0004714109840032365
310,-5.48968535299333e-06
311,0.0002181746329015039
312,0.00030352706395828235
313,-8.267863904624699e-06
314,0.000255229571718582
315,0.0011232543741533912
316,0.00031070860013445047
317,-2.8621431970387077e-06
318,0.0008636939695495733
319,-0.00011505768143758452
320,-0.00023684990304976685
321,0.00013405436152462321
322,-0.00021684976623515255
323,-0.0007483829440282673
324,-9.382978646103012e-05
325,4.149918862482596e-05
326,4.023968423492261e-05
327,-0.0013566470135493458
328,4.7701178746231754e-05
329,-0.00030903601041545376
330,7.710083926499325e-05
331,0.00032898018962514034
332,8.383127322193822e-05
333,-0.0007525549180407198
334,-0.0001400308983891953
335,-0.0008293190739328581
336,0.0006981439198511627
337,-0.0006209297819521292
338,8.327872511662378e-05
339,-0.0015419886282848226
340,4.0607105853532055e-05
341,-0.00010264491818495732
342,0.0003060831438350217
343,-0.0002817151448183513
344,-0.0037542833767114604
345,-0.009116749337345475
346,0.008565694606246657
