year,mergecode,districtcode,schoolcode,droprate,black,white,hispanic,totalenroll
16,10-187,10,187,2.7,2.45,24.48,68.54,817
16,10-212,10,212,2.5,1.9,24.37,68.99,316
16,10-263,10,263,3.9,0.98,9.07,88.48,408
16,10-309,10,309,2.5,1.66,15.38,78.17,481
16,10-501,10,501,0.0,2.92,17.52,78.1,137
16,10-502,10,502,0.9,4.31,18.97,70.69,116
16,10-503,10,503,1.2,1.46,15.29,78.4,412
16,10-505,10,505,0.8,0.81,13.71,80.65,124
16,10-509,10,509,0.0,3.57,17.86,68.57,140
16,10-1796,10,1796,2.9,2.65,67.78,20.76,2567
16,10-6315,10,6315,21.6,0.9,17.12,76.58,111
16,10-9036,10,9036,0.7,1.49,13.43,79.1,134
16,20-57,20,57,0.2,0.94,72.72,17.84,953
16,20-210,20,210,7.3,2.75,38.69,55.05,654
16,20-1480,20,1480,0.1,3.68,60.91,28.8,816
16,20-1519,20,1519,0.0,1.26,63.87,10.92,238
16,20-3439,20,3439,1.0,1.92,38.46,52.88,104
16,20-4108,20,4108,0.4,1.82,63.4,26.23,2257
16,20-4172,20,4172,0.0,1.2,70.66,11.38,167
16,20-4187,20,4187,0.0,2.7,44.16,44.94,890
16,20-5043,20,5043,0.6,1.81,68.74,19.11,2486
16,20-5814,20,5814,0.0,4.22,16.25,75.43,806
16,20-5816,20,5816,3.8,3.85,26.2,63.58,2183
16,20-6060,20,6060,1.9,2.51,60.14,29.85,2308
16,20-6342,20,6342,0.0,2.54,52.04,38.68,786
16,20-6398,20,6398,0.1,4.74,29.5,59.13,739
16,20-6402,20,6402,1.5,3.15,29.54,61.64,2346
16,20-6802,20,6802,0.0,0.79,78.98,9.04,509
16,20-6956,20,6956,15.9,3.73,45.94,45.29,616
16,20-8275,20,8275,0.0,0.85,78.81,15.25,118
16,20-8310,20,8310,0.0,1.42,17.85,76.77,353
16,20-9431,20,9431,0.0,0.0,75.98,17.65,204
16,20-9444,20,9444,0.2,0.47,66.82,24.17,844
16,30-20,30,20,1.3,2.07,13.51,81.72,629
16,30-22,30,22,39.7,3.56,11.78,83.01,365
16,30-24,30,24,6.3,2.63,12.42,83.23,2206
16,30-4516,30,4516,1.5,2.81,10.96,85.04,675
16,40-700,40,700,0.0,3.31,43.09,46.41,181
16,40-1021,40,1021,29.6,1.21,38.37,57.4,331
16,40-1022,40,1022,2.8,1.11,42.32,52.06,2259
16,40-1052,40,1052,0.4,0.0,64.71,29.41,238
16,40-1560,40,1560,3.3,3.33,67.78,26.67,90
16,40-2399,40,2399,0.7,1.24,58.41,36.11,565
16,40-2945,40,2945,0.0,1.14,67.61,27.84,176
16,40-4950,40,4950,0.5,4.89,57.61,28.8,184
16,40-6638,40,6638,0.4,1.81,35.89,57.66,496
16,40-6702,40,6702,0.0,3.7,42.43,42.78,568
16,40-7129,40,7129,0.8,3.02,46.32,42.79,2351
16,40-7131,40,7131,0.2,1.54,48.69,40.55,651
16,40-9230,40,9230,0.2,1.47,34.03,60.71,476
16,50-774,50,774,0.5,1.4,75.81,20.0,215
16,50-775,50,775,2.7,0.54,75.47,19.68,371
16,60-7133,60,7133,21.4,0.0,92.86,7.14,14
16,60-8332,60,8332,0.0,1.64,80.87,16.39,183
16,60-8334,60,8334,1.4,0.27,85.83,10.9,367
16,70-2035,70,2035,0.0,0.99,35.64,54.46,101
16,70-3931,70,3931,15.8,0.68,20.72,75.23,444
16,70-4334,70,4334,0.0,0.92,42.2,53.21,109
16,70-5388,70,5388,0.7,1.58,9.68,83.78,444
16,70-7305,70,7305,0.3,1.16,13.14,79.2,601
16,70-7812,70,7812,0.2,1.43,23.01,67.41,491
16,70-9466,70,9466,4.7,1.27,16.5,75.06,3151
16,100-114,100,114,0.5,1.56,30.99,63.02,384
16,100-118,100,118,0.5,0.94,32.66,62.81,640
16,100-368,100,368,15.0,4.67,17.76,73.83,107
16,110-7630,110,7630,0.0,2.5,61.88,29.38,160
