Org. Code,Organization Name,School Code,School Name,Grade Level,American Indian or Alaskan Native Female,American Indian or Alaskan Native Male,Asian Female,Asian male,Black or African American Female,Black or African American Male,Hispanic or Latino Female,Hispanic or Latino Male,White Female,White Male,Native Hawaiian or Other Pacific Islander Female,Native Hawaiian or Other Pacific Islander Male,Two or More Races Female,Two or More Races Male,PK-12 Total
0010,MAPLETON 1,0000,Not a school,120 (12th),0,0,0,0,0,0,2,8,3,2,0,0,0,0,15
0010,MAPLETON 1,0000,Not a school,ALL GRADES TOTAL,0,0,0,0,0,0,2,8,3,2,0,0,0,0,15
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,070 (7th),2,0,1,0,1,0,37,41,11,17,0,0,2,0,112
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,080 (8th),1,0,1,1,2,0,49,39,19,9,0,0,2,1,124
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,090 (9th),0,0,1,0,1,0,41,53,20,14,0,0,1,2,133
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,100 (10th),3,0,1,0,0,2,38,47,5,19,0,1,2,2,120
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,110 (11th),0,1,0,0,4,3,36,22,14,5,0,0,0,1,86
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,120 (12th),0,0,0,0,0,0,14,36,4,8,0,0,1,0,63
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,ALL GRADES TOTAL,6,1,4,1,8,5,215,238,73,72,0,1,8,6,638
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,090 (9th),1,0,0,3,2,0,19,20,7,7,0,1,0,0,60
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,100 (10th),0,0,0,0,0,0,24,23,10,4,0,0,0,5,66
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,110 (11th),0,1,0,0,1,1,22,23,5,6,0,0,1,1,61
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,120 (12th),0,0,1,0,0,0,24,16,7,9,0,0,0,1,58
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,ALL GRADES TOTAL,1,1,1,3,3,1,89,82,29,26,0,1,1,7,245
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,090 (9th),0,0,0,1,0,0,31,34,2,2,0,0,0,0,70
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,100 (10th),0,0,0,0,0,0,25,24,3,3,0,0,0,0,55
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,110 (11th),0,0,1,0,0,1,16,17,0,1,0,0,0,0,36
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,120 (12th),0,0,0,0,0,0,15,20,1,1,0,0,0,1,38
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,ALL GRADES TOTAL,0,0,1,1,0,1,87,95,6,7,0,0,0,1,199
0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,090 (9th),1,1,0,1,4,2,39,67,3,7,0,0,2,2,129
0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,100 (10th),1,2,0,1,0,1,38,57,5,12,0,0,0,3,120
0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,110 (11th),1,1,0,2,1,4,31,33,6,16,1,0,2,1,99
0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,120 (12th),1,0,0,4,1,4,35,35,2,2,1,0,0,2,87
0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,ALL GRADES TOTAL,4,4,0,8,6,11,143,192,16,37,2,0,4,8,435
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,004 (PK),0,0,0,0,1,0,17,32,7,3,0,0,0,0,60
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,007 (Full Day K),0,0,1,1,0,2,18,12,1,4,0,0,0,0,39
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,010 (1st),0,0,1,0,1,0,19,14,2,3,0,0,0,0,40
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,020 (2nd),0,0,0,0,0,0,23,22,0,3,0,0,0,0,48
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,030 (3rd),0,0,1,0,0,1,23,19,1,3,0,0,0,1,49
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,040 (4th),0,0,0,0,1,0,23,11,4,1,0,0,0,1,41
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,050 (5th),0,0,0,1,0,1,21,22,2,2,0,0,0,0,49
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,060 (6th),0,0,1,0,0,1,18,32,3,2,0,0,0,0,57
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,070 (7th),0,0,0,0,0,0,24,20,5,2,0,0,0,1,52
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,080 (8th),0,0,0,0,1,0,20,22,3,2,0,0,0,1,49
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,ALL GRADES TOTAL,0,0,4,2,4,5,206,206,28,25,0,0,0,4,484
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,004 (PK),0,0,2,1,2,1,19,20,4,11,0,0,0,0,60
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,007 (Full Day K),1,0,2,1,0,0,18,21,6,1,0,0,0,0,50
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,010 (1st),0,0,0,0,0,1,17,20,6,8,0,0,1,0,53
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,020 (2nd),0,0,2,0,0,1,17,22,5,4,0,0,0,0,51
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,030 (3rd),0,0,2,1,1,0,23,16,3,4,0,0,3,0,53
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,040 (4th),0,0,0,2,0,0,20,24,2,6,0,0,0,0,54
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,050 (5th),1,0,0,0,0,1,18,18,0,4,0,0,0,0,42
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,060 (6th),0,0,0,0,1,0,25,14,5,3,0,0,1,0,49
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,070 (7th),1,1,2,0,1,0,19,14,2,5,0,0,0,0,45
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,080 (8th),0,2,0,0,1,1,23,17,6,3,0,0,0,0,53
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,ALL GRADES TOTAL,3,3,10,5,6,5,199,186,39,49,0,0,5,0,510
0010,MAPLETON 1,0503,YORK INTERNATIONAL,007 (Full Day K),0,0,0,1,0,0,21,20,3,5,0,0,3,0,53
0010,MAPLETON 1,0503,YORK INTERNATIONAL,010 (1st),0,0,2,0,0,0,25,19,4,5,0,0,2,0,57
0010,MAPLETON 1,0503,YORK INTERNATIONAL,020 (2nd),0,0,1,1,0,1,22,22,3,3,0,0,1,0,54
0010,MAPLETON 1,0503,YORK INTERNATIONAL,030 (3rd),0,0,1,1,0,1,23,24,1,3,0,0,0,0,54
0010,MAPLETON 1,0503,YORK INTERNATIONAL,040 (4th),0,0,1,1,0,1,22,21,6,2,0,0,0,2,56
0010,MAPLETON 1,0503,YORK INTERNATIONAL,050 (5th),0,0,1,3,0,0,16,19,4,8,0,0,1,0,52
0010,MAPLETON 1,0503,YORK INTERNATIONAL,060 (6th),0,1,3,2,0,1,19,21,4,4,0,0,2,0,57
0010,MAPLETON 1,0503,YORK INTERNATIONAL,070 (7th),0,0,0,2,0,0,27,15,5,8,0,0,0,1,58
0010,MAPLETON 1,0503,YORK INTERNATIONAL,080 (8th),0,0,0,1,1,0,18,25,5,2,0,0,3,1,56
0010,MAPLETON 1,0503,YORK INTERNATIONAL,090 (9th),0,0,0,2,0,1,42,36,3,4,0,0,1,2,91
0010,MAPLETON 1,0503,YORK INTERNATIONAL,100 (10th),0,0,3,0,0,0,26,40,7,5,0,0,0,0,81
0010,MAPLETON 1,0503,YORK INTERNATIONAL,110 (11th),0,0,0,0,0,0,20,13,3,1,0,0,1,0,38
0010,MAPLETON 1,0503,YORK INTERNATIONAL,120 (12th),0,0,0,1,0,0,19,18,5,5,0,0,0,2,50
0010,MAPLETON 1,0503,YORK INTERNATIONAL,ALL GRADES TOTAL,0,1,12,15,1,5,300,293,53,55,0,0,14,8,757
0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,004 (PK),0,0,4,1,0,1,22,29,6,5,0,0,0,0,68
0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,007 (Full Day K),0,0,0,1,0,0,16,13,2,4,0,1,0,0,37
0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,010 (1st),0,0,1,0,0,0,7,12,3,4,0,0,0,0,27
0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,020 (2nd),0,0,0,0,0,0,10,10,4,1,0,0,1,0,26
0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,030 (3rd),1,0,0,0,0,0,12,10,3,1,0,0,0,0,27
0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,040 (4th),0,0,0,0,1,0,10,7,2,1,0,0,1,0,22
0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,050 (5th),0,0,0,0,0,0,10,8,1,2,0,0,0,0,21
0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,060 (6th),1,0,1,0,0,0,10,7,3,3,0,0,0,0,25
0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,ALL GRADES TOTAL,2,0,6,2,1,1,97,96,24,21,0,1,2,0,253
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,004 (PK),0,0,0,1,0,1,21,22,10,22,0,0,0,0,77
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,007 (Full Day K),0,0,0,2,0,0,19,10,4,5,0,0,0,0,40
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,010 (1st),0,0,1,1,0,0,18,28,2,2,0,0,0,0,52
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,020 (2nd),0,0,0,1,1,0,22,20,5,7,0,0,0,0,56
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,030 (3rd),0,0,0,2,0,1,33,21,2,3,0,0,0,0,62
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,040 (4th),0,0,0,2,1,0,21,18,5,3,0,0,3,0,53
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,050 (5th),0,0,3,0,1,1,20,20,6,6,0,0,0,1,58
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,060 (6th),0,0,1,4,0,0,23,23,2,3,0,0,0,1,57
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,070 (7th),0,0,0,1,1,0,20,24,3,5,0,0,0,1,55
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,080 (8th),0,0,0,1,0,0,29,22,1,1,0,0,0,0,54
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,ALL GRADES TOTAL,0,0,5,15,4,3,226,208,40,57,0,0,3,3,564
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,004 (PK),0,0,0,1,0,0,21,30,3,8,0,0,0,0,63
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,007 (Full Day K),1,0,1,0,1,0,14,18,8,13,0,1,2,1,60
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,010 (1st),0,1,0,0,1,0,12,15,8,8,0,0,0,0,45
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,020 (2nd),0,0,0,0,0,1,13,17,6,5,1,0,0,1,44
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,030 (3rd),0,1,0,2,0,1,18,14,9,11,0,1,1,0,58
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,040 (4th),0,2,0,0,0,1,13,19,5,7,0,0,0,3,50
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,050 (5th),0,1,1,0,0,1,7,17,9,8,1,0,1,0,46
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,060 (6th),0,1,1,0,2,0,15,20,7,5,0,0,1,1,53
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,ALL GRADES TOTAL,1,6,3,3,4,4,113,150,55,65,2,2,5,6,419
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,004 (PK),0,0,0,0,2,0,25,19,7,10,0,0,0,0,63
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,007 (Full Day K),0,0,0,0,0,0,25,21,5,3,0,0,0,1,55
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,010 (1st),0,1,1,0,0,0,14,29,4,7,0,0,1,1,58
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,020 (2nd),0,0,0,0,1,0,20,21,1,4,0,0,0,1,48
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,030 (3rd),0,0,0,0,0,0,14,19,4,2,0,0,1,0,40
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,040 (4th),0,1,0,0,0,1,18,19,2,2,0,0,1,2,46
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,050 (5th),0,0,0,0,1,0,14,23,3,1,0,0,0,0,42
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,060 (6th),0,2,0,0,0,1,18,28,3,2,0,0,1,1,56
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,ALL GRADES TOTAL,0,4,1,0,4,2,148,179,29,31,0,0,4,6,408
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,007 (Full Day K),0,0,0,1,0,1,22,8,4,3,0,0,2,0,41
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,010 (1st),0,0,0,2,0,0,23,16,2,3,0,0,1,1,48
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,020 (2nd),0,0,1,2,2,1,15,15,7,5,0,0,0,2,50
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,030 (3rd),0,0,0,2,1,2,17,26,5,3,1,0,1,0,58
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,040 (4th),0,0,1,0,0,0,16,21,3,6,0,0,0,1,48
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,050 (5th),0,0,1,4,0,0,19,21,4,4,0,0,1,0,54
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,060 (6th),0,0,1,1,0,0,20,19,5,6,0,0,0,1,53
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,070 (7th),0,0,0,1,0,0,19,18,8,4,0,0,0,0,50
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,080 (8th),0,0,4,1,0,0,16,23,5,5,0,0,2,1,57
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,ALL GRADES TOTAL,0,0,8,14,3,4,167,167,43,39,1,0,7,6,459
0010,MAPLETON 1,0695,BIG PICTURE COLLEGE AND CAREER ACADEMY,090 (9th),0,0,0,1,0,0,28,14,6,2,0,0,2,3,56
0010,MAPLETON 1,0695,BIG PICTURE COLLEGE AND CAREER ACADEMY,100 (10th),0,1,0,0,0,0,7,17,6,4,0,0,0,1,36
0010,MAPLETON 1,0695,BIG PICTURE COLLEGE AND CAREER ACADEMY,ALL GRADES TOTAL,0,1,0,1,0,0,35,31,12,6,0,0,2,4,92
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,007 (Full Day K),0,0,0,1,1,2,4,6,24,25,0,2,4,4,73
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,010 (1st),1,1,0,0,0,4,7,9,16,26,0,0,2,2,68
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,020 (2nd),0,0,1,1,1,1,8,12,18,28,0,0,4,6,80
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,030 (3rd),0,0,1,0,2,4,9,8,23,41,0,0,3,3,94
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,040 (4th),0,0,2,0,3,1,16,9,28,37,0,2,3,6,107
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,050 (5th),0,1,0,0,3,6,10,11,56,29,0,0,2,5,123
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,060 (6th),0,0,4,1,3,4,18,9,51,50,1,2,7,6,156
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,070 (7th),0,3,2,0,6,7,25,21,60,89,1,0,7,7,228
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,080 (8th),1,1,7,1,6,2,34,30,100,106,0,1,6,8,303
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,090 (9th),3,1,3,1,7,4,41,36,108,115,1,2,14,8,344
