year,districtcode,schoolcode,mergecode,black,hispanic,white,totalenroll
21,10,0,10-0,0.0,50.0,50.0,6
21,10,1796,10-1796,3.6,23.78,65.17,1249
21,10,187,10-187,2.79,76.51,15.12,430
21,10,212,10-212,0.74,80.37,12.59,270
21,10,263,10-263,1.49,92.19,5.58,269
21,10,309,10-309,1.56,84.15,9.15,448
21,10,503,10-503,0.62,84.83,8.67,323
21,10,6315,10-6315,1.3,75.32,19.48,77
21,10,695,10-695,0.0,69.03,23.01,113
21,100,118,100-118,0.47,63.23,31.62,427
21,100,270,100-270,0.54,65.41,28.65,185
21,1000,203,1000-203,7.21,34.23,51.35,111
21,1000,3110,1000-3110,12.21,27.54,46.13,1834
21,1010,0,1010-0,0.0,11.11,88.89,9
21,1010,1616,1010-1616,3.47,13.29,72.83,173
21,1010,1870,1010-1870,5.23,23.93,62.25,1396
21,1010,1885,1010-1885,7.33,36.21,46.12,232
21,1010,2202,1010-2202,6.9,27.61,55.23,1941
21,1010,2400,1010-2400,5.23,24.92,57.54,325
21,1010,2528,1010-2528,12.72,38.16,40.35,228
21,1010,269,1010-269,6.1,31.71,52.03,246
21,1010,5146,1010-5146,13.95,45.74,27.91,129
21,1010,5948,1010-5948,10.87,51.86,29.34,1159
21,1010,6680,1010-6680,9.28,35.76,46.3,1594
21,1010,871,1010-871,8.82,31.62,50.74,136
21,1020,1590,1020-1590,1.26,14.4,74.35,1271
21,1020,9057,1020-9057,3.87,20.07,54.58,284
21,1030,5468,1030-5468,0.21,11.89,79.19,471
21,1040,110,1040-110,3.23,9.03,81.29,310
21,1040,1511,1040-1511,0.0,13.73,86.27,51
21,1040,1630,1040-1630,1.54,8.03,83.25,585
21,1040,209,1040-209,2.0,22.0,70.0,100
21,1040,2195,1040-2195,2.84,13.62,68.97,1160
21,1040,5126,1040-5126,3.43,15.05,72.23,1721
21,1040,6937,1040-6937,2.55,14.84,67.7,1644
21,1040,7240,1040-7240,3.82,19.03,62.28,1519
21,1040,76,1040-76,3.62,14.24,71.44,1383
21,1040,8779,1040-8779,2.32,8.76,76.55,388
21,1050,2642,1050-2642,2.43,43.06,51.39,288
21,1060,6626,1060-6626,0.0,21.74,69.57,23
21,1060,6811,1060-6811,0.0,0.0,84.62,13
21,1060,6902,1060-6902,0.93,9.77,82.33,215
21,1070,3758,1070-3758,9.72,2.78,81.94,72
21,1070,3941,1070-3941,25.0,25.0,50.0,4
21,1080,5093,1080-5093,0.0,11.54,73.08,26
21,1080,5100,1080-5100,1.56,11.5,79.86,1157
21,1080,6678,1080-6678,1.47,11.0,79.38,1227
21,110,7630,110-7630,0.0,49.09,43.64,55
21,1110,2877,1110-2877,3.86,13.68,73.68,285
21,1110,2908,1110-2908,4.26,17.47,68.56,1196
21,1110,3475,1110-3475,3.49,48.68,41.9,5308
21,1110,431,1110-431,0.0,12.59,79.02,143
21,1110,448,1110-448,3.08,10.77,78.46,65
21,1110,5191,1110-5191,0.0,10.53,82.46,57
21,1110,555,1110-555,6.39,20.45,55.27,313
21,1110,6653,1110-6653,1.68,23.46,66.48,179
21,1110,6810,1110-6810,4.3,26.88,63.44,93
21,1110,6821,1110-6821,1.85,17.28,70.37,162
21,1110,7613,1110-7613,9.71,30.19,45.45,1133
21,1110,8791,1110-8791,7.44,24.4,53.66,1627
21,1120,2523,1120-2523,1.15,4.6,88.51,87
21,1120,2526,1120-2526,0.0,8.82,91.18,34
21,1130,5854,1130-5854,1.2,25.3,72.29,83
21,1140,1266,1140-1266,0.52,16.95,77.72,956
21,1150,3002,1150-3002,0.55,18.46,75.21,363
21,1160,3228,1160-3228,0.0,7.27,87.27,55
21,1180,1006,1180-1006,0.0,82.72,14.81,81
21,1180,3468,1180-3468,0.4,50.4,45.85,988
21,1180,570,1180-570,0.0,53.19,43.4,470
21,1180,7422,1180-7422,0.0,58.93,39.29,392
21,1195,65,1195-65,0.72,47.64,49.46,552
21,1195,7360,1195-7360,0.4,56.01,40.95,757
21,120,206,120-206,0.39,32.16,61.57,255
21,120,2746,120-2746,3.11,45.89,44.24,547
21,1220,3586,1220-3586,0.33,34.98,59.08,303
21,123,7842,123-7842,4.55,77.27,11.21,330
21,123,8123,123-8123,1.15,68.97,22.99,87
21,130,1429,130-1429,7.14,19.05,66.67,126
21,130,1551,130-1551,9.11,16.93,57.96,2888
21,130,1570,130-1570,3.49,13.93,64.43,3868
21,130,2357,130-2357,14.41,22.51,48.36,3110
21,130,2653,130-2653,17.0,30.83,41.5,253
21,130,3589,130-3589,9.04,15.58,55.61,2908
21,130,6367,130-6367,1.74,11.3,78.26,115
21,130,6625,130-6625,28.52,41.16,18.85,2286
21,130,8020,130-8020,17.35,25.68,41.98,2208
21,1330,1634,1330-1634,0.73,11.68,80.29,137
21,1340,9420,1340-9420,1.67,29.17,65.0,120
21,1350,5864,1350-5864,0.25,16.87,79.65,403
21,1360,2006,1360-2006,0.0,2.83,93.12,247
21,1360,3694,1360-3694,0.8,22.81,74.01,377
21,1380,4899,1380-4899,0.0,0.0,100.0,20
21,1390,9212,1390-9212,1.46,62.04,34.31,137
21,140,298,140-298,1.28,10.67,79.05,2033
21,140,3930,140-3930,0.99,14.83,77.6,1719
21,140,5224,140-5224,2.62,30.31,59.46,1300
21,1400,4864,1400-4864,0.0,29.69,70.31,64
21,1410,6358,1410-6358,0.0,28.95,71.05,38
21,1420,0,1420-0,0.0,27.27,63.64,11
21,1420,108,1420-108,0.42,79.28,12.24,719
21,1420,1451,1420-1451,0.0,30.39,63.24,204
21,1420,1522,1420-1522,0.27,12.49,81.3,1834
21,1420,1864,1420-1864,1.33,20.79,70.27,1732
21,1420,1880,1420-1880,0.71,15.0,75.71,140
21,1420,1886,1420-1886,0.24,7.29,86.5,837
21,1420,2093,1420-2093,0.63,15.34,73.4,1421
21,1420,2120,1420-2120,1.24,11.15,71.36,646
21,1420,2189,1420-2189,0.0,12.5,75.0,8
21,1420,2836,1420-2836,0.59,5.66,88.67,1024
21,1420,33,1420-33,1.43,32.0,60.57,350
21,1420,3502,1420-3502,0.51,12.6,79.72,1381
21,1420,3628,1420-3628,1.84,18.13,70.32,1142
21,1420,370,1420-370,2.94,55.04,35.89,783
21,1420,378,1420-378,1.04,17.42,74.52,1825
21,1420,4404,1420-4404,1.09,14.23,74.82,274
21,1420,4408,1420-4408,0.34,22.9,70.71,297
21,1420,4410,1420-4410,1.43,14.01,73.63,421
21,1420,4422,1420-4422,4.88,81.46,9.76,410
21,1420,4942,1420-4942,2.06,36.08,51.29,2090
21,1420,5415,1420-5415,9.09,54.55,36.36,22
21,1420,5623,1420-5623,3.45,3.45,82.76,29
21,1420,5892,1420-5892,0.0,29.17,66.67,24
21,1420,6237,1420-6237,0.0,91.8,5.74,122
21,1420,6541,1420-6541,0.91,13.64,80.0,220
21,1420,664,1420-664,1.11,41.62,44.75,1533
21,1420,7114,1420-7114,1.84,37.44,53.84,1250
21,1420,7239,1420-7239,0.32,11.74,80.8,1891
21,1420,7701,1420-7701,0.71,16.31,70.21,141
21,1420,8036,1420-8036,1.41,33.8,63.38,71
21,1420,8209,1420-8209,1.39,20.15,66.1,1295
21,1420,8793,1420-8793,0.56,14.69,80.79,177
21,1420,9234,1420-9234,0.0,19.44,75.0,36
21,1420,9245,1420-9245,0.0,33.33,50.0,6
21,1420,9510,1420-9510,1.04,39.76,54.08,1152
21,1420,965,1420-965,2.97,53.16,38.66,269
21,1430,2336,1430-2336,0.0,11.76,86.27,51
21,1440,7009,1440-7009,7.69,0.0,92.31,13
21,1450,2960,1450-2960,0.0,4.76,95.24,42
21,1460,7746,1460-7746,5.0,25.0,67.5,40
21,1480,8354,1480-8354,0.0,23.73,76.27,59
21,1490,842,1490-842,0.0,48.28,51.72,29
21,1500,1152,1500-1152,2.0,43.0,52.0,200
21,1510,1700,1510-1700,0.0,75.0,25.0,32
21,1510,4904,1510-4904,0.0,68.3,27.17,265
21,1520,1526,1520-1526,1.9,21.06,68.12,527
21,1520,2097,1520-2097,0.0,0.0,100.0,1
21,1520,2318,1520-2318,0.39,18.73,71.59,1292
21,1520,3571,1520-3571,1.37,27.4,63.01,73
21,1530,640,1530-640,0.26,15.98,76.8,388
21,1540,4258,1540-4258,0.0,33.03,28.05,221
21,1550,0,1550-0,0.0,0.0,100.0,1
21,1550,146,1550-146,0.0,10.57,80.49,123
21,1550,1917,1550-1917,0.0,7.06,89.41,85
21,1550,3046,1550-3046,1.64,25.42,64.63,1951
21,1550,3105,1550-3105,0.74,8.87,80.51,2175
21,1550,3760,1550-3760,1.8,31.53,62.16,111
21,1550,5120,1550-5120,0.54,5.95,83.51,370
21,1550,7104,1550-7104,2.84,6.38,85.11,141
21,1550,7124,1550-7124,0.81,26.0,67.51,1973
21,1550,7127,1550-7127,1.06,43.26,47.52,282
21,1550,7198,1550-7198,0.85,23.08,70.09,117
21,1550,7470,1550-7470,1.75,16.29,74.81,2056
21,1560,5121,1560-5121,0.0,0.0,100.0,18
21,1560,5235,1560-5235,0.75,12.69,82.84,134
21,1560,5316,1560-5316,1.28,22.76,70.83,1560
21,1560,6163,1560-6163,2.05,25.38,66.67,1170
21,1560,812,1560-812,0.31,12.48,83.98,649
21,1560,8824,1560-8824,0.58,21.76,73.15,1043
21,1560,9260,1560-9260,0.83,31.67,61.67,120
21,1570,2794,1570-2794,0.8,27.47,66.4,375
21,1580,8906,1580-8906,1.0,67.5,27.5,200
21,1590,7164,1590-7164,0.0,55.81,41.86,43
21,1600,4048,1600-4048,0.0,56.6,40.57,106
21,1620,66,1620-66,0.0,54.17,45.83,24
21,170,2140,170-2140,0.0,46.15,53.85,65
21,1750,948,1750-948,2.55,18.47,77.07,157
21,1750,978,1750-978,0.0,24.0,68.0,25
21,1760,4694,1760-4694,0.0,0.0,100.0,14
21,1780,4162,1780-4162,1.72,1.72,96.55,58
21,1790,5136,1790-5136,2.04,10.88,82.31,147
21,180,1,180-1,20.0,20.0,40.0,5
21,180,1458,180-1458,16.27,69.84,4.21,1807
21,180,2654,180-2654,23.85,52.31,13.08,130
21,180,3354,180-3354,17.52,59.53,11.82,1438
21,180,4024,180-4024,11.73,74.3,4.9,1961
21,180,5298,180-5298,36.64,45.69,13.36,232
21,180,6546,180-6546,0.72,15.11,76.26,139
21,180,7250,180-7250,19.23,44.56,22.28,2132
21,180,8356,180-8356,8.99,69.84,13.49,378
21,180,9125,180-9125,15.6,51.09,20.21,1519
21,180,9189,180-9189,19.84,56.35,19.84,126
21,180,9396,180-9396,9.33,77.22,3.25,461
21,1810,4506,1810-4506,0.0,0.0,100.0,10
21,1828,1224,1828-1224,0.0,22.73,72.73,88
21,1828,8260,1828-8260,0.67,28.22,68.0,450
21,1850,2988,1850-2988,0.0,11.36,86.36,44
21,1860,5806,1860-5806,2.22,11.11,82.22,90
21,1870,6838,1870-6838,0.0,2.78,91.67,36
21,190,1176,190-1176,0.0,21.05,76.32,152
21,190,1752,190-1752,7.03,15.68,74.32,370
21,190,2356,190-2356,5.14,20.95,68.38,525
21,190,3362,190-3362,7.13,34.23,56.08,1332
21,1980,2126,1980-2126,3.12,12.5,84.38,32
21,1990,3582,1990-3582,19.28,22.89,49.4,83
21,1990,7032,1990-7032,0.0,8.57,87.62,105
