year,districtcode,schoolcode,mergecode,black,hispanic,white,totalenroll
19,10,1796,10-1796,2.77,20.7,66.72,1193
19,10,187,10-187,2.25,73.26,19.1,445
19,10,212,10-212,0.41,72.02,20.16,243
19,10,263,10-263,0.46,94.01,4.61,217
19,10,309,10-309,1.38,84.14,9.66,435
19,10,503,10-503,0.68,86.99,6.16,292
19,10,6315,10-6315,0.0,70.37,24.69,81
19,10,695,10-695,0.57,70.45,20.45,176
19,100,118,100-118,0.97,62.01,31.33,616
19,100,368,100-368,0.0,82.35,8.82,34
19,1000,203,1000-203,5.45,25.45,55.45,110
19,1000,3110,1000-3110,13.46,26.53,46.38,1783
19,1010,1616,1010-1616,2.12,16.93,71.96,189
19,1010,1870,1010-1870,3.74,25.26,63.36,1362
19,1010,1885,1010-1885,5.41,36.94,45.95,222
19,1010,2202,1010-2202,6.79,26.01,56.02,2076
19,1010,2400,1010-2400,5.17,27.59,50.86,232
19,1010,2528,1010-2528,7.47,39.66,40.23,174
19,1010,269,1010-269,4.48,25.37,60.7,201
19,1010,5146,1010-5146,14.76,42.8,32.84,271
19,1010,5948,1010-5948,11.95,46.55,32.04,1289
19,1010,6680,1010-6680,9.28,34.67,46.71,1627
19,1010,871,1010-871,3.65,30.66,54.74,137
19,1020,1590,1020-1590,1.92,12.16,75.83,1299
19,1020,9057,1020-9057,5.54,22.15,57.44,289
19,1030,5468,1030-5468,0.81,8.54,84.76,492
19,1040,110,1040-110,3.73,8.07,82.61,161
19,1040,1630,1040-1630,1.09,8.74,83.31,641
19,1040,209,1040-209,0.98,16.67,68.63,102
19,1040,2195,1040-2195,3.28,14.63,70.9,1189
19,1040,5126,1040-5126,4.29,14.48,70.85,1609
19,1040,6937,1040-6937,2.44,13.22,71.48,1641
19,1040,7240,1040-7240,4.39,17.34,65.56,1661
19,1040,76,1040-76,3.43,13.58,72.26,1370
19,1040,8779,1040-8779,2.24,7.98,81.55,401
19,1050,2642,1050-2642,1.74,34.72,59.72,288
19,1060,6626,1060-6626,3.33,20.0,76.67,30
19,1060,6902,1060-6902,0.0,7.63,86.44,236
19,1070,3758,1070-3758,1.54,40.0,55.38,65
19,1080,5100,1080-5100,1.05,10.84,80.94,1144
19,1080,6678,1080-6678,1.23,8.75,82.67,1223
19,110,7630,110-7630,1.23,34.57,61.73,81
19,1110,2877,1110-2877,3.17,11.11,77.78,252
19,1110,2908,1110-2908,4.28,19.13,67.03,1286
19,1110,3475,1110-3475,3.71,48.66,40.91,4153
19,1110,555,1110-555,6.16,17.12,59.59,146
19,1110,6653,1110-6653,1.85,20.37,64.81,108
19,1110,6810,1110-6810,4.4,20.88,69.23,91
19,1110,6821,1110-6821,2.29,10.29,79.43,175
19,1110,7463,1110-7463,1.69,15.25,79.66,59
19,1110,7613,1110-7613,11.67,28.63,45.51,1191
19,1110,8791,1110-8791,7.51,23.66,56.2,1678
19,1120,2523,1120-2523,1.03,10.31,84.54,97
19,1120,2526,1120-2526,0.0,12.77,82.98,47
19,1130,5854,1130-5854,1.0,25.0,72.0,100
19,1140,0,1140-0,0.0,19.35,77.42,31
19,1140,1266,1140-1266,0.5,14.46,81.58,1010
19,1150,3002,1150-3002,0.88,19.01,75.73,342
19,1160,3228,1160-3228,0.0,9.33,85.33,75
19,1180,1006,1180-1006,0.0,71.43,24.68,77
19,1180,3468,1180-3468,0.3,46.66,50.0,988
19,1180,570,1180-570,0.0,55.92,40.82,490
19,1180,7422,1180-7422,0.27,58.56,39.3,374
19,1195,65,1195-65,0.52,45.75,51.13,577
19,1195,7360,1195-7360,0.39,53.12,43.51,770
19,120,206,120-206,2.66,30.23,62.13,301
19,120,2746,120-2746,3.28,46.05,44.7,519
19,1220,3586,1220-3586,0.61,32.42,61.21,330
19,123,7842,123-7842,6.32,75.86,11.49,348
19,123,8123,123-8123,1.96,77.45,13.73,102
19,130,1551,130-1551,10.03,15.55,57.57,2842
19,130,1570,130-1570,3.09,12.74,66.45,3720
19,130,2357,130-2357,13.95,22.16,49.23,3033
19,130,2653,130-2653,12.36,31.09,51.69,267
19,130,3589,130-3589,8.28,16.63,56.7,2887
19,130,6367,130-6367,4.13,9.92,76.86,121
19,130,6625,130-6625,27.81,38.9,20.59,2409
19,130,8020,130-8020,17.89,24.21,43.13,2024
19,1330,1634,1330-1634,0.0,16.41,80.47,128
19,1340,9420,1340-9420,0.72,32.61,63.77,138
19,1350,5864,1350-5864,1.01,12.85,84.13,397
19,1360,2006,1360-2006,0.0,4.95,91.44,222
19,1360,3694,1360-3694,0.5,18.09,78.64,398
19,1380,4899,1380-4899,0.0,9.52,85.71,21
19,1390,9212,1390-9212,0.65,59.48,35.29,153
19,140,298,140-298,1.24,8.93,81.02,2250
19,140,3930,140-3930,0.95,14.23,78.23,1686
19,140,5224,140-5224,2.4,30.72,59.52,1250
19,1400,4864,1400-4864,0.0,38.46,60.0,65
19,1410,6358,1410-6358,0.0,28.89,71.11,45
19,1420,0,1420-0,0.0,26.67,60.0,15
19,1420,108,1420-108,1.1,77.23,14.27,729
19,1420,1451,1420-1451,0.7,21.83,71.83,142
19,1420,1522,1420-1522,0.5,12.42,81.61,1811
19,1420,1864,1420-1864,1.24,17.91,72.25,1697
19,1420,1880,1420-1880,0.69,11.11,74.31,144
19,1420,1886,1420-1886,0.12,5.6,88.45,857
19,1420,2093,1420-2093,0.75,16.41,73.79,1469
19,1420,2120,1420-2120,0.66,9.38,75.82,608
19,1420,2836,1420-2836,0.28,5.77,89.21,1075
19,1420,33,1420-33,2.13,26.48,65.01,423
19,1420,3502,1420-3502,0.68,12.44,79.11,1326
19,1420,3628,1420-3628,2.17,17.18,72.33,1106
19,1420,370,1420-370,2.86,49.81,39.5,805
19,1420,378,1420-378,1.24,16.94,75.46,1777
