year,mergecode,schoolcode,districtcode,droprate,black,white,hispanic,totalenroll
21,70-7305,7305,70,0.5,1.45,8.23,85.71,413
21,70-7810,7810,70,4.5,0.0,18.18,81.82,22
21,70-7812,7812,70,0.0,4.46,16.67,69.72,426
21,70-8798,8798,70,0.0,0.0,11.9,78.57,42
21,70-9236,9236,70,0.0,0.0,7.27,87.27,55
21,70-9466,9466,70,1.1,1.59,13.56,77.08,2640
21,100-114,114,100,0.3,0.62,27.5,68.75,320
21,100-118,118,100,0.9,0.75,32.52,61.47,532
21,100-270,270,100,2.5,0.83,28.61,64.44,360
21,110-7630,7630,110,0.0,0.8,53.6,34.4,125
21,120-206,206,120,7.1,0.32,62.38,30.87,311
21,120-2746,2746,120,2.9,3.51,44.02,44.98,627
21,120-2750,2750,120,0.0,1.61,66.13,29.03,62
21,120-2752,2752,120,0.0,4.51,44.1,45.14,288
21,123-7837,7837,123,0.0,5.09,11.57,77.31,216
21,123-7842,7842,123,0.5,4.22,11.61,77.31,379
21,123-8123,8123,123,7.8,1.72,19.83,70.69,116
21,130-18,18,130,0.1,8.07,52.65,17.59,756
21,130-141,141,130,0.1,15.56,46.22,20.15,675
21,130-188,188,130,1.2,2.48,78.88,9.32,161
21,130-1429,1429,130,1.2,15.94,45.73,24.48,433
21,130-1510,1510,130,0.0,18.71,34.53,10.79,139
21,130-1551,1551,130,0.7,9.35,57.8,17.1,3071
21,130-1566,1566,130,0.1,4.08,59.39,11.67,1054
21,130-1568,1568,130,0.1,2.23,70.62,13.04,851
21,130-1570,1570,130,0.8,3.49,64.0,14.59,4125
21,130-1571,1571,130,0.7,11.94,47.76,7.46,134
21,130-2357,2357,130,1.0,14.68,47.85,23.12,3352
21,130-2653,2653,130,11.3,16.13,37.63,35.75,372
21,130-2897,2897,130,0.3,8.03,54.96,17.95,635
21,130-3030,3030,130,0.0,6.27,62.53,14.71,782
21,130-3589,3589,130,1.1,9.19,55.12,16.3,3122
21,130-4100,4100,130,0.3,18.09,32.18,36.19,724
21,130-4189,4189,130,4.3,17.02,38.3,27.66,47
21,130-4975,4975,130,0.1,16.67,38.8,28.42,732
21,130-6367,6367,130,0.0,2.54,74.6,12.06,315
21,130-6625,6625,130,2.6,27.92,18.91,41.16,2607
21,130-7158,7158,130,0.7,27.22,19.36,39.39,1183
21,130-7514,7514,130,0.2,7.49,59.07,16.31,601
21,130-8020,8020,130,1.5,17.61,41.58,25.86,2436
21,130-8848,8848,130,0.0,10.75,50.62,25.08,893
21,140-298,298,140,0.6,1.48,78.6,10.89,2168
21,140-2804,2804,140,0.2,1.42,73.49,19.04,562
21,140-3472,3472,140,0.0,1.36,55.35,34.47,589
21,140-3930,3930,140,0.4,1.06,77.92,14.44,1884
21,140-4316,4316,140,0.0,1.35,79.15,10.54,446
21,140-4447,4447,140,0.0,2.25,76.64,12.11,578
21,140-5224,5224,140,1.9,2.82,58.45,30.84,1456
21,140-5229,5229,140,1.0,2.97,74.26,5.94,101
21,140-5233,5233,140,0.0,0.9,69.37,24.32,111
21,170-2140,2140,170,7.0,0.0,50.78,46.88,128
21,180-122,122,180,0.0,28.07,8.77,52.63,57
21,180-126,126,180,0.0,20.52,6.11,65.94,229
21,180-127,127,180,0.0,12.99,10.17,66.67,177
21,180-213,213,180,0.0,33.33,16.22,38.74,111
21,180-458,458,180,0.0,37.9,18.55,37.1,124
21,180-464,464,180,0.5,22.38,7.57,58.69,581
21,180-465,465,180,0.0,12.76,29.08,42.35,196
21,180-914,914,180,0.0,16.51,4.59,71.56,109
21,180-1458,1458,180,3.4,15.75,4.56,69.4,2412
21,180-1720,1720,180,0.0,5.26,11.28,73.68,133
21,180-1800,1800,180,0.0,18.3,21.13,47.36,530
21,180-1851,1851,180,0.0,9.09,12.88,71.97,132
21,180-2384,2384,180,0.0,13.62,3.59,74.7,668
21,180-2654,2654,180,0.6,22.02,13.69,54.17,168
21,180-2673,2673,180,0.0,17.48,11.79,59.35,246
21,180-3354,3354,180,4.0,18.73,11.73,58.43,1927
21,180-3471,3471,180,0.0,21.72,8.14,62.9,221
21,180-4024,4024,180,2.6,12.8,5.95,71.76,2351
21,180-5298,5298,180,0.0,38.04,12.88,44.79,489
21,180-6160,6160,180,0.0,20.25,15.18,51.44,731
21,180-6189,6189,180,0.0,14.2,38.27,29.01,162
21,180-6310,6310,180,0.0,15.27,4.3,70.75,465
21,180-6546,6546,180,0.0,1.83,71.62,19.22,437
21,180-7232,7232,180,0.0,11.23,39.57,25.13,187
21,180-7250,7250,180,1.6,19.3,22.48,44.63,2420
21,180-8078,8078,180,0.0,19.06,6.29,65.11,556
21,180-8356,8356,180,0.5,10.0,12.75,69.25,400
21,180-9053,9053,180,0.0,9.91,5.41,69.37,111
21,180-9056,9056,180,0.0,16.83,10.89,65.35,101
21,180-9083,9083,180,0.0,13.36,33.18,36.87,217
21,180-9125,9125,180,1.8,16.27,20.24,50.6,1739
21,180-9189,9189,180,0.0,28.35,15.89,49.22,321
21,180-9396,9396,180,0.0,10.97,4.25,74.01,1012
21,190-1176,1176,190,0.0,1.08,77.34,19.42,278
21,190-1752,1752,190,0.2,6.74,71.87,18.5,519
21,190-2356,2356,190,0.1,4.7,71.41,18.81,808
21,190-2793,2793,190,0.0,4.14,76.65,14.69,531
21,190-3362,3362,190,0.2,6.72,57.01,33.67,2189
21,190-6263,6263,190,0.0,4.17,70.83,22.22,144
21,190-9033,9033,190,0.0,7.02,60.04,30.35,926
21,220-2269,2269,220,10.9,1.82,47.27,29.09,55
21,220-6657,6657,220,0.0,0.31,48.59,37.3,319
21,220-6658,6658,220,0.2,0.96,53.56,33.91,519
21,220-6679,6679,220,0.0,0.0,42.11,47.37,19
21,230-9226,9226,230,0.0,0.0,69.64,23.21,56
21,240-7176,7176,240,0.0,0.0,80.0,20.0,10
21,240-7180,7180,240,0.0,0.0,77.78,22.22,18
21,250-8168,8168,250,1.5,0.75,74.63,18.66,134
21,260-9100,9100,260,0.0,0.0,76.62,23.38,77
21,270-1252,1252,270,0.0,0.0,72.73,22.73,22
21,290-443,443,290,11.6,4.0,31.29,62.8,2199
21,290-4279,4279,290,3.0,6.47,74.63,15.42,201
21,290-4986,4986,290,0.0,1.22,53.66,42.68,82
21,290-4990,4990,290,0.7,0.66,56.58,39.47,152
21,310-5670,5670,310,0.0,0.0,97.37,0.0,114
21,470-71,71,470,0.0,1.18,81.18,9.41,85
21,470-120,120,470,0.0,1.43,82.86,10.86,350
21,470-226,226,470,0.0,1.31,71.41,16.83,612
21,470-1284,1284,470,0.0,3.12,43.75,50.0,32
21,470-2760,2760,470,0.0,1.03,82.07,11.9,580
21,470-2761,2761,470,0.0,0.75,79.25,13.26,1735
21,470-2964,2964,470,0.0,1.47,75.98,11.27,204
21,470-3192,3192,470,0.0,0.9,38.91,54.3,221
21,470-3194,3194,470,0.0,0.81,68.92,24.64,621
21,470-3196,3196,470,0.7,1.38,58.43,36.19,1376
21,470-4333,4333,470,0.0,0.0,67.26,25.66,113
21,470-5282,5282,470,1.7,1.52,57.36,36.48,1379
21,470-5286,5286,470,0.0,0.96,46.5,48.41,314
21,470-5288,5288,470,0.4,0.0,23.05,72.49,269
21,470-5368,5368,470,0.0,1.62,83.02,9.7,371
21,470-5722,5722,470,1.0,0.51,71.27,23.93,1187
21,470-5730,5730,470,0.0,0.27,77.6,18.31,366
21,470-6010,6010,470,0.4,0.38,10.98,82.2,264
21,470-6276,6276,470,0.3,0.77,61.03,28.02,1306
21,470-6498,6498,470,14.9,0.68,37.84,57.43,148
21,470-7565,7565,470,0.0,5.41,83.78,8.11,37
21,470-7789,7789,470,0.8,1.15,73.8,14.43,1393
21,470-7839,7839,470,3.4,0.0,87.07,8.16,147
21,470-7954,7954,470,1.6,1.08,34.17,59.84,1671
21,470-8055,8055,470,0.0,1.14,77.49,15.95,351
21,470-8903,8903,470,0.0,1.1,31.06,62.33,454
21,470-8927,8927,470,0.6,1.99,58.69,27.92,351
21,470-9430,9430,470,0.0,0.39,76.41,19.49,513
21,480-125,125,480,14.5,0.52,38.86,54.4,193
21,480-441,441,480,0.0,2.64,73.27,15.84,303
21,480-924,924,480,0.2,0.83,66.1,23.69,2398
21,480-930,930,480,0.1,1.71,72.12,13.94,703
21,480-934,934,480,11.1,1.48,62.22,26.67,135
21,480-1066,1066,480,0.3,2.01,62.56,26.38,398
21,480-1070,1070,480,0.2,1.32,69.93,19.63,1666
21,480-1136,1136,480,0.5,1.59,65.87,21.69,378
21,480-1352,1352,480,0.0,1.71,53.66,39.27,410
21,480-1380,1380,480,0.7,0.78,60.56,30.37,1666
21,480-1390,1390,480,0.9,0.9,65.99,23.2,444
21,480-2589,2589,480,0.0,0.34,77.18,7.38,298
21,480-2639,2639,480,0.0,0.0,71.77,15.32,124
21,480-2892,2892,480,0.2,0.99,71.33,11.15,2215
21,480-4496,4496,480,1.0,2.91,25.24,65.05,103
21,480-4878,4878,480,0.0,0.98,49.02,39.17,508
21,480-5306,5306,480,0.0,1.54,79.07,10.57,454
21,480-5999,5999,480,0.1,1.13,75.44,10.9,1771
21,480-6000,6000,480,0.4,1.06,72.08,11.31,283
21,480-6195,6195,480,0.0,0.58,75.22,16.91,343
21,480-6212,6212,480,0.4,1.23,84.02,7.79,244
21,480-6224,6224,480,0.0,1.37,80.0,8.77,365
21,480-6642,6642,480,0.0,0.0,79.07,10.47,86
21,480-6816,6816,480,0.0,0.33,64.75,10.64,902
21,480-8135,8135,480,0.0,0.83,77.62,7.18,362
21,480-8387,8387,480,0.0,1.23,67.08,6.17,243
21,490-1130,1130,490,2.1,1.48,81.66,12.13,338
21,490-1132,1132,490,0.0,0.0,77.92,17.53,154
21,490-1508,1508,490,21.2,0.0,69.23,26.92,52
21,500-1554,1554,500,0.0,0.0,95.65,4.35,23
21,500-4085,4085,500,25.0,0.0,75.0,15.91,44
21,500-4680,4680,500,0.0,0.0,81.55,13.11,206
21,500-7568,7568,500,1.2,0.48,81.16,12.32,414
21,510-4742,4742,510,0.0,0.0,80.36,17.86,56
21,520-1612,1612,520,3.6,1.2,81.93,16.87,83
21,540-1660,1660,540,0.0,0.0,81.82,12.88,132
21,540-4216,4216,540,1.1,1.14,80.61,11.41,263
21,550-1276,1276,550,0.0,0.53,48.66,49.2,187
21,550-1378,1378,550,0.3,0.91,46.53,51.36,331
21,550-6339,6339,550,0.0,1.75,28.07,66.67,57
21,560-7616,7616,560,0.0,0.0,72.26,26.45,155
21,580-250,250,580,0.0,0.0,4.35,95.65,23
21,580-252,252,580,0.0,0.0,4.26,95.74,47
21,640-1398,1398,640,1.8,3.54,13.27,81.42,113
21,740-7880,7880,740,1.5,3.73,22.39,73.88,134
21,770-2058,2058,770,0.0,3.96,47.58,44.49,227
21,860-2091,2091,860,0.0,0.0,95.71,0.0,70
21,860-2092,2092,860,0.8,1.67,89.17,2.5,120
21,870-1372,1372,870,3.8,0.0,80.76,12.93,317
21,870-1375,1375,870,0.0,0.61,82.82,14.11,163
21,870-2152,2152,870,0.0,0.0,88.24,11.76,17
21,870-2155,2155,870,27.5,0.0,67.94,26.72,131
21,870-2160,2160,870,1.4,0.0,57.34,35.18,361
21,870-2164,2164,870,3.7,0.42,58.31,34.37,710
21,870-2166,2166,870,0.7,0.36,76.34,16.13,279
21,870-4124,4124,870,0.0,1.03,74.23,18.56,97
21,870-4128,4128,870,3.8,0.47,76.53,19.72,213
21,870-6708,6708,870,2.3,0.77,75.68,16.22,259
21,880-10,10,880,3.5,3.45,3.2,89.22,1187
21,880-40,40,880,24.2,16.91,26.57,45.89,207
21,880-67,67,880,9.2,3.78,6.49,84.86,185
21,880-1010,1010,880,6.7,1.33,4.0,41.33,75
21,880-1077,1077,880,0.3,3.01,13.25,77.11,332
21,880-1106,1106,880,0.0,0.0,2.46,94.26,122
21,880-1295,1295,880,3.5,27.41,3.21,59.75,405
21,880-1319,1319,880,0.6,0.97,2.51,95.16,517
21,880-1489,1489,880,20.3,12.78,22.56,52.63,133
21,880-1529,1529,880,0.0,23.78,10.59,56.35,614
21,880-1561,1561,880,24.2,19.35,3.76,68.82,186
21,880-1748,1748,880,15.6,24.05,4.64,67.09,237
21,880-1939,1939,880,0.0,4.65,4.65,88.37,215
21,880-2115,2115,880,0.0,31.79,19.94,34.97,346
21,880-2116,2116,880,0.0,5.63,10.56,77.46,142
21,880-2125,2125,880,0.0,23.49,38.26,28.86,149
21,880-2127,2127,880,0.0,4.68,51.46,28.07,171
21,880-2145,2145,880,0.8,23.49,4.89,58.08,613
21,880-2167,2167,880,0.4,4.18,27.76,62.36,263
21,880-2175,2175,880,1.3,13.96,3.81,79.7,394
21,880-2176,2176,880,0.0,20.0,42.86,24.0,175
21,880-2181,2181,880,0.0,25.81,4.99,57.48,341
21,880-2183,2183,880,0.9,3.96,20.72,66.85,555
21,880-2184,2184,880,0.1,5.3,68.17,15.91,1018
21,880-2185,2185,880,0.6,31.69,15.61,41.4,628
21,880-2186,2186,880,0.3,20.51,36.75,31.91,351
21,880-2188,2188,880,11.4,30.59,8.68,56.16,219
21,880-2190,2190,880,0.0,22.36,5.44,64.65,331
21,880-2199,2199,880,0.0,12.58,45.28,29.56,159
21,880-2209,2209,880,3.4,8.98,1.57,83.3,958
21,880-2218,2218,880,0.8,18.64,13.28,57.34,354
21,880-2223,2223,880,0.8,18.7,4.88,71.95,246
21,880-2227,2227,880,0.0,50.39,7.09,35.43,127
21,880-2228,2228,880,0.2,15.89,42.05,32.62,604
21,880-2241,2241,880,3.1,20.86,31.29,34.36,163
21,880-2244,2244,880,1.1,1.31,3.26,86.13,613
21,880-2398,2398,880,0.4,16.41,50.67,22.27,2816
21,880-2641,2641,880,3.8,2.56,3.19,88.5,313
21,880-2726,2726,880,32.4,20.06,14.06,57.82,633
21,880-2757,2757,880,2.4,13.73,5.82,75.77,619
21,880-2994,2994,880,13.2,5.92,44.08,38.82,152
21,880-3000,3000,880,31.7,13.04,5.59,79.5,161
21,880-3378,3378,880,1.3,23.01,36.8,28.97,1443
21,880-3540,3540,880,0.0,10.83,31.21,47.77,157
21,880-3600,3600,880,0.3,7.14,23.51,59.82,336
21,880-3605,3605,880,0.0,3.1,28.68,58.91,129
21,880-3639,3639,880,0.0,9.39,47.89,32.86,213
21,880-3647,3647,880,1.4,10.64,2.84,85.11,141
21,880-3699,3699,880,6.1,22.7,14.72,55.83,163
21,880-3746,3746,880,0.6,18.75,23.35,48.35,544
21,880-3987,3987,880,0.0,30.06,36.81,24.54,163
21,880-3990,3990,880,0.6,20.51,42.23,28.05,663
21,880-4140,4140,880,0.0,14.92,1.66,79.56,181
21,880-4381,4381,880,0.0,2.05,3.22,87.72,342
21,880-4444,4444,880,2.8,2.82,10.74,77.62,1099
21,880-4494,4494,880,12.7,23.94,7.75,61.27,142
21,880-4507,4507,880,0.0,15.75,4.03,72.53,273
21,880-4509,4509,880,0.6,14.65,5.15,70.85,621
21,880-4513,4513,880,0.3,7.62,4.3,84.11,302
21,880-4730,4730,880,0.4,0.93,0.93,96.64,535
21,880-4732,4732,880,0.0,1.54,1.15,95.77,260
21,880-4795,4795,880,0.2,2.35,11.03,77.76,553
21,880-5044,5044,880,8.2,27.65,2.94,63.53,170
21,880-5255,5255,880,0.3,12.73,10.87,70.19,322
21,880-5448,5448,880,6.6,32.32,4.97,56.91,362
21,880-5605,5605,880,0.9,25.38,4.18,57.43,1245
21,880-5685,5685,880,0.7,14.69,2.1,74.13,143
21,880-5826,5826,880,0.0,7.27,56.17,26.65,454
21,880-5844,5844,880,17.4,34.13,13.17,45.51,167
21,880-5897,5897,880,0.0,13.04,61.48,14.61,1150
21,880-5973,5973,880,1.2,24.21,21.43,44.84,252
21,880-6088,6088,880,0.0,5.45,27.27,61.82,55
21,880-6098,6098,880,0.0,11.47,50.18,24.37,279
21,880-6239,6239,880,2.7,26.65,6.83,58.77,439
21,880-6308,6308,880,23.9,5.98,5.98,87.18,117
21,880-6314,6314,880,1.5,7.71,18.38,67.62,1893
21,880-6350,6350,880,1.3,7.02,1.75,88.6,684
21,880-6368,6368,880,1.1,16.02,41.95,31.62,1423
21,880-6479,6479,880,0.0,16.07,42.86,25.0,56
21,880-6508,6508,880,0.0,35.91,6.08,45.86,181
21,880-6509,6509,880,4.2,7.35,52.72,29.71,313
21,880-6970,6970,880,0.0,28.85,4.81,56.25,208
21,880-7045,7045,880,0.4,31.49,10.64,39.15,235
21,880-7163,7163,880,0.0,34.21,5.26,55.26,76
21,880-7188,7188,880,17.5,22.5,2.5,70.0,120
21,880-7246,7246,880,13.1,2.19,6.57,86.86,137
21,880-7361,7361,880,11.0,21.23,10.27,60.96,146
21,880-7926,7926,880,1.0,1.57,4.71,91.1,191
21,880-7942,7942,880,0.2,1.72,35.56,58.41,464
21,880-7972,7972,880,0.0,1.14,83.43,7.43,175
21,880-7973,7973,880,2.1,15.66,5.16,71.71,562
21,880-8085,8085,880,0.8,1.58,3.16,90.91,253
21,880-8086,8086,880,1.5,11.62,44.58,32.24,1954
21,880-8145,8145,880,9.3,2.22,4.89,92.89,225
21,880-8822,8822,880,1.9,17.9,35.41,36.63,1559
21,880-8995,8995,880,5.9,25.32,4.22,68.35,237
21,880-9336,9336,880,0.5,6.53,3.02,87.44,199
21,880-9389,9389,880,0.0,3.6,1.6,92.8,250
21,880-9390,9390,880,2.1,2.67,4.28,89.3,187
21,880-9548,9548,880,1.9,33.33,3.7,53.7,54
21,880-9623,9623,880,0.0,12.9,67.1,12.26,155
21,880-9639,9639,880,1.6,0.35,1.38,96.55,579
21,880-9693,9693,880,2.4,10.42,4.37,80.67,595
21,880-9702,9702,880,3.0,7.11,3.48,87.05,633
21,880-9730,9730,880,0.0,18.15,3.47,67.18,259
21,880-9735,9735,880,0.6,16.67,2.78,73.33,180
21,890-2216,2216,890,0.0,0.0,91.6,4.2,119
21,900-11,11,900,0.0,2.78,76.67,12.22,180
21,900-79,79,900,8.5,1.06,82.45,10.11,188
21,900-135,135,900,0.5,1.4,77.21,12.09,215
21,900-201,201,900,1.7,1.73,74.46,19.05,231
21,900-215,215,900,0.0,0.97,71.18,6.77,517
21,900-264,264,900,0.0,1.64,76.09,13.76,916
21,900-267,267,900,0.0,1.58,70.46,19.09,948
21,900-1367,1367,900,0.7,1.02,74.41,17.37,2360
21,900-1503,1503,900,0.2,1.99,71.03,15.99,2458
21,900-1512,1512,900,0.0,0.0,65.62,8.33,96
21,900-1555,1555,900,0.0,0.0,83.84,9.09,99
21,900-1579,1579,900,0.0,1.55,69.77,15.5,129
21,900-1873,1873,900,0.0,0.0,69.43,8.92,157
21,900-2012,2012,900,0.1,2.13,67.34,18.22,845
21,900-2226,2226,900,0.0,1.16,74.62,17.27,863
21,900-2230,2230,900,0.9,1.68,72.12,16.81,2023
21,900-2338,2338,900,10.9,1.55,73.06,17.1,193
21,900-3847,3847,900,3.1,3.82,8.65,85.5,393
21,900-3980,3980,900,0.3,2.27,68.82,16.86,1809
21,900-3995,3995,900,8.0,2.62,20.6,74.29,840
21,900-4271,4271,900,0.3,0.72,76.99,12.75,2369
21,900-5225,5225,900,0.0,2.65,75.5,11.26,151
21,900-5259,5259,900,0.0,0.73,63.92,13.0,1092
21,900-5405,5405,900,0.0,0.0,77.55,18.37,49
21,900-5997,5997,900,0.0,0.0,74.24,16.67,66
21,900-6019,6019,900,0.0,0.0,81.18,11.83,186
21,900-6164,6164,900,0.0,1.45,73.45,12.91,1100
21,900-6165,6165,900,0.1,0.8,76.38,11.91,2511
21,900-6365,6365,900,0.4,1.81,67.75,14.13,552
21,900-6719,6719,900,0.0,4.37,65.57,15.85,183
21,900-6772,6772,900,0.0,1.88,78.34,13.81,637
21,900-6773,6773,900,0.0,2.14,71.28,17.12,888
21,900-7047,7047,900,0.0,1.45,78.26,8.7,138
21,900-7118,7118,900,0.4,0.76,78.13,13.86,1573
21,900-7244,7244,900,0.6,1.58,82.97,10.73,317
21,900-7245,7245,900,0.0,1.09,79.11,12.68,828
21,900-7435,7435,900,0.1,1.16,76.15,9.02,2495
21,900-7448,7448,900,0.0,0.64,75.73,11.06,931
21,900-8847,8847,900,0.1,0.98,76.24,12.13,2037
21,900-9397,9397,900,0.0,0.0,70.45,15.91,88
21,910-39,39,910,0.8,0.0,25.56,73.31,266
21,910-205,205,910,16.2,1.31,35.37,59.39,229
21,910-604,604,910,0.8,1.16,41.14,53.63,1033
21,910-793,793,910,0.5,0.5,20.6,76.38,199
21,910-861,861,910,0.0,0.0,75.0,12.5,8
21,910-2340,2340,910,0.0,0.0,92.86,4.76,84
21,910-2350,2350,910,0.8,0.0,45.06,51.65,1063
21,910-2355,2355,910,0.0,0.72,65.94,29.71,276
21,910-2643,2643,910,0.0,0.0,33.33,66.67,6
21,910-5742,5742,910,0.8,0.82,26.34,69.55,243
21,910-9061,9061,910,0.0,0.0,92.35,3.83,183
21,910-9701,9701,910,12.3,0.0,72.6,24.66,73
21,920-2572,2572,920,0.0,0.0,82.69,7.69,104
21,920-2604,2604,920,0.0,0.31,79.75,17.48,326
21,920-2608,2608,920,1.2,0.27,84.47,12.32,747
21,930-4726,4726,930,0.0,2.78,88.89,5.56,36
21,930-4728,4728,930,0.0,1.19,82.14,11.9,84
21,940-7918,7918,940,0.0,0.0,81.03,13.79,58
21,940-7922,7922,940,1.9,0.0,83.96,12.26,106
21,950-2574,2574,950,0.0,1.23,82.72,11.73,162
21,960-48,48,960,0.0,0.0,69.57,30.43,23
21,970-1218,1218,970,1.1,8.77,73.68,13.68,285
21,980-369,369,980,0.0,6.46,4.62,82.46,325
21,980-469,469,980,0.8,6.43,6.63,81.68,513
21,980-1306,1306,980,1.5,23.08,16.85,50.55,273
21,980-3522,3522,980,0.0,18.32,28.42,40.63,475
21,980-3806,3806,980,1.7,16.4,21.07,49.58,1305
21,980-3870,3870,980,28.4,22.39,28.36,43.28,67
21,980-4378,4378,980,0.4,8.9,32.88,44.68,517
21,980-4379,4379,980,1.5,7.33,29.91,51.03,341
21,980-5763,5763,980,0.0,0.0,75.71,18.64,177
21,980-6162,6162,980,0.5,14.98,20.77,55.07,207
21,980-6686,6686,980,0.0,19.45,17.97,49.26,473
21,980-7611,7611,980,0.0,15.62,14.06,59.38,64
21,980-7882,7882,980,1.3,20.95,17.35,49.19,1055
21,990-3692,3692,990,0.0,13.65,43.17,25.09,271
21,990-4394,4394,990,0.2,8.46,41.54,33.27,544
21,990-5033,5033,990,0.0,4.17,37.5,33.33,24
21,990-5841,5841,990,2.1,10.26,45.51,29.62,1560
21,990-8178,8178,990,0.9,8.01,45.45,30.74,462
21,990-9294,9294,990,0.0,9.32,43.64,33.18,440
21,990-9560,9560,990,22.2,8.89,41.11,36.67,90
21,990-9566,9566,990,4.2,9.63,46.5,27.77,1516
21,1000-203,203,1000,6.0,7.83,46.99,36.75,166
21,1000-1332,1332,1000,0.0,13.06,48.87,22.58,620
21,1000-3106,3106,1000,0.0,8.79,48.97,26.26,876
21,1000-3110,3110,1000,0.7,12.48,46.0,27.74,2235
21,1010-269,269,1010,4.9,5.14,54.76,30.59,389
21,1010-517,517,1010,0.0,2.78,80.56,9.72,72
21,1010-871,871,1010,10.7,8.56,52.41,27.81,187
21,1010-1616,1616,1010,2.7,3.98,69.91,14.6,226
21,1010-1870,1870,1010,2.5,5.64,61.53,24.27,1739
21,1010-1885,1885,1010,5.0,8.39,44.3,37.25,298
21,1010-2202,2202,1010,1.1,7.03,55.26,27.76,2291
21,1010-2400,2400,1010,1.7,5.06,57.58,24.44,356
21,1010-2528,2528,1010,8.4,10.62,40.0,39.75,405
21,1010-3360,3360,1010,1.9,13.42,33.97,44.11,365
21,1010-4070,4070,1010,0.2,4.92,64.21,19.46,447
21,1010-4090,4090,1010,0.0,5.64,50.47,31.35,319
21,1010-4424,4424,1010,0.5,7.42,57.27,22.27,660
21,1010-5146,5146,1010,22.6,17.2,25.27,45.7,186
