year,mergecode,schoolcode,districtcode,droprate,black,white,hispanic,totalenroll
21,10-187,187,10,2.4,2.23,15.44,76.63,719
21,10-212,212,10,2.7,0.68,14.86,78.72,296
21,10-263,263,10,1.9,1.86,4.95,91.64,323
21,10-309,309,10,3.9,1.38,9.45,84.45,508
21,10-501,501,10,0.0,0.0,13.89,86.11,36
21,10-502,502,10,0.0,1.63,13.82,78.05,123
21,10-503,503,10,0.5,1.1,10.44,83.15,546
21,10-505,505,10,0.0,1.42,7.8,82.27,141
21,10-506,506,10,0.0,0.0,6.25,68.75,16
21,10-509,509,10,0.0,2.16,14.39,81.29,139
21,10-695,695,10,5.0,0.71,20.57,71.63,141
21,10-1796,1796,10,2.1,4.01,64.39,23.63,2171
21,10-3590,3590,10,0.0,0.71,5.67,91.49,141
21,10-6315,6315,10,14.0,0.93,17.76,74.77,107
21,10-8823,8823,10,0.0,0.0,8.03,90.51,137
21,20-57,57,20,1.3,1.32,61.77,23.15,756
21,20-210,210,20,12.7,2.7,30.71,61.2,482
21,20-1480,1480,20,0.4,1.95,52.37,35.79,718
21,20-1519,1519,20,0.3,1.03,60.59,11.37,774
21,20-4108,4108,20,1.3,1.48,57.4,30.43,2235
21,20-4172,4172,20,0.0,0.66,61.18,13.82,152
21,20-4187,4187,20,0.0,1.52,31.61,58.79,791
21,20-4699,4699,20,25.7,1.67,4.67,93.33,300
21,20-5043,5043,20,1.3,1.17,63.0,23.19,2643
21,20-5814,5814,20,0.3,5.08,10.59,79.38,708
21,20-5816,5816,20,2.8,3.32,19.29,70.09,1809
21,20-6060,6060,20,1.0,1.68,47.1,41.82,2085
21,20-6342,6342,20,0.3,1.29,43.85,45.63,618
21,20-6398,6398,20,0.0,1.69,18.74,74.35,651
21,20-6402,6402,20,2.1,1.48,21.85,70.67,2366
21,20-6802,6802,20,0.4,0.52,72.48,12.98,763
21,20-6956,6956,20,21.0,2.19,34.0,58.5,547
21,20-8275,8275,20,0.0,0.62,60.62,30.0,160
21,20-8310,8310,20,0.0,0.38,14.07,81.75,263
21,20-8814,8814,20,1.1,0.57,77.14,10.86,175
21,20-9431,9431,20,0.9,2.37,65.4,17.06,211
21,20-9444,9444,20,0.3,0.77,60.33,27.34,779
21,30-20,20,30,2.0,1.08,9.22,87.16,553
21,30-22,22,30,33.6,1.74,9.57,87.25,345
21,30-24,24,30,3.4,1.51,8.03,88.84,1981
21,30-4516,4516,30,1.2,2.63,10.51,85.29,571
21,40-700,700,40,0.0,2.38,30.36,65.48,168
21,40-1021,1021,40,8.3,0.96,33.01,61.22,312
21,40-1022,1022,40,1.8,1.02,40.16,54.57,2164
21,40-1052,1052,40,0.0,0.31,65.72,31.76,318
21,40-2399,2399,40,0.7,2.37,46.78,46.1,590
21,40-2945,2945,40,0.0,0.0,56.45,39.78,186
21,40-4950,4950,40,0.0,4.81,57.22,33.69,187
21,40-6638,6638,40,0.0,1.45,28.84,66.39,482
21,40-6702,6702,40,0.0,6.54,39.54,42.81,612
21,40-7129,7129,40,0.7,4.22,37.62,50.75,1943
21,40-7131,7131,40,0.0,1.07,36.4,54.6,467
21,40-7340,7340,40,0.7,1.56,47.87,40.9,1406
21,40-7351,7351,40,0.0,0.94,51.18,34.49,635
21,40-9230,9230,40,0.0,1.23,31.35,65.16,488
21,50-774,774,50,0.4,2.6,53.68,37.66,231
21,50-775,775,50,1.0,1.97,57.25,36.12,407
21,60-7133,7133,60,5.0,5.0,60.0,25.0,20
21,60-8332,8332,60,0.0,3.41,60.0,28.78,205
21,60-8334,8334,60,1.1,0.28,68.73,26.48,355
21,70-1622,1622,70,0.0,2.86,11.43,82.86,35
21,70-3931,3931,70,17.4,1.19,19.17,74.7,506
21,70-4334,4334,70,0.0,1.47,28.68,61.03,136
21,70-4465,4465,70,0.0,2.2,14.29,81.32,91
21,70-5388,5388,70,1.4,1.73,7.61,87.54,289
