County Name,Org. Code,Organization Name,School Code,School Name / Category (include or exclude alternative schools),Grade,Total Pupil Count,Total Dropouts,Total Dropout Rate,Black Or Aftican American Pupil Count,Hispanic or Latino Pupil Count,White Pupil Count
ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,10,80,2,0.0250,0,72,6
ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,11,61,1,0.0160,1,50,9
ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,12,27,1,0.0370,0,27,0
ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,ALL,393,4,0.0100,6,345,33
ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL, 9,133,0,0.0000,3,97,29
ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,10,139,4,0.0290,3,115,15
ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,11,114,3,0.0260,0,86,23
ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,12,81,3,0.0370,1,67,11
ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,ALL,467,10,0.0210,7,365,78
ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL, 7,75,0,0.0000,2,55,17
ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL, 8,67,0,0.0000,1,54,10
ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,ALL,142,0,0.0000,3,109,27
ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL, 7,66,0,0.0000,2,49,13
ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL, 8,64,0,0.0000,1,42,14
ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,ALL,130,0,0.0000,3,91,27
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL, 7,76,1,0.0130,1,61,10
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL, 8,67,2,0.0300,0,56,8
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL, 9,95,3,0.0320,2,74,17
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,10,89,2,0.0220,0,70,12
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,11,58,1,0.0170,2,44,11
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,12,60,2,0.0330,1,40,18
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,ALL,445,11,0.0250,6,345,76
ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY, 7,79,1,0.0130,1,64,9
ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY, 8,64,0,0.0000,2,51,9
ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY,ALL,143,1,0.0070,3,115,18
ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL, 7,73,0,0.0000,4,56,8
ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL, 8,65,1,0.0150,0,46,14
ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,ALL,138,1,0.0070,4,102,22
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY, 7,362,5,0.0140,9,93,235
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY, 8,426,9,0.0210,15,90,283
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY, 9,530,23,0.0430,12,124,351
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,10,473,32,0.0680,10,104,315
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,11,353,24,0.0680,10,64,249
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,12,251,9,0.0360,8,40,177
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,ALL,2395,102,0.0430,64,515,1610
ADAMS,0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS, 9,1,0,0.0000,0,0,1
ADAMS,0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,12,122,18,0.1480,2,84,35
ADAMS,0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,ALL,123,18,0.1460,2,84,36
ADAMS,0010,MAPLETON 1,9036,VALLEY VIEW K-8, 7,70,0,0.0000,0,53,10
ADAMS,0010,MAPLETON 1,9036,VALLEY VIEW K-8, 8,68,0,0.0000,0,52,9
ADAMS,0010,MAPLETON 1,9036,VALLEY VIEW K-8,ALL,138,0,0.0000,0,105,19
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (EXCLUDING ALTERNATIVE SCHOOLS), 7,974,7,0.0070,22,565,335
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (INCLUDING ALTERNATIVE SCHOOLS), 7,974,7,0.0070,22,565,335
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (EXCLUDING ALTERNATIVE SCHOOLS), 8,1007,12,0.0120,24,530,385
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (INCLUDING ALTERNATIVE SCHOOLS), 8,1007,12,0.0120,24,530,385
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (EXCLUDING ALTERNATIVE SCHOOLS), 9,1075,33,0.0310,29,525,458
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (INCLUDING ALTERNATIVE SCHOOLS), 9,1075,33,0.0310,29,525,458
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),10,990,40,0.0400,18,505,402
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (INCLUDING ALTERNATIVE SCHOOLS),10,990,40,0.0400,18,505,402
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),11,734,31,0.0420,17,348,327
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (INCLUDING ALTERNATIVE SCHOOLS),11,734,31,0.0420,17,348,327
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),12,650,40,0.0620,13,326,271
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (INCLUDING ALTERNATIVE SCHOOLS),12,650,40,0.0620,13,326,271
ADAMS,0010,MAPLETON 1,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),ALL,0,0,0.0000,0,0,0
ADAMS,0010,MAPLETON 1,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),ALL,5430,163,0.0300,123,2799,2178
ADAMS,0010,MAPLETON 1,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),ALL,5430,163,0.0300,123,2799,2178
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0000,SUMMER SCHOOL DROPOUTS (NONE),ALL,0,0,0.0000,0,0,0
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS, 7,140,1,0.0070,1,41,82
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS, 8,140,2,0.0140,3,38,81
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS, 9,130,4,0.0310,3,35,81
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,10,133,3,0.0230,1,42,74
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,11,134,1,0.0070,1,40,82
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,12,115,2,0.0170,1,36,69
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,ALL,792,13,0.0160,10,232,469
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL, 7,482,0,0.0000,8,87,353
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL, 8,447,5,0.0110,2,80,333
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,ALL,929,5,0.0050,10,167,686
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT, 7,42,9,0.2140,0,25,16
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT, 8,66,8,0.1210,2,38,23
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT, 9,70,15,0.2140,4,36,27
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,10,126,13,0.1030,2,69,48
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,11,195,37,0.1900,4,101,83
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,12,162,28,0.1730,6,87,62
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,ALL,661,110,0.1660,18,356,259
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL, 7,424,5,0.0120,13,122,255
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL, 8,369,0,0.0000,9,92,242
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,ALL,793,5,0.0060,22,214,497
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL, 7,71,0,0.0000,1,8,44
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL, 8,78,0,0.0000,1,8,54
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,ALL,149,0,0.0000,2,16,98
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA), 7,179,26,0.1450,2,44,128
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA), 8,247,20,0.0810,11,62,165
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA), 9,235,23,0.0980,8,62,154
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),10,209,22,0.1050,16,48,142
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),11,153,11,0.0720,9,20,119
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),12,159,28,0.1760,6,12,131
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),ALL,1182,130,0.1100,52,248,839
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAGE ACADEMY, 7,53,1,0.0190,0,29,21
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAGE ACADEMY,ALL,53,1,0.0190,0,29,21
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL, 9,630,15,0.0240,20,162,396
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,10,566,9,0.0160,8,144,366
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,11,538,13,0.0240,10,134,342
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,12,540,8,0.0150,11,128,367
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,ALL,2274,45,0.0200,49,568,1471
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K-8 SCHOOL, 7,89,2,0.0220,1,6,67
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K-8 SCHOOL, 8,68,0,0.0000,2,4,50
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K-8 SCHOOL,ALL,157,2,0.0130,3,10,117
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS MIDDLE SCHOOL, 7,446,2,0.0040,11,198,198
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS MIDDLE SCHOOL, 8,420,1,0.0020,12,180,198
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS MIDDLE SCHOOL,ALL,866,3,0.0030,23,378,396
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL, 9,664,3,0.0050,15,126,455
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,10,652,3,0.0050,13,109,467
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,11,628,16,0.0250,13,118,427
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,12,542,4,0.0070,19,98,357
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,ALL,2486,26,0.0100,60,451,1706
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5814,THE INTERNATIONAL SCHOOL AT THORNTON MIDDLE, 7,379,1,0.0030,13,277,70
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5814,THE INTERNATIONAL SCHOOL AT THORNTON MIDDLE, 8,397,1,0.0030,17,300,72
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5814,THE INTERNATIONAL SCHOOL AT THORNTON MIDDLE,ALL,776,2,0.0030,30,577,142
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL, 9,603,1,0.0020,18,356,192
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL,10,574,6,0.0100,22,359,153
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL,11,574,56,0.0980,19,372,147
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL,12,425,18,0.0420,16,237,121
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL,ALL,2176,81,0.0370,75,1324,613
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL, 9,645,3,0.0050,16,184,393
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL,10,603,5,0.0080,13,198,350
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL,11,584,20,0.0340,14,182,349
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL,12,462,18,0.0390,7,101,314
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL,ALL,2294,46,0.0200,50,665,1406
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6342,SHADOW RIDGE MIDDLE SCHOOL, 7,389,1,0.0030,4,141,213
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6342,SHADOW RIDGE MIDDLE SCHOOL, 8,376,0,0.0000,8,136,210
