year,districtcode,schoolcode,mergecode,black,hispanic,white,totalenroll
18,10,0,10-0,0.0,61.9,28.57,21
18,10,1796,10-1796,3.14,20.8,66.64,1178
18,10,187,10-187,2.54,72.06,20.79,433
18,10,212,10-212,1.2,71.49,19.28,249
18,10,263,10-263,0.88,92.04,5.31,226
18,10,309,10-309,3.12,79.46,11.38,448
18,10,503,10-503,1.14,83.71,8.71,264
18,10,6315,10-6315,1.75,78.95,17.54,57
18,10,695,10-695,0.0,74.03,18.83,154
18,100,118,100-118,0.99,62.44,31.8,607
18,100,368,100-368,6.12,69.39,16.33,49
18,1000,203,1000-203,9.32,29.66,50.0,118
18,1000,3110,1000-3110,13.55,25.93,46.69,1874
18,1010,1616,1010-1616,5.7,17.72,65.19,158
18,1010,1870,1010-1870,4.54,24.62,62.59,1454
18,1010,1885,1010-1885,6.47,37.94,45.88,340
18,1010,2202,1010-2202,7.09,25.42,56.45,2101
18,1010,2400,1010-2400,7.11,29.44,52.28,197
18,1010,2528,1010-2528,8.12,38.07,43.65,197
18,1010,269,1010-269,6.15,24.1,60.51,195
18,1010,5146,1010-5146,13.67,38.67,37.0,300
18,1010,5948,1010-5948,11.6,45.25,33.87,1379
18,1010,6680,1010-6680,8.96,34.0,47.91,1697
18,1010,871,1010-871,3.05,22.9,61.83,131
18,1020,1590,1020-1590,2.61,12.74,74.84,1264
18,1020,9057,1020-9057,4.59,21.97,60.33,305
18,1030,5468,1030-5468,0.89,7.59,87.28,448
18,1040,110,1040-110,4.84,6.45,84.68,124
18,1040,1630,1040-1630,1.23,9.65,82.85,653
18,1040,209,1040-209,1.12,17.98,70.79,89
18,1040,2195,1040-2195,3.1,13.02,73.71,1160
18,1040,5126,1040-5126,4.91,14.3,70.85,1650
18,1040,6937,1040-6937,2.61,13.36,72.72,1609
18,1040,7240,1040-7240,4.6,17.99,64.03,1718
18,1040,76,1040-76,3.16,12.92,73.05,1362
18,1040,8779,1040-8779,2.11,8.42,81.58,380
18,1050,2642,1050-2642,2.43,33.33,58.68,288
18,1060,6626,1060-6626,0.0,21.74,78.26,23
18,1060,6902,1060-6902,0.4,8.06,86.29,248
18,1070,3758,1070-3758,0.0,36.84,60.53,76
18,1070,3941,1070-3941,0.0,50.0,50.0,2
18,1080,5100,1080-5100,1.03,10.34,81.02,1064
18,1080,6678,1080-6678,1.02,8.89,82.56,1181
18,110,7630,110-7630,1.2,26.51,68.67,83
18,1110,2877,1110-2877,2.65,12.25,78.81,302
18,1110,2908,1110-2908,4.31,18.56,69.26,1207
18,1110,3475,1110-3475,2.97,52.82,38.21,3811
18,1110,555,1110-555,8.7,18.84,55.07,69
18,1110,6653,1110-6653,1.41,16.9,69.01,71
18,1110,6810,1110-6810,3.85,23.08,63.46,104
18,1110,6821,1110-6821,3.33,13.33,74.17,120
18,1110,7463,1110-7463,0.0,15.62,75.0,64
18,1110,7613,1110-7613,12.28,27.39,45.06,1205
18,1110,8791,1110-8791,8.4,22.74,55.72,1583
18,1120,2523,1120-2523,2.11,7.37,88.42,95
18,1120,2526,1120-2526,0.0,7.69,90.38,52
18,1130,5854,1130-5854,2.17,29.35,66.3,92
18,1140,1266,1140-1266,0.19,12.79,82.58,1079
18,1150,3002,1150-3002,0.87,19.08,76.88,346
18,1160,3228,1160-3228,1.43,8.57,84.29,70
18,1180,1006,1180-1006,2.0,70.0,24.0,50
18,1180,3468,1180-3468,0.21,44.41,51.27,948
