year,mergecode,lowincome
17,230-9226,37.5
17,250-8160,73.8
17,250-8168,55.4
17,290-443,88.9
17,290-1812,88.8
17,290-4279,36.4
17,290-4986,86.4
17,290-4990,81.7
17,310-5666,43.3
17,310-5670,38.9
17,470-60,17.9
17,470-61,40.0
17,470-71,5.0
17,470-120,9.5
17,470-226,16.6
17,470-875,2.3
17,470-878,9.5
17,470-1148,51.6
17,470-1221,62.0
17,470-1245,32.4
17,470-1284,15.2
17,470-1434,34.7
17,470-1844,91.4
17,470-2343,35.3
17,470-2758,19.3
17,470-2760,10.5
17,470-2761,10.6
17,470-2912,20.2
17,470-2964,11.1
17,470-3192,56.2
17,470-3194,27.2
17,470-3196,28.8
17,470-4202,20.0
17,470-4278,94.7
17,470-4333,16.7
17,470-5181,7.3
17,470-5282,42.5
17,470-5284,35.7
17,470-5286,47.3
17,470-5288,77.1
17,470-5364,10.2
17,470-5368,17.3
17,470-5722,19.2
17,470-5726,14.4
17,470-5730,14.1
17,470-6010,86.7
17,470-6156,75.9
17,470-6274,7.2
17,470-6276,23.6
17,470-6404,86.4
17,470-6498,57.4
17,470-7157,17.3
17,470-7464,88.6
17,470-7584,55.7
17,470-7789,19.0
17,470-7839,28.7
17,470-7954,50.9
17,470-8903,53.5
17,470-8927,41.7
17,470-9430,27.6
17,480-125,75.0
17,480-441,14.3
17,480-652,3.7
17,480-872,33.4
17,480-919,15.5
17,480-924,23.5
17,480-934,24.8
17,480-1066,28.3
17,480-1070,15.5
17,480-1136,28.4
17,480-1352,42.6
17,480-1380,31.9
17,480-1390,22.6
17,480-1725,9.6
17,480-1842,58.8
17,480-1883,16.7
17,480-1996,27.2
17,480-2240,6.2
17,480-2552,16.7
17,480-2589,5.0
17,480-2702,56.1
17,480-2892,12.3
17,480-2940,13.3
17,480-2970,11.0
17,480-3022,11.1
17,480-3882,11.4
17,480-4496,87.5
17,480-4792,22.3
17,480-4874,19.4
17,480-4878,43.7
17,480-5302,14.8
17,480-5306,15.2
17,480-5606,38.8
17,480-5999,8.2
17,480-6000,14.4
17,480-6195,23.8
17,480-6208,27.2
17,480-6212,30.3
17,480-6224,8.0
17,480-6642,7.8
17,480-6816,7.5
17,480-6962,45.5
17,480-7528,32.9
17,480-7592,76.5
17,480-8135,6.1
17,480-8418,4.7
17,480-8978,58.4
17,480-9544,40.6
17,490-1130,23.8
17,490-1132,37.6
17,490-1508,44.7
17,490-4306,35.0
17,500-4680,40.2
17,500-5268,38.2
17,500-7568,29.1
17,510-4738,56.3
17,510-4742,50.0
17,520-1608,48.9
17,520-1612,38.2
17,540-1660,26.7
17,540-3385,20.4
17,540-4212,47.7
17,540-4216,19.3
17,540-4700,15.2
17,550-1276,61.6
17,550-1378,50.7
17,550-4836,55.5
17,550-5422,68.8
17,560-7612,65.0
17,560-7616,50.9
17,580-248,70.7
17,580-250,83.9
17,580-252,93.1
17,640-1398,77.9
17,740-7880,89.7
17,770-2050,70.8
17,770-2054,80.0
17,770-2058,70.8
17,860-2088,56.9
17,860-2091,44.7
17,860-2092,44.1
17,870-1372,42.5
17,870-1375,50.0
17,870-1952,43.8
17,870-2155,51.9
17,870-2160,63.3
17,870-2164,44.3
17,870-2166,55.0
17,870-3330,65.4
17,870-4124,62.6
17,870-4128,48.4
17,870-4182,58.9
17,870-5154,69.1
17,870-6295,50.0
17,870-6700,64.7
17,870-6708,47.8
17,880-10,92.1
17,880-67,83.9
17,880-99,85.2
17,880-220,95.5
17,880-388,32.5
17,880-408,55.6
17,880-418,84.6
17,880-520,95.6
17,880-650,87.0
17,880-964,41.6
17,880-1056,5.3
17,880-1076,40.2
17,880-1077,73.6
17,880-1106,86.2
17,880-1295,78.2
17,880-1319,84.3
17,880-1324,13.4
17,880-1345,78.8
17,880-1400,57.7
17,880-1489,81.4
17,880-1528,97.3
17,880-1748,65.4
17,880-1774,95.1
17,880-1785,91.7
17,880-1788,93.6
17,880-1816,89.6
17,880-1846,93.0
17,880-1866,93.5
17,880-1908,12.7
17,880-1928,95.7
17,880-1939,95.8
17,880-2115,63.1
17,880-2116,91.4
17,880-2125,64.9
17,880-2127,18.9
17,880-2129,68.9
17,880-2145,71.0
17,880-2167,49.7
17,880-2174,62.1
17,880-2175,79.4
17,880-2181,76.8
17,880-2183,59.7
17,880-2184,10.1
17,880-2185,51.8
17,880-2186,38.8
17,880-2188,84.1
17,880-2205,90.6
17,880-2207,22.6
17,880-2209,91.0
17,880-2218,61.4
17,880-2223,88.3
17,880-2227,32.9
17,880-2228,37.6
17,880-2241,46.2
17,880-2244,84.2
17,880-2258,89.6
17,880-2349,85.8
17,880-2364,95.3
17,880-2398,32.2
17,880-2506,29.8
17,880-2641,87.7
17,880-2652,88.0
17,880-2726,54.9
17,880-2755,86.3
17,880-2757,81.9
17,880-3000,84.7
17,880-3032,91.2
17,880-3296,92.7
17,880-3340,86.6
17,880-3378,55.9
17,880-3426,81.8
17,880-3478,90.0
17,880-3512,96.9
17,880-3540,54.3
17,880-3600,83.4
17,880-3605,61.2
17,880-3639,48.6
17,880-3641,76.7
17,880-3647,92.0
17,880-3655,92.8
17,880-3698,9.5
17,880-3704,88.9
17,880-3746,64.6
17,880-3778,95.2
17,880-3987,31.2
17,880-3990,56.1
17,880-3991,16.1
17,880-4049,54.4
17,880-4074,84.0
17,880-4140,94.2
17,880-4213,25.9
17,880-4381,90.9
17,880-4383,67.6
17,880-4444,75.2
17,880-4450,92.8
17,880-4494,87.2
17,880-4498,77.6
17,880-4500,80.0
17,880-4507,92.1
17,880-4509,86.2
17,880-4513,94.5
17,880-4656,91.3
17,880-4730,93.0
17,880-4732,93.8
17,880-4762,92.8
17,880-4782,87.1
17,880-4795,83.2
17,880-5044,88.9
17,880-5158,23.8
17,880-5255,94.1
17,880-5342,45.5
17,880-5448,88.9
17,880-5578,84.8
17,880-5605,80.6
17,880-5608,97.5
17,880-5621,75.7
17,880-5644,91.9
17,880-5685,93.9
17,880-5702,50.0
17,880-5716,77.4
17,880-5826,49.8
17,880-5844,87.0
17,880-5897,18.0
17,880-5973,57.9
17,880-6002,75.8
17,880-6088,76.2
17,880-6098,53.3
17,880-6188,96.3
17,880-6239,89.4
17,880-6254,91.5
17,880-6308,88.2
17,880-6314,81.1
17,880-6350,95.3
17,880-6368,54.7
17,880-6397,38.2
17,880-6479,28.6
17,880-6508,62.7
17,880-6509,30.9
17,880-6676,49.8
17,880-6754,20.9
17,880-6957,89.4
17,880-6970,83.2
17,880-7045,94.7
17,880-7163,75.3
17,880-7188,75.9
17,880-7241,80.8
17,880-7243,36.1
17,880-7246,67.9
17,880-7361,79.0
17,880-7471,93.6
17,880-7496,71.8
17,880-7554,73.5
17,880-7578,74.5
17,880-7694,93.8
17,880-7698,94.5
17,880-7926,95.6
17,880-7942,59.6
17,880-7972,6.8
17,880-7973,86.6
17,880-8006,95.7
17,880-8053,69.6
17,880-8054,82.9
17,880-8085,85.8
17,880-8086,63.1
17,880-8131,89.0
17,880-8132,77.1
17,880-8138,28.2
17,880-8145,83.7
17,880-8222,13.4
17,880-8232,85.1
17,880-8242,6.4
17,880-8347,82.0
17,880-8401,85.7
17,880-8422,96.7
17,880-8453,5.3
17,880-8776,31.4
17,880-8822,50.6
17,880-8888,75.2
17,880-8909,94.0
17,880-8945,81.6
17,880-8970,25.9
17,880-8995,70.9
17,880-9050,96.8
17,880-9336,92.1
17,880-9348,77.8
17,880-9389,92.6
17,880-9390,94.5
17,880-9425,14.4
17,880-9496,95.4
17,880-9548,91.9
17,880-9623,18.2
