County Name,Org. Code,Organization Name,School Code,School Name / Category (include or exclude alternative schools),Total Pupil Count,Total Dropouts,Total Dropout Rate,Black Or Aftican American Pupil Count,Hispanic or Latino Pupil Count,White Pupil Count
,,,,,,,,,,
ADAMS,0010,MAPLETON 1,0000,SUMMER SCHOOL DROPOUTS,3,3,1.0000,0,2,1
ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,792,26,0.0330,15,559,182
ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,280,6,0.0210,5,196,63
ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,271,2,0.0070,3,240,24
ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,525,12,0.0230,19,405,68
ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,119,0,0.0000,1,101,14
ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,121,0,0.0000,3,92,20
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,425,1,0.0020,3,338,62
ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY,141,0,0.0000,1,115,20
ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,126,0,0.0000,0,92,24
ADAMS,0010,MAPLETON 1,0695,BIG PICTURE COLLEGE AND CAREER ACADEMY,106,0,0.0000,0,76,21
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,2587,107,0.0410,88,557,1708
ADAMS,0010,MAPLETON 1,3590,GLOBAL INTERMEDIATE ACADEMY,121,1,0.0080,1,110,10
ADAMS,0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,102,23,0.2250,0,80,19
ADAMS,0010,MAPLETON 1,9036,VALLEY VIEW K-8,138,0,0.0000,1,116,15
ADAMS,0010,MAPLETON 1,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),0,0,0.0000,0,0,0
ADAMS,0010,MAPLETON 1,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),5691,181,0.0320,138,2957,2217
ADAMS,0010,MAPLETON 1,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),5691,181,0.0320,138,2957,2217
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0000,SUMMER SCHOOL DROPOUTS (NONE),0,0,0.0000,0,0,0
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,986,2,0.0020,12,187,703
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,744,58,0.0780,16,423,278
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,797,0,0.0000,27,237,475
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,432,0,0.0000,4,51,269
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAGE ACADEMY - NORTHGLENN,151,2,0.0130,5,83,52
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,2224,16,0.0070,37,602,1396
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K-8 SCHOOL,174,0,0.0000,2,23,116
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS MIDDLE SCHOOL,866,1,0.0010,25,407,357
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,2550,23,0.0090,33,504,1766
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5814,THE INTERNATIONAL SCHOOL AT THORNTON MIDDLE,792,1,0.0010,35,622,100
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL,2123,80,0.0380,83,1385,506
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL,2315,28,0.0120,59,788,1306
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6342,SHADOW RIDGE MIDDLE SCHOOL,745,0,0.0000,16,295,377
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6398,NORTHGLENN MIDDLE SCHOOL,674,0,0.0000,23,417,195
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,2463,53,0.0220,68,1567,688
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6802,PROSPECT RIDGE ACADEMY,626,0,0.0000,3,62,496
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6845,P-TECH EARLY COLLEGE AT NORTHGLENN HIGH SCHOOL,32,0,0.0000,0,18,11
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6956,PATHWAYS FUTURE CENTER,640,113,0.1770,18,308,285
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8275,STEM LAB,120,0,0.0000,2,26,85
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8310,STEM LAUNCH,367,0,0.0000,4,281,69
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,207,0,0.0000,0,36,157
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9444,WESTLAKE MIDDLE SCHOOL,860,0,0.0000,6,215,562
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),1260,171,0.1360,31,671,507
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),18515,206,0.0110,415,7303,9305
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),19775,377,0.0190,446,7974,9812
ADAMS,0030,ADAMS COUNTY 14,0000,SUMMER SCHOOL DROPOUTS (NONE),0,0,0.0000,0,0,0
ADAMS,0030,ADAMS COUNTY 14,0020,ADAMS CITY MIDDLE SCHOOL,636,13,0.0200,17,509,85
ADAMS,0030,ADAMS COUNTY 14,0022,LESTER R ARNOLD HIGH SCHOOL,372,129,0.3470,12,320,33
ADAMS,0030,ADAMS COUNTY 14,0024,ADAMS CITY HIGH SCHOOL,2167,131,0.0600,58,1821,245
ADAMS,0030,ADAMS COUNTY 14,4516,KEARNEY MIDDLE SCHOOL,659,21,0.0320,23,556,74
ADAMS,0030,ADAMS COUNTY 14,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),365,129,0.3530,11,314,33
ADAMS,0030,ADAMS COUNTY 14,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),3334,165,0.0490,95,2777,390
ADAMS,0030,ADAMS COUNTY 14,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),3699,294,0.0790,106,3091,423
ADAMS,0040,SCHOOL DISTRICT 27J,0000,SUMMER SCHOOL DROPOUTS (NONE),0,0,0.0000,0,0,0
ADAMS,0040,SCHOOL DISTRICT 27J,0700,BELLE CREEK CHARTER SCHOOL,162,0,0.0000,6,82,64
ADAMS,0040,SCHOOL DISTRICT 27J,1021,BRIGHTON HERITAGE ACADEMY,378,75,0.1980,6,217,142
ADAMS,0040,SCHOOL DISTRICT 27J,1022,BRIGHTON HIGH SCHOOL,2167,51,0.0240,21,1124,922
ADAMS,0040,SCHOOL DISTRICT 27J,1052,BROMLEY EAST CHARTER SCHOOL,281,0,0.0000,0,102,170
ADAMS,0040,SCHOOL DISTRICT 27J,1560,BOLT ACADEMY,106,7,0.0660,3,44,57
ADAMS,0040,SCHOOL DISTRICT 27J,2399,EAGLE RIDGE ACADEMY,564,2,0.0040,10,215,311
ADAMS,0040,SCHOOL DISTRICT 27J,2945,FOUNDATIONS ACADEMY,181,1,0.0060,2,46,127
ADAMS,0040,SCHOOL DISTRICT 27J,4950,LANDMARK ACADEMY AT REUNION,179,6,0.0340,8,54,105
ADAMS,0040,SCHOOL DISTRICT 27J,6638,OVERLAND TRAIL MIDDLE SCHOOL,503,1,0.0020,7,276,198
ADAMS,0040,SCHOOL DISTRICT 27J,6702,OTHO E STUART MIDDLE SCHOOL,598,0,0.0000,23,248,270
ADAMS,0040,SCHOOL DISTRICT 27J,7129,PRAIRIE VIEW HIGH SCHOOL,2440,42,0.0170,78,1068,1098
ADAMS,0040,SCHOOL DISTRICT 27J,7131,PRAIRIE VIEW MIDDLE SCHOOL,614,0,0.0000,10,255,288
ADAMS,0040,SCHOOL DISTRICT 27J,9230,VIKAN MIDDLE SCHOOL,471,0,0.0000,5,306,150
ADAMS,0040,SCHOOL DISTRICT 27J,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),362,75,0.2070,6,205,138
ADAMS,0040,SCHOOL DISTRICT 27J,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),7701,110,0.0140,163,3552,3497
ADAMS,0040,SCHOOL DISTRICT 27J,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),8063,185,0.0230,169,3757,3635
ADAMS,0050,BENNETT 29J,0000,SUMMER SCHOOL DROPOUTS (NONE),0,0,0.0000,0,0,0
ADAMS,0050,BENNETT 29J,0774,BENNETT MIDDLE SCHOOL,186,0,0.0000,2,39,136
ADAMS,0050,BENNETT 29J,0775,BENNETT HIGH SCHOOL,384,4,0.0100,3,82,288
ADAMS,0050,BENNETT 29J,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),0,0,0.0000,0,0,0
ADAMS,0050,BENNETT 29J,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),570,4,0.0070,5,121,424
ADAMS,0050,BENNETT 29J,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),570,4,0.0070,5,121,424
ADAMS,0060,STRASBURG 31J,0000,SUMMER SCHOOL DROPOUTS (NONE),0,0,0.0000,0,0,0
ADAMS,0060,STRASBURG 31J,7133,PRAIRIE CREEKS CHARTER SCHOOL,15,2,0.1330,0,2,13
ADAMS,0060,STRASBURG 31J,8332,HEMPHILL MIDDLE SCHOOL,149,0,0.0000,1,28,118
ADAMS,0060,STRASBURG 31J,8334,STRASBURG HIGH SCHOOL,352,5,0.0140,3,47,293
ADAMS,0060,STRASBURG 31J,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),14,2,0.1430,0,2,12
ADAMS,0060,STRASBURG 31J,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),498,5,0.0100,4,74,409
ADAMS,0060,STRASBURG 31J,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),512,7,0.0140,4,76,421
ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,0000,SUMMER SCHOOL DROPOUTS (NONE),0,0,0.0000,0,0,0
ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,3931,HIDDEN LAKE HIGH SCHOOL,565,96,0.1700,5,459,83
ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,4334,COLORADO STEM ACADEMY,118,0,0.0000,2,51,56
ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,5388,M. SCOTT CARPENTER MIDDLE SCHOOL,456,1,0.0020,13,377,38
ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,7305,IVER C. RANUM MIDDLE SCHOOL,612,2,0.0030,10,507,59
ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,7812,SHAW HEIGHTS MIDDLE SCHOOL,548,0,0.0000,14,360,118
ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,9466,WESTMINSTER HIGH SCHOOL,3090,62,0.0200,36,2354,491
ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),558,96,0.1720,5,453,82
ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),4592,65,0.0140,71,3453,739
ADAMS,0070,WESTMINSTER PUBLIC SCHOOLS,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),5150,161,0.0310,76,3906,821
ALAMOSA,0100,ALAMOSA RE-11J,0000,SUMMER SCHOOL DROPOUTS (NONE),0,0,0.0000,0,0,0
ALAMOSA,0100,ALAMOSA RE-11J,0114,ORTEGA MIDDLE SCHOOL,385,1,0.0030,4,236,123
ALAMOSA,0100,ALAMOSA RE-11J,0118,ALAMOSA HIGH SCHOOL,662,3,0.0050,10,401,222
ALAMOSA,0100,ALAMOSA RE-11J,0368,ALAMOSA OMBUDSMAN SCHOOL OF EXCELLENCE,103,14,0.1360,3,69,25
ALAMOSA,0100,ALAMOSA RE-11J,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),98,14,0.1430,3,65,24
