year,districtcode,schoolcode,mergecode,black,hispanic,white,totalenroll
16,10,0,10-0,0.0,100.0,0.0,7
16,10,1796,10-1796,2.29,20.93,67.46,1137
16,10,187,10-187,3.0,68.0,25.25,400
16,10,212,10-212,1.83,70.33,22.71,273
16,10,263,10-263,1.42,86.73,9.95,211
16,10,309,10-309,1.73,78.96,14.6,404
16,10,503,10-503,2.06,77.37,17.28,243
16,10,6315,10-6315,1.39,75.0,16.67,72
16,100,118,100-118,0.87,61.11,34.2,576
16,100,368,100-368,9.09,75.76,15.15,33
16,1000,203,1000-203,8.18,26.36,49.09,110
16,1000,3110,1000-3110,12.88,26.66,47.42,1864
16,1010,1616,1010-1616,4.86,15.14,71.35,185
16,1010,1870,1010-1870,4.62,25.14,61.81,1579
16,1010,1885,1010-1885,8.33,33.71,48.11,264
16,1010,2202,1010-2202,7.31,22.92,58.83,2094
16,1010,2400,1010-2400,8.0,30.67,52.0,150
16,1010,2528,1010-2528,8.42,37.62,47.52,202
16,1010,269,1010-269,6.28,30.37,56.02,191
16,1010,5146,1010-5146,16.78,43.01,31.47,286
16,1010,5948,1010-5948,14.4,38.33,38.41,1333
16,1010,6680,1010-6680,7.9,31.1,49.13,1836
16,1010,871,1010-871,4.2,19.33,61.34,119
16,1020,1590,1020-1590,2.47,12.59,76.73,1255
16,1020,9057,1020-9057,5.32,19.15,60.28,282
16,1030,5468,1030-5468,0.96,8.64,84.26,521
16,1040,110,1040-110,3.92,19.61,72.55,51
16,1040,1630,1040-1630,1.7,7.87,85.65,648
16,1040,209,1040-209,0.0,17.48,74.76,103
16,1040,2195,1040-2195,2.47,11.43,76.37,1172
16,1040,5126,1040-5126,4.47,13.6,72.23,1588
16,1040,6937,1040-6937,2.86,11.5,75.47,1504
16,1040,7240,1040-7240,4.19,16.22,66.65,1646
16,1040,76,1040-76,3.21,13.36,74.53,1370
16,1040,8779,1040-8779,1.28,7.18,83.85,390
16,1050,2642,1050-2642,4.76,28.57,64.07,231
16,1060,1346,1060-1346,10.0,25.0,60.0,60
16,1060,6902,1060-6902,0.46,7.8,86.7,218
16,1070,3758,1070-3758,1.37,26.03,71.23,73
16,1080,5100,1080-5100,1.09,8.55,81.41,1006
16,1080,6678,1080-6678,0.61,10.21,83.04,1156
16,110,7630,110-7630,2.27,25.0,68.18,88
16,1110,2877,1110-2877,4.39,8.45,79.05,296
16,1110,2908,1110-2908,4.68,16.48,70.19,1238
16,1110,3475,1110-3475,3.66,50.17,41.28,4070
16,1110,6810,1110-6810,6.59,22.16,62.87,167
16,1110,7613,1110-7613,12.09,24.41,50.08,1274
16,1110,8791,1110-8791,7.55,21.16,59.8,1470
16,1120,2504,1120-2504,0.0,100.0,0.0,1
16,1120,2523,1120-2523,0.0,4.35,82.61,92
16,1120,2526,1120-2526,0.0,4.35,95.65,46
16,1130,5854,1130-5854,1.06,17.02,76.6,94
16,1140,1266,1140-1266,0.38,10.34,84.82,1054
16,1140,419,1140-419,0.0,9.52,88.1,42
16,1150,3002,1150-3002,0.79,16.58,79.47,380
16,1160,3228,1160-3228,0.0,5.66,90.57,53
16,1180,1006,1180-1006,1.2,48.19,48.19,83
16,1180,3468,1180-3468,0.22,42.75,53.46,896
16,1180,570,1180-570,0.0,64.52,31.76,403
16,1180,7422,1180-7422,0.0,57.42,39.84,364
16,1195,65,1195-65,0.19,40.42,57.12,527
16,1195,7360,1195-7360,0.14,44.96,52.45,734
16,120,206,120-206,1.72,42.61,50.86,291
16,120,2746,120-2746,4.33,39.93,49.42,601
16,1220,3586,1220-3586,1.33,30.67,59.33,300
16,123,7842,123-7842,5.01,78.55,13.93,359
16,123,8123,123-8123,5.15,82.47,10.31,97
16,130,1551,130-1551,11.87,15.35,57.66,2815
16,130,1570,130-1570,2.69,11.15,68.45,3499
16,130,2357,130-2357,14.82,20.32,51.96,2598
16,130,2653,130-2653,17.14,26.07,50.36,280
16,130,3589,130-3589,9.5,16.7,57.78,2622
16,130,6367,130-6367,3.06,6.12,75.51,98
16,130,6625,130-6625,30.88,33.29,23.96,2241
16,130,8020,130-8020,17.27,21.28,46.97,2044
16,1330,1634,1330-1634,0.0,15.69,75.49,102
16,1340,9420,1340-9420,0.0,28.03,70.45,132
16,1350,5864,1350-5864,0.54,9.38,86.33,373
16,1360,2006,1360-2006,0.0,2.84,93.75,176
16,1360,3694,1360-3694,1.47,20.59,76.76,340
16,1380,4899,1380-4899,0.0,2.5,90.0,40
16,1390,9212,1390-9212,1.39,63.19,31.94,144
16,140,298,140-298,1.02,9.26,82.37,2258
16,140,3930,140-3930,0.81,14.4,76.98,1729
16,140,5224,140-5224,1.9,28.71,61.46,1313
16,1400,4864,1400-4864,0.0,26.67,71.67,60
16,1410,6358,1410-6358,0.0,14.55,85.45,55
16,1420,0,1420-0,0.0,10.0,80.0,10
16,1420,108,1420-108,1.09,76.31,14.09,823
16,1420,1451,1420-1451,2.35,31.76,62.35,85
16,1420,1522,1420-1522,0.72,13.64,79.96,1811
16,1420,1864,1420-1864,0.96,17.79,72.66,1664
16,1420,1880,1420-1880,0.77,13.08,78.46,130
16,1420,1886,1420-1886,0.26,6.91,89.12,781
16,1420,2093,1420-2093,0.66,17.36,74.62,1509
16,1420,2120,1420-2120,0.95,11.29,76.79,629
16,1420,2836,1420-2836,0.09,5.39,89.51,1058
16,1420,33,1420-33,0.27,22.93,70.93,375
16,1420,3393,1420-3393,0.0,20.93,72.09,43
16,1420,34,1420-34,3.6,32.43,57.66,111
16,1420,3502,1420-3502,0.88,13.76,79.52,1250
16,1420,3628,1420-3628,1.51,14.48,77.09,1126
16,1420,370,1420-370,2.35,43.76,46.1,937
16,1420,378,1420-378,0.86,19.47,72.93,1751
16,1420,4404,1420-4404,0.47,16.11,77.73,211
16,1420,4408,1420-4408,0.74,21.19,72.49,269
16,1420,4410,1420-4410,0.72,12.56,74.64,414
16,1420,4422,1420-4422,2.17,84.57,10.0,460
16,1420,4798,1420-4798,0.0,43.75,56.25,16
16,1420,4942,1420-4942,2.0,29.63,58.22,2099
16,1420,5415,1420-5415,5.26,52.63,36.84,19
16,1420,5623,1420-5623,0.0,27.59,68.97,58
16,1420,5892,1420-5892,6.25,21.88,68.75,32
16,1420,6237,1420-6237,1.03,91.03,5.86,290
16,1420,6541,1420-6541,1.78,14.22,79.11,225
16,1420,664,1420-664,1.41,34.88,52.33,1634
16,1420,7114,1420-7114,1.47,32.62,59.57,1499
16,1420,7239,1420-7239,0.49,11.43,82.17,1828
16,1420,7701,1420-7701,0.0,14.85,78.22,101
