year,mergecode,lowincome
19,10-187,66.3
19,10-212,63.0
19,10-263,76.5
19,10-309,64.1
19,10-501,75.7
19,10-502,68.3
19,10-503,65.0
19,10-504,66.5
19,10-505,73.8
19,10-506,66.1
19,10-507,77.9
19,10-509,71.5
19,10-695,72.7
19,10-1796,24.4
19,10-3590,80.4
19,10-3623,86.1
19,10-6315,51.9
19,10-9036,73.5
19,20-14,32.4
19,20-57,11.3
19,20-59,6.5
19,20-210,51.9
19,20-301,42.9
19,20-1388,69.9
19,20-1480,34.8
19,20-1519,3.1
19,20-1878,82.5
19,20-1914,25.0
19,20-2361,19.9
19,20-2410,22.9
19,20-2576,50.9
19,20-2578,41.0
19,20-2580,26.7
19,20-2582,72.0
19,20-2584,52.6
19,20-2918,83.6
19,20-4000,80.2
19,20-4108,16.9
19,20-4172,8.9
19,20-4187,53.9
19,20-4699,65.7
19,20-5043,17.2
19,20-5058,63.8
19,20-5418,71.0
19,20-5706,77.3
19,20-5814,76.7
19,20-5816,38.4
19,20-6060,31.3
19,20-6150,23.1
19,20-6342,41.6
19,20-6355,73.4
19,20-6376,87.9
19,20-6398,79.5
19,20-6402,54.9
19,20-6802,1.3
19,20-6956,38.7
19,20-7155,9.8
19,20-7795,9.6
19,20-8211,34.5
19,20-8225,45.6
19,20-8275,17.9
19,20-8310,69.6
19,20-8361,78.9
19,20-8842,88.5
19,20-9431,14.9
19,20-9444,22.9
19,20-9494,56.7
19,20-9682,52.9
19,30-20,86.4
19,30-22,84.2
19,30-24,81.9
19,30-186,88.7
19,30-1426,90.4
19,30-2308,86.7
19,30-4516,85.9
19,30-4536,84.7
19,30-5982,89.4
19,30-6534,81.3
19,30-7500,86.7
19,40-700,40.9
19,40-1013,15.3
19,40-1021,43.1
19,40-1022,33.7
19,40-1052,23.0
19,40-1560,23.0
19,40-2399,23.3
19,40-2945,17.5
19,40-3900,45.0
19,40-4950,13.8
19,40-5615,41.3
19,40-6294,75.2
19,40-6395,60.5
19,40-6638,57.0
19,40-6702,38.2
19,40-7129,30.5
19,40-7131,43.3
19,40-7318,17.5
19,40-7340,30.9
19,40-7351,24.9
19,40-7714,40.4
19,40-8032,40.7
19,40-8060,71.9
19,40-8130,50.0
19,40-8820,24.4
19,40-9230,61.7
19,40-9426,22.2
19,50-770,34.3
19,50-774,36.4
19,50-775,19.4
19,60-8328,31.0
19,60-8332,29.2
19,60-8334,20.1
19,70-1622,82.0
19,70-2876,84.4
19,70-3144,92.6
19,70-3792,82.3
19,70-3931,68.0
19,70-4334,51.6
19,70-4465,86.3
19,70-5388,90.5
19,70-5834,79.5
19,70-7305,87.8
19,70-7810,73.3
19,70-7812,83.7
19,70-7860,80.4
19,70-7952,86.0
19,70-8406,81.8
19,70-8798,80.8
19,70-9236,83.0
19,70-9466,78.1
19,100-114,68.3
19,100-115,73.3
19,100-118,61.4
19,110-7626,55.6
19,110-7630,56.4
19,120-206,43.9
19,120-1514,53.5
19,120-1556,62.8
19,120-1652,74.0
19,120-2746,66.9
19,120-2750,42.3
19,120-2752,72.9
19,120-9620,80.3
19,123-3054,93.3
19,123-7837,93.2
19,123-7842,91.4
19,130-16,16.9
19,130-18,26.1
19,130-102,6.4
19,130-141,23.6
19,130-242,22.9
19,130-243,11.1
19,130-348,46.1
19,130-442,24.0
19,130-714,16.7
19,130-1155,15.4
19,130-1273,27.2
19,130-1510,11.4
19,130-1551,13.4
19,130-1566,14.1
19,130-1568,14.1
19,130-1570,13.0
19,130-1571,4.8
19,130-1572,19.7
19,130-1574,3.9
19,130-1614,53.5
19,130-1916,4.4
19,130-1970,15.1
19,130-2094,21.4
19,130-2292,15.1
19,130-2357,30.3
19,130-2428,74.2
19,130-2653,49.8
19,130-2897,24.7
19,130-3030,9.0
19,130-3589,22.3
19,130-3648,6.5
19,130-3926,12.2
19,130-3988,84.2
19,130-4062,73.5
19,130-4078,9.5
19,130-4100,53.4
19,130-4189,14.0
19,130-4276,59.3
19,130-4280,12.0
19,130-4448,6.9
19,130-4975,44.8
19,130-5744,56.3
19,130-5934,48.7
19,130-6225,17.5
19,130-6625,66.8
19,130-6820,23.1
19,130-6955,6.3
19,130-7102,54.0
19,130-7116,74.0
19,130-7158,74.5
19,130-7277,41.1
19,130-7476,13.7
19,130-7514,16.7
19,130-7559,50.9
19,130-8020,40.4
19,130-8380,49.5
19,130-8394,54.1
19,130-8848,29.0
19,130-8850,25.6
19,130-8887,23.2
19,130-9108,73.7
19,130-9200,15.8
19,130-9624,5.9
19,140-298,7.2
19,140-752,6.8
19,140-1382,42.4
19,140-2382,65.6
19,140-2804,22.8
19,140-2926,73.1
19,140-3472,37.2
19,140-3930,10.5
19,140-3950,14.9
19,140-4316,13.3
19,140-4447,8.9
19,140-5224,25.0
19,140-5229,3.2
19,140-5233,14.6
19,140-5572,18.0
19,140-5574,17.0
19,140-6814,11.5
19,140-7518,6.8
19,140-7606,6.6
19,140-8064,27.1
19,140-9600,4.7
19,170-2136,40.0
19,170-2140,51.7
19,180-126,60.0
19,180-213,72.8
19,180-214,91.5
19,180-310,73.7
19,180-458,58.1
19,180-464,78.3
19,180-465,32.0
19,180-914,94.5
19,180-1458,66.7
19,180-1470,76.4
19,180-1720,68.7
19,180-1800,52.8
19,180-1948,94.5
19,180-2095,54.6
19,180-2114,59.5
19,180-2384,90.3
19,180-2618,94.7
19,180-2673,65.1
19,180-2998,89.7
19,180-3272,90.9
19,180-3354,57.3
19,180-3471,49.6
19,180-4024,72.4
19,180-4270,71.4
19,180-4426,75.2
19,180-4646,91.7
19,180-4970,84.7
19,180-4973,90.6
19,180-5298,80.9
19,180-5361,92.9
19,180-6068,89.9
19,180-6160,65.9
19,180-6189,35.5
19,180-6310,87.2
19,180-6728,95.8
19,180-6758,84.5
19,180-6869,96.0
19,180-7232,26.8
