COUNTY CODE,COUNTY NAME,DISTRICT CODE,"DISTRICT NAME	",SCHOOL CODE,SCHOOL NAME,K-12 COUNT,FREE LUNCH,REDUCED LUNCH,NOT ELIGIBLE,FREE AND REDUCED,% FREE,% REDUCED,% FREE AND REDUCED
07,BOULDER,0480,BOULDER VALLEY RE 2,2552,EISENHOWER ELEMENTARY SCHOOL,399,57,8,333,65,14.3%,2.0%,0.1629
07,BOULDER,0480,BOULDER VALLEY RE 2,2589,ELDORADO K-8 SCHOOL,957,34,26,897,60,3.6%,2.7%,0.0627
07,BOULDER,0480,BOULDER VALLEY RE 2,2702,EMERALD ELEMENTARY SCHOOL,333,156,41,136,197,46.8%,12.3%,0.5916
07,BOULDER,0480,BOULDER VALLEY RE 2,2892,FAIRVIEW HIGH SCHOOL,2192,216,50,"1,917",266,9.9%,2.3%,0.1214
07,BOULDER,0480,BOULDER VALLEY RE 2,2940,FIRESIDE ELEMENTARY SCHOOL,426,56,13,357,69,13.1%,3.1%,0.1620
07,BOULDER,0480,BOULDER VALLEY RE 2,2970,FLATIRONS ELEMENTARY SCHOOL,274,20,1,253,21,7.3%,0.4%,0.0766
07,BOULDER,0480,BOULDER VALLEY RE 2,3022,FOOTHILL ELEMENTARY SCHOOL,547,52,15,480,67,9.5%,2.7%,0.1225
07,BOULDER,0480,BOULDER VALLEY RE 2,3488,GOLD HILL ELEMENTARY SCHOOL,26,3,0,23,3,11.5%,0.0%,0.1154
07,BOULDER,0480,BOULDER VALLEY RE 2,3499,HALCYON SCHOOL (SPECIAL EDUCATION),19,8,1,9,9,42.1%,5.3%,0.4737
07,BOULDER,0480,BOULDER VALLEY RE 2,3882,HEATHERWOOD ELEMENTARY SCHOOL,370,44,10,316,54,11.9%,2.7%,0.1459
07,BOULDER,0480,BOULDER VALLEY RE 2,3940,HIGH PEAKS ELEMENTARY SCHOOL,297,18,6,273,24,6.1%,2.0%,0.0808
07,BOULDER,0480,BOULDER VALLEY RE 2,4386,JAMESTOWN ELEMENTARY SCHOOL,18,0,1,17,1,0.0%,5.6%,0.0556
07,BOULDER,0480,BOULDER VALLEY RE 2,4496,JUSTICE HIGH CHARTER SCHOOL,82,70,6,4,76,85.4%,7.3%,0.9268
07,BOULDER,0480,BOULDER VALLEY RE 2,4792,KOHL ELEMENTARY SCHOOL,460,65,41,354,106,14.1%,8.9%,0.2304
07,BOULDER,0480,BOULDER VALLEY RE 2,4874,LAFAYETTE ELEMENTARY SCHOOL,575,107,19,448,126,18.6%,3.3%,0.2191
07,BOULDER,0480,BOULDER VALLEY RE 2,4878,ANGEVINE MIDDLE SCHOOL,726,284,60,381,344,39.1%,8.3%,0.4738
07,BOULDER,0480,BOULDER VALLEY RE 2,5302,LOUISVILLE ELEMENTARY SCHOOL,582,82,6,494,88,14.1%,1.0%,0.1512
07,BOULDER,0480,BOULDER VALLEY RE 2,5306,LOUISVILLE MIDDLE SCHOOL,621,79,13,529,92,12.7%,2.1%,0.1481
07,BOULDER,0480,BOULDER VALLEY RE 2,5606,CREEKSIDE ELEMENTARY SCHOOL AT MARTIN PARK,289,95,14,180,109,32.9%,4.8%,0.3772
07,BOULDER,0480,BOULDER VALLEY RE 2,5617,MAPLETON EARLY CHILDHOOD CENTER,0,0,0,0,0,0.0%,0.0%,0.0000
07,BOULDER,0480,BOULDER VALLEY RE 2,5838,MESA ELEMENTARY SCHOOL,320,17,10,293,27,5.3%,3.1%,0.0844
07,BOULDER,0480,BOULDER VALLEY RE 2,5999,MONARCH HIGH SCHOOL,1757,95,46,"1,608",141,5.4%,2.6%,0.0803
07,BOULDER,0480,BOULDER VALLEY RE 2,6000,MONARCH K-8 SCHOOL,848,84,33,731,117,9.9%,3.9%,0.1380
07,BOULDER,0480,BOULDER VALLEY RE 2,6195,NEW VISTA HIGH SCHOOL,300,65,6,225,71,21.7%,2.0%,0.2367
07,BOULDER,0480,BOULDER VALLEY RE 2,6208,NEDERLAND ELEMENTARY SCHOOL,258,50,18,189,68,19.4%,7.0%,0.2636
07,BOULDER,0480,BOULDER VALLEY RE 2,6212,NEDERLAND MIDDLE-SENIOR HIGH SCHOOL,302,68,23,208,91,22.5%,7.6%,0.3013
07,BOULDER,0480,BOULDER VALLEY RE 2,6224,NEVIN PLATT MIDDLE SCHOOL,602,49,19,534,68,8.1%,3.2%,0.1130
07,BOULDER,0480,BOULDER VALLEY RE 2,6642,HORIZONS K-8 SCHOOL,348,14,11,323,25,4.0%,3.2%,0.0718
07,BOULDER,0480,BOULDER VALLEY RE 2,6816,PEAK TO PEAK CHARTER SCHOOL,1446,68,30,"1,348",98,4.7%,2.1%,0.0678
07,BOULDER,0480,BOULDER VALLEY RE 2,6962,PIONEER BILINGUAL ELEMENTARY SCHOOL,457,184,39,234,223,40.3%,8.5%,0.4880
07,BOULDER,0480,BOULDER VALLEY RE 2,7528,RYAN ELEMENTARY SCHOOL,397,112,34,250,146,28.2%,8.6%,0.3678
